Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,17.53,17.72,17.075,17.6,23093606.0,,,,,0.64,,,0.64,,,17.075,17.72,17.72,0.05,1,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,17.93,18.45,17.8,18.38,43954004.0,,,,,0.65,0.85,0.2,0.85,,,17.11,17.72,18.45,0.1,1,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,17.915,17.98,17.32,17.6,28427221.0,,,,,0.66,0.4,1.06,1.06,,,17.24,17.72,18.45,0.1,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,17.79,18.24,17.79,18.21,26175829.0,,,,,0.45,0.64,0.19,0.64,,,17.32,17.72,18.45,0.1,1,-0.08,-4.86,18.15,18.15,,,,,,,,,,,17.6,18.38
2025-01-15 05:00:00,18.54,18.56,17.97,18.07,20401951.0,,,,,0.59,0.35,0.24,0.59,0.76,,17.43,17.72,18.56,0.15,1,0.23,13.22,17.73,17.73,,,,,,,,,,,17.6,18.38
2025-01-16 05:00:00,18.02,18.33,17.78,18.29,22031769.0,,,,,0.55,0.26,0.29,0.55,0.74,,17.6,17.72,18.56,0.15,1,0.04,2.29,18.15,18.15,0.03,1.66,18.05,18.08,,,,,,,17.6,18.29
2025-01-17 05:00:00,18.55,18.57,18.16,18.27,20438502.0,,,,,0.41,0.28,0.13,0.41,0.65,,17.74,17.72,18.57,0.2,1,0.1,5.71,18.11,18.11,0.14,8.08,17.8,17.95,,,,,,,18.07,18.29
2025-01-21 05:00:00,18.52,18.65,18.27,18.64,30731602.0,,,,,0.38,0.38,0.0,0.38,0.51,,17.91,17.72,18.65,0.21,1,0.17,9.93,18.23,18.23,0.11,6.05,18.08,18.19,,,,,,,18.07,18.64
2025-01-22 05:00:00,19.085,19.1,18.37,18.66,58392393.0,,,,,0.73,0.46,0.27,0.73,0.53,,18.07,17.72,19.1,0.21,1,0.19,11.03,18.33,18.33,0.15,8.7,18.08,18.23,,,,18.58,,,18.27,18.66
2025-01-23 05:00:00,17.3,17.536,16.73,17.03,94892398.0,,,,,0.81,1.12,1.93,1.93,0.8,,16.73,19.1,16.73,0.05,0,-0.8,-38.83,18.91,18.91,-0.21,-12.02,18.6,18.39,,,,18.09,,,17.03,18.66
2025-01-24 05:00:00,16.845,17.34,16.55,16.96,37782479.0,,,,,0.79,0.31,0.48,0.79,0.85,,16.73,18.98,16.55,0.1,0,-0.85,-40.36,18.4,18.4,-0.42,-22.93,18.76,18.34,,,,17.5,,,16.96,18.66
2025-01-27 05:00:00,16.82,17.54,16.705,17.2,40497957.0,,,,,0.84,0.58,0.26,0.84,0.93,,16.73,18.74,16.55,0.1,0,0.08,4.86,16.98,16.98,-0.46,-24.61,18.61,18.16,,,,17.2,,,16.96,18.66
2025-01-28 05:00:00,17.08,17.47,16.955,17.15,29817403.0,,,,,0.52,0.27,0.25,0.52,0.96,,16.73,18.52,16.55,0.1,0,0.09,5.43,17.01,17.01,-0.29,-15.91,17.97,17.68,,,,16.94,,,16.96,17.2
2025-01-29 05:00:00,17.14,17.34,16.9405,17.33,24719434.0,,,,,0.4,0.19,0.21,0.4,0.9,,16.73,18.32,16.55,0.1,0,0.06,3.72,17.16,17.16,0.08,4.52,16.98,17.05,,,,16.88,,,16.96,17.33
2025-01-30 05:00:00,16.93,17.23,16.8,16.9,42121224.0,,,,,0.43,0.1,0.53,0.53,0.62,,16.73,18.14,16.55,0.1,0,-0.13,-7.13,17.25,17.25,0.0,0.06,17.11,17.11,,,,16.72,,,16.9,17.33
2025-01-31 05:00:00,16.96,17.23,16.91,16.92,30197038.0,,,,,0.32,0.33,0.01,0.33,0.52,,16.73,17.98,16.55,0.1,0,-0.2,-11.59,17.25,17.25,-0.08,-4.63,17.26,17.18,,,,16.78,,,16.9,17.33
2025-02-03 05:00:00,16.39,16.82,16.22,16.7,32955679.0,,,,,0.6,0.1,0.7,0.7,0.5,0.71,16.73,17.84,16.22,0.15,0,-0.1,-5.71,16.94,16.94,-0.13,-7.46,17.26,17.13,,,,16.89,,,16.7,17.33
2025-02-04 05:00:00,16.75,16.935,16.7,16.84,28810055.0,,,,,0.23,0.23,0.0,0.23,0.44,0.69,16.73,17.6,16.22,0.15,0,-0.04,-2.29,16.86,16.86,-0.12,-6.73,17.17,17.06,,,,16.81,,,16.7,16.92
2025-02-05 05:00:00,16.85,17.22,16.51,16.96,27641325.0,,,,,0.71,0.38,0.33,0.71,0.5,0.67,16.73,17.39,16.22,0.15,0,0.13,7.41,16.7,16.7,0.0,0.23,16.86,16.86,,,,16.79,,,16.7,16.96
2025-02-06 05:00:00,17.08,17.32,16.955,17.06,25501425.0,,,,,0.37,0.36,0.01,0.37,0.47,0.66,16.22,17.32,17.32,0.05,1,0.11,6.28,16.84,16.84,0.05,3.09,16.79,16.84,,,,16.86,,,16.7,17.06
2025-02-07 05:00:00,17.07,17.4,17.0202,17.17,22457827.0,,,,,0.38,0.34,0.04,0.38,0.48,0.65,16.27,17.32,17.4,0.1,1,0.1,5.99,16.96,16.96,0.12,6.62,16.71,16.83,,,,16.98,,,16.84,17.17
2025-02-10 05:00:00,17.2,17.2,16.56,16.62,27672557.0,,,,,0.64,0.03,0.61,0.64,0.47,0.65,16.38,17.32,17.4,0.1,1,-0.22,-12.41,17.17,17.17,-0.02,-1.32,16.98,16.95,,,,16.92,,,16.62,17.17
2025-02-11 05:00:00,16.43,16.56,16.1348,16.41,29009418.0,,,,,0.43,0.06,0.49,0.49,0.52,0.63,16.13,17.4,16.13,0.05,0,-0.38,-20.81,17.11,17.11,-0.15,-8.75,17.15,17.0,,,,16.71,,,16.41,17.17
