Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,171.794,176.8,170.66,175.58,18850908.0,,,,,6.14,,,6.14,,,170.66,176.8,176.8,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,175.29,178.65,174.63,178.39,6945621.0,,,,,4.02,3.07,0.95,4.02,,,170.97,176.8,178.65,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,178.41,180.17,177.8408,180.0,2692814.0,,,,,2.33,1.78,0.55,2.33,,,171.74,176.8,180.17,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,179.02,180.35,178.63,179.2,2759421.0,,,,,1.72,0.35,1.37,1.72,,,173.0,176.8,180.35,0.2,1,0.41,22.05,178.79,178.79,,,,,,,,,,,175.58,180.0
2024-12-27 05:00:00,177.92,179.66,177.29,178.01,2745373.0,,,,,2.37,0.46,1.91,2.37,3.32,,174.47,176.8,180.35,0.2,1,-1.0,-44.86,180.06,180.06,,,,,,,,,,,178.01,180.0
2024-12-30 05:00:00,177.02,177.34,175.5101,176.2,3405687.0,,,,,1.83,0.67,2.5,2.5,2.59,,175.51,180.35,175.51,0.05,0,-1.5,-56.31,179.3,179.3,-0.64,-32.5,179.63,179.0,,,,,,,176.2,180.0
2024-12-31 05:00:00,176.35,177.84,175.92,177.7,3326732.0,,,,,1.92,1.64,0.28,1.92,2.17,,175.51,180.11,175.51,0.05,0,-0.16,-8.81,177.46,177.46,-0.76,-37.23,179.74,178.98,,,,,,,176.2,179.2
2025-01-02 05:00:00,178.66,179.78,177.9006,179.44,4094307.0,,,,,1.88,2.08,0.2,2.08,2.12,,175.51,179.88,175.51,0.05,0,1.62,58.31,176.16,176.16,0.02,0.97,178.08,178.09,,,,,,,176.2,179.44
2025-01-03 05:00:00,179.66,181.57,178.8,181.22,4380336.0,,,,,2.77,2.13,0.64,2.77,2.33,,175.51,181.57,181.57,0.05,1,1.76,60.4,177.69,177.69,0.97,44.01,176.58,177.55,,,,179.22,,,176.2,181.22
2025-01-06 05:00:00,180.78,181.98,179.26,180.1,6302081.0,,,,,2.72,0.76,1.96,2.72,2.4,,175.81,181.57,181.98,0.1,1,0.33,18.26,179.92,179.92,1.13,48.54,176.67,177.8,,,,179.67,,,177.7,181.22
2025-01-07 05:00:00,179.63,182.1725,178.389,179.53,5905223.0,,,,,3.78,2.07,1.71,3.78,2.65,,176.43,181.57,182.17,0.15,1,-0.85,-40.2,181.13,181.13,0.43,23.36,178.73,179.17,,,,180.16,,,179.44,181.22
2025-01-08 05:00:00,179.2,179.24,176.18,178.5,4488519.0,,,,,3.06,0.29,3.35,3.35,2.94,,176.18,182.17,176.18,0.05,0,-0.8,-38.66,180.18,180.18,-0.36,-19.65,180.47,180.12,,,,180.05,,,178.5,181.22
2025-01-10 05:00:00,176.86,177.54,173.33,175.17,5372441.0,,,,,4.21,0.96,5.17,5.17,3.56,,176.18,181.87,173.33,0.1,0,-2.18,-65.36,179.91,179.91,-1.37,-53.87,181.64,180.27,,,,178.31,,,175.17,180.1
2025-01-13 05:00:00,175.16,177.98,174.34,176.74,4731094.0,,,,,3.64,2.81,0.83,3.64,3.73,,176.18,181.02,173.33,0.1,0,-0.88,-41.35,177.68,177.68,-1.11,-47.93,180.22,179.12,,,,177.02,,,175.17,179.53
2025-01-14 05:00:00,176.61,176.78,174.09,175.55,4779147.0,,,,,2.69,0.04,2.65,2.69,3.73,,176.18,180.25,173.33,0.1,0,0.19,10.76,175.63,175.63,-0.97,-44.19,179.04,178.07,,,,175.55,,,175.17,178.5
2025-01-15 05:00:00,173.515,174.46,168.72,171.35,8048736.0,,,,,5.74,1.09,6.83,6.83,4.34,,176.18,179.56,168.72,0.15,0,-2.7,-69.64,177.24,177.24,-1.39,-54.31,178.25,176.85,,,,172.96,,,171.35,176.74
2025-01-16 05:00:00,171.45,173.9567,170.52,173.7,5235975.0,,,,,3.44,2.61,0.83,3.44,4.35,3.09,176.18,177.93,168.72,0.15,0,-0.93,-42.77,174.46,174.46,-0.83,-39.79,176.17,175.33,,,,172.46,,,171.35,176.74
2025-01-17 05:00:00,172.88,173.99,171.27,171.56,7852525.0,,,,,2.72,0.29,2.43,2.72,3.86,3.14,176.18,176.55,168.72,0.15,0,0.1,5.99,172.1,172.1,-1.22,-50.68,176.22,175.0,,,,171.41,,,171.35,175.55
2025-01-21 05:00:00,172.16,175.66,171.22,172.61,7548666.0,,,,,4.44,4.1,0.34,4.44,4.02,3.25,168.72,175.66,175.66,0.05,1,-0.54,-28.59,173.17,173.17,-0.57,-29.55,174.09,173.52,,,,171.37,,,171.35,173.7
2025-01-22 05:00:00,170.3,170.8684,168.06,169.2,9464994.0,,,,,2.81,1.74,4.55,4.55,4.4,3.42,168.06,175.66,168.06,0.05,0,-1.18,-49.72,172.3,172.3,-0.54,-28.32,172.76,172.22,,,,170.23,,,169.2,173.7
2025-01-23 05:00:00,170.46,170.69,168.48,170.67,7116187.0,,,,,2.21,1.49,0.72,2.21,3.47,3.52,168.06,175.28,168.06,0.05,0,-0.97,-44.13,171.8,171.8,-0.84,-40.1,173.23,172.39,,,,169.65,,,169.2,172.61
2025-01-24 05:00:00,169.32,171.11,169.25,170.3,5584924.0,,,,,1.86,0.44,1.42,1.86,3.16,3.59,168.06,174.92,168.06,0.05,0,0.55,28.81,169.51,169.51,-0.45,-24.04,171.76,171.31,,,,169.68,,,169.2,172.61
