Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,96.0,96.52,94.7071,94.88,1694130.0,,,,,1.81,,,1.81,,,96.52,94.7071,94.7071,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,94.9,95.005,93.06,93.21,1912466.0,,,,,1.94,0.12,1.82,1.94,,,94.71,95.0,95.0,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,93.43,93.7364,92.805,93.02,1158883.0,,,,,0.93,0.53,0.4,0.93,,,92.8,95.0,92.8,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,92.97,93.5505,92.0,92.76,1334613.0,,,,,1.55,0.53,1.02,1.55,,,92.8,94.89,92.0,0.1,0,-0.22,-12.68,93.22,93.22,,,,,,,,,,,92.76,94.88,
2025-01-27,93.28,96.53,93.18,96.52,1899286.0,,,,,3.35,3.77,0.42,3.77,2.0,,92.0,96.53,96.53,0.05,1,1.75,60.26,92.35,92.35,,,,,,,,,,,92.76,96.52,
2025-01-28,96.2,96.83,94.83,95.21,1626108.0,,,,,2.0,0.31,1.69,2.0,2.04,,92.23,96.53,96.83,0.1,1,1.23,50.77,93.6,93.6,0.75,36.87,92.64,93.39,,,,,,,92.76,96.52,
2025-01-29,94.84,95.17,93.46,93.82,2247296.0,,,,,1.71,0.04,1.75,1.75,2.0,,92.69,96.53,96.83,0.1,1,-1.35,-53.47,96.53,96.53,0.4,22.05,93.46,93.86,,,,,,,92.76,96.52,
2025-01-30,94.37,95.05,92.855,94.58,1556811.0,,,,,2.19,1.23,0.96,2.19,2.25,,92.86,96.83,92.86,0.05,0,-0.32,-17.48,94.85,94.85,0.09,5.37,94.39,94.48,,,,,,,93.82,96.52,
2025-01-31,93.95,94.61,92.34,93.07,2040615.0,,,,,2.27,0.03,2.24,2.27,2.4,,92.86,96.63,92.34,0.1,0,-0.38,-20.56,94.2,94.2,-0.75,-36.98,96.15,95.39,,,,94.39,,,93.07,95.21,
2025-02-03,92.57,93.5,91.16,93.1,2056478.0,,,,,2.34,0.43,1.91,2.34,2.11,,92.86,96.2,91.16,0.15,0,-0.74,-36.5,94.32,94.32,-0.5,-26.43,94.95,94.45,,,,93.8,,,93.07,94.58,
2025-02-04,92.38,93.555,92.38,92.77,1861682.0,,,,,1.18,0.46,0.72,1.18,1.95,,92.86,95.44,91.16,0.15,0,-0.15,-8.53,93.13,93.13,-0.36,-19.7,94.18,93.83,,,,93.03,,,92.77,94.58,
2025-02-05,92.97,93.14,92.22,93.06,1577005.0,,,,,0.92,0.37,0.55,0.92,1.78,,92.86,94.8,91.16,0.15,0,-0.02,-1.15,93.0,93.0,-0.33,-18.47,93.98,93.65,,,,92.35,,,92.77,93.1,
2025-02-06,94.25,94.3,93.0,93.88,1367297.0,,,,,1.3,1.24,0.06,1.3,1.6,,91.16,94.3,94.3,0.05,1,0.55,29.03,92.68,92.68,0.16,8.98,92.86,93.02,,,,92.92,,,92.77,93.88,
2025-02-07,93.85,94.07,93.16,93.5,1305144.0,,,,,0.91,0.19,0.72,0.91,1.33,,91.32,94.3,94.3,0.05,1,0.22,12.41,93.26,93.26,0.19,10.81,92.88,93.07,,,,93.22,,,92.77,93.88,
