Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,95.39,96.74,95.16,96.24,1506203.0,,,,,1.58,,,1.58,,,95.16,96.74,96.74,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,95.86,96.03,93.11,93.35,1158264.0,,,,,2.92,0.21,3.13,3.13,,,93.11,96.74,93.11,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,93.82,94.1,93.07,93.31,1138387.0,,,,,1.03,0.75,0.28,1.03,,,93.11,96.56,93.07,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,92.79,94.25,92.79,94.12,743578.0,,,,,1.46,0.94,0.52,1.46,,,93.11,96.21,92.79,0.15,0,0.38,21.06,93.21,93.21,,,,,,,,,,,93.31,96.24,
2025-01-27,94.53,94.785,91.87,94.13,2453584.0,,,,,2.91,0.66,2.25,2.91,2.02,,93.11,95.7,91.87,0.2,0,0.41,22.29,93.44,93.44,,,,,,,,,,,93.31,94.13,
2025-01-28,94.21,94.33,92.45,93.22,1137414.0,,,,,1.88,0.2,1.68,1.88,2.08,,93.11,94.93,91.87,0.2,0,-0.45,-24.23,94.27,94.27,0.06,3.21,93.51,93.57,,,,,,,93.22,94.13,
2025-01-29,93.37,93.91,92.53,92.79,912846.0,,,,,1.38,0.69,0.69,1.38,1.73,,93.11,94.33,91.87,0.2,0,-0.67,-33.82,94.05,94.05,-0.19,-10.98,93.9,93.71,,,,,,,92.79,94.13,
2025-01-30,93.92,94.215,93.23,94.11,790535.0,,,,,0.98,1.42,0.44,1.42,1.81,,91.87,94.22,94.22,0.05,1,0.45,23.99,92.93,92.93,-0.14,-7.74,93.95,93.81,,,,,,,92.79,94.13,
2025-01-31,94.0,94.765,93.65,94.2,1686934.0,,,,,1.11,0.66,0.46,1.11,1.74,,91.99,94.22,94.76,0.1,1,0.7,35.18,92.99,92.99,0.1,5.88,93.48,93.59,,,,93.86,,,92.79,94.2,
2025-02-03,93.96,96.228,93.16,96.01,1725132.0,,,,,3.07,2.03,1.04,3.07,1.77,,92.27,94.22,96.23,0.15,1,0.95,43.53,93.82,93.82,0.7,34.95,92.67,93.37,,,,94.77,,,92.79,96.01,
2025-02-04,95.13,95.58,94.1,95.49,2100056.0,,,,,1.48,0.43,1.91,1.91,1.78,,92.86,94.22,96.23,0.15,1,0.65,32.82,94.59,94.59,0.73,36.13,93.06,93.79,,,,95.23,,,94.11,96.01,
2025-02-05,96.5,97.29,96.03,96.62,1793526.0,,,,,1.26,1.8,0.54,1.8,1.86,,93.37,94.22,97.29,0.2,1,0.3,16.96,95.74,95.74,0.63,32.25,94.02,94.66,,,,96.18,,,94.2,96.62,
2025-02-06,96.9,96.97,95.615,96.75,1745409.0,,,,,1.36,0.35,1.01,1.36,1.85,,94.15,94.22,97.29,0.2,1,0.63,32.21,95.66,95.66,0.57,29.73,94.67,95.24,,,,96.97,,,95.49,96.75,
2025-02-07,97.14,97.3695,96.06,97.09,1586483.0,,,,,1.31,0.62,0.69,1.31,1.89,,94.78,94.22,97.37,0.21,1,0.23,13.22,96.58,96.58,0.34,18.88,95.71,96.05,,,,97.47,,,95.49,97.09,
2025-02-10,97.03,97.99,96.368,97.2,1989103.0,,,,,1.62,0.9,0.72,1.62,1.6,,95.32,94.22,97.99,0.21,1,0.22,12.68,96.79,96.79,0.39,21.26,95.85,96.24,,,,97.58,,,96.62,97.2,
2025-02-11,96.87,98.25,96.5,98.18,2005133.0,,,,,1.75,1.05,0.7,1.75,1.57,,95.88,94.22,98.25,0.21,1,0.54,28.59,96.94,96.94,0.36,19.65,96.45,96.81,,,,98.06,,,96.75,98.18,
2025-02-12,96.93,98.33,96.62,97.26,2103882.0,,,,,1.71,0.15,1.56,1.71,1.55,1.79,96.38,94.22,98.33,0.21,1,0.03,1.72,97.52,97.52,0.21,11.91,96.87,97.09,,,,97.84,,,97.09,98.18,
2025-02-13,97.52,98.69,97.39,98.27,2629020.0,,,,,1.3,1.43,0.13,1.43,1.56,1.75,96.62,94.22,98.69,0.21,1,0.04,2.58,97.86,97.86,0.24,13.6,97.12,97.36,,,,98.23,,,97.2,98.27,
2025-02-14,98.84,100.615,97.4,98.07,3561331.0,,,,,3.21,2.34,0.87,3.21,1.94,1.74,97.05,94.22,100.62,0.21,1,0.4,22.05,97.46,97.46,0.18,10.37,97.43,97.61,,,,98.23,,,97.26,98.27,
2025-02-18,98.45,98.5099,97.52,98.34,2043733.0,,,,,0.99,0.44,0.55,0.99,1.82,1.75,97.4,94.22,100.62,0.21,1,0.04,2.0,98.19,98.19,0.11,6.45,97.8,97.91,,,,98.41,,,97.26,98.34,
2025-02-19,98.53,98.66,97.25,97.9,2114847.0,,,,,1.41,0.32,1.09,1.41,1.75,1.74,97.25,100.62,97.25,0.05,0,-0.08,-4.86,98.19,98.19,0.13,7.69,97.7,97.83,,,,98.29,,,97.9,98.34,
2025-02-20,97.54,97.815,96.59,97.21,2594298.0,,,,,1.22,0.09,1.31,1.31,1.67,1.74,97.25,100.45,96.59,0.1,0,-0.57,-29.47,98.38,98.38,-0.23,-12.9,98.42,98.19,,,,97.87,,,97.21,98.34,
2025-02-21,96.85,98.73,96.68,98.54,4117876.0,,,,,2.05,1.52,0.53,2.05,1.79,1.74,97.25,100.06,96.59,0.1,0,0.32,17.74,97.56,97.56,-0.02,-1.09,98.05,98.03,,,,98.03,,,97.21,98.54,
2025-02-24,98.8,99.7767,97.915,98.84,2142978.0,,,,,1.86,1.24,0.62,1.86,1.52,1.72,96.59,99.78,99.78,0.05,1,0.81,39.18,97.38,97.38,0.16,9.31,97.84,98.0,,,,98.44,,,97.21,98.84,
2025-02-25,98.67,99.71,98.455,99.41,1602633.0,96.27,2.05,100.37,92.17,1.25,0.87,0.39,1.25,1.58,1.7,96.75,99.78,99.78,0.05,1,0.44,23.51,98.49,98.49,0.46,24.94,97.45,97.92,,,,98.81,,,97.21,99.41,
2025-02-26,98.97,99.715,98.73,99.33,1131815.0,96.39,2.14,100.67,92.11,0.98,0.31,0.68,0.98,1.49,1.67,96.9,99.78,99.78,0.05,1,0.24,13.77,98.95,98.95,0.51,27.07,97.64,98.16,,,,99.22,,,98.54,99.41,
2025-02-27,98.68,100.08,98.275,99.47,1374726.0,96.63,2.13,100.89,92.37,1.8,0.75,1.05,1.8,1.59,1.65,97.04,99.78,100.08,0.1,1,0.03,1.72,99.37,99.37,0.23,13.22,98.65,98.88,,,,99.54,,,98.84,99.47,
2025-02-28,100.4,101.75,99.865,101.56,1852409.0,96.96,2.23,101.42,92.5,1.89,2.28,0.39,2.28,1.63,1.65,97.34,99.78,101.75,0.15,1,1.11,48.11,99.0,99.0,0.55,28.81,98.62,99.17,,,,100.69,,,99.33,101.56,
2025-03-03,101.49,103.87,100.98,103.67,2261473.0,97.35,2.52,102.39,92.31,2.89,2.31,0.58,2.89,1.84,1.67,98.0,99.78,103.87,0.2,1,2.1,64.54,99.47,99.47,1.07,47.07,98.54,99.61,,,,102.34,,,99.33,103.67,
2025-03-04,103.79,104.1,99.87,100.0,2791420.0,97.58,2.48,102.54,92.62,4.23,0.43,3.8,4.23,2.44,1.74,99.17,99.78,104.1,0.21,1,-0.78,-37.95,102.52,102.52,0.55,28.99,99.7,100.25,,,,101.81,,,99.47,103.67,
2025-03-05,99.11,100.15,98.4,98.73,1543214.0,97.8,2.31,102.42,93.18,1.75,0.15,1.6,1.75,2.59,1.82,98.4,104.1,98.4,0.05,0,-2.47,-67.96,103.27,103.27,-0.3,-16.91,101.29,100.99,,,,100.85,,,98.73,103.67,
2025-03-06,98.48,98.48,96.59,97.14,1600118.0,97.98,2.07,102.12,93.84,1.89,0.25,2.14,2.14,2.66,1.87,98.4,103.82,96.59,0.1,0,-1.43,-55.03,100.05,100.05,-1.38,-54.03,102.98,101.6,,,,99.28,,,97.14,103.67,
2025-03-07,97.18,99.38,96.97,98.59,2539298.0,98.15,1.91,101.97,94.33,2.41,2.24,0.17,2.41,2.68,1.94,98.4,103.1,96.59,0.1,0,-0.07,-4.0,98.22,98.22,-1.3,-52.47,102.23,100.93,,,,98.6,,,97.14,100.0,
2025-03-10,98.8,100.705,98.24,99.25,2308456.0,98.36,1.74,101.84,94.88,2.47,2.11,0.35,2.47,2.6,2.01,98.4,102.45,96.59,0.1,0,1.05,46.53,97.27,97.27,-0.16,-9.31,99.07,98.91,,,,98.25,,,97.14,99.25,
2025-03-11,98.38,99.3,97.54,97.87,2232716.0,98.43,1.67,101.77,95.09,1.76,0.05,1.71,1.76,2.11,2.04,98.4,101.86,96.59,0.1,0,-0.36,-19.8,98.93,98.93,0.04,2.23,98.24,98.28,1.11,,,97.36,,,97.14,99.25,
2025-03-12,97.32,98.23,97.09,97.45,2037832.0,98.51,1.57,101.65,95.37,1.14,0.36,0.78,1.14,1.98,2.05,98.4,101.33,96.59,0.1,0,-0.9,-41.99,99.09,99.09,-0.01,-0.57,98.08,98.07,0.82,,,96.95,,,97.45,99.25,
2025-03-13,97.71,98.57,97.35,97.96,1491947.0,98.56,1.52,101.6,95.52,1.22,1.12,0.1,1.22,1.8,2.08,98.4,100.86,96.59,0.1,0,0.04,2.58,97.72,97.72,-0.31,-17.01,98.84,98.53,0.85,,,97.63,,,97.45,99.25,
2025-03-14,97.64,99.62,97.44,99.12,1827679.0,98.66,1.48,101.62,95.7,2.18,1.66,0.52,2.18,1.75,2.09,98.4,100.43,96.59,0.1,0,0.83,39.86,97.34,97.34,-0.02,-0.97,98.36,98.35,0.79,-0.32,,98.35,,,97.45,99.12,
2025-03-17,99.33,100.88,99.04,100.73,2861923.0,98.8,1.5,101.8,95.8,1.84,1.76,0.08,1.84,1.63,2.1,96.59,100.88,100.88,0.05,1,1.38,54.17,97.88,97.88,0.74,36.46,97.15,97.89,0.9,0.08,,99.49,,,97.45,100.73,
2025-03-18,100.05,100.635,99.035,99.85,1358949.0,98.91,1.47,101.85,95.97,1.6,0.09,1.7,1.7,1.62,2.1,96.8,100.88,100.88,0.05,1,0.37,20.05,99.53,99.53,0.76,37.13,97.51,98.26,1.13,0.28,,99.71,,,97.96,100.73,
2025-03-19,99.61,100.46,99.08,100.06,2172805.0,98.98,1.48,101.94,96.02,1.38,0.61,0.77,1.38,1.66,2.1,97.0,100.88,100.88,0.05,1,-0.34,-18.52,100.55,100.55,0.49,26.24,98.56,99.05,1.46,0.67,,100.14,,,99.12,100.73,
2025-03-20,100.39,100.47,99.475,99.97,2262674.0,99.09,1.45,101.99,96.19,1.0,0.41,0.59,1.0,1.62,2.09,97.19,100.88,100.88,0.05,1,0.06,3.43,99.9,99.9,0.1,5.88,99.74,99.84,1.65,0.75,,100.59,,,99.85,100.73,
2025-03-21,98.93,99.82,98.15,98.91,3577445.0,99.12,1.44,102.0,96.24,1.67,0.15,1.82,1.82,1.55,2.02,97.37,100.88,100.88,0.05,1,-0.58,-29.9,100.22,100.22,-0.35,-19.39,100.61,100.26,1.47,0.34,,100.18,,,98.91,100.06,
2025-03-24,99.19,99.935,98.65,98.81,1146679.0,99.15,1.43,102.01,96.29,1.28,1.03,0.26,1.28,1.44,1.93,97.55,100.88,100.88,0.05,1,-0.58,-30.11,99.81,99.81,-0.32,-17.9,100.17,99.84,0.96,-0.5,,99.54,,,98.81,100.06,
