Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,101.04,103.17,100.65,102.69,4847599.0,,,,,2.52,,,2.52,,,100.65,103.17,103.17,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,102.06,102.925,101.78,102.74,1655806.0,,,,,1.14,0.23,0.91,1.14,,,100.78,103.17,103.17,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,102.8,103.41,102.14,103.24,901319.0,,,,,1.27,0.67,0.6,1.27,,,100.9,103.17,103.41,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,102.75,104.02,102.51,103.66,2491009.0,,,,,1.51,0.78,0.73,1.51,,,101.15,103.17,104.02,0.15,1,0.46,24.7,102.75,102.75,,,,,,,,,,,102.69,103.66
2024-12-27 05:00:00,103.18,104.45,102.74,103.38,1104883.0,,,,,1.71,0.79,0.92,1.71,1.63,,101.58,103.17,104.45,0.2,1,0.07,4.0,103.36,103.36,,,,,,,,,,,102.74,103.66
2024-12-30 05:00:00,102.28,103.59,101.75,102.97,1405746.0,,,,,1.84,0.21,1.63,1.84,1.49,,101.75,104.45,101.75,0.05,0,-0.35,-19.03,103.68,103.68,0.06,3.43,103.08,103.14,,,,,,,102.97,103.66
2024-12-31 05:00:00,103.04,103.89,103.04,103.44,1689836.0,,,,,0.85,0.92,0.07,0.92,1.45,,101.75,104.32,101.75,0.05,0,0.03,1.72,103.23,103.23,-0.03,-1.66,103.4,103.37,,,,,,,102.97,103.66
2025-01-02 05:00:00,103.61,104.0426,101.97,102.36,1701793.0,,,,,2.07,0.6,1.47,2.07,1.61,,101.75,104.19,101.75,0.05,0,-0.31,-16.96,103.23,103.23,-0.25,-14.25,103.67,103.42,,,,,,,102.36,103.44
2025-01-03 05:00:00,102.57,103.35,102.17,103.16,1367986.0,,,,,1.18,0.99,0.19,1.18,1.54,,101.75,104.07,101.75,0.05,0,-0.14,-7.97,103.13,103.13,-0.11,-5.99,103.27,103.17,,,,103.01,,,102.36,103.44
2025-01-06 05:00:00,103.05,103.79,101.49,101.79,1903112.0,,,,,2.3,0.63,1.67,2.3,1.66,,101.75,103.95,101.49,0.1,0,-0.29,-15.91,102.72,102.72,-0.26,-14.79,103.27,103.01,,,,102.36,,,101.79,103.44
2025-01-07 05:00:00,101.98,103.7,101.79,102.84,1670483.0,,,,,1.91,1.91,0.0,1.91,1.68,,101.75,103.79,101.49,0.1,0,-0.16,-9.09,102.76,102.76,-0.18,-10.04,103.07,102.89,,,,102.36,,,101.79,103.16
2025-01-08 05:00:00,103.01,103.595,102.035,103.57,1327669.0,,,,,1.56,0.75,0.81,1.56,1.8,,101.75,103.7,101.49,0.1,0,0.89,41.67,101.84,101.84,0.21,11.86,102.32,102.53,,,,102.79,,,101.79,103.57
2025-01-10 05:00:00,102.36,102.7,100.235,100.99,2176707.0,,,,,2.47,0.87,3.33,3.33,2.06,,101.75,103.6,100.24,0.15,0,-0.93,-42.77,103.39,103.39,-0.26,-14.36,102.98,102.73,,,,102.09,,,100.99,103.57
2025-01-13 05:00:00,100.96,102.948,100.0,102.49,1408363.0,,,,,2.95,1.96,0.99,2.95,2.41,,101.75,103.1,100.0,0.2,0,-0.54,-28.37,102.89,102.89,-0.05,-2.58,102.43,102.38,,,,102.11,,,100.99,103.57
2025-01-14 05:00:00,102.79,103.68,102.39,103.65,1610038.0,,,,,1.29,1.19,0.1,1.29,2.21,,100.0,103.68,103.68,0.05,1,1.33,53.06,101.05,101.05,0.05,3.09,102.6,102.65,,,,102.77,,,100.99,103.65
2025-01-15 05:00:00,105.18,105.18,104.41,104.79,2004791.0,,,,,0.77,1.53,0.76,1.53,2.13,,100.18,103.68,105.18,0.1,1,1.15,48.99,102.49,102.49,0.51,27.02,102.08,102.59,,,,103.62,,,100.99,104.79
2025-01-16 05:00:00,104.91,106.0299,104.78,105.93,1442274.0,,,,,1.25,1.24,0.01,1.25,2.07,1.83,100.68,103.68,106.03,0.15,1,1.14,48.74,103.65,103.65,1.22,50.61,101.13,102.35,,,,104.94,,,102.49,105.93
