Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,92.0,94.97,91.86,94.71,2960648.0,,,,,3.11,,,3.11,,,91.86,94.97,94.97,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,94.85,95.13,93.295,95.11,1370021.0,,,,,1.83,0.42,1.41,1.83,,,92.02,94.97,95.13,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,95.2,96.05,93.48,95.89,1358028.0,,,,,2.57,0.94,1.63,2.57,,,92.33,94.97,96.05,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,96.14,97.77,95.8659,97.7,1805752.0,,,,,1.9,1.88,0.02,1.9,,,92.89,94.97,97.77,0.2,1,1.3,52.32,94.94,94.94,,,,,,,,,,,94.71,97.7,
2025-01-27,97.0,100.15,96.9,99.67,2483680.0,,,,,3.25,2.45,0.8,3.25,2.53,,93.87,94.97,100.15,0.21,1,1.89,62.12,95.86,95.86,,,,,,,,,,,95.11,99.67,
2025-01-28,99.95,100.77,98.895,100.54,1869733.0,,,,,1.88,1.1,0.78,1.88,2.29,,95.19,94.97,100.77,0.21,1,1.42,54.85,97.88,97.88,1.46,55.66,94.85,96.32,,,,,,,95.89,100.54,
2025-01-29,100.6,101.0,99.58,100.41,1366470.0,,,,,1.42,0.46,0.96,1.42,2.2,,96.36,94.97,101.0,0.21,1,0.37,20.3,99.84,99.84,1.19,49.91,96.47,97.65,,,,,,,97.7,100.54,
2025-01-30,101.04,101.87,100.51,101.48,1806651.0,,,,,1.36,1.46,0.1,1.46,1.98,,97.33,94.97,101.87,0.21,1,0.47,25.17,100.34,100.34,0.83,39.69,98.3,99.13,,,,,,,99.67,101.48,
2025-01-31,101.95,102.37,99.74,99.9,1526484.0,,,,,2.63,0.89,1.74,2.63,2.13,,98.28,94.97,102.37,0.21,1,-0.26,-14.31,100.85,100.85,0.14,7.97,100.12,100.26,,,,101.77,,,99.9,101.48,
2025-02-03,98.4,98.7,96.76,98.0,1796747.0,,,,,1.94,1.2,3.14,3.14,2.11,,96.76,102.37,96.76,0.05,0,-1.74,-60.11,101.53,101.53,-0.56,-29.21,101.18,100.62,,,,100.49,,,98.0,101.48,
