Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,159.98,164.73,158.958,163.59,15336722.0,,,,,5.77,,,5.77,,,158.958,164.73,164.73,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,164.77,167.69,164.165,167.46,5040203.0,,,,,3.53,4.1,0.57,4.1,,,159.25,164.73,167.69,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,167.43,168.72,166.9,168.37,2595759.0,,,,,1.82,1.26,0.56,1.82,,,160.09,164.73,168.72,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,167.35,168.8499,166.75,167.55,2796316.0,,,,,2.1,0.48,1.62,2.1,,,161.38,164.73,168.85,0.2,1,0.04,2.58,167.75,167.75,,,,,,,,,,,163.59,168.37
2024-12-27 05:00:00,166.15,167.2,164.63,166.83,3599555.0,,,,,2.57,0.35,2.92,2.92,3.34,,162.87,164.73,168.85,0.2,1,-0.77,-37.6,168.35,168.35,,,,,,,,,,,166.83,168.37
2024-12-30 05:00:00,164.0,164.97,161.97,163.64,4763085.0,,,,,3.0,1.86,4.86,4.86,3.16,,161.97,168.85,161.97,0.05,0,-1.96,-62.91,167.96,167.96,-0.92,-42.55,168.61,167.69,,,,,,,163.64,168.37
2024-12-31 05:00:00,164.43,165.18,161.97,162.63,3565535.0,,,,,3.21,1.54,1.67,3.21,2.98,,161.97,168.51,161.97,0.05,0,-2.1,-64.54,166.47,166.47,-1.54,-56.99,168.88,167.34,,,,,,,162.63,167.55
2025-01-02 05:00:00,164.47,166.71,162.83,163.87,4169023.0,,,,,3.88,4.08,0.2,4.08,3.43,,161.97,168.18,161.97,0.05,0,0.11,6.56,163.27,163.27,-1.16,-49.14,167.22,166.06,,,,,,,162.63,166.83
2025-01-03 05:00:00,165.38,170.42,164.77,170.06,5721416.0,,,,,5.65,6.55,0.9,6.55,4.32,,161.97,170.42,170.42,0.05,1,3.71,74.93,161.8,161.8,0.67,33.78,164.07,164.74,,,,165.37,,,162.63,170.06
2025-01-06 05:00:00,174.975,180.375,174.86,177.48,8475462.0,,,,,5.51,10.31,4.8,10.31,5.8,,162.39,170.42,180.38,0.1,1,6.8,81.64,163.66,163.66,3.51,74.1,160.51,164.02,,,,170.32,,,162.63,177.48
2025-01-07 05:00:00,180.07,181.84,176.3967,177.82,7332112.0,,,,,5.44,4.36,1.08,5.44,5.92,,164.19,170.42,181.84,0.15,1,3.88,75.55,171.24,171.24,4.4,77.19,161.57,165.97,,,,174.8,,,163.87,177.82
2025-01-08 05:00:00,177.75,178.17,174.84,176.99,4581723.0,,,,,3.33,0.35,2.98,3.33,5.94,,166.84,170.42,181.84,0.15,1,-0.24,-13.77,177.67,177.67,3.4,73.61,166.44,169.84,,,,177.95,,,170.06,177.82
2025-01-10 05:00:00,174.72,174.72,169.505,171.65,6325342.0,,,,,5.22,2.27,7.49,7.49,6.62,,169.09,170.42,181.84,0.15,1,-3.09,-72.04,178.57,178.57,0.27,15.06,174.26,174.53,,,,177.9,,,171.65,177.82
2025-01-13 05:00:00,169.1,171.61,167.73,170.86,5465785.0,,,,,3.88,0.04,3.92,3.92,6.1,,167.73,181.84,167.73,0.05,0,-3.06,-71.93,176.23,176.23,-1.94,-62.74,178.84,176.9,,,,176.32,,,170.86,177.82
2025-01-14 05:00:00,171.86,173.7,170.315,173.65,3842111.0,,,,,3.38,2.84,0.55,3.38,4.71,,167.73,181.13,167.73,0.05,0,1.0,45.0,171.05,171.05,-1.45,-55.35,177.09,175.64,,,,175.05,,,170.86,176.99
2025-01-15 05:00:00,176.75,179.51,175.88,178.38,5908559.0,,,,,3.63,5.86,2.23,5.86,4.8,,167.73,180.46,167.73,0.05,0,3.76,75.11,170.54,170.54,0.48,25.55,173.35,173.83,,,,175.15,,,170.86,178.38
2025-01-16 05:00:00,185.8,191.71,183.01,186.48,10825448.0,,,,,8.7,13.33,4.63,13.33,6.8,4.92,167.73,191.71,191.71,0.05,1,6.41,81.14,173.09,173.09,3.72,74.95,168.77,172.49,,,,178.96,,,170.86,186.48
2025-01-17 05:00:00,193.0,193.16,188.79,192.05,8115101.0,,,,,4.37,6.68,2.31,6.68,6.63,5.17,168.93,191.71,193.16,0.1,1,6.84,81.68,178.8,178.8,5.52,79.73,169.24,174.76,,,,185.57,,,173.65,192.05
2025-01-21 05:00:00,194.74,195.22,190.82,192.87,7959064.0,,,,,4.4,3.17,1.23,4.4,6.73,5.44,171.35,191.71,195.22,0.15,1,3.19,72.62,187.27,187.27,5.21,79.14,174.26,179.48,,,,191.4,,,178.38,192.87
2025-01-22 05:00:00,196.825,200.55,195.325,195.51,7288595.0,,,,,5.23,7.68,2.45,7.68,7.59,5.8,174.93,191.71,200.55,0.2,1,1.73,59.97,191.75,191.75,4.06,76.18,180.93,184.99,,,,196.86,,,186.48,195.51
2025-01-23 05:00:00,190.13,191.2,187.79,190.7,6307345.0,,,,,3.41,4.31,7.72,7.72,7.96,6.15,180.05,191.71,200.55,0.2,1,-1.09,-47.33,194.11,194.11,1.19,49.96,189.14,190.33,,,,197.45,,,190.7,195.51
2025-01-24 05:00:00,190.89,191.275,185.61,186.75,6033398.0,,,,,5.66,0.58,5.09,5.66,6.43,6.31,184.15,191.71,200.55,0.2,1,-4.38,-77.14,195.37,195.37,-1.28,-51.94,194.13,192.85,,,,194.6,,,186.75,195.51
2025-01-27 05:00:00,179.55,179.56,170.4201,174.57,12150238.0,,,,,9.14,7.19,16.33,16.33,8.36,6.51,170.42,200.55,170.42,0.05,0,-8.07,-82.93,192.07,192.07,-4.54,-77.57,197.15,192.62,,,,186.05,,,174.57,195.51
2025-01-28 05:00:00,173.75,174.83,170.0,172.85,7360510.0,,,,,4.83,0.26,4.57,4.83,8.44,6.7,170.42,199.04,170.0,0.1,0,-6.95,-81.81,185.01,185.01,-6.15,-80.76,196.37,190.22,,,,177.89,,,172.85,190.7
2025-01-29 05:00:00,180.0,180.21,173.78,175.28,5679925.0,175.52,9.98,195.48,155.56,6.43,7.36,0.93,7.36,8.38,6.89,170.42,196.14,170.0,0.1,0,0.36,19.54,173.88,173.88,-4.47,-77.4,188.98,184.5,,,,173.23,,,172.85,186.75
2025-01-30 05:00:00,179.395,183.27,177.46,181.72,6013770.0,176.24,9.73,195.7,156.78,5.81,7.99,2.18,7.99,8.43,7.03,170.42,193.53,170.0,0.1,0,4.43,77.29,172.18,172.18,-0.94,-43.08,180.1,179.17,,,,173.58,,,172.85,181.72
