Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,554.62,560.51,554.62,558.74,469394.0,,,,,5.89,,,5.89,,,554.62,560.51,560.51,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,558.74,563.09,556.21,561.53,511868.0,,,,,6.88,4.35,2.53,6.88,,,554.91,560.51,563.09,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,560.27,566.92,560.27,563.41,296045.0,,,,,6.65,5.39,1.26,6.65,,,555.73,560.51,566.92,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,560.3,568.0099,559.35,563.58,367682.0,,,,,8.66,4.6,4.06,8.66,,,557.41,560.51,568.01,0.2,1,1.03,45.71,561.81,561.81,,,,,,,,,,,558.74,563.58,
2025-01-27,558.95,563.74,553.2,561.38,380953.0,,,,,10.54,0.16,10.38,10.54,7.72,,553.2,568.01,553.2,0.05,0,-1.01,-45.43,563.81,563.81,,,,,,,,,,,561.38,563.58,
2025-01-28,562.53,575.62,560.2495,571.84,529273.0,,,,,15.37,14.24,1.13,15.37,9.62,,553.2,575.62,575.62,0.05,1,4.13,76.39,561.47,561.47,1.86,61.72,560.63,562.49,,,,,,,561.38,571.84,
2025-01-29,569.44,577.89,566.16,575.13,798094.0,,,,,11.73,6.05,5.68,11.73,10.59,,554.32,575.62,577.89,0.1,1,6.87,81.72,562.57,562.57,3.17,72.49,560.73,563.9,,,,,,,561.38,575.13,
2025-01-30,581.41,582.05,532.83,547.84,1173847.0,,,,,49.22,6.92,42.3,49.22,19.1,,532.83,577.89,532.83,0.05,0,-12.0,-85.24,576.94,576.94,-1.77,-60.58,567.5,565.73,,,,,,,547.84,575.13,
2025-01-31,545.17,547.135,537.72,543.36,797673.0,,,,,9.41,0.71,10.12,10.12,19.4,,532.83,582.05,532.83,0.05,0,-15.88,-86.4,571.33,571.33,-6.0,-80.54,571.92,565.91,,,,554.34,,,543.36,575.13,
2025-02-03,533.5,538.49,523.95,537.12,570440.0,,,,,14.54,4.87,19.41,19.41,21.17,,532.83,579.59,523.95,0.1,0,-5.36,-79.43,548.13,548.13,-10.12,-84.36,575.3,565.18,,,,544.52,,,537.12,575.13,
2025-02-04,537.04,538.5,531.0001,535.4,573897.0,,,,,7.5,1.38,6.12,7.5,19.6,,532.83,574.03,523.95,0.1,0,-3.98,-75.9,542.61,542.61,-9.02,-83.67,565.81,556.79,,,,536.49,,,535.4,547.84,
2025-02-05,537.32,539.07,532.01,538.29,372036.0,,,,,7.06,3.67,3.39,7.06,18.66,,532.83,569.02,523.95,0.1,0,0.58,30.33,536.35,536.35,-2.71,-69.72,545.81,543.11,,,,532.03,,,535.4,543.36,
2025-02-06,542.54,543.95,538.17,541.65,387010.0,,,,,5.78,5.66,0.12,5.78,9.97,,532.83,564.51,523.95,0.1,0,3.13,72.26,535.32,535.32,-0.23,-12.68,539.61,539.39,,,,530.53,,,535.4,541.65,
2025-02-07,542.47,548.08,537.68,538.6,529815.0,,,,,10.4,6.43,3.97,10.4,10.03,,532.83,560.45,523.95,0.1,0,0.16,8.81,539.36,539.36,0.92,42.65,536.37,537.29,,,,532.02,,,535.4,541.65,
2025-02-10,538.91,539.83,522.425,529.18,613747.0,,,,,17.41,1.23,16.18,17.41,9.63,,532.83,556.8,522.42,0.15,0,-6.24,-80.89,542.71,542.71,-1.21,-50.5,539.05,537.84,,,,533.18,,,529.18,541.65,
2025-02-11,527.51,530.98,521.49,528.8,479967.0,,,,,9.49,1.8,7.69,9.49,10.03,,532.83,551.64,521.49,0.2,0,-4.9,-78.47,537.09,537.09,-3.15,-72.36,541.59,538.45,,,,531.19,,,528.8,541.65,
2025-02-12,525.57,528.21,521.18,526.86,665119.0,,,,,7.03,0.59,7.62,7.62,10.14,13.51,532.83,545.61,521.18,0.21,0,-1.16,-49.24,529.44,529.44,-3.94,-75.75,540.89,536.96,,,,528.85,,,526.86,538.6,
2025-02-13,529.54,542.25,526.81,539.74,914827.0,,,,,15.44,15.39,0.05,15.44,12.07,13.85,521.18,542.25,542.25,0.05,1,5.47,79.64,526.33,526.33,-0.0,-0.23,532.64,532.64,,,,531.7,,,526.86,539.74,
2025-02-14,539.17,547.98,538.51,545.93,1097325.0,,,,,9.47,8.24,1.23,9.47,11.89,14.02,522.23,542.25,547.98,0.1,1,9.53,84.01,527.98,527.98,4.44,77.32,525.21,529.66,,,,536.48,,,526.86,545.93,
2025-02-18,546.53,552.43,542.481,547.06,618278.0,,,,,9.95,6.5,3.45,9.95,10.39,14.01,524.81,542.25,552.43,0.15,1,3.66,74.72,540.58,540.58,5.56,79.8,526.56,532.12,,,,541.57,,,526.86,547.06,
2025-02-19,543.63,550.03,538.78,549.44,447313.0,,,,,11.25,2.97,8.28,11.25,10.75,13.36,528.95,542.25,552.43,0.15,1,1.76,60.33,545.72,545.72,5.25,79.21,531.31,536.56,,,,547.77,,,539.74,549.44,
2025-02-20,547.71,548.915,535.6519,541.01,356790.0,,,,,13.26,0.53,13.79,13.79,11.98,12.79,532.47,542.25,552.43,0.15,1,-3.02,-71.71,548.86,548.86,0.6,31.17,543.43,544.03,,,,549.04,,,541.01,549.44,
2025-02-21,542.26,543.555,527.25,530.48,690239.0,,,,,16.3,2.54,13.76,16.3,12.15,12.1,527.25,552.43,527.25,0.05,0,-9.48,-83.98,549.79,549.79,-3.7,-74.86,550.17,546.48,,,,543.36,,,530.48,549.44,
2025-02-24,534.4,537.36,527.89,531.03,339935.0,,,,,9.47,6.88,2.59,9.47,12.15,11.53,527.25,551.17,527.25,0.05,0,-4.99,-78.67,539.16,539.16,-5.1,-78.91,550.01,544.91,,,,537.71,,,530.48,549.44,
2025-02-25,532.55,535.0159,516.3981,522.0,507194.0,545.18,14.65,574.48,515.88,18.62,3.99,14.63,18.62,13.89,11.16,527.25,549.97,516.4,0.1,0,-4.24,-76.73,532.08,532.08,-6.49,-81.24,547.76,541.28,,,,527.63,,,522.0,541.01,
2025-02-26,526.24,530.12,524.565,525.27,367618.0,543.84,14.88,573.6,514.08,5.55,8.12,2.57,8.12,13.26,11.41,527.25,546.61,516.4,0.1,0,-2.88,-70.85,528.98,528.98,-4.0,-75.95,537.95,533.95,,,,522.54,,,522.0,531.03,
2025-02-27,529.83,536.44,525.25,526.07,334897.0,542.42,14.82,572.06,512.78,11.19,11.17,0.02,11.19,12.74,11.62,527.25,543.59,516.4,0.1,0,2.04,63.83,522.41,522.41,-1.46,-55.55,529.89,528.43,,,,520.53,,,522.0,531.03,
2025-02-28,527.24,537.95,527.24,537.3,517228.0,541.37,14.18,569.73,513.01,10.71,11.88,1.17,11.88,11.86,11.79,527.25,540.87,516.4,0.1,0,6.01,80.56,523.53,523.53,1.66,58.95,525.01,526.67,,,,525.14,,,522.0,537.3,
