Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,182.08,186.51,181.83,183.73,5750257.0,,,,,4.68,,,4.68,,,181.83,186.51,186.51,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,182.64,184.61,181.04,184.38,2594197.0,,,,,3.57,0.88,2.69,3.57,,,181.04,186.51,181.04,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,182.62,184.75,182.54,184.71,788396.0,,,,,2.21,0.37,1.84,2.21,,,181.04,186.24,181.04,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,184.4,184.4,182.59,183.98,1464729.0,,,,,1.81,0.31,2.12,2.12,,,181.04,185.98,181.04,0.05,0,-0.2,-11.31,184.56,184.56,,,,,,,,,,,183.73,184.71
2024-12-27 05:00:00,182.0,184.33,181.51,181.87,1640928.0,,,,,2.82,0.35,2.47,2.82,3.08,,181.04,185.73,181.04,0.05,0,-1.42,-54.85,184.94,184.94,,,,,,,,,,,181.87,184.71
2024-12-30 05:00:00,181.87,182.2323,179.85,181.92,1887056.0,,,,,2.38,0.36,2.02,2.38,2.62,,181.04,185.5,179.85,0.1,0,-1.03,-45.85,183.62,183.62,-0.78,-37.81,184.92,184.15,,,,,,,181.87,184.71
2024-12-31 05:00:00,182.95,184.05,181.19,183.41,2115492.0,,,,,2.86,2.13,0.73,2.86,2.48,,181.04,184.94,179.85,0.1,0,0.77,37.6,181.63,181.63,-0.47,-24.99,184.11,183.64,,,,,,,181.87,183.98
2025-01-02 05:00:00,184.09,184.6883,180.57,181.03,3142972.0,,,,,4.12,1.28,2.84,4.12,2.86,,179.85,184.69,184.69,0.05,1,-0.45,-23.99,182.56,182.56,-0.44,-23.56,183.31,182.88,,,,,,,181.03,183.41
2025-01-03 05:00:00,181.25,183.73,180.11,182.56,1817315.0,,,,,3.62,2.7,0.92,3.62,3.16,,180.09,184.69,184.69,0.05,1,-0.42,-23.03,182.76,182.76,0.05,2.81,182.06,182.11,,,,181.62,,,181.03,183.41
2025-01-06 05:00:00,181.57,183.48,179.87,180.26,2262657.0,,,,,3.61,0.92,2.69,3.61,3.32,,179.87,184.69,179.87,0.05,0,-0.38,-21.06,181.67,181.67,-0.42,-22.64,182.67,182.25,,,,180.83,,,180.26,183.41
2025-01-07 05:00:00,180.13,180.96,176.9,177.17,2096053.0,,,,,4.06,0.7,3.36,4.06,3.65,,179.87,184.45,176.9,0.1,0,-2.7,-69.64,182.69,182.69,-1.33,-52.96,183.54,182.21,,,,179.18,,,177.17,182.56
2025-01-08 05:00:00,176.55,179.32,174.78,179.19,2048382.0,,,,,4.54,2.15,2.39,4.54,3.99,,179.87,183.7,174.78,0.15,0,-0.53,-28.15,179.41,179.41,-0.91,-42.21,181.86,180.95,,,,178.82,,,177.17,182.56
2025-01-10 05:00:00,173.56,176.52,172.51,173.46,3539246.0,,,,,4.01,2.67,6.68,6.68,4.5,,179.87,182.36,172.51,0.2,0,-1.86,-61.67,178.46,178.46,-1.93,-62.57,182.38,180.46,,,,175.95,,,173.46,180.26
2025-01-13 05:00:00,174.66,177.2,173.78,176.94,2409816.0,,,,,3.42,3.74,0.32,3.74,4.53,,179.87,180.39,172.51,0.2,0,-1.13,-48.37,177.66,177.66,-1.04,-45.99,179.47,178.44,,,,175.24,,,173.46,179.19
2025-01-14 05:00:00,176.88,180.3,176.26,178.8,2124347.0,,,,,4.04,3.36,0.68,4.04,4.61,,172.51,180.3,180.3,0.05,1,2.67,69.47,173.73,173.73,0.1,5.77,176.91,177.01,,,,176.09,,,173.46,179.19
2025-01-15 05:00:00,184.05,185.295,180.07,180.32,2230902.0,,,,,5.22,6.49,1.27,6.49,5.1,,172.9,180.3,185.3,0.1,1,1.69,59.39,177.0,177.0,0.76,37.23,176.22,176.98,,,,177.36,,,173.46,180.32
2025-01-16 05:00:00,181.0,190.53,180.411,190.07,3544868.0,,,,,10.12,10.21,0.09,10.21,6.23,3.86,174.14,180.3,190.53,0.15,1,5.63,79.94,177.43,177.43,3.66,74.72,172.6,176.26,,,,183.14,,,176.94,190.07
2025-01-17 05:00:00,190.76,191.75,189.43,190.39,2882498.0,,,,,2.32,1.68,0.64,2.32,5.36,4.03,176.6,180.3,191.75,0.2,1,5.03,78.77,181.89,181.89,3.82,75.32,175.67,179.49,,,,187.85,,,178.8,190.39
2025-01-21 05:00:00,191.31,193.77,189.33,189.93,2460864.0,,,,,4.44,3.38,1.06,4.44,5.5,4.25,179.63,180.3,193.77,0.21,1,-0.07,-4.0,190.2,190.2,3.23,72.81,179.44,182.67,,,,190.75,,,180.32,190.39
2025-01-22 05:00:00,188.46,188.97,183.65,185.29,2753713.0,,,,,5.32,0.96,6.28,6.28,5.95,4.52,182.6,180.3,193.77,0.21,1,-2.55,-68.59,191.09,191.09,0.98,44.42,185.24,186.22,,,,191.16,,,185.29,190.39
2025-01-23 05:00:00,185.79,186.62,183.36,186.39,1683990.0,,,,,3.26,1.33,1.93,3.26,5.3,4.71,183.36,193.77,183.36,0.05,0,-1.77,-60.53,188.97,188.97,-1.25,-51.25,190.91,189.66,,,,190.09,,,185.29,190.39
2025-01-24 05:00:00,186.0,186.95,184.89,185.08,1218209.0,,,,,2.06,0.56,1.5,2.06,3.67,4.75,183.36,193.25,183.36,0.05,0,-0.11,-5.99,185.69,185.69,-1.42,-54.77,190.25,188.83,,,,188.26,,,185.08,189.93
2025-01-27 05:00:00,190.0,192.85,187.97,192.04,2862670.0,,,,,4.88,7.77,2.89,7.77,4.76,4.86,183.36,192.85,192.85,0.05,1,2.83,70.51,185.01,185.01,0.4,21.85,186.94,187.35,,,,189.12,,,185.08,192.04
2025-01-28 05:00:00,190.22,191.31,186.17,186.93,1997239.0,,,,,5.14,0.73,5.87,5.87,5.05,4.97,183.83,192.85,192.85,0.05,1,0.93,42.77,187.09,187.09,0.89,41.76,185.36,186.25,,,,187.13,,,185.08,192.04
2025-01-29 05:00:00,186.84,187.79,183.12,183.63,1735117.0,183.34,4.52,192.38,174.3,4.67,0.86,3.81,4.67,4.73,5.02,183.12,192.85,183.12,0.05,0,-4.21,-76.62,191.74,191.74,-0.37,-20.15,187.55,187.18,,,,185.65,,,183.63,192.04
2025-01-30 05:00:00,186.23,187.31,184.05,185.82,1457077.0,183.42,4.55,192.52,174.32,3.26,3.68,0.42,3.68,4.81,5.05,183.12,192.36,183.12,0.05,0,-0.56,-29.03,186.02,186.02,-0.69,-34.72,188.09,187.39,,,,185.7,,,183.63,192.04
2025-01-31 05:00:00,185.28,187.63,184.34,184.95,1570262.0,183.45,4.55,192.55,174.35,3.29,1.81,1.48,3.29,5.06,5.09,183.12,191.9,183.12,0.05,0,0.66,33.42,184.14,184.14,-1.53,-56.81,189.73,188.2,,,,185.65,,,183.63,186.93
2025-02-03 05:00:00,184.82,186.5,182.15,185.37,1832160.0,183.47,4.56,192.59,174.35,4.35,1.55,2.8,4.35,4.37,5.07,183.12,191.46,182.15,0.1,0,-0.23,-12.68,185.6,185.6,-0.18,-10.2,185.7,185.52,,,,185.04,,,183.63,185.82
2025-02-04 05:00:00,183.77,184.83,182.1421,184.13,1450167.0,183.48,4.56,192.6,174.36,2.69,0.54,3.23,3.23,3.84,4.97,183.12,190.53,182.14,0.15,0,-0.41,-22.29,185.23,185.23,0.05,3.15,184.67,184.73,,,,184.17,,,184.13,185.82
2025-02-05 05:00:00,186.81,188.22,184.818,187.46,1869739.0,183.7,4.62,192.94,174.46,3.4,4.09,0.69,4.09,3.73,4.78,183.12,189.27,182.14,0.15,0,1.04,46.26,184.61,184.61,0.25,13.82,185.05,185.3,,,,184.55,,,184.13,187.46
2025-02-06 05:00:00,188.305,189.87,186.72,189.75,1407034.0,184.01,4.75,193.51,174.51,3.15,2.41,0.74,3.15,3.62,4.65,182.14,189.87,189.87,0.05,1,2.81,70.41,184.3,184.3,1.17,49.46,183.99,185.16,,,,187.43,,,184.13,189.75
2025-02-07 05:00:00,189.78,189.78,186.685,188.84,1588160.0,184.23,4.85,193.93,174.53,3.09,0.03,3.06,3.09,3.58,4.5,182.53,189.87,189.87,0.05,1,0.69,34.61,187.99,187.99,1.26,51.47,184.6,185.85,,,,188.84,,,184.13,189.75
2025-02-10 05:00:00,189.57,190.09,187.23,189.88,1957946.0,184.59,4.93,194.45,174.73,2.86,1.25,1.61,2.86,3.28,4.29,182.9,189.87,190.09,0.1,1,0.07,3.72,189.42,189.42,1.29,52.17,185.44,186.72,,,,189.71,,,187.46,189.88
2025-02-11 05:00:00,189.18,193.5,189.0,193.42,1825675.0,185.02,5.21,195.44,174.6,4.5,3.62,0.88,4.5,3.54,4.16,183.62,189.87,193.5,0.15,1,2.29,66.41,188.42,188.42,1.2,50.31,187.46,188.66,,,,192.07,,,188.84,193.42
2025-02-12 05:00:00,189.4,190.505,187.0708,189.52,1766431.0,185.39,5.19,195.77,175.01,3.43,2.91,6.35,6.35,3.99,4.18,185.1,189.87,193.5,0.15,1,-0.18,-10.2,191.12,191.12,0.41,22.39,189.46,189.87,5.64,,,191.96,,,188.84,193.42
2025-02-13 05:00:00,189.91,190.75,189.138,189.99,1855006.0,185.9,4.97,195.84,175.96,1.61,1.23,0.38,1.61,3.68,4.1,186.36,189.87,193.5,0.15,1,-1.71,-59.75,192.69,192.69,0.19,10.98,189.94,190.14,5.5,,,191.76,,,189.52,193.42
2025-02-14 05:00:00,190.65,193.55,189.11,189.38,1776115.0,186.31,4.81,195.93,176.69,4.44,3.56,0.88,4.44,3.95,4.01,187.43,189.87,193.55,0.2,1,-0.07,-4.0,189.7,189.7,-0.44,-23.89,191.32,190.88,5.47,,,190.62,,,189.38,193.42
2025-02-18 05:00:00,188.56,190.65,188.18,189.55,2301184.0,186.95,4.04,195.03,178.87,2.47,1.27,1.2,2.47,3.87,3.95,188.18,193.55,188.18,0.05,0,-0.22,-12.41,189.86,189.86,-0.79,-38.24,191.95,191.16,5.27,-0.37,,189.95,,,189.38,189.99
2025-02-19 05:00:00,189.4,190.84,188.35,188.56,2470179.0,187.42,3.46,194.34,180.5,2.49,1.29,1.2,2.49,3.47,3.84,188.18,193.28,188.18,0.05,0,-0.41,-22.29,189.57,189.57,-0.24,-13.28,189.87,189.64,4.16,-1.34,,189.26,,,188.56,189.99
2025-02-20 05:00:00,188.52,192.97,187.02,192.38,2848927.0,187.96,3.1,194.16,181.76,5.95,4.41,1.54,5.95,3.39,3.72,188.18,193.02,187.02,0.1,0,1.41,54.75,188.75,188.75,0.4,21.6,189.18,189.58,4.43,-1.04,,190.03,,,188.56,192.38
2025-02-21 05:00:00,192.31,193.0,190.53,191.55,3304319.0,188.41,2.74,193.89,182.93,2.47,0.62,1.85,2.47,3.56,3.65,187.02,193.0,193.0,0.05,1,1.49,56.22,189.33,189.33,0.72,35.64,188.85,189.57,4.47,-0.8,,190.42,,,188.56,192.38
2025-02-24 05:00:00,190.7,193.63,189.45,192.0,2393268.0,188.49,2.81,194.11,182.87,4.18,2.08,2.1,4.18,3.51,3.63,187.32,193.0,193.63,0.1,1,-0.19,-10.76,192.17,192.17,0.79,38.27,189.23,190.02,4.75,0.59,,191.75,,,188.56,192.38
2025-02-25 05:00:00,197.51,206.27,195.02,203.75,5179858.0,189.02,4.14,197.3,180.74,11.25,14.27,3.02,14.27,5.87,3.79,187.95,193.0,206.27,0.15,1,6.1,80.69,189.67,189.67,3.0,71.57,187.65,190.65,6.94,2.51,,197.11,,,191.55,203.75
2025-02-26 05:00:00,204.59,205.4,199.59,200.73,2512124.0,189.46,4.76,198.98,179.94,5.81,1.65,4.16,5.81,6.54,4.02,190.7,193.0,206.27,0.15,1,4.36,77.1,194.46,194.46,2.89,70.91,190.3,193.19,8.86,4.39,,200.15,,,191.55,203.75
2025-02-27 05:00:00,200.05,204.17,199.325,203.97,2553227.0,190.2,5.49,201.18,179.22,4.84,3.44,1.41,4.84,6.31,4.23,193.04,193.0,206.27,0.15,1,0.11,6.28,202.71,202.71,3.36,73.41,191.69,195.04,10.5,5.75,,203.49,,,192.0,203.97
2025-02-28 05:00:00,205.0,206.34,202.605,205.62,3466958.0,190.97,6.23,203.43,178.51,3.74,2.37,1.37,3.74,6.57,4.48,195.02,193.0,206.34,0.2,1,2.44,67.76,200.99,200.99,2.75,69.99,195.72,198.47,12.5,5.56,6.11,206.35,,,200.73,205.62
2025-03-03 05:00:00,205.0,210.29,204.985,209.61,2229861.0,191.95,7.13,206.21,177.69,5.3,4.67,0.63,5.3,6.79,4.73,197.28,193.0,210.29,0.21,1,2.82,70.47,203.58,203.58,1.66,58.95,201.41,203.08,15.15,6.29,7.09,209.28,,,200.73,209.61
