Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,219.84,226.21,218.73,224.92,88279184.0,,,,,7.48,,,7.48,,,218.73,226.21,226.21,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,225.01,226.88,223.9,225.06,28030007.0,,,,,2.98,1.96,1.02,2.98,,,219.1,226.21,226.88,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,226.94,229.14,226.13,229.05,15001097.0,,,,,3.01,4.08,1.07,4.08,,,219.88,226.21,229.14,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,228.5,228.5,226.6706,227.05,16174500.0,,,,,1.83,0.55,2.38,2.38,,,221.27,226.21,229.14,0.15,1,1.0,44.86,226.06,226.06,,,,,,,,,,,224.92,229.05
2024-12-27 05:00:00,225.6,226.03,220.9,223.75,27367147.0,,,,,5.13,1.02,6.15,6.15,4.61,,220.9,229.14,220.9,0.05,0,-2.65,-69.33,229.27,229.27,,,,,,,,,,,223.75,229.05
2024-12-30 05:00:00,220.06,222.9972,218.43,221.3,28299510.0,,,,,4.57,0.75,5.32,5.32,4.18,,220.9,228.73,218.43,0.1,0,-2.88,-70.82,226.91,226.91,-1.28,-52.04,227.81,226.52,,,,,,,221.3,229.05
2024-12-31 05:00:00,222.965,223.2299,218.94,219.39,24788655.0,,,,,4.29,1.93,2.36,4.29,4.44,,220.9,227.7,218.43,0.1,0,-2.18,-65.36,223.66,223.66,-2.51,-68.25,229.12,226.62,,,,,,,219.39,227.05
2025-01-02 05:00:00,222.03,225.15,218.19,220.22,33956579.0,,,,,6.96,5.76,1.2,6.96,5.02,,220.9,226.77,218.19,0.15,0,-0.54,-28.37,220.84,220.84,-1.8,-60.97,225.95,224.14,,,,,,,219.39,223.75
2025-01-03 05:00:00,222.505,225.36,221.62,224.19,27503606.0,,,,,3.74,5.14,1.4,5.14,5.57,,220.9,225.48,218.19,0.15,0,2.4,67.38,218.87,218.87,-0.02,-1.15,221.81,221.79,,,,220.6,,,219.39,224.19
2025-01-06 05:00:00,226.78,228.835,224.84,227.61,31849831.0,,,,,4.0,4.65,0.65,4.65,5.27,,218.19,228.84,228.84,0.05,1,3.7,74.86,220.31,220.31,1.74,60.14,219.06,220.8,,,,222.53,,,219.39,227.61
2025-01-07 05:00:00,227.9,228.381,221.46,222.11,28084164.0,,,,,6.92,0.77,6.15,6.92,5.59,,218.72,228.84,228.84,0.05,1,-1.04,-46.12,225.68,225.68,1.28,52.07,220.14,221.42,,,,222.96,,,220.22,227.61
2025-01-08 05:00:00,223.185,223.52,220.2,222.13,25033292.0,,,,,3.32,1.41,1.91,3.32,5.4,,219.23,228.84,228.84,0.05,1,-2.74,-69.95,226.69,226.69,0.17,9.87,222.9,223.08,,,,223.48,,,222.11,227.61
2025-01-10 05:00:00,221.46,221.71,216.5,218.94,36811525.0,,,,,5.21,0.42,5.63,5.63,5.13,,216.5,228.84,216.5,0.05,0,-1.59,-57.75,222.64,222.64,-1.6,-57.96,226.19,224.59,,,,222.25,,,218.94,227.61
2025-01-13 05:00:00,218.06,219.4,216.47,218.46,27262655.0,,,,,2.93,0.46,2.47,2.93,4.69,,216.5,228.22,216.47,0.1,0,-1.84,-61.41,221.68,221.68,-2.15,-65.03,226.14,224.0,,,,220.61,,,218.46,222.13
2025-01-14 05:00:00,220.44,221.82,216.2,217.76,24711650.0,,,,,5.62,3.36,2.26,5.62,4.88,,216.5,227.04,216.2,0.15,0,-0.59,-30.54,218.98,218.98,-1.24,-51.05,222.35,221.12,,,,218.43,,,217.76,222.13
2025-01-15 05:00:00,222.83,223.57,220.75,223.35,31291257.0,,,,,2.82,5.81,2.99,5.81,4.66,,216.5,225.41,216.2,0.15,0,2.44,67.76,217.41,217.41,0.13,7.18,219.88,220.0,,,,218.93,,,217.76,223.35
2025-01-16 05:00:00,224.42,224.65,220.31,220.66,24457276.0,,,,,4.34,1.3,3.04,4.34,4.87,4.95,216.2,224.65,224.65,0.05,1,1.45,55.41,219.14,219.14,0.83,39.79,218.17,219.0,,,,219.04,,,217.76,223.35
2025-01-17 05:00:00,225.84,226.51,223.08,225.94,42355173.0,,,,,3.43,5.85,2.42,5.85,4.91,4.97,216.62,224.65,226.51,0.1,1,1.29,52.32,222.02,222.02,1.79,60.76,217.66,219.45,,,,222.5,,,217.76,225.94
2025-01-21 05:00:00,228.9,231.78,226.94,230.71,39951456.0,,,,,4.84,5.84,1.0,5.84,5.49,5.07,217.61,224.65,231.78,0.15,1,5.03,78.74,220.74,220.74,2.85,70.66,217.99,220.83,,,,226.71,,,220.66,230.71
2025-01-22 05:00:00,232.02,235.44,231.19,235.01,41448217.0,,,,,4.25,4.73,0.48,4.73,5.31,5.14,219.74,224.65,235.44,0.2,1,4.53,77.56,226.02,226.02,3.34,73.32,220.46,223.8,,,,232.0,,,220.66,235.01
2025-01-23 05:00:00,234.1,235.52,231.51,235.42,26404364.0,,,,,4.01,0.51,3.5,4.01,4.95,5.13,222.88,224.65,235.52,0.21,1,2.35,66.99,231.36,231.36,3.86,75.47,221.83,225.69,,,,235.59,,,225.94,235.42
2025-01-24 05:00:00,234.5,236.4,232.93,234.85,25840738.0,,,,,3.47,0.98,2.49,3.47,4.78,5.07,225.53,224.65,236.4,0.21,1,-0.08,-4.57,235.17,235.17,2.25,66.07,227.88,230.13,,,,237.45,,,230.71,235.42
2025-01-27 05:00:00,226.21,235.61,225.86,235.42,49428332.0,,,,,9.75,0.76,8.99,9.75,5.56,5.09,225.86,236.4,225.86,0.05,0,-0.0,-0.0,235.23,235.23,0.93,42.8,232.43,233.36,,,,238.01,,,234.85,235.42
2025-01-28 05:00:00,234.29,241.77,233.98,238.15,41587188.0,,,,,7.79,6.35,1.44,7.79,5.95,5.12,225.86,241.77,241.77,0.05,1,1.65,58.78,234.49,234.49,0.63,32.13,234.51,235.14,,,,239.63,,,234.85,238.15
2025-01-29 05:00:00,239.015,240.39,236.15,237.07,26088785.0,226.34,6.42,239.18,213.5,4.24,2.24,2.0,4.24,5.85,5.16,226.66,241.77,241.77,0.05,1,0.83,39.52,236.05,236.05,0.66,33.42,234.86,235.52,,,,238.89,,,234.85,238.15
2025-01-30 05:00:00,237.14,237.95,232.22,234.64,32020728.0,226.73,6.62,239.97,213.49,5.73,0.88,4.85,5.73,6.2,5.24,227.42,241.77,241.77,0.05,1,-1.76,-60.33,238.38,238.38,0.12,7.01,235.78,235.9,,,,237.1,,,234.64,238.15
