Date,Open,High,Low,Close,Volume
2024-12-20 05:00:00,331.47,340.49,331.47,338.38,1360018.0
2024-12-23 05:00:00,337.26,341.67,335.0,339.5,490284.0
2024-12-24 05:00:00,340.25,342.84,337.74,342.84,172083.0
2024-12-26 05:00:00,339.65,341.65,339.0,340.16,187728.0
2024-12-27 05:00:00,336.5,339.85,335.65,339.705,283439.0
2024-12-30 05:00:00,337.1,339.72,334.025,337.92,219450.0
2024-12-31 05:00:00,338.23,340.54,336.94,337.33,256611.0
2025-01-02 05:00:00,339.37,339.945,332.42,336.06,486474.0
2025-01-03 05:00:00,338.75,339.39,335.52,338.38,195940.0
2025-01-06 05:00:00,339.0,343.53,337.24,338.65,537780.0
2025-01-07 05:00:00,338.59,339.7,334.89,335.86,434939.0
2025-01-08 05:00:00,336.01,343.8,336.01,343.47,967333.0
2025-01-10 05:00:00,340.03,342.1,336.28,337.81,472464.0
2025-01-13 05:00:00,336.62,338.0,335.0,337.19,548820.0
2025-01-14 05:00:00,338.99,340.06,336.14,339.58,252101.0
2025-01-15 05:00:00,344.86,346.75,341.44,343.07,504348.0
2025-01-16 05:00:00,345.73,347.97,343.77,344.42,398748.0
2025-01-17 05:00:00,350.11,352.35,347.67,349.93,608368.0
2025-01-21 05:00:00,350.61,354.22,349.51,352.07,459947.0
2025-01-22 05:00:00,352.67,357.17,352.65,356.63,377235.0
2025-01-23 05:00:00,354.68,360.67,354.05,360.36,530024.0
2025-01-24 05:00:00,359.57,360.065,355.64,357.37,371259.0
2025-01-27 05:00:00,349.13,352.64,343.65,344.89,664579.0
2025-01-28 05:00:00,344.54,351.32,343.4395,350.23,418504.0
2025-01-29 05:00:00,350.23,350.68,345.98,346.29,244627.0
2025-01-30 05:00:00,348.0,352.07,346.93,351.57,368228.0
2025-01-31 05:00:00,351.65,355.23,350.0,350.5,383567.0
2025-02-03 05:00:00,350.49,350.49,342.84,346.78,479838.0
2025-02-04 05:00:00,344.37,347.83,344.37,346.96,566357.0
2025-02-05 05:00:00,346.72,349.36,344.35,347.01,520326.0
2025-02-06 05:00:00,347.65,349.62,345.04,346.62,510269.0
2025-02-07 05:00:00,346.81,349.41,342.19,344.86,556338.0
2025-02-10 05:00:00,346.0,346.0,341.21,342.0,521966.0
2025-02-11 05:00:00,338.88,342.73,338.88,341.43,241710.0
2025-02-12 05:00:00,336.69,337.9,333.05,334.12,461232.0
2025-02-13 05:00:00,336.24,339.43,333.46,339.165,550836.0
2025-02-14 05:00:00,340.01,340.8,337.03,338.93,307401.0
2025-02-18 05:00:00,341.09,341.09,336.34,338.58,403365.0
2025-02-19 05:00:00,338.8,338.8,329.0,336.74,871445.0
2025-02-20 05:00:00,338.36,344.995,337.805,340.46,714760.0
2025-02-21 05:00:00,340.31,340.31,333.89,334.21,839052.0
2025-02-24 05:00:00,337.28,338.555,332.06,333.63,534136.0
2025-02-25 05:00:00,332.92,333.98,330.12,330.4,460447.0
2025-02-26 05:00:00,328.94,335.41,328.34,332.32,404780.0
2025-02-27 05:00:00,333.88,336.44,329.37,330.37,680599.0
2025-02-28 05:00:00,331.86,333.93,328.44,333.25,840315.0
2025-03-03 05:00:00,334.05,335.23,325.15,325.44,965060.0
2025-03-04 05:00:00,326.25,328.97,320.665,323.22,694641.0
2025-03-05 05:00:00,321.28,328.8959,321.28,327.78,444567.0
2025-03-06 05:00:00,323.42,327.52,321.74,325.14,432876.0
2025-03-07 05:00:00,322.61,326.46,319.508,325.61,389644.0
2025-03-10 04:00:00,322.81,322.81,318.18,318.71,632952.0
2025-03-11 04:00:00,321.06,323.9725,317.6631,320.36,471029.0
2025-03-12 04:00:00,319.88,324.29,316.955,317.49,690143.0
2025-03-13 04:00:00,317.16,318.695,314.11,317.56,511577.0
2025-03-14 04:00:00,319.48,323.41,317.98,322.68,570399.0
2025-03-17 04:00:00,322.67,327.245,321.25,324.95,718668.0
2025-03-18 04:00:00,322.42,323.98,320.635,323.82,473705.0
2025-03-19 04:00:00,324.46,325.29,320.77,323.04,481361.0
2025-03-20 04:00:00,322.7,325.31,319.84,324.63,440835.0
2025-03-21 04:00:00,320.11,326.27,318.83,324.2,552566.0
2025-03-24 04:00:00,327.02,328.235,325.09,325.73,406037.0
2025-03-25 04:00:00,325.48,326.68,324.085,326.67,309647.0
2025-03-26 04:00:00,326.98,328.65,322.27,323.34,403741.0
2025-03-27 04:00:00,322.24,328.88,320.65,322.09,307869.0
2025-03-28 04:00:00,321.39,322.57,316.21,316.89,518831.0
2025-03-31 04:00:00,315.56,317.45,310.78,316.56,583353.0
2025-04-01 04:00:00,312.83,321.72,312.77,320.79,588414.0
2025-04-02 04:00:00,316.25,322.36,316.07,320.91,401757.0
2025-04-03 04:00:00,313.22,314.085,307.83,310.45,932082.0
2025-04-04 04:00:00,302.99,305.89,285.93,286.85,1315603.0
2025-04-07 04:00:00,283.01,294.45,275.06,284.19,1216816.0
2025-04-08 04:00:00,289.8,294.7399,281.925,284.83,1015931.0
2025-04-09 04:00:00,283.11,310.87,282.295,309.72,944003.0
2025-04-10 04:00:00,303.44,304.595,291.625,296.5,649502.0
2025-04-11 04:00:00,295.53,299.8972,292.7645,296.31,745366.0
2025-04-14 04:00:00,300.01,305.65,299.54,302.1,561309.0
2025-04-15 04:00:00,304.09,305.97,300.61,304.08,569129.0
2025-04-16 04:00:00,299.71,305.43,299.0,301.59,766331.0
2025-04-17 04:00:00,303.14,307.05,301.545,302.74,817786.0
2025-04-21 04:00:00,300.88,300.88,293.4601,297.94,453388.0
2025-04-22 04:00:00,299.66,304.45,299.64,303.26,338264.0
2025-04-23 04:00:00,307.03,315.94,306.92,308.6,436151.0
2025-04-24 04:00:00,310.39,318.38,310.39,316.36,578504.0
2025-04-25 04:00:00,313.47,321.2,313.365,320.68,575492.0
2025-04-28 04:00:00,319.22,320.6,314.77,318.0,390456.0
2025-04-29 04:00:00,317.59,321.205,317.125,319.82,577001.0
2025-04-30 04:00:00,315.82,321.89,315.17,321.88,698904.0
2025-05-01 04:00:00,307.72,322.755,307.72,319.73,875016.0
2025-05-02 04:00:00,322.87,328.96,322.39,328.76,532957.0
2025-05-05 04:00:00,326.72,330.615,323.645,324.89,751602.0
2025-05-06 04:00:00,321.03,324.19,320.01,322.59,276843.0
2025-05-07 04:00:00,323.59,327.03,322.54,326.0,270013.0
2025-05-08 04:00:00,334.0,335.795,330.55,334.45,758173.0
2025-05-09 04:00:00,333.94,334.45,329.7384,333.74,368214.0
2025-05-12 04:00:00,341.7,345.44,341.01,345.43,730463.0
2025-05-13 04:00:00,344.62,348.905,344.62,347.08,534101.0
2025-05-14 04:00:00,345.15,350.7,345.15,347.87,628155.0
2025-05-15 04:00:00,347.43,349.1,342.45,343.52,947440.0
2025-05-16 04:00:00,344.23,346.9,341.135,346.63,698890.0
2025-05-19 04:00:00,341.53,347.28,339.73,343.98,771105.0
2025-05-20 04:00:00,342.28,346.0,341.37,346.0,396267.0
2025-05-21 04:00:00,345.48,346.29,341.7,343.0,691052.0
2025-05-22 04:00:00,343.21,345.49,340.91,343.65,539223.0
2025-05-23 04:00:00,339.93,343.525,339.41,342.17,429419.0
2025-05-27 04:00:00,345.81,348.87,343.89,348.23,566420.0
2025-05-28 04:00:00,348.92,349.07,323.8,329.93,2276516.0
2025-05-29 04:00:00,333.28,334.965,321.6,328.74,1455541.0
2025-05-30 04:00:00,328.74,333.66,326.99,330.82,2766272.0
2025-06-02 04:00:00,328.85,333.06,325.51,332.61,939527.0
2025-06-03 04:00:00,332.0,336.0,330.865,334.89,991707.0
2025-06-04 04:00:00,334.32,337.36,333.481,336.61,596628.0
2025-06-05 04:00:00,338.1,342.75,337.185,338.35,939110.0
2025-06-06 04:00:00,341.16,342.13,338.7,339.27,518628.0
2025-06-09 04:00:00,342.46,346.79,341.0,342.14,710472.0
2025-06-10 04:00:00,341.63,346.21,341.51,346.02,446150.0
2025-06-11 04:00:00,345.9,349.0,344.48,346.53,677608.0
2025-06-12 04:00:00,345.38,346.78,343.5,343.5,404568.0
