Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,20.46,21.37,20.44,21.04,14247634.0,,,,,0.93,,,0.93,,,20.44,21.37,21.37,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,20.85,21.71,20.83,21.6,12387947.0,,,,,0.88,0.67,0.21,0.88,,,20.49,21.37,21.71,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,21.76,21.94,21.3,21.87,2081856.0,,,,,0.64,0.34,0.3,0.64,,,20.61,21.37,21.94,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,21.84,21.97,21.57,21.84,2910478.0,,,,,0.4,0.1,0.3,0.4,,,20.81,21.37,21.97,0.2,1,0.12,6.84,21.65,21.65,,,,,,,,,,,21.04,21.87
2024-12-27 05:00:00,21.94,22.215,21.795,22.09,3861272.0,,,,,0.42,0.38,0.04,0.42,0.65,,21.04,21.37,22.22,0.21,1,0.11,6.28,21.82,21.82,,,,,,,,,,,21.6,22.09
2024-12-30 05:00:00,22.22,22.77,21.94,22.42,4485696.0,,,,,0.83,0.68,0.15,0.83,0.63,,21.29,21.37,22.77,0.21,1,0.29,16.17,21.83,21.83,0.19,10.54,21.59,21.78,,,,,,,21.84,22.42
2024-12-31 05:00:00,22.5,23.315,22.42,23.09,5921192.0,,,,,0.89,0.89,0.0,0.89,0.64,,21.6,21.37,23.32,0.21,1,0.5,26.57,22.03,22.03,0.3,16.8,21.66,21.96,,,,,,,21.84,23.09
2025-01-02 05:00:00,23.55,23.805,23.14,23.38,4665099.0,,,,,0.66,0.71,0.05,0.71,0.65,,21.96,21.37,23.8,0.21,1,0.48,25.64,22.48,22.48,0.41,22.2,21.75,22.16,,,,,,,22.09,23.38
2025-01-03 05:00:00,23.35,23.49,23.0601,23.42,3984507.0,,,,,0.43,0.11,0.32,0.43,0.66,,22.35,21.37,23.8,0.21,1,0.17,9.37,23.13,23.13,0.36,19.9,22.16,22.52,,,,23.48,,,22.42,23.42
2025-01-06 05:00:00,23.81,24.415,23.505,23.66,7644697.0,,,,,0.91,0.99,0.08,0.99,0.77,,22.65,21.37,24.42,0.21,1,0.14,7.97,23.35,23.35,0.28,15.7,22.63,22.91,,,,23.76,,,23.09,23.66
2025-01-07 05:00:00,23.81,24.22,23.545,23.66,5483309.0,,,,,0.67,0.56,0.11,0.67,0.74,,23.02,21.37,24.42,0.21,1,0.12,6.84,23.46,23.46,0.14,8.08,23.16,23.3,,,,23.94,,,23.38,23.66
2025-01-08 05:00:00,23.5,23.73,23.395,23.68,4305972.0,,,,,0.34,0.07,0.27,0.34,0.63,,23.31,21.37,24.42,0.21,1,0.01,0.57,23.66,23.66,0.08,4.8,23.39,23.48,,,,23.97,,,23.42,23.68
2025-01-10 05:00:00,24.25,24.47,23.63,23.68,5845578.0,,,,,0.84,0.79,0.05,0.84,0.65,,23.4,21.37,24.47,0.21,1,0.01,0.57,23.66,23.66,0.05,3.09,23.51,23.57,,,,23.91,,,23.66,23.68
2025-01-13 05:00:00,24.03,24.8575,23.8809,24.38,7030713.0,,,,,0.98,1.18,0.2,1.18,0.8,,23.62,21.37,24.86,0.21,1,0.35,19.29,23.56,23.56,0.15,8.31,23.52,23.67,,,,24.09,,,23.66,24.38
2025-01-14 05:00:00,24.22,25.04,24.14,24.85,6654640.0,,,,,0.9,0.66,0.24,0.9,0.79,,23.88,21.37,25.04,0.21,1,0.58,30.33,23.72,23.72,0.31,17.12,23.43,23.74,,,,24.47,,,23.68,24.85
2025-01-15 05:00:00,25.07,25.71,24.93,25.45,8306837.0,,,,,0.78,0.86,0.08,0.86,0.82,,24.12,21.37,25.71,0.21,1,0.53,28.15,24.36,24.36,0.47,25.22,23.47,23.94,,,,25.03,,,23.68,25.45
2025-01-16 05:00:00,25.27,25.825,24.98,25.15,6157850.0,,,,,0.84,0.38,0.47,0.84,0.92,0.72,24.45,21.37,25.82,0.21,1,0.15,8.53,25.0,25.0,0.4,21.85,23.9,24.3,,,,25.3,,,24.38,25.45
2025-01-17 05:00:00,25.27,25.27,24.19,24.4,9424739.0,,,,,1.08,0.12,0.96,1.08,0.97,0.74,24.19,25.82,24.19,0.05,0,-0.52,-27.7,25.52,25.52,0.03,1.95,24.78,24.81,,,,25.17,,,24.4,25.45
2025-01-21 05:00:00,23.99,24.1993,23.62,23.7,7740033.0,,,,,0.58,0.2,0.78,0.78,0.89,0.76,24.19,25.74,23.62,0.1,0,-0.72,-35.94,25.14,25.14,-0.34,-18.52,25.38,25.04,,,,24.69,,,23.7,25.45
2025-01-22 05:00:00,23.17,23.845,23.12,23.36,5795009.0,,,,,0.72,0.14,0.58,0.72,0.86,0.78,24.19,25.53,23.12,0.15,0,-0.52,-27.47,24.34,24.34,-0.56,-29.38,25.54,24.98,,,,24.07,,,23.36,25.15
2025-01-23 05:00:00,23.63,24.33,23.32,23.51,8147922.0,,,,,1.01,0.97,0.04,1.01,0.89,0.8,24.19,25.17,23.12,0.15,0,-0.09,-5.43,23.62,23.62,-0.43,-23.36,24.89,24.46,,,,23.54,,,23.36,24.4
2025-01-24 05:00:00,23.58,23.88,23.23,23.32,5964370.0,,,,,0.65,0.37,0.28,0.65,0.85,0.81,24.19,24.86,23.12,0.15,0,-0.02,-1.15,23.42,23.42,-0.24,-13.22,24.13,23.89,,,,23.11,,,23.32,23.7
2025-01-27 05:00:00,23.46,24.14,23.2,23.38,6908110.0,,,,,0.94,0.82,0.12,0.94,0.82,0.82,24.19,24.6,23.12,0.15,0,-0.07,-3.72,23.47,23.47,-0.07,-3.89,23.59,23.52,,,,22.92,,,23.32,23.51
2025-01-28 05:00:00,23.5,23.69,22.9,23.34,5280247.0,,,,,0.79,0.31,0.48,0.79,0.82,0.82,24.19,24.38,22.9,0.2,0,0.01,0.57,23.34,23.34,-0.02,-0.97,23.42,23.4,,,,22.99,,,23.32,23.51
