Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,137.61,140.45,137.61,139.69,2109658.0,,,,,2.84,,,2.84,,,137.61,140.45,140.45,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,139.0,139.68,137.67,139.2,870146.0,,,,,2.01,0.01,2.02,2.02,,,137.67,140.45,137.67,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,139.28,140.12,138.94,140.06,215674.0,,,,,1.18,0.92,0.26,1.18,,,137.67,140.31,137.67,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,139.84,140.28,138.91,140.0,336821.0,,,,,1.37,0.22,1.15,1.37,,,137.67,140.28,140.28,0.05,1,0.4,21.8,139.35,139.35,,,,,,,,,,,139.2,140.06
2024-12-27 05:00:00,139.03,140.54,138.7,139.36,387172.0,,,,,1.84,0.54,1.3,1.84,1.85,,137.8,140.28,140.54,0.1,1,-0.35,-19.29,140.16,140.16,,,,,,,,,,,139.2,140.06
2024-12-30 05:00:00,138.67,139.48,137.66,138.93,567652.0,,,,,1.82,0.12,1.7,1.82,1.65,,137.66,140.54,137.66,0.05,0,-0.53,-28.15,139.96,139.96,-0.12,-7.07,139.76,139.63,,,,,,,138.93,140.06
2024-12-31 05:00:00,139.46,139.89,138.52,139.27,474174.0,,,,,1.37,0.96,0.41,1.37,1.52,,137.66,140.4,137.66,0.05,0,-0.05,-2.58,139.23,139.23,-0.27,-14.84,140.05,139.79,,,,,,,138.93,140.0
2025-01-02 05:00:00,140.48,140.48,137.36,138.29,567238.0,,,,,3.12,1.21,1.91,3.12,1.9,,137.66,140.48,140.48,0.05,1,-0.32,-17.74,139.15,139.15,-0.35,-19.34,139.87,139.52,,,,,,,138.29,139.36
2025-01-03 05:00:00,138.27,139.3599,137.7801,138.79,791326.0,,,,,1.58,1.07,0.51,1.58,1.95,,137.36,140.48,140.48,0.05,1,-0.24,-13.5,139.02,139.02,-0.18,-10.09,139.28,139.11,,,,138.64,,,138.29,139.27
2025-01-06 05:00:00,138.41,138.8499,136.16,136.51,946520.0,,,,,2.69,0.06,2.63,2.69,2.12,,136.16,140.48,136.16,0.05,0,-0.89,-41.67,138.75,138.75,-0.53,-28.01,139.42,138.89,,,,137.49,,,136.51,139.27
2025-01-07 05:00:00,136.51,137.99,136.38,136.63,611946.0,,,,,1.61,1.48,0.13,1.61,2.07,,136.16,140.26,136.16,0.05,0,-1.08,-47.2,138.39,138.39,-0.71,-35.22,139.31,138.6,,,,136.84,,,136.51,138.79
2025-01-08 05:00:00,136.57,139.71,136.57,139.52,954913.0,,,,,3.14,3.08,0.06,3.14,2.43,,136.16,140.05,136.16,0.05,0,1.51,56.4,136.05,136.05,0.03,1.72,137.89,137.92,,,,137.66,,,136.51,139.52
2025-01-10 05:00:00,138.32,138.94,136.77,137.04,779826.0,,,,,2.17,0.58,2.75,2.75,2.35,,136.16,139.86,136.16,0.05,0,0.2,11.59,137.52,137.52,-0.05,-2.81,137.8,137.75,,,,137.32,,,136.51,139.52
2025-01-13 05:00:00,137.35,138.52,136.64,138.26,785227.0,,,,,1.88,1.48,0.4,1.88,2.41,,136.16,139.68,136.16,0.05,0,-0.63,-32.21,138.9,138.9,0.39,21.36,136.81,137.2,,,,137.58,,,136.63,139.52
2025-01-14 05:00:00,138.67,141.25,138.6241,140.72,1050005.0,,,,,2.63,2.99,0.36,2.99,2.47,,136.16,141.25,141.25,0.05,1,1.84,61.48,136.83,136.83,0.69,34.68,137.05,137.74,,,,139.0,,,137.04,140.72
2025-01-15 05:00:00,142.34,142.72,140.4193,141.08,1223851.0,,,,,2.3,2.0,0.3,2.3,2.61,,136.41,141.25,142.72,0.1,1,1.41,54.65,138.61,138.61,0.68,34.22,137.96,138.64,,,,140.21,,,137.04,141.08
2025-01-16 05:00:00,140.98,144.99,140.98,144.94,673871.0,,,,,4.01,3.91,0.1,4.01,2.79,2.16,137.04,141.25,144.99,0.15,1,2.11,64.64,140.14,140.14,1.86,61.76,136.68,138.55,,,,142.92,,,138.26,144.94
2025-01-17 05:00:00,144.69,145.98,144.49,145.37,1045950.0,,,,,1.49,1.04,0.45,1.49,2.53,2.22,138.23,141.25,145.98,0.2,1,2.15,65.01,141.65,141.65,1.84,61.53,138.39,140.23,,,,144.73,,,140.72,145.37
2025-01-21 05:00:00,146.31,147.7,145.35,145.46,1251912.0,,,,,2.35,2.33,0.02,2.35,2.63,2.29,139.78,141.25,147.7,0.21,1,0.26,14.57,145.0,145.0,1.38,54.01,140.76,142.14,,,,145.87,,,141.08,145.46
2025-01-22 05:00:00,144.64,145.51,141.5071,141.69,818196.0,,,,,4.0,0.05,3.95,4.0,2.83,2.39,141.44,141.25,147.7,0.21,1,-1.84,-61.48,146.01,146.01,0.17,9.87,143.36,143.53,,,,145.42,,,141.69,145.46
2025-01-23 05:00:00,142.44,142.99,139.03,139.56,1247338.0,,,,,3.96,1.3,2.66,3.96,3.16,2.49,139.03,147.7,139.03,0.05,0,-2.95,-71.27,145.19,145.19,-1.44,-55.3,146.29,144.85,,,,143.28,,,139.56,145.46
2025-01-24 05:00:00,138.84,140.07,138.77,139.51,898319.0,,,,,1.3,0.51,0.79,1.3,2.62,2.54,139.03,147.27,138.77,0.1,0,-1.09,-47.47,141.34,141.34,-1.76,-60.42,145.84,144.08,,,,141.22,,,139.51,145.46
2025-01-27 05:00:00,140.69,142.91,138.9,142.84,1116252.0,,,,,4.01,3.4,0.61,4.01,3.12,2.62,139.03,146.42,138.77,0.1,0,1.64,58.63,139.0,139.0,-0.74,-36.58,143.3,142.55,,,,141.05,,,139.51,142.84
2025-01-28 05:00:00,142.51,142.6199,140.56,141.46,683108.0,,,,,2.06,0.22,2.28,2.28,3.11,2.7,139.03,145.66,138.77,0.1,0,0.97,44.27,140.29,140.29,0.28,15.75,140.45,140.73,,,,140.23,,,139.51,142.84
2025-01-29 05:00:00,141.47,142.435,140.66,141.03,802187.0,140.21,2.42,145.05,135.37,1.78,0.97,0.8,1.78,2.67,2.72,139.03,144.97,138.77,0.1,0,-0.9,-42.15,142.68,142.68,0.49,26.06,139.9,140.39,,,,140.16,,,139.51,142.84
2025-01-30 05:00:00,142.82,143.21,141.67,142.71,654255.0,140.33,2.47,145.27,135.39,1.54,2.18,0.64,2.18,2.31,2.71,139.03,144.35,138.77,0.1,0,0.63,32.01,141.11,141.11,0.46,24.66,140.59,141.05,,,,141.22,,,141.03,142.84
2025-01-31 05:00:00,142.4,143.03,141.34,142.51,1240839.0,140.46,2.5,145.46,135.46,1.69,0.32,1.37,1.69,2.39,2.71,139.03,143.79,138.77,0.1,0,0.74,36.5,141.34,141.34,0.06,3.38,141.99,142.05,,,,142.44,,,141.03,142.71
2025-02-03 05:00:00,142.04,143.78,140.69,143.4,831144.0,140.6,2.56,145.72,135.48,3.09,1.27,1.82,3.09,2.2,2.69,138.77,143.78,143.78,0.05,1,0.34,19.03,142.53,142.53,0.54,28.19,141.15,141.69,,,,143.34,,,141.03,143.4
2025-02-04 05:00:00,142.17,143.15,141.5718,142.4,1060784.0,140.69,2.58,145.85,135.53,1.58,0.25,1.83,1.83,2.11,2.65,139.02,143.78,143.78,0.05,1,-0.05,-3.15,142.82,142.82,0.34,18.93,141.72,142.07,,,,143.14,,,142.4,143.4
2025-02-05 05:00:00,143.9,146.43,142.94,145.06,1298981.0,140.92,2.71,146.34,135.5,3.49,4.03,0.54,4.03,2.56,2.63,139.26,143.78,146.43,0.1,1,0.83,39.69,142.79,142.79,0.46,24.66,142.3,142.76,,,,143.81,,,142.4,145.06
2025-02-06 05:00:00,144.88,145.13,142.3615,143.12,857115.0,141.09,2.71,146.51,135.67,2.77,0.07,2.7,2.77,2.68,2.65,139.98,143.78,146.43,0.1,1,0.36,19.8,143.17,143.17,0.29,16.07,142.72,143.01,,,,144.03,,,142.4,145.06
