Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,217.02,224.12,216.8301,222.17,2120902.0,,,,,7.29,,,7.29,,,216.8301,224.12,224.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,220.59,222.38,220.03,221.67,602317.0,,,,,2.35,0.21,2.14,2.35,,,217.19,224.12,224.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,221.65,223.54,221.24,223.28,255403.0,,,,,2.3,1.87,0.43,2.3,,,217.54,224.12,224.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,223.28,223.6,222.29,223.31,584167.0,,,,,1.31,0.32,0.99,1.31,,,217.87,224.12,224.12,0.05,1,0.82,39.35,221.93,221.93,,,,,,,,,,,221.67,223.31
2024-12-27 05:00:00,221.19,223.74,220.36,221.18,362533.0,,,,,3.38,0.43,2.95,3.38,3.33,,218.18,224.12,224.12,0.05,1,-1.05,-46.4,223.64,223.64,,,,,,,,,,,221.18,223.31
2024-12-30 05:00:00,220.21,220.31,217.28,219.79,314695.0,,,,,3.03,0.87,3.9,3.9,2.65,,217.28,224.12,217.28,0.05,0,-1.76,-60.4,223.19,223.19,-0.59,-30.37,223.02,222.43,,,,,,,219.79,223.31
2024-12-31 05:00:00,220.16,220.79,217.83,219.97,557948.0,,,,,2.96,1.0,1.96,2.96,2.77,,217.28,223.78,217.28,0.05,0,-0.6,-31.17,220.92,220.92,-1.01,-45.4,223.53,222.52,,,,,,,219.79,223.31
2025-01-02 05:00:00,219.61,220.125,216.41,217.07,409252.0,,,,,3.72,0.16,3.56,3.72,3.05,,217.28,223.46,216.41,0.1,0,-1.36,-53.67,220.3,220.3,-1.37,-53.85,223.0,221.63,,,,,,,217.07,221.18
2025-01-03 05:00:00,217.01,219.37,216.25,219.17,474311.0,,,,,3.12,2.3,0.82,3.12,3.42,,217.28,222.76,216.25,0.15,0,-0.4,-21.8,219.14,219.14,-0.67,-33.98,220.78,220.11,,,,218.18,,,217.07,219.97
2025-01-06 05:00:00,221.0,221.0,212.18,212.78,540414.0,,,,,8.82,1.83,6.99,8.82,4.5,,217.28,221.78,212.18,0.2,0,-2.14,-65.01,218.48,218.48,-1.48,-55.99,220.72,219.24,,,,215.14,,,212.78,219.97
