Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,176.86,182.0,175.31,177.35,23233668.0,,,,,6.69,,,6.69,,,175.31,182.0,182.0,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,178.12,179.65,174.2901,177.69,8486421.0,,,,,5.36,2.3,3.06,5.36,,,174.29,182.0,174.29,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,177.69,180.95,177.5,179.34,4316969.0,,,,,3.45,3.26,0.19,3.45,,,174.29,181.61,174.29,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,178.98,182.57,178.33,180.38,5917678.0,,,,,4.24,3.23,1.01,4.24,,,174.29,182.57,182.57,0.05,1,1.35,53.37,177.79,177.79,,,,,,,,,,,177.35,180.38
2024-12-27 05:00:00,180.01,181.43,179.4,180.72,6806925.0,,,,,2.03,1.05,0.98,2.03,4.35,,174.7,182.57,182.57,0.05,1,0.69,34.61,179.46,179.46,,,,,,,,,,,177.69,180.72
2024-12-30 05:00:00,173.72,178.17,170.15,176.55,18082312.0,,,,,8.02,2.55,10.57,10.57,5.13,,170.15,182.57,170.15,0.05,0,-1.91,-62.43,181.13,181.13,-0.09,-5.14,179.12,179.03,,,,,,,176.55,180.72
2024-12-31 05:00:00,177.54,179.3499,175.82,177.0,9748554.0,,,,,3.53,2.8,0.73,3.53,4.76,,170.15,181.95,170.15,0.05,0,-1.86,-61.74,179.95,179.95,-0.85,-40.4,180.5,179.65,,,,,,,176.55,180.72
2025-01-02 05:00:00,178.31,179.19,169.82,171.87,12399954.0,,,,,9.37,2.19,7.18,9.37,5.95,,170.15,181.36,169.82,0.1,0,-2.34,-66.86,177.48,177.48,-2.07,-64.26,181.45,179.38,,,,,,,171.87,180.72
2025-01-03 05:00:00,171.4,173.98,169.8,169.9,10513769.0,,,,,4.18,2.11,2.07,4.18,5.94,,170.15,180.21,169.8,0.15,0,-3.55,-74.27,176.47,176.47,-2.63,-69.2,180.47,177.84,,,,172.26,,,169.9,177.0
2025-01-06 05:00:00,173.5,173.9442,170.19,170.78,11133425.0,,,,,3.75,4.04,0.29,4.04,6.34,,170.15,178.65,169.8,0.15,0,-0.54,-28.59,171.39,171.39,-1.86,-61.79,176.95,175.08,,,,170.05,,,169.9,177.0
2025-01-07 05:00:00,171.165,175.02,170.8,172.51,7036767.0,,,,,4.22,4.24,0.02,4.24,5.07,,170.15,177.32,169.8,0.15,0,1.3,52.54,169.76,169.76,-1.01,-45.2,174.43,173.42,,,,169.55,,,169.9,172.51
2025-01-08 05:00:00,171.15,173.78,169.61,171.76,5108711.0,,,,,4.17,1.27,2.9,4.17,5.2,,170.15,176.19,169.61,0.2,0,0.49,26.1,171.19,171.19,0.24,13.44,170.89,171.12,,,,169.57,,,169.9,172.51
2025-01-10 05:00:00,171.49,173.535,167.41,172.0,7556765.0,,,,,6.12,1.78,4.35,6.12,4.55,,170.15,174.87,167.41,0.21,0,-0.26,-14.31,172.34,172.34,0.52,27.38,170.35,170.87,,,,170.49,,,170.78,172.51
2025-01-13 05:00:00,171.18,172.5,167.91,170.57,6049552.0,,,,,4.59,0.5,4.09,4.59,4.63,,170.15,173.54,167.41,0.21,0,-0.6,-30.75,172.04,172.04,-0.09,-5.31,171.71,171.62,,,,170.5,,,170.57,172.51
2025-01-14 05:00:00,171.37,171.88,164.62,167.02,7966857.0,,,,,7.26,1.31,5.95,7.26,5.28,,170.15,172.5,164.62,0.21,0,-2.49,-68.12,172.35,172.35,-1.22,-50.59,173.21,171.99,,,,169.65,,,167.02,172.0
2025-01-15 05:00:00,169.01,169.99,165.9701,166.2,6451034.0,,,,,4.02,2.97,1.05,4.02,5.23,,170.15,171.88,164.62,0.21,0,-2.18,-65.41,170.11,170.11,-1.61,-58.15,172.73,171.12,,,,168.0,,,166.2,172.0
2025-01-16 05:00:00,166.79,170.6399,166.57,168.93,5612341.0,,,,,4.07,4.44,0.37,4.44,5.29,5.21,164.62,170.64,170.64,0.05,1,0.96,43.68,166.43,166.43,-1.05,-46.42,171.05,170.0,,,,167.46,,,166.2,170.57
2025-01-17 05:00:00,169.795,171.77,169.45,171.09,9557133.0,,,,,2.32,2.84,0.52,2.84,4.63,5.23,164.92,170.64,171.77,0.1,1,2.45,67.76,166.29,166.29,0.29,16.44,168.17,168.47,,,,168.13,,,166.2,171.09
2025-01-21 05:00:00,172.38,177.09,171.9321,175.56,8755311.0,,,,,5.16,6.0,0.84,6.0,4.91,5.21,165.6,170.64,177.09,0.15,1,3.31,73.21,168.54,168.54,2.2,65.53,165.37,167.56,,,,171.07,,,166.2,175.56
2025-01-22 05:00:00,175.29,176.23,173.88,174.8,5134446.0,,,,,2.35,0.67,1.68,2.35,3.93,5.15,167.32,170.64,177.09,0.15,1,1.86,61.67,171.96,171.96,2.38,67.24,166.55,168.93,,,,173.25,,,168.93,175.56
2025-01-23 05:00:00,174.01,178.6699,173.75,178.5,7097348.0,,,,,4.92,3.87,1.05,4.92,4.11,5.01,168.79,170.64,178.67,0.2,1,1.47,55.77,174.82,174.82,2.28,66.36,169.21,171.49,,,,176.78,,,171.09,178.5
2025-01-24 05:00:00,176.0,180.43,174.365,176.06,9287427.0,,,,,6.06,1.93,4.13,6.06,4.43,4.89,170.77,170.64,180.43,0.21,1,0.63,32.21,175.82,175.82,1.29,52.17,172.63,173.91,,,,178.39,,,174.8,178.5
2025-01-27 05:00:00,175.55,178.18,174.4,175.16,7148613.0,,,,,3.78,2.12,1.66,3.78,4.62,4.76,172.8,170.64,180.43,0.21,1,-1.67,-59.09,178.24,178.24,0.05,2.63,175.92,175.97,,,,178.28,,,174.8,178.5
2025-01-28 05:00:00,181.31,188.48,174.02,177.78,22768851.0,,,,,14.46,13.32,1.14,14.46,6.31,4.86,174.02,180.43,174.02,0.05,0,0.86,40.7,175.47,175.47,0.26,14.68,175.94,176.2,,,,178.38,,,175.16,178.5
2025-01-29 05:00:00,179.125,182.55,170.65,173.66,12263458.0,174.13,4.06,182.25,166.01,11.9,4.77,7.13,11.9,8.22,5.09,174.02,188.48,170.65,0.1,0,-0.75,-36.87,176.28,176.28,-0.8,-38.52,177.82,177.03,,,,176.48,,,173.66,177.78
2025-01-30 05:00:00,174.59,179.94,173.7218,179.53,6996317.0,174.21,4.16,182.53,165.89,6.22,6.28,0.06,6.28,8.5,5.39,174.02,186.7,170.65,0.1,0,0.88,41.19,176.11,176.11,0.54,28.55,175.35,175.89,,,,177.17,,,173.66,179.53
2025-01-31 05:00:00,180.51,181.78,175.74,176.52,6116155.0,174.17,4.12,182.41,165.93,6.04,2.25,3.79,6.04,8.49,5.69,174.02,185.1,170.65,0.1,0,1.43,55.03,175.14,175.14,0.45,24.08,175.64,176.08,,,,177.03,,,173.66,179.53
2025-02-03 05:00:00,174.11,178.2,173.1277,175.87,6501722.0,174.03,4.0,182.03,166.03,5.07,1.68,3.39,5.07,8.75,5.96,174.02,183.66,170.65,0.1,0,-1.83,-61.35,179.14,179.14,-0.1,-5.48,176.86,176.77,,,,176.34,,,173.66,179.53
2025-02-04 05:00:00,176.9,177.45,174.25,176.23,4501714.0,173.86,3.8,181.46,166.26,3.2,1.58,1.62,3.2,6.5,6.05,174.02,182.36,170.65,0.1,0,-0.15,-8.25,176.35,176.35,0.15,8.42,176.07,176.21,,,,176.64,,,175.87,179.53
2025-02-05 05:00:00,176.0,181.86,175.505,181.84,7430431.0,173.91,3.89,181.69,166.13,6.36,5.63,0.72,6.36,5.39,6.06,170.65,181.86,181.86,0.05,1,2.98,71.48,174.99,174.99,0.43,23.41,177.13,177.57,,,,178.85,,,175.87,181.84
2025-02-06 05:00:00,182.0,185.85,182.0,184.8,6919404.0,174.24,4.44,183.12,165.36,3.85,4.01,0.16,4.01,4.94,6.08,171.21,181.86,185.85,0.1,1,4.29,76.86,176.67,176.67,2.25,66.07,174.55,176.8,,,,181.59,,,175.87,184.8
2025-02-07 05:00:00,185.26,186.1087,180.93,181.49,5392310.0,174.42,4.64,183.7,165.14,5.18,1.31,3.87,5.18,4.76,6.07,172.67,181.86,186.11,0.15,1,-0.18,-9.93,182.88,182.88,1.98,63.22,176.08,178.06,,,,182.8,,,176.23,184.8
2025-02-10 05:00:00,183.12,183.55,179.9,180.55,3989106.0,174.76,4.77,184.3,165.22,3.65,2.06,1.59,3.65,4.48,6.12,174.69,181.86,186.11,0.15,1,-2.13,-64.8,184.4,184.4,0.83,39.66,179.32,180.15,,,,182.29,,,180.55,184.8
2025-02-11 05:00:00,179.78,182.14,177.6,180.44,4366651.0,175.19,4.78,184.75,165.63,4.54,1.59,2.95,4.54,4.75,6.16,176.4,181.86,186.11,0.15,1,-0.53,-27.7,181.35,181.35,-0.71,-35.18,183.23,182.53,,,,182.62,,,180.44,184.8
2025-02-12 05:00:00,178.34,186.27,178.25,186.25,7686842.0,175.8,5.17,186.14,165.46,8.02,5.83,2.19,8.02,5.08,6.21,177.6,181.86,186.27,0.2,1,2.85,70.67,179.56,179.56,0.18,10.48,182.34,182.52,6.8,,,184.54,,,180.44,186.25
2025-02-13 05:00:00,187.0,188.24,185.09,185.44,6846329.0,176.32,5.47,187.26,165.38,3.15,1.99,1.16,3.15,4.91,6.24,178.25,181.86,188.24,0.21,1,2.5,68.2,181.54,181.54,1.36,53.67,180.11,181.47,6.7,,,185.15,,,180.44,186.25
2025-02-14 05:00:00,186.75,186.82,183.575,184.42,5044712.0,176.83,5.61,188.05,165.61,3.25,1.38,1.87,3.25,4.52,6.1,180.35,181.86,188.24,0.21,1,-0.92,-42.46,186.28,186.28,1.27,51.87,180.87,182.15,7.09,,,184.63,,,180.44,186.25
2025-02-18 05:00:00,185.68,188.66,184.22,184.97,6929627.0,177.35,5.75,188.85,165.85,4.44,4.24,0.2,4.44,4.68,5.83,182.01,181.86,188.66,0.21,1,-0.24,-13.22,185.18,185.18,0.72,35.87,182.86,183.58,7.81,1.01,,185.06,,,184.42,186.25
2025-02-19 05:00:00,185.31,187.2299,181.83,186.15,7264764.0,177.97,5.83,189.63,166.31,5.4,2.26,3.14,5.4,4.85,5.55,181.83,188.66,181.83,0.05,0,0.86,40.86,184.31,184.31,-0.07,-3.83,185.58,185.51,8.79,2.09,,186.46,,,184.42,186.15
2025-02-20 05:00:00,185.58,185.8,180.11,180.88,7863048.0,178.52,5.38,189.28,167.76,5.69,0.35,6.04,6.04,4.46,5.24,181.83,188.32,180.11,0.1,0,-2.04,-63.94,186.04,186.04,-0.74,-36.46,185.85,185.11,7.71,0.62,,184.72,,,180.88,186.15
2025-02-21 05:00:00,181.28,182.2,174.71,177.15,8980339.0,178.96,4.75,188.46,169.46,7.49,1.32,6.17,7.49,5.32,4.97,181.83,187.5,174.71,0.15,0,-4.5,-77.47,185.89,185.89,-1.86,-61.77,186.44,184.58,6.04,-1.77,,181.25,,,177.15,186.15
2025-02-24 05:00:00,177.475,183.04,176.55,179.91,8392903.0,179.4,4.26,187.92,170.88,6.49,5.89,0.6,6.49,5.97,4.93,181.83,185.58,174.71,0.15,0,-0.49,-25.87,179.8,179.8,-1.91,-62.39,185.64,183.72,5.05,-3.74,,179.18,,,177.15,186.15
2025-02-25 05:00:00,180.45,181.88,176.34,178.27,5613880.0,179.69,3.91,187.51,171.87,5.54,1.97,3.57,5.54,6.19,4.99,181.83,183.95,174.71,0.15,0,0.56,29.25,177.88,177.88,-1.67,-59.13,183.82,182.14,3.53,-4.18,,177.92,,,177.15,180.88
2025-02-26 05:00:00,179.49,179.49,171.83,173.04,7111736.0,179.59,4.05,187.69,171.49,7.66,1.22,6.44,7.66,6.64,5.12,181.83,182.56,171.83,0.2,0,-3.43,-73.77,180.51,180.51,-1.46,-55.52,180.76,179.31,0.82,-5.22,,174.95,,,173.04,179.91
2025-02-27 05:00:00,174.52,177.15,173.59,173.83,4695248.0,179.55,4.1,187.75,171.35,3.56,4.11,0.55,4.11,6.26,5.24,181.83,180.41,171.83,0.2,0,-2.22,-65.75,177.27,177.27,-1.35,-53.49,179.14,177.79,-0.68,-5.73,,173.08,,,173.04,179.91
2025-02-28 05:00:00,174.36,176.3,173.4811,174.63,5803347.0,179.39,4.21,187.81,170.97,2.82,2.47,0.35,2.82,5.32,5.3,181.83,178.69,171.83,0.2,0,0.79,38.48,173.04,173.04,-1.5,-56.31,178.94,177.44,-1.24,-4.77,-6.61,172.57,,,173.04,178.27
2025-03-03 05:00:00,177.02,178.4,169.46,170.06,6045578.0,179.15,4.57,188.29,170.01,8.94,3.77,5.17,8.94,5.81,5.39,171.83,178.4,178.4,0.05,1,-1.89,-62.05,174.73,174.73,-1.48,-56.01,176.93,175.45,-3.17,-3.99,-5.86,171.31,,,170.06,174.63
2025-03-04 05:00:00,167.37,168.38,156.69,158.9,15870217.0,178.5,6.07,190.64,166.36,11.69,1.68,13.37,13.37,7.38,5.56,156.69,178.4,156.69,0.05,0,-7.87,-82.75,175.73,175.73,-3.21,-72.67,176.5,173.3,-6.67,-5.99,-5.8,165.43,,,158.9,174.63
