Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,55.24,56.45,55.06,55.8,6714058.0,,,,,1.39,,,1.39,,,55.06,56.45,56.45,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,55.42,55.94,55.38,55.72,2122798.0,,,,,0.56,0.14,0.42,0.56,,,55.13,56.45,56.45,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,55.59,56.18,55.59,56.16,696346.0,,,,,0.59,0.46,0.13,0.59,,,55.2,56.45,56.45,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,55.66,56.495,55.66,56.19,1018410.0,,,,,0.84,0.34,0.5,0.84,,,55.26,56.45,56.5,0.1,1,0.24,13.22,55.79,55.79,,,,,,,,,,,55.72,56.19
2024-12-27 05:00:00,55.89,56.553,55.65,55.83,1414078.0,,,,,0.9,0.36,0.54,0.9,0.86,,55.38,56.45,56.55,0.15,1,-0.16,-9.37,56.22,56.22,,,,,,,,,,,55.72,56.19
2024-12-30 05:00:00,55.48,55.6539,54.87,54.99,1285730.0,,,,,0.78,0.18,0.96,0.96,0.77,,54.87,56.55,54.87,0.05,0,-0.6,-30.96,56.27,56.27,-0.18,-10.15,56.14,55.96,,,,,,,54.99,56.19
2024-12-31 05:00:00,55.21,55.47,54.76,55.13,921810.0,,,,,0.71,0.48,0.23,0.71,0.8,,54.87,56.47,54.76,0.1,0,-0.35,-19.29,55.67,55.67,-0.33,-18.06,56.31,55.99,,,,,,,54.99,56.19
2025-01-02 05:00:00,55.71,55.885,54.36,54.44,2020398.0,,,,,1.52,0.75,0.77,1.52,0.99,,54.87,56.3,54.36,0.15,0,-0.28,-15.38,55.13,55.13,-0.42,-22.78,56.16,55.74,,,,,,,54.44,55.83
2025-01-03 05:00:00,54.44,54.605,53.855,54.03,2221810.0,,,,,0.75,0.16,0.59,0.75,0.97,,54.87,56.01,53.86,0.2,0,-0.55,-28.81,55.08,55.08,-0.42,-22.54,55.71,55.3,,,,54.29,,,54.03,55.13
2025-01-06 05:00:00,54.23,55.295,53.94,54.02,2685667.0,,,,,1.36,1.27,0.09,1.36,1.06,,54.87,55.58,53.86,0.2,0,-0.21,-11.86,54.37,54.37,-0.3,-16.91,55.13,54.83,,,,53.86,,,54.02,55.13
2025-01-07 05:00:00,54.26,54.9,53.5551,53.69,2203120.0,,,,,1.34,0.88,0.46,1.34,1.14,,54.87,55.3,53.56,0.21,0,-0.17,-9.65,54.08,54.08,-0.33,-18.26,54.92,54.59,,,,53.54,,,53.69,54.44
2025-01-08 05:00:00,53.37,53.64,52.97,53.46,1947363.0,,,,,0.67,0.05,0.72,0.72,1.14,,54.87,54.93,52.97,0.21,0,-0.28,-15.64,54.0,54.0,-0.23,-12.95,54.39,54.16,,,,53.33,,,53.46,54.03
2025-01-10 05:00:00,52.72,53.12,51.96,52.01,3735955.0,,,,,1.16,0.34,1.5,1.5,1.13,,54.87,54.52,51.96,0.21,0,-0.84,-40.03,53.89,53.89,-0.46,-24.7,54.36,53.9,,,,52.66,,,52.01,54.02
2025-01-13 05:00:00,52.07,53.46,52.002,53.25,3116102.0,,,,,1.46,1.45,0.01,1.46,1.28,,54.87,53.98,51.96,0.21,0,-0.11,-5.99,53.01,53.01,-0.32,-17.85,53.93,53.61,,,,52.61,,,52.01,53.69
2025-01-14 05:00:00,53.44,54.4,53.34,54.38,2272364.0,,,,,1.06,1.15,0.09,1.15,1.23,,51.96,54.4,54.4,0.05,1,1.19,49.84,52.03,52.03,0.12,6.67,53.12,53.24,,,,53.22,,,52.01,54.38
2025-01-15 05:00:00,54.89,55.66,54.04,54.26,2822866.0,,,,,1.62,1.28,0.34,1.62,1.29,,52.08,54.4,55.66,0.1,1,0.5,26.79,53.46,53.46,0.4,21.65,52.68,53.07,,,,53.66,,,52.01,54.38
2025-01-16 05:00:00,53.42,54.42,53.08,54.25,2161941.0,,,,,1.34,0.16,1.18,1.34,1.41,1.08,52.44,54.4,55.66,0.1,1,-0.06,-3.72,54.36,54.36,0.55,28.77,52.53,53.08,,,,54.02,,,53.25,54.38
2025-01-17 05:00:00,54.69,54.875,54.27,54.29,2119755.0,,,,,0.6,0.62,0.02,0.62,1.24,1.11,52.76,54.4,55.66,0.1,1,0.02,0.86,54.25,54.25,0.19,11.03,53.7,53.89,,,,54.37,,,54.25,54.38
2025-01-21 05:00:00,54.5,55.4,54.37,55.04,2113032.0,,,,,1.03,1.11,0.08,1.11,1.17,1.14,53.05,54.4,55.66,0.1,1,0.4,21.55,54.13,54.13,0.13,7.69,54.17,54.31,,,,54.92,,,54.25,55.04
2025-01-22 05:00:00,54.8,54.87,54.27,54.33,2695265.0,,,,,0.6,0.17,0.77,0.77,1.09,1.16,53.31,54.4,55.66,0.1,1,0.02,1.15,54.53,54.53,0.09,5.31,54.25,54.34,,,,55.01,,,54.25,55.04
2025-01-23 05:00:00,54.49,55.24,54.2,55.18,2334066.0,,,,,1.04,0.91,0.13,1.04,0.98,1.16,53.54,54.4,55.66,0.1,1,0.07,4.0,54.78,54.78,0.19,10.76,54.24,54.43,,,,55.02,,,54.29,55.18
2025-01-24 05:00:00,55.49,55.85,54.94,55.0,1456006.0,,,,,0.91,0.67,0.24,0.91,0.89,1.16,53.75,54.4,55.85,0.15,1,0.33,18.52,54.5,54.5,0.16,8.87,54.46,54.61,,,,55.0,,,54.33,55.18
2025-01-27 05:00:00,55.48,56.7,55.08,56.53,2072533.0,,,,,1.62,1.7,0.08,1.7,1.11,1.16,54.06,54.4,56.7,0.2,1,0.67,34.02,54.89,54.89,0.36,20.05,54.49,54.85,,,,55.76,,,54.33,56.53
2025-01-28 05:00:00,56.2,56.62,55.52,55.59,1854946.0,,,,,1.1,0.09,1.01,1.1,1.1,1.16,54.59,54.4,56.7,0.2,1,0.3,16.44,55.41,55.41,0.39,21.16,54.55,54.94,,,,55.91,,,55.0,56.53
2025-01-29 05:00:00,55.56,56.185,55.28,55.33,1995275.0,54.76,1.06,56.88,52.64,0.91,0.59,0.31,0.91,1.13,1.16,55.01,54.4,56.7,0.2,1,-0.6,-30.96,56.42,56.42,0.09,5.09,55.35,55.44,,,,55.85,,,55.0,56.53
2025-01-30 05:00:00,56.96,57.02,55.79,56.04,3694433.0,54.77,1.07,56.91,52.63,1.23,1.69,0.46,1.69,1.26,1.17,55.28,54.4,57.02,0.21,1,0.22,12.68,55.43,55.43,0.09,5.03,55.52,55.61,,,,55.99,,,55.33,56.53
2025-01-31 05:00:00,55.95,56.57,55.54,55.7,2366534.0,54.76,1.07,56.9,52.62,1.03,0.53,0.5,1.03,1.29,1.17,55.54,57.02,55.54,0.05,0,0.19,10.48,55.5,55.5,-0.12,-6.9,56.08,55.96,,,,56.04,,,55.33,56.04
2025-02-03 05:00:00,54.58,55.84,54.46,55.68,3449731.0,54.75,1.04,56.83,52.67,1.38,0.14,1.24,1.38,1.22,1.17,55.54,56.95,54.46,0.1,0,-0.18,-10.2,55.99,55.99,0.05,3.15,55.56,55.61,,,,55.85,,,55.33,56.04
2025-02-04 05:00:00,52.08,52.675,50.81,51.84,6592739.0,54.57,1.15,56.87,52.27,1.86,3.01,4.87,4.87,1.98,1.22,55.54,56.7,50.81,0.15,0,-1.93,-62.61,56.34,56.34,-0.73,-36.28,56.39,55.65,,,,54.16,,,51.84,56.04
2025-02-05 05:00:00,52.53,52.685,51.07,51.19,3912297.0,54.39,1.3,56.99,51.79,1.62,0.84,0.77,1.62,2.12,1.28,55.54,55.82,50.81,0.15,0,-2.24,-65.99,55.15,55.15,-1.36,-53.59,56.8,55.45,,,,52.43,,,51.19,55.7
2025-02-06 05:00:00,52.5,52.54,50.76,51.27,3024073.0,54.24,1.44,57.12,51.36,1.78,1.35,0.43,1.78,2.14,1.34,55.54,55.07,50.76,0.2,0,-0.28,-15.91,51.72,51.72,-1.34,-53.16,55.81,54.47,,,,51.43,,,51.19,55.68
2025-02-07 05:00:00,51.19,51.45,50.44,50.47,2530303.0,54.05,1.61,57.27,50.83,1.01,0.18,0.83,1.01,2.13,1.42,55.54,54.21,50.44,0.21,0,-0.36,-19.8,51.34,51.34,-1.1,-47.7,54.29,53.19,,,,50.3,,,50.47,51.84
2025-02-10 05:00:00,50.91,50.91,50.23,50.35,2928525.0,53.89,1.77,57.43,50.35,0.68,0.44,0.24,0.68,1.99,1.49,55.54,53.42,50.23,0.21,0,-0.46,-24.7,51.16,51.16,-0.37,-20.3,51.76,51.39,,,,49.49,,,50.35,51.27
2025-02-11 05:00:00,50.0,50.76,50.0,50.36,2679054.0,53.74,1.9,57.54,49.94,0.76,0.41,0.35,0.76,1.17,1.5,55.54,52.75,50.0,0.21,0,-0.05,-3.15,50.45,50.45,-0.26,-14.47,51.24,50.99,,,,49.27,,,50.35,51.27
2025-02-12 05:00:00,49.25,49.95,49.03,49.58,3584299.0,53.56,2.07,57.7,49.42,0.92,0.41,1.33,1.33,1.11,1.52,55.54,52.17,49.03,0.21,0,-0.38,-21.06,50.48,50.48,-0.35,-19.24,51.1,50.76,-3.63,,,49.12,,,49.58,50.47
2025-02-13 05:00:00,49.93,50.0,49.0,49.33,3158334.0,53.39,2.24,57.87,48.91,1.0,0.42,0.58,1.0,0.96,1.51,55.54,51.51,49.0,0.21,0,-0.52,-27.25,50.27,50.27,-0.31,-16.96,50.63,50.32,-3.84,,,49.36,,,49.33,50.36
2025-02-14 05:00:00,49.57,50.48,49.52,49.85,2816069.0,53.24,2.35,57.94,48.54,0.96,1.15,0.19,1.15,0.98,1.5,55.54,50.98,49.0,0.21,0,0.13,7.69,49.45,49.45,-0.2,-11.48,50.3,50.1,-3.79,,,49.39,,,49.33,50.36
2025-02-18 05:00:00,49.83,50.13,49.34,49.85,2685517.0,53.16,2.43,58.02,48.3,0.79,0.28,0.51,0.79,1.01,1.49,55.54,50.56,49.0,0.21,0,0.26,14.57,49.42,49.42,-0.08,-4.29,49.94,49.87,-3.71,-0.08,,49.43,,,49.33,49.85
2025-02-19 05:00:00,49.46,49.63,48.95,49.04,2775601.0,52.99,2.57,58.13,47.85,0.68,0.22,0.9,0.9,1.03,1.47,55.54,50.23,48.95,0.21,0,-0.4,-22.05,49.98,49.98,-0.06,-3.21,49.64,49.59,-3.77,0.07,,49.26,,,49.04,49.85
2025-02-20 05:00:00,49.31,50.575,49.215,50.45,3205361.0,52.83,2.6,58.03,47.63,1.36,1.54,0.18,1.54,1.08,1.46,48.95,50.58,50.58,0.05,1,0.3,16.7,49.48,49.48,0.14,8.14,49.42,49.56,-3.44,0.35,,49.66,,,49.04,50.45
2025-02-21 05:00:00,50.58,51.5098,50.31,51.35,3493194.0,52.72,2.6,57.92,47.52,1.2,1.06,0.14,1.2,1.12,1.45,49.03,50.58,51.51,0.1,1,1.15,49.11,49.12,49.12,0.36,19.8,49.39,49.75,-2.94,0.77,,50.41,,,49.04,51.35
2025-02-24 05:00:00,51.43,51.65,50.695,50.78,2053389.0,52.58,2.61,57.8,47.36,0.95,0.3,0.66,0.95,1.08,1.38,49.28,50.58,51.65,0.15,1,0.17,9.37,50.69,50.69,0.42,22.64,49.46,49.88,-2.63,1.14,,50.84,,,49.04,51.35
2025-02-25 05:00:00,50.95,51.63,50.72,51.59,2415517.0,52.47,2.59,57.65,47.29,0.91,0.85,0.06,0.91,1.1,1.3,49.64,50.58,51.65,0.15,1,0.12,6.84,51.12,51.12,0.54,28.5,49.56,50.1,-2.2,1.24,,51.38,,,50.45,51.59
2025-02-26 05:00:00,51.73,52.115,51.37,51.99,2315065.0,52.35,2.53,57.41,47.29,0.75,0.52,0.22,0.75,1.07,1.22,49.94,50.58,52.12,0.2,1,0.6,31.17,50.85,50.85,0.33,18.37,50.57,50.9,-1.55,1.39,,51.85,,,50.78,51.99
2025-02-27 05:00:00,51.57,52.44,51.535,52.06,2300062.0,52.26,2.5,57.26,47.26,0.91,0.45,0.46,0.91,0.94,1.13,50.38,50.58,52.44,0.21,1,0.23,13.22,51.64,51.64,0.26,14.74,51.03,51.29,-1.17,1.46,,52.27,,,50.78,52.06
2025-02-28 05:00:00,52.11,52.87,52.04,52.69,3631435.0,52.16,2.43,57.02,47.3,0.83,0.81,0.02,0.83,0.87,1.04,50.81,50.58,52.87,0.21,1,0.35,19.29,51.9,51.9,0.43,23.22,50.96,51.39,-0.87,1.33,1.65,52.76,,,51.59,52.69
2025-03-03 05:00:00,52.52,53.24,51.81,52.14,2940667.0,52.04,2.35,56.74,47.34,1.43,0.55,0.88,1.43,0.97,1.02,51.24,50.58,53.24,0.21,1,0.04,2.29,52.26,52.26,0.18,10.2,51.73,51.91,-0.56,0.99,1.43,52.58,,,51.99,52.69
2025-03-04 05:00:00,52.29,52.66,50.99,51.03,3429006.0,51.82,2.17,56.16,47.48,1.67,0.52,1.15,1.67,1.12,1.03,50.99,53.24,50.99,0.05,0,-0.83,-39.69,52.78,52.78,-0.18,-10.43,52.35,52.17,-0.65,0.52,1.01,52.03,,,51.03,52.69
2025-03-05 05:00:00,51.35,52.15,51.1,51.87,2418101.0,51.67,2.02,55.71,47.63,1.05,1.12,0.07,1.12,1.19,1.04,50.99,53.13,50.99,0.05,0,-0.14,-7.69,51.81,51.81,-0.2,-11.53,52.37,52.16,-0.63,0.24,0.57,52.01,1.43,,51.03,52.69
2025-03-06 05:00:00,51.52,52.205,51.09,52.18,2346393.0,51.55,1.87,55.29,47.81,1.11,0.34,0.78,1.11,1.23,1.06,50.99,53.02,50.99,0.05,0,0.57,29.9,51.12,51.12,-0.13,-7.35,52.24,52.11,-0.55,0.01,0.17,51.94,1.0,,51.03,52.18
2025-03-07 05:00:00,52.18,54.49,51.9201,54.26,2330469.0,51.48,1.72,54.92,48.04,2.57,2.31,0.26,2.57,1.58,1.11,50.99,54.49,54.49,0.05,1,1.19,50.08,51.57,51.57,0.54,28.32,51.22,51.76,-0.23,0.42,0.05,52.82,0.52,1.01,51.03,54.26
2025-03-10 04:00:00,54.0,55.3,53.765,53.97,2233360.0,51.41,1.58,54.57,48.25,1.53,1.04,0.49,1.53,1.6,1.15,51.16,54.49,55.3,0.1,1,0.89,41.83,52.58,52.58,0.83,39.59,51.01,51.84,0.14,0.77,0.19,53.45,0.13,0.61,51.87,54.26
2025-03-11 04:00:00,54.07,54.15,52.06,52.31,2739796.0,51.27,1.32,53.91,48.63,2.09,0.18,1.91,2.09,1.68,1.2,51.57,54.49,55.3,0.1,1,-0.97,-44.27,54.49,54.49,0.27,14.95,52.38,52.65,0.45,1.0,0.5,53.24,0.02,0.31,52.18,54.26
2025-03-12 04:00:00,51.88,52.0,50.85,51.27,2070377.0,51.25,1.31,53.87,48.63,1.15,0.31,1.46,1.46,1.75,1.24,50.85,55.3,50.85,0.05,0,-1.35,-53.47,53.87,53.87,-0.38,-20.66,53.55,53.18,0.44,0.67,0.67,52.74,0.21,0.17,51.27,54.26
2025-03-13 04:00:00,51.5,52.04,50.75,50.97,1854610.0,51.24,1.32,53.88,48.6,1.29,0.77,0.52,1.29,1.79,1.3,50.85,55.08,50.75,0.1,0,-0.67,-33.82,52.19,52.19,-0.93,-42.86,54.41,53.48,0.3,0.16,0.6,52.09,0.54,0.24,50.97,53.97
2025-03-14 04:00:00,51.39,51.935,51.09,51.89,1773243.0,51.27,1.32,53.91,48.63,0.84,0.97,0.12,0.97,1.47,1.33,50.85,54.65,50.75,0.1,0,0.31,17.22,51.07,51.07,-0.55,-28.81,53.18,52.63,-0.08,-0.53,0.19,51.65,0.73,0.42,50.97,52.31
2025-03-17 04:00:00,52.01,52.915,51.83,52.28,1545658.0,51.34,1.33,54.0,48.68,1.09,1.02,0.06,1.09,1.38,1.35,50.85,54.26,50.75,0.1,0,0.65,33.22,51.06,51.06,0.06,3.21,51.63,51.69,-0.34,-0.78,-0.3,51.51,0.61,0.54,50.97,52.28
2025-03-18 04:00:00,52.15,52.43,51.44,51.9,3082951.0,51.4,1.31,54.02,48.78,0.99,0.15,0.84,0.99,1.16,1.37,50.85,53.91,50.75,0.1,0,0.01,0.29,52.02,52.02,0.26,14.41,51.15,51.41,-0.29,-0.59,-0.69,51.25,0.17,0.46,50.97,52.28
2025-03-19 04:00:00,51.81,52.115,51.28,51.84,2589976.0,51.46,1.3,54.06,48.86,0.84,0.22,0.62,0.84,1.04,1.38,50.85,53.59,50.75,0.1,0,-0.22,-12.41,52.23,52.23,0.17,9.93,51.43,51.6,-0.07,0.01,-0.67,51.51,-0.37,0.17,51.84,52.28
2025-03-20 04:00:00,51.62,52.105,51.44,51.57,3432860.0,51.54,1.24,54.02,49.06,0.66,0.26,0.4,0.66,0.91,1.38,50.85,53.31,50.75,0.1,0,-0.16,-9.37,51.93,51.93,-0.11,-6.16,52.11,52.0,0.15,0.49,-0.34,51.79,-0.74,-0.22,51.57,52.28
