Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-13 05:00:00,36.12,36.88,35.51,36.78,3540964.0,,,,,1.37,,,1.37,,,35.51,36.88,36.88,0.05,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,37.0,38.13,36.44,36.79,3152613.0,,,,,1.69,1.35,0.34,1.69,,,35.58,36.88,38.13,0.1,1,,,,,,,,,,,,,,,,
2025-01-15 05:00:00,37.68,37.75,36.54,36.93,4276089.0,,,,,1.21,0.96,0.25,1.21,,,35.84,36.88,38.13,0.1,1,,,,,,,,,,,,,,,,
2025-01-16 05:00:00,36.78,36.96,35.88,36.68,3636194.0,,,,,1.08,0.03,1.05,1.08,,,35.88,38.13,35.88,0.05,0,-0.05,-3.15,36.85,36.85,,,,,,,,,,,36.68,36.93
2025-01-17 05:00:00,36.88,37.47,36.71,36.75,3152248.0,,,,,0.76,0.79,0.03,0.79,1.23,,35.88,38.02,35.88,0.05,0,-0.09,-5.14,36.88,36.88,,,,,,,,,,,36.68,36.93
2025-01-21 05:00:00,37.17,37.58,36.835,37.29,2316265.0,,,,,0.74,0.83,0.09,0.83,1.12,,35.88,37.91,35.88,0.05,0,0.31,16.96,36.6,36.6,0.08,4.69,36.72,36.81,,,,,,,36.68,37.29
2025-01-22 05:00:00,37.43,37.51,36.875,37.48,1957691.0,,,,,0.63,0.22,0.41,0.63,0.91,,35.88,37.81,35.88,0.05,0,0.37,20.05,36.81,36.81,0.17,9.7,36.68,36.86,,,,,,,36.68,37.48
2025-01-23 05:00:00,37.39,37.94,37.09,37.29,2866789.0,,,,,0.85,0.46,0.39,0.85,0.84,,35.88,37.94,37.94,0.05,1,-0.0,-0.0,37.35,37.35,0.19,11.03,36.71,36.9,,,,,,,36.75,37.48
2025-01-24 05:00:00,37.55,37.81,36.92,36.99,2087821.0,,,,,0.89,0.52,0.37,0.89,0.8,,35.98,37.94,37.94,0.05,1,-0.24,-13.77,37.5,37.5,0.05,2.75,37.06,37.11,,,,37.28,,,36.99,37.48
2025-01-27 05:00:00,36.93,37.57,36.12,36.63,2984643.0,,,,,1.45,0.58,0.87,1.45,0.93,,36.08,37.94,37.94,0.05,1,-0.33,-18.26,37.3,37.3,-0.18,-10.26,37.5,37.32,,,,37.06,,,36.63,37.48
2025-01-28 05:00:00,36.6,38.27,36.435,38.22,3165558.0,,,,,1.84,1.64,0.2,1.84,1.13,,36.12,37.94,38.27,0.1,1,0.61,31.59,36.66,36.66,0.08,4.69,37.16,37.24,,,,37.54,,,36.63,38.22
2025-01-29 05:00:00,38.3,38.61,37.42,37.6,2415498.0,,,,,1.19,0.39,0.8,1.19,1.24,,36.34,37.94,38.61,0.15,1,0.48,25.87,37.0,37.0,0.18,10.48,36.98,37.16,,,,37.6,,,36.63,38.22
2025-01-30 05:00:00,37.79,38.72,37.76,38.37,2284022.0,,,,,0.96,1.12,0.16,1.12,1.3,,36.68,37.94,38.72,0.2,1,0.07,4.29,37.99,37.99,0.37,20.46,36.82,37.19,,,,37.92,,,36.63,38.37
2025-01-31 05:00:00,38.28,38.48,37.35,37.61,2105347.0,,,,,1.13,0.11,1.02,1.13,1.35,,37.09,37.94,38.72,0.2,1,0.0,0.29,37.85,37.85,0.21,11.91,37.26,37.48,,,,37.93,,,37.6,38.37
2025-02-03 05:00:00,36.73,38.18,36.25,38.0,3469523.0,,,,,1.93,0.57,1.36,1.93,1.44,,36.25,38.72,36.25,0.05,0,-0.18,-10.48,38.18,38.18,-0.04,-2.46,38.05,38.0,,,,38.12,,,37.6,38.37
2025-02-04 05:00:00,37.7,39.09,37.7,38.79,2748207.0,,,,,1.39,1.09,0.3,1.39,1.35,,36.25,39.09,39.09,0.05,1,0.59,30.54,37.54,37.54,0.2,11.37,37.67,37.87,,,,38.54,,,37.61,38.79
2025-02-05 05:00:00,38.71,38.935,38.23,38.75,2086406.0,,,,,0.71,0.15,0.56,0.71,1.26,1.15,36.39,39.09,39.09,0.05,1,0.37,20.56,38.14,38.14,0.19,10.98,37.92,38.11,,,,38.75,,,37.61,38.79
2025-02-06 05:00:00,39.2,39.39,37.11,37.48,3205278.0,,,,,2.28,0.64,1.64,2.28,1.49,1.17,36.52,39.09,39.39,0.1,1,-0.66,-33.22,38.99,38.99,0.05,2.81,38.03,38.08,,,,38.19,,,37.48,38.79
2025-02-07 05:00:00,37.25,37.385,35.66,35.89,2949744.0,,,,,1.73,0.09,1.82,1.82,1.63,1.21,35.66,39.39,35.66,0.05,0,-1.43,-55.03,38.8,38.8,-0.55,-28.94,38.89,38.33,,,,37.3,,,35.89,38.79
2025-02-10 05:00:00,36.22,36.22,34.71,35.48,3468496.0,,,,,1.51,0.33,1.18,1.51,1.54,1.25,35.66,39.2,34.71,0.1,0,-1.0,-45.0,37.28,37.28,-0.95,-43.47,39.17,38.23,,,,36.28,,,35.48,38.75
2025-02-11 05:00:00,35.29,35.51,34.74,35.45,4512072.0,,,,,0.77,0.03,0.74,0.77,1.42,1.3,35.66,38.75,34.71,0.1,0,-0.22,-12.41,35.83,35.83,-0.86,-40.7,38.33,37.47,,,,35.61,,,35.45,37.48
2025-02-12 05:00:00,34.91,36.12,34.65,36.04,3797544.0,,,,,1.47,0.67,0.8,1.47,1.57,1.36,35.66,38.35,34.65,0.15,0,0.28,15.64,35.38,35.38,-0.33,-18.37,36.73,36.4,,,,35.24,,,35.45,36.04
2025-02-13 05:00:00,36.26,36.74,36.015,36.43,2362324.0,,,,,0.73,0.7,0.02,0.73,1.26,1.38,35.66,37.8,34.65,0.15,0,0.49,26.1,35.48,35.48,0.16,9.31,35.53,35.69,,,,35.26,,,35.45,36.43
2025-02-14 05:00:00,36.75,36.75,36.06,36.47,1835224.0,,,,,0.69,0.32,0.37,0.69,1.03,1.38,35.66,37.33,34.65,0.15,0,0.22,12.13,36.1,36.1,0.3,16.49,35.38,35.68,,,,35.63,,,35.45,36.47
2025-02-18 05:00:00,38.41,40.03,38.2,40.0,8148445.0,37.21,1.08,39.37,35.05,1.83,3.56,1.73,3.56,1.44,1.39,34.65,40.03,40.03,0.05,1,1.78,60.74,35.85,35.85,0.95,43.62,34.97,35.92,,,,37.65,,,36.04,40.0
2025-02-19 05:00:00,39.91,40.455,39.39,40.1,4782695.0,37.34,1.22,39.78,34.9,1.06,0.45,0.61,1.06,1.5,1.41,34.92,40.03,40.46,0.1,1,1.82,61.15,37.04,37.04,1.17,49.46,35.47,36.64,,,,39.3,,,36.43,40.1
2025-02-20 05:00:00,39.92,40.44,39.79,40.34,3718564.0,37.48,1.35,40.18,34.78,0.65,0.34,0.31,0.65,1.34,1.41,35.47,40.03,40.46,0.1,1,0.17,9.65,39.98,39.98,1.14,48.87,36.38,37.52,,,,40.42,,,36.47,40.34
2025-02-21 05:00:00,40.45,40.66,38.02,38.59,5441453.0,37.55,1.36,40.27,34.83,2.64,0.32,2.32,2.64,1.72,1.43,35.97,40.03,40.66,0.15,1,-0.76,-37.05,40.43,40.43,0.46,24.61,38.18,38.64,,,,40.34,,,38.59,40.34
2025-02-24 05:00:00,39.46,40.56,38.65,39.87,4869341.0,37.68,1.43,40.54,34.82,1.91,1.97,0.06,1.97,1.98,1.48,36.67,40.03,40.66,0.15,1,-0.24,-13.22,39.83,39.83,-0.18,-10.04,40.13,39.96,,,,40.53,,,38.59,40.34
2025-02-25 05:00:00,39.925,40.63,39.55,40.63,4482275.0,37.83,1.53,40.89,34.77,1.08,0.76,0.32,1.08,1.48,1.49,37.27,40.03,40.66,0.15,1,1.02,45.57,38.68,38.68,0.06,3.38,39.79,39.85,,,,40.82,,,38.59,40.63
2025-02-26 05:00:00,40.93,41.87,40.75,41.08,7216637.0,37.98,1.65,41.28,34.68,1.12,1.24,0.12,1.24,1.52,1.49,37.78,40.03,41.87,0.2,1,0.6,31.17,39.92,39.92,0.35,19.39,39.4,39.75,,,,41.01,,,38.59,41.08
2025-02-27 05:00:00,36.65,38.28,35.6,35.86,11074776.0,37.92,1.71,41.34,34.5,2.68,2.8,5.48,5.48,2.48,1.56,35.6,41.87,35.6,0.05,0,-2.39,-67.25,41.57,41.57,-0.43,-23.03,40.06,39.63,,,,38.64,,,35.86,41.08
2025-02-28 05:00:00,35.87,37.29,35.12,36.23,6642209.0,37.88,1.74,41.36,34.4,2.17,1.43,0.74,2.17,2.39,1.63,35.6,41.56,35.12,0.1,0,-2.42,-67.59,40.15,40.15,-1.21,-50.31,41.14,39.94,,,,37.37,,,35.86,41.08
2025-03-03 05:00:00,36.13,36.8925,35.26,35.33,6003751.0,37.81,1.8,41.41,34.21,1.63,0.66,0.97,1.63,2.32,1.69,35.6,40.92,35.12,0.1,0,-0.27,-14.84,36.07,36.07,-1.55,-57.09,40.92,39.37,,,,36.06,,,35.33,41.08
2025-03-04 05:00:00,34.85,34.9,32.915,34.25,5742861.0,37.71,1.92,41.55,33.87,1.98,0.43,2.41,2.41,2.59,1.77,35.6,40.34,32.92,0.15,0,-0.99,-44.71,36.26,36.26,-1.42,-54.83,39.39,37.97,-0.95,,,34.75,,,34.25,36.23
2025-03-05 05:00:00,34.34,35.105,33.7,34.62,3736753.0,37.57,2.02,41.61,33.53,1.4,0.85,0.55,1.4,2.62,1.88,35.6,39.23,32.92,0.15,0,-0.36,-19.54,35.09,35.09,-0.45,-24.04,36.15,35.7,-2.18,,,33.67,,,34.25,36.23
