Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,223.96,229.31,223.51,227.68,3029556.0,,,,,5.8,,,5.8,,,223.51,229.31,229.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,226.34,227.87,225.3,226.44,1783656.0,,,,,2.57,0.19,2.38,2.57,,,223.8,229.31,229.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,226.72,227.13,224.185,226.95,492253.0,,,,,2.94,0.69,2.25,2.94,,,224.08,229.31,229.31,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,226.33,229.2,225.26,228.12,1154562.0,,,,,3.94,2.25,1.69,3.94,,,224.18,229.31,229.31,0.05,1,0.84,40.03,226.33,226.33,,,,,,,,,,,226.44,228.12
2024-12-27 05:00:00,226.75,230.09,226.72,228.49,1420943.0,,,,,3.37,1.97,1.4,3.37,3.72,,224.44,229.31,230.09,0.1,1,0.77,37.6,227.08,227.08,,,,,,,,,,,226.44,228.49
2024-12-30 05:00:00,227.42,228.4713,224.775,226.51,1695390.0,,,,,3.7,0.02,3.72,3.72,3.31,,224.78,230.09,224.78,0.05,0,-0.81,-38.83,228.51,228.51,0.17,9.54,226.97,227.13,,,,,,,226.51,228.49
2024-12-31 05:00:00,227.38,229.245,225.85,226.87,1364184.0,,,,,3.4,2.74,0.66,3.4,3.47,,224.78,229.82,224.78,0.05,0,-0.81,-39.01,228.1,228.1,-0.18,-10.04,227.74,227.56,,,,,,,226.51,228.49
2025-01-02 05:00:00,228.01,229.0,226.18,226.49,1701936.0,,,,,2.82,2.13,0.69,2.82,3.45,,224.78,229.57,224.78,0.05,0,-0.01,-0.57,226.63,226.63,-0.49,-26.01,228.27,227.78,,,,,,,226.49,228.49
2025-01-03 05:00:00,227.12,229.315,225.9,228.46,1244386.0,,,,,3.41,2.82,0.59,3.41,3.34,,224.78,229.33,224.78,0.05,0,0.79,38.48,226.48,226.48,-0.01,-0.46,227.38,227.37,,,,227.55,,,226.49,228.46
2025-01-06 05:00:00,227.56,232.465,227.5,230.7,1752323.0,,,,,4.97,4.0,0.96,4.97,3.66,,224.78,232.46,232.46,0.05,1,2.11,64.59,226.44,226.44,1.0,44.91,225.81,226.81,,,,228.75,,,226.49,230.7
2025-01-07 05:00:00,230.95,235.37,230.95,232.15,1912254.0,,,,,4.42,4.67,0.25,4.67,3.85,,225.16,232.46,235.37,0.1,1,1.84,61.54,228.59,228.59,1.48,55.9,225.98,227.46,,,,230.34,,,226.49,232.15
2025-01-08 05:00:00,232.58,234.55,230.0,234.43,2192834.0,,,,,4.55,2.4,2.15,4.55,4.08,,226.18,232.46,235.37,0.1,1,1.87,61.8,230.56,230.56,1.96,62.93,226.53,228.49,,,,232.73,,,228.46,234.43
2025-01-10 05:00:00,232.25,236.25,231.65,233.67,2597939.0,,,,,4.6,1.82,2.78,4.6,4.44,,227.1,232.46,236.25,0.15,1,0.76,37.23,232.66,232.66,1.41,54.75,229.05,230.47,,,,234.37,,,230.7,234.43
2025-01-13 05:00:00,234.27,238.11,231.36,236.19,2267776.0,,,,,6.75,4.44,2.31,6.75,5.11,,228.47,232.46,238.11,0.2,1,0.88,41.35,233.88,233.88,1.25,51.34,230.93,232.18,,,,236.14,,,232.15,236.19
2025-01-14 05:00:00,236.5,237.4,233.01,235.8,2588559.0,,,,,4.39,1.21,3.18,4.39,4.99,,230.4,232.46,238.11,0.2,1,1.06,46.8,234.16,234.16,0.91,42.18,232.64,233.54,,,,237.03,,,233.67,236.19
2025-01-15 05:00:00,237.0,237.9999,227.66,232.59,3098655.0,,,,,10.34,2.2,8.14,10.34,6.13,,227.66,238.11,227.66,0.05,0,-1.8,-60.95,236.66,236.66,-0.16,-8.81,234.85,234.69,,,,235.74,,,232.59,236.19
2025-01-16 05:00:00,232.48,236.76,230.94,236.3,2257699.0,,,,,5.82,4.17,1.65,5.82,6.38,4.3,227.66,238.0,227.66,0.05,0,0.25,14.04,234.65,234.65,0.17,9.43,234.58,234.74,,,,235.98,,,232.59,236.3
2025-01-17 05:00:00,236.51,238.49,235.44,237.38,2110687.0,,,,,3.05,2.19,0.86,3.05,6.07,4.48,227.66,238.49,238.49,0.05,1,2.4,67.34,233.03,233.03,0.29,16.07,235.08,235.36,,,,236.58,,,232.59,237.38
