Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,34.2,34.47,33.65,33.8,3502037.0,,,,,0.82,,,0.82,,,34.47,33.65,33.65,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,33.53,33.76,32.82,33.03,3118579.0,,,,,0.94,0.04,0.98,0.98,,,33.65,33.76,33.76,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,33.12,33.34,32.75,33.15,2022232.0,,,,,0.59,0.31,0.28,0.59,,,32.75,33.76,32.75,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,33.37,33.935,33.205,33.92,3042960.0,,,,,0.73,0.79,0.05,0.79,,,32.75,33.94,33.94,0.05,1,0.44,23.99,32.92,32.92,,,,,,,,,,,33.03,33.92,
2025-01-27,34.39,34.86,33.51,34.49,3653942.0,,,,,1.35,0.94,0.41,1.35,0.91,,32.81,33.94,34.86,0.1,1,0.67,33.82,33.18,33.18,,,,,,,,,,,33.03,34.49,
2025-01-28,34.37,34.77,33.015,33.06,2991352.0,,,,,1.76,0.28,1.48,1.76,1.09,,33.02,34.86,33.02,0.05,0,-0.43,-23.27,34.25,34.25,0.14,7.97,33.25,33.39,,,,,,,33.06,34.49,
2025-01-29,33.13,33.16,32.495,32.62,2877888.0,,,,,0.66,0.1,0.57,0.66,1.03,,33.02,34.77,32.49,0.1,0,-0.94,-43.08,34.32,34.32,-0.19,-10.87,33.83,33.64,,,,,,,32.62,34.49,
2025-01-30,33.0,33.49,32.62,33.2,2720302.0,,,,,0.87,0.87,0.0,0.87,1.09,,33.02,34.54,32.49,0.1,0,0.07,4.0,32.89,32.89,-0.33,-18.31,34.12,33.79,,,,,,,32.62,34.49,
2025-01-31,32.86,33.5,32.8,33.01,6815181.0,,,,,0.7,0.3,0.4,0.7,1.07,,33.02,34.34,32.49,0.1,0,0.2,11.03,32.75,32.75,-0.28,-15.75,33.84,33.56,,,,33.09,,,32.62,33.2,
2025-02-03,31.89,32.465,31.2,31.91,3715700.0,,,,,1.27,0.54,1.81,1.81,1.16,,33.02,34.16,31.2,0.15,0,-0.65,-32.82,33.35,33.35,-0.19,-10.81,33.14,32.95,,,,32.44,,,31.91,33.2,
2025-02-04,32.17,32.47,31.58,31.68,3105625.0,,,,,0.89,0.56,0.33,0.89,0.99,,33.02,33.72,31.2,0.15,0,-0.67,-33.62,32.86,32.86,-0.32,-17.59,33.12,32.8,,,,31.81,,,31.68,33.2,
2025-02-05,31.5,31.71,30.97,31.1,2964385.0,,,,,0.74,0.03,0.71,0.74,1.0,,33.02,33.34,30.97,0.2,0,-0.41,-22.05,31.97,31.97,-0.55,-28.94,33.29,32.73,,,,31.26,,,31.1,33.01,
2025-02-06,31.59,31.65,31.04,31.26,2466175.0,,,,,0.61,0.55,0.06,0.61,0.95,,33.02,32.87,30.97,0.2,0,-0.21,-11.86,31.56,31.56,-0.43,-23.32,32.65,32.22,,,,31.15,,,31.1,31.91,
2025-02-07,31.35,31.54,30.62,30.84,2064337.0,,,,,0.92,0.28,0.64,0.92,0.99,,33.02,32.49,30.62,0.21,0,-0.13,-7.41,31.2,31.2,-0.26,-14.36,31.87,31.61,,,,30.78,,,30.84,31.68,
