Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,39.38,40.46,39.32,40.32,17974920.0,,,,,1.14,,,1.14,,,39.32,40.46,40.46,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,40.01,40.26,39.68,40.15,4094437.0,,,,,0.58,0.06,0.64,0.64,,,39.38,40.46,40.46,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,40.19,40.9,39.89,40.79,2122012.0,,,,,1.01,0.75,0.26,1.01,,,39.43,40.46,40.9,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,40.79,40.9,40.27,40.88,2289751.0,,,,,0.63,0.11,0.52,0.63,,,39.58,40.46,40.9,0.1,1,0.36,20.05,40.24,40.24,,,,,,,,,,,40.15,40.88
2024-12-27 05:00:00,40.71,41.12,40.52,40.8,3282597.0,,,,,0.6,0.24,0.36,0.6,0.8,,39.71,40.46,41.12,0.15,1,0.0,0.29,40.82,40.82,,,,,,,,,,,40.15,40.88
2024-12-30 05:00:00,40.74,41.005,40.29,40.94,4607724.0,,,,,0.72,0.21,0.51,0.72,0.72,,39.92,40.46,41.12,0.15,1,0.03,1.72,40.84,40.84,0.16,9.03,40.39,40.55,,,,,,,40.79,40.94
2024-12-31 05:00:00,41.1,41.3871,41.0,41.02,4630647.0,,,,,0.39,0.45,0.06,0.45,0.68,,40.1,40.46,41.39,0.2,1,0.11,6.28,40.81,40.81,0.05,2.98,40.78,40.83,,,,,,,40.8,41.02
2025-01-02 05:00:00,41.59,41.89,40.89,41.56,5527015.0,,,,,1.0,0.87,0.13,1.0,0.68,,40.36,40.46,41.89,0.21,1,0.31,17.22,40.86,40.86,0.16,8.98,40.72,40.88,,,,,,,40.8,41.56
2025-01-03 05:00:00,41.99,42.855,41.54,42.66,7476350.0,,,,,1.31,1.29,0.02,1.31,0.82,,40.68,40.46,42.86,0.21,1,0.82,39.35,40.93,40.93,0.43,23.46,40.53,40.96,,,,42.02,,,40.94,42.66
2025-01-06 05:00:00,42.68,43.63,42.61,42.83,4686529.0,,,,,1.02,0.97,0.05,1.02,0.9,,41.14,40.46,43.63,0.21,1,0.63,32.42,41.71,41.71,0.54,28.46,40.72,41.26,,,,42.5,,,41.02,42.83
2025-01-07 05:00:00,42.91,43.73,42.67,43.4,5899803.0,,,,,1.06,0.9,0.16,1.06,0.97,,41.66,40.46,43.73,0.21,1,0.37,20.3,42.59,42.59,0.6,31.09,41.09,41.69,,,,43.16,,,41.56,43.4
2025-01-08 05:00:00,43.16,43.47,42.92,43.44,4992978.0,,,,,0.55,0.07,0.48,0.55,0.99,,42.09,40.46,43.73,0.21,1,0.31,16.96,42.92,42.92,0.45,24.23,41.88,42.33,,,,43.64,,,42.66,43.44
2025-01-10 05:00:00,43.91,44.25,42.75,43.26,6879718.0,,,,,1.5,0.81,0.69,1.5,1.09,,42.43,40.46,44.25,0.21,1,-0.07,-4.0,43.44,43.44,0.18,10.26,42.76,42.94,,,,43.81,,,42.83,43.44
2025-01-13 05:00:00,43.32,45.04,43.3,44.83,7483567.0,,,,,1.74,1.78,0.04,1.78,1.18,,42.75,40.46,45.04,0.21,1,0.69,34.8,43.15,43.15,0.39,21.11,42.78,43.17,,,,44.46,,,43.26,44.83
2025-01-14 05:00:00,44.91,45.3,44.53,45.07,7528791.0,,,,,0.77,0.47,0.3,0.77,1.13,,43.23,40.46,45.3,0.21,1,0.9,42.15,43.48,43.48,0.47,25.31,43.05,43.53,,,,44.91,,,43.26,45.07
2025-01-15 05:00:00,45.62,45.899,45.21,45.72,6172478.0,,,,,0.69,0.83,0.14,0.83,1.09,,43.66,40.46,45.9,0.21,1,0.44,23.99,44.76,44.76,0.64,32.5,43.19,43.83,,,,45.43,,,43.26,45.72
2025-01-16 05:00:00,45.62,46.75,45.35,46.33,7401862.0,,,,,1.4,1.03,0.37,1.4,1.26,0.95,44.13,40.46,46.75,0.21,1,0.63,32.21,45.08,45.08,0.7,35.11,43.64,44.34,,,,46.13,,,44.83,46.33
2025-01-17 05:00:00,46.87,47.47,46.395,46.54,8479649.0,,,,,1.07,1.14,0.07,1.14,1.18,0.98,44.68,40.46,47.47,0.21,1,0.41,22.29,45.79,45.79,0.47,25.08,44.76,45.23,,,,46.66,,,45.07,46.54
2025-01-21 05:00:00,46.69,47.075,45.82,47.04,9639294.0,,,,,1.26,0.54,0.72,1.26,1.08,1.0,45.27,40.46,47.47,0.21,1,0.35,19.54,46.28,46.28,0.48,25.45,45.19,45.66,,,,47.23,,,45.72,47.04
2025-01-22 05:00:00,47.04,47.08,45.725,45.81,6904804.0,,,,,1.35,0.04,1.31,1.35,1.2,1.04,45.72,47.47,45.72,0.05,0,-0.36,-20.05,46.83,46.83,0.09,5.09,46.11,46.2,,,,46.99,,,45.81,47.04
