Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,232.49,234.1975,231.65,233.55,465141.0,,,,,2.55,,,2.55,,,231.65,234.1975,234.1975,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,233.65,236.05,232.06,234.95,397047.0,,,,,3.99,2.5,1.49,3.99,,,231.78,234.1975,236.05,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,235.18,237.11,234.06,236.76,443102.0,,,,,3.05,2.16,0.89,3.05,,,232.06,234.1975,237.11,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,235.79,237.81,235.79,237.35,327315.0,,,,,2.02,1.05,0.97,2.02,,,232.82,234.1975,237.81,0.2,1,1.2,50.19,235.15,235.15,,,,,,,,,,,233.55,237.35,
2025-01-27,237.41,241.18,236.52,239.54,420436.0,,,,,4.66,3.83,0.83,4.66,3.25,,233.82,234.1975,241.18,0.21,1,1.39,54.27,236.49,236.49,,,,,,,,,,,234.95,239.54,
2025-01-28,239.67,241.4499,237.75,237.91,390107.0,,,,,3.7,1.91,1.79,3.7,3.48,,235.37,234.1975,241.45,0.21,1,0.28,15.64,237.99,237.99,0.87,41.02,235.56,236.43,,,,,,,236.76,239.54,
2025-01-29,237.72,238.83,235.52,235.56,478045.0,,,,,3.31,0.92,2.39,3.31,3.35,,235.52,241.45,235.52,0.05,0,-1.99,-63.32,239.66,239.66,-0.18,-10.43,237.79,237.61,,,,,,,235.56,239.54,
2025-01-30,236.56,240.115,236.56,239.12,438326.0,,,,,3.56,4.56,1.0,4.56,3.65,,235.52,241.15,235.52,0.05,0,0.61,31.17,236.92,236.92,-0.04,-2.52,237.98,237.94,,,,,,,235.56,239.54,
2025-01-31,231.03,241.25,230.69,238.22,726786.0,,,,,10.56,2.13,8.43,10.56,5.36,,235.52,241.25,241.25,0.05,1,1.33,53.06,236.3,236.3,-0.14,-8.14,238.36,238.21,,,,238.58,,,235.56,239.12,
2025-02-03,237.12,240.16,234.3101,238.65,515967.0,,,,,5.85,1.94,3.91,5.85,5.6,,230.69,241.25,241.25,0.05,1,-0.23,-13.22,238.9,238.9,0.41,22.49,237.06,237.48,,,,238.47,,,235.56,239.12,
