Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,31.91,32.0,31.28,31.54,1543644.0,,,,,0.72,,,0.72,,,32.0,31.28,31.28,0.05,0,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,31.3,31.7055,30.94,31.04,3843840.0,,,,,0.77,0.17,0.6,0.77,,,31.28,31.71,31.71,0.05,1,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,30.79,31.6,30.75,31.59,2452085.0,,,,,0.85,0.56,0.29,0.85,,,30.75,31.71,30.75,0.05,0,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,31.89,32.09,31.35,31.86,2206333.0,,,,,0.74,0.5,0.24,0.74,,,30.75,32.09,32.09,0.05,1,0.41,22.29,31.09,31.09,,,,,,,,,,,31.04,31.86
2025-01-15 05:00:00,32.58,32.635,31.94,32.3,2124019.0,,,,,0.69,0.77,0.08,0.77,0.77,,30.82,32.09,32.64,0.1,1,0.36,19.54,31.56,31.56,,,,,,,,,,,31.04,32.3
2025-01-16 05:00:00,32.2,32.41,31.59,32.01,2275110.0,,,,,0.82,0.11,0.71,0.82,0.79,,31.0,32.09,32.64,0.1,1,0.07,4.29,31.98,31.98,0.26,14.84,31.23,31.5,,,,,,,31.59,32.3
2025-01-17 05:00:00,32.16,32.5,32.05,32.29,2423084.0,,,,,0.45,0.49,0.04,0.49,0.73,,31.16,32.09,32.64,0.1,1,-0.0,-0.29,32.2,32.2,0.15,8.81,31.7,31.85,,,,,,,31.86,32.3
2025-01-21 05:00:00,32.57,32.735,32.03,32.72,2752175.0,,,,,0.7,0.45,0.26,0.7,0.7,,31.31,32.09,32.74,0.15,1,0.36,19.54,31.98,31.98,0.17,9.7,31.89,32.06,,,,,,,32.01,32.72
2025-01-22 05:00:00,32.4,32.595,31.48,31.79,2913161.0,,,,,1.11,0.12,1.24,1.24,0.8,,31.48,32.74,31.48,0.05,0,-0.25,-14.04,32.52,32.52,-0.03,-1.78,32.28,32.25,,,,32.45,,,31.79,32.72
2025-01-23 05:00:00,31.92,32.35,31.65,32.23,3021315.0,,,,,0.7,0.56,0.14,0.7,0.79,,31.48,32.68,31.48,0.05,0,-0.25,-13.77,32.49,32.49,-0.01,-0.34,32.22,32.21,,,,32.33,,,31.79,32.72
2025-01-24 05:00:00,32.39,32.71,32.03,32.65,2443193.0,,,,,0.68,0.48,0.2,0.68,0.76,,31.48,32.71,32.71,0.05,1,0.43,23.27,31.79,31.79,0.02,1.32,32.29,32.31,,,,32.44,,,31.79,32.72
2025-01-27 05:00:00,32.94,33.4,32.675,32.9,2487754.0,,,,,0.73,0.75,0.02,0.75,0.81,,31.54,32.71,33.4,0.1,1,0.34,18.52,32.26,32.26,0.12,6.96,32.21,32.34,,,,32.62,,,31.79,32.9
2025-01-28 05:00:00,32.58,32.745,32.16,32.55,2045601.0,,,,,0.59,0.16,0.74,0.74,0.82,,31.73,32.71,33.4,0.1,1,-0.05,-2.86,32.75,32.75,0.22,12.35,31.99,32.2,,,,32.69,,,32.23,32.9
2025-01-29 05:00:00,32.62,32.745,32.23,32.47,1893232.0,,,,,0.52,0.2,0.32,0.52,0.68,,31.9,32.71,33.4,0.1,1,-0.22,-12.13,32.85,32.85,0.04,2.18,32.48,32.52,,,,32.62,,,32.47,32.9
2025-01-30 05:00:00,32.77,33.11,32.451,32.85,1700839.0,,,,,0.66,0.64,0.02,0.66,0.67,,32.05,32.71,33.4,0.1,1,0.15,8.53,32.47,32.47,-0.0,-0.17,32.69,32.69,,,,32.75,,,32.47,32.9
2025-01-31 05:00:00,32.59,32.88,31.7,31.9,1871447.0,,,,,1.18,0.03,1.15,1.18,0.77,,31.7,33.4,31.7,0.05,0,-0.29,-15.91,32.69,32.69,-0.17,-9.65,32.87,32.7,,,,32.54,,,31.9,32.85
2025-02-03 05:00:00,30.46,31.62,29.94,31.16,3474429.0,,,,,1.68,0.28,1.96,1.96,1.01,0.78,31.7,33.32,29.94,0.1,0,-0.85,-40.2,32.82,32.82,-0.33,-18.52,32.86,32.52,,,,31.86,,,31.16,32.85
2025-02-04 05:00:00,31.05,31.51,31.025,31.33,2472280.0,,,,,0.49,0.35,0.14,0.49,0.96,0.79,31.7,32.98,29.94,0.1,0,-0.28,-15.91,31.75,31.75,-0.4,-21.65,32.74,32.34,,,,31.41,,,31.16,32.85
2025-02-05 05:00:00,31.33,31.49,30.9,31.17,3604055.0,,,,,0.59,0.16,0.43,0.59,0.98,0.81,31.7,32.68,29.94,0.1,0,0.01,0.29,31.21,31.21,-0.39,-21.45,32.47,32.08,,,,31.08,,,31.16,31.9
2025-02-06 05:00:00,31.86,32.98,29.98,30.24,5333737.0,,,,,3.0,1.81,1.19,3.0,1.44,0.86,29.94,32.98,32.98,0.05,1,-0.55,-28.59,31.46,31.46,-0.33,-18.31,31.82,31.49,,,,30.54,,,30.24,31.33
2025-02-07 05:00:00,30.48,30.48,29.33,30.02,4107221.0,,,,,1.15,0.24,0.91,1.15,1.44,0.92,29.33,32.98,29.33,0.05,0,-0.58,-29.9,31.05,31.05,-0.34,-18.62,31.46,31.12,,,,30.05,,,30.02,31.33
2025-02-10 05:00:00,30.32,30.42,29.28,29.34,3393265.0,,,,,1.14,0.4,0.74,1.14,1.27,0.95,29.33,32.8,29.28,0.1,0,-0.45,-24.23,30.32,30.32,-0.51,-27.16,31.45,30.93,,,,29.46,,,29.34,31.17
