Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,272.77,275.67,270.6001,273.2,2953085.0,,,,,5.07,,,5.07,,,270.6001,275.67,275.67,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,271.5,275.81,271.5,275.38,1322081.0,,,,,4.31,2.61,1.7,4.31,,,270.85,275.67,275.81,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,275.27,276.54,274.6,276.54,399643.0,,,,,1.94,1.16,0.78,1.94,,,271.35,275.67,276.54,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,275.75,278.945,275.71,278.27,697410.0,,,,,3.24,2.4,0.83,3.24,,,272.13,275.67,278.94,0.2,1,1.44,55.32,275.29,275.29,,,,,,,,,,,273.2,278.27
2024-12-27 05:00:00,276.61,280.34,276.61,277.68,1088623.0,,,,,3.73,2.07,1.66,3.73,3.66,,273.49,275.67,280.34,0.21,1,0.57,29.68,276.93,276.93,,,,,,,,,,,275.38,278.27
2024-12-30 05:00:00,275.27,276.37,273.4,275.41,920340.0,,,,,2.97,1.31,4.28,4.28,3.5,,273.4,280.34,273.4,0.05,0,-1.43,-55.03,278.55,278.55,0.12,6.84,276.42,276.54,,,,,,,275.41,278.27
2024-12-31 05:00:00,275.9,276.7299,274.72,276.3,1409642.0,,,,,2.01,1.32,0.69,2.01,3.04,,273.4,279.99,273.4,0.05,0,-0.69,-34.61,277.15,277.15,-0.33,-18.47,277.51,277.17,,,,,,,275.41,278.27
2025-01-02 05:00:00,277.52,277.71,271.24,272.52,949638.0,,,,,6.47,1.41,5.06,6.47,3.95,,273.4,279.66,271.24,0.1,0,-1.45,-55.32,276.19,276.19,-1.29,-52.17,278.61,277.32,,,,,,,272.52,277.68
2025-01-03 05:00:00,273.23,275.0,270.25,271.73,1155611.0,,,,,4.75,2.48,2.27,4.75,4.25,,273.4,278.82,270.25,0.15,0,-2.29,-66.36,275.8,275.8,-1.48,-55.94,277.69,276.21,,,,273.24,,,271.73,276.3
2025-01-06 05:00:00,271.51,271.97,267.0,267.31,2587282.0,,,,,4.97,0.24,4.73,4.97,4.5,,273.4,277.53,267.0,0.2,0,-2.6,-69.0,273.12,273.12,-2.08,-64.29,276.81,274.73,,,,269.81,,,267.31,276.3
2025-01-07 05:00:00,268.19,271.78,267.455,268.76,2042943.0,,,,,4.32,4.47,0.14,4.47,4.53,,273.4,275.42,267.0,0.2,0,-1.49,-56.04,270.75,270.75,-2.03,-63.76,275.38,273.35,,,,267.95,,,267.31,272.52
2025-01-08 05:00:00,268.0,268.125,264.174,266.65,2381977.0,,,,,3.95,0.63,4.59,4.59,5.05,,273.4,273.74,264.17,0.21,0,-0.33,-18.26,267.9,267.9,-1.47,-55.79,272.34,270.86,,,,266.29,,,266.65,271.73
2025-01-10 05:00:00,259.09,263.46,252.1604,257.71,4171344.0,,,,,11.3,3.19,14.49,14.49,6.65,,273.4,271.73,252.16,0.21,0,-5.53,-79.74,269.9,269.9,-2.87,-70.79,272.17,269.3,,,,261.72,,,257.71,268.76
2025-01-13 05:00:00,256.97,261.92,256.0,261.76,3115499.0,,,,,5.92,4.21,1.71,5.92,6.89,,273.4,267.62,252.16,0.21,0,-2.45,-67.76,264.48,264.48,-2.22,-65.7,268.87,266.65,,,,259.94,,,257.71,268.76
2025-01-14 05:00:00,262.27,265.81,260.97,265.51,1692487.0,,,,,4.84,4.05,0.79,4.84,6.86,,252.16,265.81,265.81,0.05,1,3.9,75.62,257.76,257.76,-1.14,-48.72,266.36,265.22,,,,261.08,,,257.71,266.65
2025-01-15 05:00:00,267.66,269.34,265.75,268.41,2231069.0,,,,,3.59,3.83,0.24,3.83,6.73,,252.84,265.81,269.34,0.1,1,3.33,73.26,261.9,261.9,1.13,48.54,261.74,262.88,,,,263.39,,,257.71,268.41
2025-01-16 05:00:00,269.22,274.1616,269.22,273.53,1272397.0,,,,,4.94,5.75,0.81,5.75,6.97,5.12,254.49,265.81,274.16,0.15,1,4.01,76.0,265.14,265.14,3.83,75.36,257.73,261.56,,,,267.97,,,261.76,273.53
2025-01-17 05:00:00,274.02,275.33,269.19,269.48,1902028.0,,,,,6.14,1.8,4.34,6.14,5.3,5.25,257.44,265.81,275.33,0.2,1,0.53,28.15,269.94,269.94,2.35,66.91,263.05,265.39,,,,269.61,,,265.51,273.53
2025-01-21 05:00:00,270.0,272.79,268.02,268.86,1930838.0,,,,,4.77,3.31,1.46,4.77,5.07,5.37,261.02,265.81,275.33,0.2,1,-2.33,-66.82,272.96,272.96,0.78,37.85,267.6,268.38,,,,271.18,,,268.41,273.53
2025-01-22 05:00:00,270.48,271.97,267.875,268.32,1799167.0,,,,,4.1,3.11,0.99,4.1,4.92,5.51,263.88,265.81,275.33,0.2,1,-0.58,-30.11,269.47,269.47,-0.49,-25.87,270.69,270.21,,,,271.98,,,268.32,273.53
2025-01-23 05:00:00,268.33,269.04,264.62,266.5,1720502.0,,,,,4.42,0.72,3.7,4.42,5.04,5.6,264.62,275.33,264.62,0.05,0,-1.18,-49.72,269.07,269.07,-1.52,-56.69,272.38,270.86,,,,269.65,,,266.5,269.48
2025-01-24 05:00:00,267.47,268.05,264.45,266.7,1821559.0,,,,,3.6,1.55,2.05,3.6,4.61,5.62,264.62,274.79,264.45,0.1,0,-0.81,-39.01,267.98,267.98,-0.79,-38.38,269.56,268.76,,,,267.69,,,266.5,268.86
2025-01-27 05:00:00,269.37,276.76,268.82,276.49,1776949.0,,,,,7.94,10.06,2.12,10.06,5.39,5.69,264.45,276.76,276.76,0.05,1,4.99,78.68,264.9,264.9,1.36,53.75,266.65,268.01,,,,270.32,,,266.5,276.49
2025-01-28 05:00:00,276.48,277.29,271.985,272.27,1627192.0,,,,,5.31,0.8,4.5,5.31,5.5,5.77,265.07,276.76,277.29,0.1,1,2.78,70.25,269.03,269.03,1.79,60.8,266.48,268.27,,,,271.02,,,266.5,276.49
2025-01-29 05:00:00,268.01,281.2,267.68,275.83,2317196.0,270.84,5.21,281.26,260.42,13.52,8.93,4.59,13.52,7.38,5.95,266.29,276.76,281.2,0.15,1,-0.33,-18.26,275.19,275.19,2.42,67.57,266.71,269.14,,,,274.15,,,266.7,276.49
2025-01-30 05:00:00,277.81,278.12,272.94,274.78,1555974.0,270.91,5.25,281.41,260.41,5.18,2.29,2.89,5.18,7.53,6.01,267.68,276.76,281.2,0.15,1,1.25,51.45,273.04,273.04,1.55,57.17,270.11,271.66,,,,275.64,,,272.27,276.49
2025-01-31 05:00:00,272.96,275.46,271.52,271.88,1583420.0,270.77,5.18,281.13,260.41,3.94,0.68,3.26,3.94,7.6,6.07,269.71,276.76,281.2,0.15,1,-1.97,-63.15,276.14,276.14,-0.67,-33.86,275.59,274.92,,,,275.32,,,271.88,275.83
2025-02-03 05:00:00,269.3,274.41,268.3,273.93,1454289.0,270.66,5.08,280.82,260.5,6.11,2.53,3.58,6.11,6.81,6.07,268.3,281.2,268.3,0.05,0,-0.42,-23.03,273.96,273.96,-0.06,-3.6,273.86,273.8,,,,275.48,,,271.88,275.83
2025-02-04 05:00:00,275.4,275.4,271.961,272.23,1478500.0,270.42,4.84,280.1,260.74,3.44,1.47,1.97,3.44,6.44,6.04,268.3,280.56,268.3,0.05,0,0.18,9.93,272.5,272.5,-0.8,-38.83,275.34,274.53,,,,274.0,,,271.88,274.78
2025-02-05 05:00:00,273.75,274.9,271.85,272.8,989507.0,270.23,4.63,279.49,260.97,3.05,2.67,0.38,3.05,4.34,5.84,268.3,279.95,268.3,0.05,0,-0.57,-29.47,273.55,273.55,-0.36,-19.85,273.85,273.49,,,,272.33,,,271.88,273.93
2025-02-06 05:00:00,275.06,275.46,271.5738,272.88,1260410.0,270.13,4.54,279.21,261.05,3.89,2.66,1.23,3.89,4.09,5.75,268.3,279.37,268.3,0.05,0,0.32,18.0,272.31,272.31,0.09,4.97,272.57,272.66,,,,272.64,,,272.23,273.93
2025-02-07 05:00:00,272.55,273.02,270.03,270.16,1276154.0,269.88,4.35,278.58,261.18,2.99,0.14,2.85,2.99,3.9,5.66,268.3,278.82,268.3,0.05,0,-1.32,-52.85,273.27,273.27,-0.69,-34.57,273.78,273.09,,,,271.06,,,270.16,272.88
2025-02-10 05:00:00,270.0,270.535,266.18,266.58,1836860.0,269.64,4.37,278.38,260.9,4.36,0.38,3.98,4.36,3.55,5.55,268.3,278.29,266.18,0.1,0,-3.15,-72.39,273.02,273.02,-1.39,-54.35,273.72,272.32,,,,269.05,,,266.58,272.88
2025-02-11 05:00:00,267.16,268.96,264.565,267.96,1679072.0,269.49,4.36,278.21,260.77,4.39,2.38,2.01,4.39,3.74,5.45,268.3,277.08,264.56,0.15,0,-1.1,-47.73,269.33,269.33,-1.6,-57.96,273.27,271.67,,,,268.12,,,266.58,272.88
2025-02-12 05:00:00,267.17,267.5199,264.27,265.07,1041852.0,269.4,4.42,278.24,260.56,3.25,0.44,3.69,3.69,3.86,5.39,268.3,275.2,264.27,0.2,0,-0.75,-37.05,267.29,267.29,-1.78,-60.7,272.09,270.31,-2.31,,,265.84,,,265.07,270.16
2025-02-13 05:00:00,265.53,268.56,264.497652,267.74,999156.0,269.36,4.44,278.24,260.48,4.06,3.49,0.57,4.06,3.9,5.28,268.3,273.01,264.27,0.2,0,-0.11,-6.28,267.03,267.03,-0.64,-32.42,268.77,268.14,-3.18,,,265.74,,,265.07,267.96
2025-02-14 05:00:00,267.36,267.9769,264.2482,264.52,1919868.0,269.28,4.51,278.3,260.26,3.73,0.24,3.49,3.73,4.05,5.17,268.3,271.26,264.25,0.21,0,-0.28,-15.38,266.05,266.05,-0.43,-23.46,267.24,266.81,-4.0,,,264.4,,,264.52,267.96
2025-02-18 05:00:00,264.8,266.79,263.5,266.61,1378552.0,269.63,3.86,277.35,261.91,3.29,2.27,1.02,3.29,3.83,4.9,268.3,269.79,263.5,0.21,0,-0.57,-29.47,266.85,266.85,-0.33,-18.0,267.03,266.71,-3.71,-1.4,,264.71,,,264.52,267.74
2025-02-19 05:00:00,265.18,267.6772,264.37,266.44,887527.0,269.82,3.57,276.96,262.68,3.31,1.07,2.24,3.31,3.62,4.59,268.3,268.47,263.5,0.21,0,0.96,43.83,264.9,264.9,0.16,9.15,265.75,265.92,-3.68,-0.5,,265.49,,,264.52,267.74
2025-02-20 05:00:00,265.51,268.085,263.14,267.49,1065045.0,269.9,3.49,276.88,262.92,4.94,1.64,3.3,4.94,3.87,4.31,263.5,268.08,268.08,0.05,1,0.44,23.75,266.41,266.41,0.14,8.08,266.28,266.42,-2.9,1.1,,266.56,,,264.52,267.49
2025-02-21 05:00:00,267.53,268.6467,265.8505,267.25,1054183.0,269.85,3.52,276.89,262.81,2.8,1.16,1.64,2.8,3.61,4.06,263.14,268.08,268.65,0.1,1,0.4,22.05,266.66,266.66,0.63,32.37,265.19,265.83,-2.77,0.94,,266.86,,,266.44,267.49
2025-02-24 05:00:00,268.78,274.39,268.555,273.44,1434190.0,269.85,3.51,276.87,262.83,5.83,7.14,1.31,7.14,4.3,3.9,263.69,268.08,274.39,0.15,1,2.97,71.42,266.42,266.42,1.45,55.35,265.35,266.8,-0.9,2.78,,270.02,,,266.44,273.44
2025-02-25 05:00:00,275.55,279.45,274.54,277.45,1748552.0,270.17,3.83,277.83,262.51,4.91,6.01,1.1,6.01,4.84,3.94,265.3,268.08,279.45,0.2,1,5.1,78.91,267.61,267.61,2.8,70.33,264.82,267.62,1.13,4.03,,273.68,,,267.25,277.45
2025-02-26 05:00:00,277.0,277.0,271.57,273.66,1250422.0,270.36,3.88,278.12,262.6,5.43,0.45,5.88,5.88,5.35,4.03,268.13,268.08,279.45,0.2,1,0.11,6.28,274.74,274.74,2.25,66.08,267.35,269.6,2.52,5.29,,275.4,,,267.25,277.45
