Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,138.83,141.13,138.5,140.94,2028002.0,,,,,2.63,,,2.63,,,138.5,141.13,141.13,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,140.46,141.245,138.915,139.44,2219892.0,,,,,2.33,0.31,2.03,2.33,,,138.63,141.13,141.24,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,139.21,141.35,138.74,141.02,1668350.0,,,,,2.61,1.91,0.7,2.61,,,138.74,141.24,138.74,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,139.95,141.77,138.31,141.13,1554957.0,,,,,3.46,0.75,2.71,3.46,,,138.74,141.77,141.77,0.05,1,0.85,40.2,139.68,139.68,,,,,,,,,,,139.44,141.13,
2025-01-27,140.55,143.57,140.28,143.12,1522295.0,,,,,3.29,2.44,0.85,3.29,2.86,,138.31,141.77,143.57,0.1,1,1.05,46.4,140.71,140.71,,,,,,,,,,,139.44,143.12,
2025-01-28,142.87,143.69,142.03,142.6,1960181.0,,,,,1.66,0.57,1.09,1.66,2.67,,138.84,141.77,143.69,0.15,1,0.73,36.32,141.55,141.55,0.84,40.1,139.78,140.62,,,,,,,141.02,143.12,
2025-01-29,143.09,143.73,141.36,141.64,2568912.0,,,,,2.37,1.13,1.24,2.37,2.68,,139.57,141.77,143.73,0.2,1,-0.74,-36.5,143.19,143.19,0.27,15.16,141.36,141.63,,,,,,,141.13,143.12,
2025-01-30,144.08,146.83,142.635,144.65,2046562.0,,,,,4.2,5.19,1.0,5.19,3.19,,140.4,141.77,146.83,0.21,1,1.03,45.71,141.94,141.94,0.56,29.07,141.52,142.07,,,,,,,141.64,144.65,
2025-01-31,144.67,147.1,144.38,144.74,2540610.0,,,,,2.72,2.45,0.27,2.72,3.05,,141.75,141.77,147.1,0.21,1,1.55,57.17,142.13,142.13,0.53,27.88,142.29,142.82,,,,144.64,,,141.64,144.74,
2025-02-03,142.19,143.69,139.83,142.57,1848096.0,,,,,3.86,1.05,4.91,4.91,3.37,,139.83,147.1,139.83,0.05,0,-1.04,-46.12,145.03,145.03,0.3,16.91,142.63,142.94,,,,144.04,,,141.64,144.74,
2025-02-04,142.31,144.315,141.77,143.87,1517735.0,,,,,2.54,1.75,0.8,2.54,3.55,,139.83,146.74,139.83,0.05,0,-0.44,-23.51,144.16,144.16,0.24,13.39,143.02,143.26,,,,144.12,,,142.57,144.74,
2025-02-05,145.35,147.44,144.0,147.13,1674993.0,,,,,3.44,3.57,0.13,3.57,3.79,,139.83,147.44,147.44,0.05,1,2.28,66.32,142.24,142.24,0.41,22.24,143.77,144.18,,,,145.34,,,142.57,147.13,
2025-02-06,147.4,147.75,143.21,144.58,1982029.0,,,,,4.54,0.62,3.92,4.54,3.66,,140.21,147.44,147.75,0.1,1,0.36,19.54,144.84,144.84,0.42,22.98,143.73,144.15,,,,145.51,,,142.57,147.13,
2025-02-07,144.22,145.27,142.7401,142.77,1227727.0,,,,,2.53,0.69,1.84,2.53,3.62,,140.96,147.44,147.75,0.1,1,-2.18,-65.36,147.01,147.01,0.11,6.33,143.96,144.07,,,,144.66,,,142.77,147.13,
2025-02-10,143.56,145.3499,142.15,143.86,2164924.0,,,,,3.2,2.58,0.62,3.2,3.28,,141.64,147.44,147.75,0.1,1,-0.36,-19.8,144.1,144.1,-0.44,-23.65,145.32,144.88,,,,144.02,,,142.77,147.13,
2025-02-11,142.5,143.37,141.0,141.79,1321152.0,,,,,2.37,0.49,2.86,2.86,3.34,,141.0,147.75,141.0,0.05,0,-0.49,-26.1,143.3,143.3,-1.14,-48.74,146.31,145.17,,,,143.08,,,141.79,144.58,
2025-02-12,138.65,141.24,137.515,140.65,1963778.0,,,,,3.73,0.55,4.28,4.28,3.48,3.27,141.0,147.41,137.51,0.1,0,-1.61,-58.07,143.7,143.7,-0.88,-41.48,144.5,143.61,,,,141.92,,,140.65,143.86,
2025-02-13,136.035,144.31,136.035,143.13,3002594.0,,,,,8.28,3.66,4.62,8.28,4.23,3.38,141.0,146.42,136.04,0.15,0,0.67,33.82,141.19,141.19,-0.25,-13.98,142.94,142.69,,,,141.6,,,140.65,143.86,
2025-02-14,142.6,145.59,140.77,143.73,2078167.0,,,,,4.82,2.46,2.36,4.82,4.69,3.53,136.04,145.59,145.59,0.05,1,1.54,57.0,140.96,140.96,0.11,6.16,142.42,142.52,,,,141.81,,,140.65,143.73,
2025-02-18,143.4,144.49,141.19,143.8,1750835.0,,,,,3.3,0.76,2.54,3.3,4.71,3.69,136.52,145.59,145.59,0.05,1,0.34,18.52,143.22,143.22,0.71,35.37,141.2,141.91,,,,142.87,,,140.65,143.8,
2025-02-19,143.43,143.9,140.5448,143.68,1470407.0,,,,,3.36,0.1,3.26,3.36,4.81,3.81,136.97,145.59,145.59,0.05,1,-0.02,-1.43,143.76,143.76,0.67,33.94,141.65,142.33,,,,143.52,,,143.13,143.8,
2025-02-20,143.79,143.79,140.52,141.67,1514373.0,,,,,3.27,0.11,3.16,3.27,4.61,3.93,137.4,145.59,145.59,0.05,1,-1.07,-46.8,144.11,144.11,-0.3,-16.54,143.8,143.5,,,,142.96,,,141.67,143.8,
