Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,25.7795,27.14,25.44,26.8,61014991.0,,,,,1.7,,,1.7,,,25.44,27.14,27.14,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,26.52,26.54,25.26,25.73,35169577.0,,,,,1.28,0.26,1.54,1.54,,,25.26,27.14,25.26,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,26.0,26.05,25.42,25.79,10234863.0,,,,,0.63,0.32,0.31,0.63,,,25.26,27.05,25.26,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,25.48,25.83,25.365,25.66,12380795.0,,,,,0.46,0.04,0.43,0.46,,,25.26,26.96,25.26,0.05,0,-0.04,-2.0,25.76,25.76,,,,,,,,,,,25.66,26.8
2024-12-27 05:00:00,25.41,25.54,24.89,25.08,14967426.0,,,,,0.65,0.12,0.77,0.77,1.02,,25.26,26.88,24.89,0.1,0,-0.36,-19.54,25.86,25.86,,,,,,,,,,,25.08,25.79
2024-12-30 05:00:00,24.54,25.3464,24.31,25.05,15497628.0,,,,,1.04,0.27,0.77,1.04,0.89,,25.26,26.68,24.31,0.15,0,-0.31,-16.96,25.57,25.57,-0.21,-11.7,25.88,25.67,,,,,,,25.05,25.79
2024-12-31 05:00:00,24.86,25.38,24.86,24.92,10363482.0,,,,,0.52,0.33,0.19,0.52,0.68,,25.26,26.32,24.31,0.15,0,-0.08,-4.57,25.1,25.1,-0.24,-13.22,25.77,25.53,,,,,,,24.92,25.66
2025-01-02 05:00:00,25.13,25.4,24.6,25.01,26418692.0,,,,,0.8,0.48,0.32,0.8,0.72,,25.26,26.02,24.31,0.15,0,-0.02,-1.15,25.01,25.01,-0.15,-8.31,25.44,25.29,,,,,,,24.92,25.08
2025-01-03 05:00:00,25.03,25.098,23.9301,24.38,20575509.0,,,,,1.17,0.09,1.08,1.17,0.86,,25.26,25.76,23.93,0.2,0,-0.27,-15.11,25.04,25.04,-0.14,-8.19,25.18,25.03,,,,24.55,,,24.38,25.05
2025-01-06 05:00:00,24.65,24.74,24.061391,24.13,20057278.0,,,,,0.68,0.36,0.32,0.68,0.84,,25.26,25.39,23.93,0.2,0,-0.44,-23.75,24.95,24.95,-0.24,-13.39,25.17,24.94,,,,24.24,,,24.13,25.01
2025-01-07 05:00:00,24.075,24.17,23.27,23.84,23142457.0,,,,,0.9,0.04,0.86,0.9,0.81,,25.26,25.1,23.27,0.21,0,-0.27,-15.11,24.39,24.39,-0.3,-16.91,25.06,24.76,,,,23.95,,,23.84,25.01
2025-01-08 05:00:00,23.51,24.265,23.4,24.18,18531010.0,,,,,0.87,0.43,0.44,0.87,0.88,,25.26,24.72,23.27,0.21,0,0.02,1.43,24.02,24.02,-0.22,-12.41,24.75,24.53,,,,23.93,,,23.84,24.38
2025-01-10 05:00:00,23.55,24.52,23.34,24.27,20667056.0,,,,,1.18,0.34,0.84,1.18,0.96,,23.27,24.52,24.52,0.05,1,0.21,12.13,23.88,23.88,-0.02,-0.97,24.19,24.18,,,,23.93,,,23.84,24.27
2025-01-13 05:00:00,23.73,24.175,23.555,23.89,16174120.0,,,,,0.62,0.09,0.71,0.71,0.87,,23.33,24.52,24.52,0.05,1,-0.15,-8.25,24.26,24.26,-0.01,-0.29,24.07,24.07,,,,23.84,,,23.84,24.27
