Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,172.05,176.12,172.05,174.53,2590623.0,,,,,4.07,,,4.07,,,172.05,176.12,176.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,173.8,175.73,173.535,175.56,854933.0,,,,,2.19,1.2,1.0,2.19,,,172.25,176.12,176.12,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,175.5,176.38,174.2309,176.34,340991.0,,,,,2.15,0.82,1.33,2.15,,,172.44,176.12,176.38,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,174.29,177.415,174.29,177.12,944380.0,,,,,3.12,1.07,2.05,3.12,,,172.83,176.12,177.42,0.15,1,0.78,37.95,175.56,175.56,,,,,,,,,,,174.53,177.12
2024-12-27 05:00:00,176.55,177.69,174.7659,175.81,639394.0,,,,,2.92,0.57,2.35,2.92,2.89,,173.52,176.12,177.69,0.2,1,-0.27,-14.84,176.69,176.69,,,,,,,,,,,175.56,177.12
2024-12-30 05:00:00,174.59,174.59,171.04,173.35,776763.0,,,,,3.55,1.22,4.77,4.77,3.03,,171.04,177.69,171.04,0.05,0,-1.89,-62.05,177.31,177.31,-0.5,-26.34,176.63,176.13,,,,,,,173.35,177.12
2024-12-31 05:00:00,174.56,175.63,173.16,174.04,711716.0,,,,,2.47,2.28,0.19,2.47,3.09,,171.04,177.36,171.04,0.05,0,-0.89,-41.51,175.28,175.28,-0.84,-39.93,177.01,176.17,,,,,,,173.35,177.12
2025-01-02 05:00:00,174.53,175.435,168.43,170.03,996686.0,,,,,7.0,1.4,5.61,7.0,4.06,,171.04,177.04,168.43,0.1,0,-1.66,-58.93,174.13,174.13,-1.6,-57.91,177.26,175.66,,,,,,,170.03,175.81
2025-01-03 05:00:00,171.29,174.62,170.095,174.23,947646.0,,,,,4.53,4.59,0.06,4.59,4.35,,171.04,176.18,168.43,0.1,0,0.1,5.43,172.67,172.67,-0.65,-32.94,174.79,174.14,,,,172.37,,,170.03,174.23
2025-01-06 05:00:00,174.9,180.56,174.9,179.29,1518719.0,,,,,5.66,6.33,0.67,6.33,5.03,,168.43,180.56,180.56,0.05,1,4.63,77.81,169.89,169.89,1.21,50.36,171.77,172.98,,,,174.59,,,170.03,179.29
