Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,62.07,62.465,61.28,62.29,1818112.0,,,,,1.19,,,1.19,,,61.28,62.465,62.465,0.05,1,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,61.01,61.25,59.74,60.21,2833712.0,,,,,1.51,1.04,2.55,2.55,,,59.74,62.46,59.74,0.05,0,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,59.89,61.05,59.825,60.92,1296295.0,,,,,1.22,0.84,0.38,1.22,,,59.74,62.32,59.74,0.05,0,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,61.38,63.08,61.38,63.02,1709028.0,,,,,1.7,2.16,0.46,2.16,,,59.74,63.08,63.08,0.05,1,1.4,54.56,59.98,59.98,,,,,,,,,,,60.21,63.02
2025-01-15 05:00:00,65.31,66.0,64.38,65.09,1789817.0,,,,,1.62,2.98,1.36,2.98,2.02,,59.91,63.08,66.0,0.1,1,2.09,64.38,60.92,60.92,,,,,,,,,,,60.21,65.09
2025-01-16 05:00:00,64.23,65.25,63.46,65.12,2953699.0,,,,,1.79,0.16,1.63,1.79,2.14,,60.52,63.08,66.0,0.1,1,1.05,46.4,63.36,63.36,1.4,54.44,60.07,61.47,,,,,,,60.92,65.12
2025-01-17 05:00:00,64.91,66.19,64.74,66.1,1994464.0,,,,,1.45,1.07,0.38,1.45,1.92,,61.07,63.08,66.19,0.15,1,0.5,26.79,64.93,64.93,1.25,51.25,61.56,62.8,,,,,,,63.02,66.1
2025-01-21 05:00:00,66.12,67.12,65.93,66.38,2617090.0,,,,,1.19,1.02,0.17,1.19,1.91,,61.84,63.08,67.12,0.2,1,0.63,32.21,65.24,65.24,0.77,37.7,63.6,64.37,,,,,,,65.09,66.38
2025-01-22 05:00:00,63.46,65.51,62.115,62.69,3792917.0,,,,,3.4,0.87,4.26,4.26,2.33,,62.12,67.12,62.12,0.05,0,-1.7,-59.61,66.76,66.76,-0.35,-19.49,65.78,65.43,,,,65.94,,,62.69,66.38
2025-01-23 05:00:00,62.11,63.4,61.6632,62.53,2082541.0,,,,,1.74,0.71,1.03,1.74,2.09,,62.12,66.87,61.66,0.1,0,-1.92,-62.55,65.79,65.79,-0.86,-40.66,66.28,65.42,,,,64.58,,,62.53,66.38
2025-01-24 05:00:00,61.9,63.74,61.88,63.27,1504886.0,,,,,1.86,1.21,0.65,1.86,2.1,,62.12,66.35,61.66,0.1,0,0.29,16.17,62.54,62.54,-0.95,-43.56,66.1,65.14,,,,63.52,,,62.53,66.38
2025-01-27 05:00:00,63.64,64.38,62.08,62.79,1979698.0,,,,,2.3,1.11,1.19,2.3,2.27,,62.12,65.88,61.66,0.1,0,0.13,7.41,62.73,62.73,-0.66,-33.42,64.85,64.19,,,,62.59,,,62.53,63.27
2025-01-28 05:00:00,62.82,63.59,62.34,63.53,1957222.0,,,,,1.25,0.8,0.45,1.25,2.28,,62.12,65.46,61.66,0.1,0,0.13,7.41,63.07,63.07,0.19,10.98,62.57,62.77,,,,62.5,,,62.53,63.53
