Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,68.65,68.94,68.2,68.3,1786001.0,,,,,0.74,,,0.74,,,68.94,68.2,68.2,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,67.95,68.08,66.42,66.6,2536910.0,,,,,1.66,0.22,1.88,1.88,,,68.94,68.2,66.42,0.1,0,,,,,,,,,,,,,,,,,
2025-01-23,66.53,66.88,65.1,65.86,3509580.0,,,,,1.78,0.28,1.5,1.78,,,68.94,68.08,65.1,0.15,0,,,,,,,,,,,,,,,,,
2025-01-24,65.71,66.255,65.55,65.82,2215732.0,,,,,0.7,0.39,0.31,0.7,,,68.94,67.63,65.1,0.15,0,-0.39,-21.31,66.48,66.48,,,,,,,,,,,65.82,68.3,
2025-01-27,66.56,67.561,65.47,67.19,3877128.0,,,,,2.09,1.74,0.35,2.09,1.44,,65.1,67.56,67.56,0.05,1,0.66,33.62,65.62,65.62,,,,,,,,,,,65.82,67.19,
2025-01-28,67.1,67.13,65.35,65.61,3195400.0,,,,,1.78,0.06,1.84,1.84,1.66,,65.22,67.56,67.56,0.05,1,-0.1,-5.99,66.31,66.31,-0.07,-3.72,66.35,66.28,,,,,,,65.61,67.19,
2025-01-29,65.76,66.29,65.71,65.77,2044043.0,,,,,0.58,0.68,0.1,0.68,1.42,,65.34,67.56,67.56,0.05,1,-0.71,-35.37,66.9,66.9,-0.04,-2.23,66.13,66.09,,,,,,,65.61,67.19,
2025-01-30,66.51,66.51,65.51,66.2,2674116.0,,,,,1.0,0.74,0.26,1.0,1.26,,65.45,67.56,67.56,0.05,1,0.3,16.44,65.56,65.56,-0.07,-3.78,66.25,66.18,,,,,,,65.61,67.19,
2025-01-31,66.21,66.51,65.83,66.0,1812426.0,,,,,0.68,0.31,0.37,0.68,1.26,,65.51,67.56,67.56,0.05,1,0.11,6.56,65.87,65.87,-0.18,-10.15,66.51,66.33,,,,65.95,,,65.61,66.2,
2025-02-03,65.7,66.71,65.17,66.48,2454287.0,,,,,1.54,0.71,0.83,1.54,1.15,,65.17,67.56,65.17,0.05,0,0.14,7.97,66.09,66.09,0.2,11.14,65.62,65.82,,,,66.22,,,65.77,66.48,
2025-02-04,65.97,66.3054,65.5,66.18,1733403.0,,,,,0.81,0.17,0.98,0.98,0.98,,65.17,67.44,65.17,0.05,0,0.09,5.14,66.13,66.13,0.11,6.28,65.91,66.02,,,,66.18,,,66.0,66.48,
2025-02-05,66.77,67.42,66.38,67.12,2700854.0,,,,,1.04,1.24,0.2,1.24,1.09,,65.17,67.42,67.42,0.05,1,0.32,17.74,66.27,66.27,0.2,11.42,65.99,66.19,,,,66.5,,,66.0,67.12,
2025-02-06,67.35,68.33,66.53,68.33,3448904.0,,,,,1.8,1.21,0.59,1.8,1.25,,65.28,67.42,68.33,0.1,1,1.07,47.07,66.14,66.14,0.53,27.92,65.76,66.29,,,,67.55,,,66.18,68.33,
2025-02-07,68.01,68.74,67.04,68.7,2904259.0,,,,,1.7,0.41,1.29,1.7,1.45,,65.59,67.42,68.74,0.15,1,0.79,38.31,67.26,67.26,0.66,33.38,66.04,66.7,,,,68.27,,,66.18,68.7,
2025-02-10,68.31,69.18,68.03,69.18,2224699.0,,,,,1.15,0.48,0.67,1.15,1.37,,66.06,67.42,69.18,0.2,1,0.43,23.03,68.31,68.31,0.76,37.16,66.39,67.14,,,,68.98,,,67.12,69.18,
2025-02-11,69.0,69.475,68.23,69.45,2434961.0,,,,,1.24,0.29,0.95,1.24,1.43,,66.68,67.42,69.47,0.21,1,0.37,20.56,68.74,68.74,0.55,28.85,67.45,68.01,,,,69.61,,,68.33,69.45,
2025-02-12,68.69,69.68,68.35,69.55,2119536.0,,,,,1.33,0.23,1.1,1.33,1.44,1.32,67.27,67.42,69.68,0.21,1,0.18,10.48,69.21,69.21,0.32,17.69,68.4,68.72,,,,69.97,,,68.7,69.55,
2025-02-13,69.76,70.03,69.405,69.82,1864689.0,,,,,0.62,0.48,0.14,0.62,1.21,1.31,67.78,67.42,70.03,0.21,1,0.18,10.48,69.42,69.42,0.26,14.63,68.82,69.08,,,,70.27,,,69.18,69.82,
2025-02-14,69.57,69.78,68.74,68.81,2237111.0,,,,,1.04,0.04,1.08,1.08,1.08,1.26,68.25,67.42,70.03,0.21,1,-0.37,-20.3,69.76,69.76,-0.04,-2.12,69.44,69.4,,,,69.79,,,68.81,69.82,
2025-02-18,68.96,69.89,68.905,69.54,2278905.0,,,,,0.98,1.08,0.09,1.08,1.07,1.23,68.62,67.42,70.03,0.21,1,-0.14,-7.97,69.53,69.53,-0.06,-3.21,69.55,69.49,,,,69.63,,,68.81,69.82,
2025-02-19,69.54,70.235,69.455,70.15,1378925.0,,,,,0.78,0.69,0.09,0.78,0.98,1.21,68.9,67.42,70.24,0.21,1,0.67,33.82,68.83,68.83,0.09,5.26,69.39,69.48,,,,69.83,,,68.81,70.15,
2025-02-20,70.5,71.0,70.07,70.7,2145260.0,,,,,0.93,0.85,0.08,0.93,0.9,1.18,69.18,67.42,71.0,0.21,1,0.58,30.11,69.55,69.55,0.31,17.22,69.18,69.49,,,,70.2,,,68.81,70.7,
2025-02-21,70.57,71.94,70.57,71.49,2150651.0,,,,,1.37,1.24,0.13,1.37,1.05,1.18,69.56,67.42,71.94,0.21,1,0.67,33.82,70.11,70.11,0.65,33.1,68.83,69.49,,,,70.84,,,69.54,71.49,
2025-02-24,71.46,72.475,71.16,72.12,2043335.0,,,,,1.31,0.98,0.33,1.31,1.09,1.19,70.06,67.42,72.47,0.21,1,0.71,35.37,70.73,70.73,0.65,33.02,69.5,70.15,,,,71.63,,,70.15,72.12,
2025-02-25,72.36,73.37,72.005,73.08,2722229.0,68.32,2.17,72.66,63.98,1.37,1.25,0.12,1.37,1.15,1.19,70.57,67.42,73.37,0.21,1,0.8,38.48,71.43,71.43,0.73,36.05,70.05,70.78,,,,72.62,,,70.7,73.08,
2025-02-26,72.65,73.36,72.57,73.2,2869069.0,68.52,2.38,73.28,63.76,0.79,0.28,0.51,0.79,1.15,1.18,71.16,67.42,73.37,0.21,1,0.54,28.37,72.26,72.26,0.66,33.38,70.8,71.46,,,,73.43,,,71.49,73.2,
2025-02-27,72.57,73.35,72.26,72.34,2635494.0,68.75,2.47,73.69,63.81,1.09,0.15,0.94,1.09,1.19,1.16,71.62,67.42,73.37,0.21,1,-0.37,-20.3,73.24,73.24,0.28,15.54,71.89,72.17,,,,73.35,,,72.12,73.2,
2025-02-28,72.92,73.34,72.04,73.05,3228110.0,69.04,2.53,74.1,63.98,1.3,1.0,0.3,1.3,1.17,1.15,71.99,67.42,73.37,0.21,1,-0.08,-4.29,72.94,72.94,0.11,6.39,72.53,72.65,,,,73.46,,,72.34,73.2,
