Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,32.75,33.12,32.69,33.06,4466389.0,,,,,0.43,,,0.43,,,32.69,33.12,33.12,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,33.03,33.03,32.38,32.44,3884790.0,,,,,0.65,0.03,0.68,0.68,,,32.38,33.12,32.38,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,32.42,32.58,32.23,32.44,3352988.0,,,,,0.35,0.14,0.21,0.35,,,32.38,33.08,32.23,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,32.29,32.48,32.025,32.36,5292571.0,,,,,0.45,0.04,0.41,0.45,,,32.38,32.99,32.02,0.15,0,-0.04,-2.29,32.45,32.45,,,,,,,,,,,32.36,33.06,
2025-01-27,32.79,32.94,31.76,32.88,5249608.0,,,,,1.18,0.58,0.6,1.18,0.62,,32.02,32.94,32.94,0.05,1,0.22,12.41,32.34,32.34,,,,,,,,,,,32.36,32.88,
2025-01-28,32.75,32.93,32.13,32.31,4020250.0,,,,,0.8,0.05,0.75,0.8,0.69,,31.76,32.94,32.94,0.05,1,-0.03,-1.43,32.54,32.54,0.02,1.03,32.45,32.47,,,,,,,32.31,32.88,
2025-01-29,32.38,32.745,32.255,32.3,3576868.0,,,,,0.49,0.43,0.05,0.49,0.65,,31.82,32.94,32.94,0.05,1,-0.29,-16.17,32.79,32.79,-0.03,-1.89,32.52,32.49,,,,,,,32.3,32.88,
2025-01-30,32.76,33.005,32.44,32.88,3956277.0,,,,,0.57,0.71,0.14,0.71,0.73,,31.88,32.94,33.01,0.1,1,0.29,15.91,32.21,32.21,0.05,2.63,32.45,32.5,,,,,,,32.3,32.88,
2025-01-31,32.75,32.91,32.315,32.57,3489875.0,,,,,0.59,0.03,0.57,0.59,0.75,,31.99,32.94,33.01,0.1,1,0.13,7.69,32.45,32.45,-0.01,-0.29,32.6,32.59,,,,32.62,,,32.3,32.88,
2025-02-03,32.16,32.63,32.01,32.51,4392249.0,,,,,0.62,0.06,0.56,0.62,0.64,,32.01,33.01,32.01,0.05,0,-0.19,-10.48,32.84,32.84,0.07,3.83,32.38,32.45,,,,32.59,,,32.3,32.88,
2025-02-04,32.21,32.53,32.12,32.15,2689051.0,,,,,0.41,0.02,0.39,0.41,0.56,,32.01,32.96,32.01,0.05,0,-0.21,-11.86,32.62,32.62,-0.07,-3.83,32.62,32.55,,,,32.41,,,32.15,32.88,
2025-02-05,32.43,32.47,32.153866,32.27,3984502.0,,,,,0.32,0.32,0.0,0.32,0.53,,32.01,32.91,32.01,0.05,0,-0.12,-6.84,32.43,32.43,-0.16,-9.31,32.8,32.64,,,,32.29,,,32.15,32.57,
2025-02-06,32.42,32.48,31.955,32.44,3004873.0,,,,,0.52,0.21,0.32,0.52,0.49,,32.01,32.86,31.96,0.1,0,0.14,8.25,32.14,32.14,-0.05,-2.86,32.49,32.44,,,,32.37,,,32.15,32.51,
2025-02-07,32.38,32.54,32.22,32.4,2710207.0,,,,,0.32,0.1,0.22,0.32,0.44,,32.01,32.77,31.96,0.1,0,0.06,3.72,32.31,32.31,0.01,0.4,32.34,32.35,,,,32.32,,,32.15,32.44,
2025-02-10,32.35,32.405,32.12,32.38,1724012.0,,,,,0.29,0.01,0.28,0.29,0.37,,32.01,32.69,31.96,0.1,0,-0.03,-1.72,32.44,32.44,0.06,3.38,32.21,32.27,,,,32.26,,,32.27,32.44,
2025-02-11,32.22,32.41,31.955,32.41,2680002.0,,,,,0.45,0.03,0.43,0.45,0.38,,32.01,32.62,31.96,0.15,0,0.0,0.29,32.39,32.39,0.02,1.26,32.34,32.36,,,,32.36,,,32.38,32.44,
2025-02-12,31.99,32.71,31.99,32.58,3756032.0,,,,,0.72,0.3,0.42,0.72,0.46,0.56,31.96,32.71,32.71,0.05,1,0.1,5.71,32.36,32.36,0.03,1.66,32.38,32.41,,,,32.48,,,32.38,32.58,
2025-02-13,32.67,33.51,32.63,33.43,5723695.0,,,,,0.88,0.93,0.05,0.93,0.54,0.56,31.99,32.71,33.51,0.1,1,0.51,27.02,32.3,32.3,0.23,12.73,32.19,32.41,,,,32.94,,,32.38,33.43,
2025-02-14,33.6,33.85,33.38,33.41,5220049.0,,,,,0.47,0.42,0.05,0.47,0.57,0.55,32.14,32.71,33.85,0.15,1,0.41,22.54,32.73,32.73,0.31,17.12,32.23,32.53,,,,33.23,,,32.41,33.43,
2025-02-18,33.5,34.085,33.41,33.81,5587809.0,,,,,0.68,0.68,0.0,0.68,0.65,0.55,32.4,32.71,34.08,0.2,1,0.19,10.76,33.36,33.36,0.36,19.95,32.4,32.76,,,,33.61,,,32.58,33.81,
2025-02-19,33.71,34.17,33.71,34.09,5986203.0,,,,,0.46,0.36,0.1,0.46,0.65,0.54,32.74,32.71,34.17,0.21,1,0.34,18.78,33.43,33.43,0.34,18.78,32.78,33.12,,,,34.02,,,33.41,34.09,
2025-02-20,34.09,34.12,33.26,33.73,5634648.0,,,,,0.86,0.03,0.83,0.86,0.68,0.54,33.04,32.71,34.17,0.21,1,-0.04,-2.29,33.92,33.92,0.13,7.29,33.44,33.57,,,,34.13,,,33.41,34.09,
2025-02-21,33.74,34.39,33.53,34.29,6019507.0,,,,,0.86,0.66,0.2,0.86,0.67,0.54,33.26,32.71,34.39,0.21,1,0.1,5.71,33.94,33.94,0.17,9.54,33.53,33.7,,,,34.36,,,33.73,34.29,
2025-02-24,34.37,34.44,33.63,34.2,4707396.0,,,,,0.81,0.15,0.66,0.81,0.73,0.55,33.5,32.71,34.44,0.21,1,0.23,13.22,33.84,33.84,0.1,5.6,33.83,33.93,,,,34.4,,,33.73,34.29,
2025-02-25,34.17,34.38,33.705,34.22,7436811.0,32.94,0.72,34.38,31.5,0.68,0.18,0.5,0.68,0.73,0.57,33.63,32.71,34.44,0.21,1,-0.03,-2.0,34.27,34.27,0.07,4.18,33.96,34.03,,,,34.34,,,33.73,34.29,
2025-02-26,34.11,34.485,33.905,34.04,4414898.0,32.98,0.76,34.5,31.46,0.58,0.27,0.31,0.58,0.76,0.59,33.7,32.71,34.48,0.21,1,-0.08,-4.57,34.23,34.23,0.05,3.15,33.99,34.04,,,,34.28,,,34.04,34.29,
2025-02-27,33.79,34.07,33.64,33.74,4340860.0,33.03,0.76,34.55,31.51,0.43,0.03,0.4,0.43,0.67,0.6,33.64,34.48,33.64,0.05,0,-0.24,-13.5,34.24,34.24,-0.13,-7.18,34.35,34.22,,,,34.04,,,33.74,34.22,
2025-02-28,34.03,34.43,33.81,34.38,5122594.0,33.11,0.8,34.71,31.51,0.62,0.69,0.07,0.69,0.64,0.63,33.64,34.44,33.64,0.05,0,0.17,9.65,33.88,33.88,-0.01,-0.69,34.14,34.13,,,,34.14,,,33.74,34.38,
2025-03-03,34.35,34.845,34.23,34.57,4382019.0,33.2,0.83,34.86,31.54,0.62,0.46,0.15,0.62,0.6,0.64,33.64,34.84,34.84,0.05,1,0.41,22.54,33.82,33.82,0.1,5.94,33.98,34.09,,,,34.34,,,33.74,34.57,
2025-03-04,34.61,34.725,33.63,33.69,5716974.0,33.23,0.83,34.89,31.57,1.09,0.16,0.94,1.09,0.68,0.66,33.63,34.84,33.63,0.05,0,-0.35,-19.03,34.56,34.56,0.01,0.74,34.06,34.07,,,,34.05,,,33.69,34.57,
2025-03-05,33.47,33.995,33.38,33.82,4192521.0,33.29,0.82,34.93,31.65,0.61,0.3,0.31,0.61,0.69,0.67,33.63,34.78,33.38,0.1,0,-0.38,-20.56,34.4,34.4,-0.05,-3.03,34.15,34.09,,,,33.95,,,33.69,34.57,
2025-03-06,33.69,33.78,33.24,33.4,3134082.0,33.34,0.79,34.92,31.76,0.54,0.04,0.58,0.58,0.72,0.68,33.63,34.64,33.24,0.15,0,-0.14,-8.25,33.78,33.78,-0.27,-15.16,34.51,34.24,,,,33.7,,,33.4,34.57,
2025-03-07,33.35,34.35,33.28,34.26,5001343.0,33.39,0.81,35.01,31.77,1.07,0.95,0.12,1.07,0.79,0.69,33.63,34.43,33.24,0.15,0,0.22,12.41,33.61,33.61,-0.09,-5.2,34.13,34.04,,,,33.87,,,33.4,34.26,
2025-03-10,34.19,34.98,34.105,34.43,6112538.0,33.47,0.81,35.09,31.85,0.88,0.72,0.16,0.88,0.85,0.71,33.24,34.98,34.98,0.05,1,0.52,27.25,33.51,33.51,0.19,10.87,33.54,33.73,,,,34.07,,,33.4,34.43,
