Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,374.05,376.35,370.69,375.61,334666.0,,,,,5.66,,,5.66,,,370.69,376.35,376.35,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,373.88,374.7829,371.245,373.41,334780.0,,,,,3.54,0.83,4.37,4.37,,,370.97,376.35,376.35,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,373.8,377.81,373.54,377.37,324198.0,,,,,4.27,4.4,0.13,4.4,,,371.24,376.35,377.81,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,378.12,384.41,378.0,379.29,332812.0,,,,,6.41,7.04,0.63,7.04,,,371.9,376.35,384.41,0.15,1,2.94,71.21,373.75,373.75,,,,,,,,,,,373.41,379.29,
2025-01-27,378.39,380.0,373.27,379.49,483228.0,,,,,6.73,0.71,6.02,6.73,5.64,,373.27,384.41,373.27,0.05,0,1.06,46.67,377.66,377.66,,,,,,,,,,,373.41,379.49,
2025-01-28,378.61,380.85,378.42,378.85,320709.0,,,,,2.43,1.36,1.07,2.43,4.99,,373.27,383.85,373.27,0.05,0,-0.22,-12.41,379.43,379.43,1.3,52.43,375.08,376.38,,,,,,,377.37,379.49,
2025-01-29,378.16,381.4,376.06,381.22,329368.0,,,,,5.34,2.55,2.79,5.34,5.19,,373.27,383.32,373.27,0.05,0,0.86,40.86,378.99,378.99,0.73,35.98,377.79,378.52,,,,,,,378.85,381.22,
2025-01-30,384.75,391.095,384.235,387.47,390578.0,,,,,6.86,9.88,3.01,9.88,6.28,,373.27,391.1,391.1,0.05,1,4.31,76.94,378.2,378.2,1.81,61.07,377.65,379.46,,,,,,,378.85,387.47,
2025-01-31,387.47,387.47,380.1,380.49,398177.0,,,,,7.37,0.0,7.37,7.37,6.35,,374.16,391.1,391.1,0.05,1,-0.36,-20.05,383.42,383.42,1.06,46.72,379.38,380.44,,,,384.08,,,378.85,387.47,
2025-02-03,374.8,381.5,372.912,379.61,350976.0,,,,,8.59,1.01,7.58,8.59,6.72,,372.91,391.1,372.91,0.05,0,-3.93,-75.72,386.45,386.45,0.08,4.52,381.37,381.45,,,,382.47,,,379.61,387.47,
2025-02-04,376.44,381.13,376.44,379.66,369295.0,,,,,4.69,1.52,3.17,4.69,7.17,,372.91,390.19,372.91,0.05,0,-0.42,-22.54,380.33,380.33,-1.1,-47.67,383.89,382.79,,,,381.36,,,379.61,387.47,
2025-02-05,383.87,389.8,382.52,388.67,670739.0,,,,,7.28,10.14,2.86,10.14,8.13,,372.91,389.8,389.8,0.05,1,4.53,77.55,378.12,378.12,0.16,8.92,382.87,383.02,,,,384.29,,,379.61,388.67,
2025-02-06,378.18,400.81,372.0,389.55,1057330.0,,,,,28.81,12.14,16.67,28.81,11.92,,372.0,389.8,372.0,0.05,0,4.94,78.57,381.02,381.02,2.72,69.8,378.16,380.88,,,,386.85,,,379.61,389.55,
2025-02-07,391.28,391.28,374.17,375.86,604031.0,,,,,17.11,1.73,15.38,17.11,13.87,,372.0,400.81,372.0,0.05,0,-6.41,-81.13,391.1,391.1,0.24,13.44,382.19,382.43,,,,382.71,,,375.86,389.55,
2025-02-10,375.0,379.88,373.4444,375.15,511631.0,,,,,6.44,4.02,2.42,6.44,13.44,,372.0,399.37,372.0,0.05,0,-7.2,-82.09,387.39,387.39,-2.18,-65.39,386.14,383.96,,,,379.12,,,375.15,389.55,
2025-02-11,370.82,371.44,365.0,369.21,448807.0,,,,,6.44,3.71,10.15,10.15,14.53,,372.0,398.0,365.0,0.1,0,-3.33,-73.26,376.73,376.73,-5.33,-79.38,390.35,385.02,,,,375.12,,,369.21,389.55,
2025-02-12,365.51,370.8514,363.72,367.48,346225.0,,,,,7.13,1.64,5.49,7.13,13.93,9.09,372.0,394.7,363.72,0.15,0,-3.83,-75.39,374.45,374.45,-5.08,-78.86,385.61,380.53,,,,370.17,,,367.48,375.86,
2025-02-13,368.81,369.255,364.9424,368.41,330166.0,,,,,4.31,1.77,2.54,4.31,9.03,9.35,372.0,390.05,363.72,0.15,0,-0.4,-21.8,368.77,368.77,-2.26,-66.1,375.74,373.48,,,,366.48,,,367.48,375.15,
2025-02-14,370.0,378.055,370.0,377.31,403676.0,,,,,8.06,9.64,1.59,9.64,7.53,9.55,372.0,386.1,363.72,0.15,0,4.92,78.5,366.15,366.15,0.35,19.39,370.81,371.16,,,,367.44,,,367.48,377.31,
2025-02-18,377.92,386.88,377.92,386.7,402405.0,,,,,8.96,9.57,0.61,9.57,8.16,9.77,363.72,386.88,386.88,0.05,1,9.14,83.76,368.33,368.33,4.48,77.42,364.86,369.34,,,,374.76,,,367.48,386.7,
2025-02-19,386.01,386.51,377.69,378.26,475459.0,,,,,8.82,0.19,9.01,9.01,7.93,9.9,364.88,386.88,386.88,0.05,1,0.48,25.41,380.28,380.28,3.98,75.91,367.66,371.65,,,,378.95,,,368.41,386.7,
2025-02-20,377.73,380.3,365.035,368.99,357271.0,,,,,15.26,2.04,13.22,15.26,9.56,10.15,365.04,386.88,365.04,0.05,0,-8.85,-83.56,386.84,386.84,0.21,11.91,375.51,375.72,,,,376.8,,,368.99,386.7,
2025-02-21,368.99,370.02,360.78,363.84,341634.0,,,,,9.24,1.03,8.21,9.24,10.54,10.44,365.04,385.79,360.78,0.1,0,-7.21,-82.1,377.57,377.57,-4.47,-77.38,383.95,379.48,,,,372.9,,,363.84,386.7,
2025-02-24,363.84,365.25,360.19,361.23,363861.0,,,,,5.06,1.41,3.65,5.06,9.63,10.63,365.04,383.29,360.19,0.15,0,-3.88,-75.55,368.57,368.57,-6.54,-81.3,384.88,378.34,,,,367.36,,,361.23,378.26,
2025-02-25,363.15,370.925,358.43,370.53,611645.0,376.55,7.43,391.41,361.69,12.5,9.69,2.8,12.5,10.21,10.79,365.04,379.83,358.43,0.2,0,3.35,73.36,361.85,361.85,-2.32,-66.7,373.21,370.89,,,,365.93,,,361.23,370.53,
2025-02-26,370.04,377.56,367.91,371.83,1010676.0,376.4,7.49,391.38,361.42,9.65,7.03,2.62,9.65,10.34,10.67,358.43,377.56,377.56,0.05,1,5.3,79.32,362.56,362.56,1.24,51.05,364.81,366.05,,,,365.03,,,361.23,371.83,
2025-02-27,371.23,374.665,361.62,364.47,470569.0,376.04,7.84,391.72,360.36,13.05,2.84,10.21,13.05,9.9,10.36,359.39,377.56,377.56,0.05,1,-3.03,-71.74,371.97,371.97,1.19,49.86,364.01,365.19,,,,362.99,,,361.23,371.83,
2025-02-28,365.18,369.04,360.01,367.05,467813.0,375.62,8.04,391.7,359.54,9.03,4.57,4.46,9.03,9.86,10.09,360.01,377.56,360.01,0.05,0,-2.39,-67.3,370.17,370.17,0.56,29.16,365.91,366.46,,,,365.45,,,364.47,371.83,
2025-03-03,368.23,375.61,362.96,365.94,629090.0,375.09,8.23,391.55,358.63,12.65,8.56,4.09,12.65,11.38,9.85,360.01,376.68,360.01,0.05,0,0.74,36.32,365.08,365.08,-1.4,-54.38,370.76,369.36,,,,366.97,,,364.47,371.83,
