Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,69.89,71.86,69.61,71.44,7036135.0,,,,,2.25,,,2.25,,,69.61,71.86,71.86,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,70.12,72.86,70.11,72.74,2638063.0,,,,,2.75,1.42,1.33,2.75,,,69.72,71.86,72.86,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,72.33,73.0,71.93,72.95,1159695.0,,,,,1.07,0.26,0.81,1.07,,,70.03,71.86,73.0,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,72.38,73.52,71.8,73.1,1292989.0,,,,,1.72,0.57,1.15,1.72,,,70.48,71.86,73.52,0.2,1,0.18,10.2,72.75,72.75,,,,,,,,,,,71.44,73.1
2024-12-27 05:00:00,72.28,72.8,71.69,72.22,1702431.0,,,,,1.11,0.3,1.41,1.41,1.84,,71.09,71.86,73.52,0.2,1,-0.36,-20.05,73.12,73.12,,,,,,,,,,,72.22,73.1
2024-12-30 05:00:00,71.69,72.395,71.0,71.82,2352363.0,,,,,1.39,0.17,1.22,1.39,1.67,,71.0,73.52,71.0,0.05,0,-0.64,-32.62,73.02,73.02,-0.26,-14.41,73.08,72.82,,,,,,,71.82,73.1
2024-12-31 05:00:00,72.035,72.49,70.74,71.59,2124995.0,,,,,1.75,0.67,1.08,1.75,1.47,,71.0,73.39,70.74,0.1,0,-0.32,-17.48,72.19,72.19,-0.4,-21.8,73.14,72.74,,,,,,,71.59,73.1
2025-01-02 05:00:00,72.17,72.94,70.5,70.83,2471661.0,,,,,2.44,1.35,1.09,2.44,1.74,,71.0,73.12,70.5,0.15,0,-0.49,-26.34,71.91,71.91,-0.52,-27.34,72.95,72.43,,,,,,,70.83,72.22
2025-01-03 05:00:00,70.86,72.4,70.7,72.25,1848688.0,,,,,1.7,1.57,0.13,1.7,1.74,,71.0,72.94,70.5,0.15,0,0.33,18.26,71.23,71.23,-0.09,-5.31,71.93,71.83,,,,71.4,,,70.83,72.25
2025-01-06 05:00:00,72.16,73.0,71.13,71.21,1953079.0,,,,,1.87,0.75,1.12,1.87,1.83,,70.5,73.0,73.0,0.05,1,0.19,10.76,71.24,71.24,-0.06,-3.21,71.65,71.6,,,,71.13,,,70.83,72.25
2025-01-07 05:00:00,71.22,72.21,70.28,70.36,2098577.0,,,,,1.93,1.0,0.93,1.93,1.94,,70.28,73.0,70.28,0.05,0,-0.94,-43.38,72.22,72.22,-0.21,-11.75,71.66,71.46,,,,70.68,,,70.36,72.25
2025-01-08 05:00:00,70.63,71.61,70.29,71.34,2214489.0,,,,,1.32,1.25,0.07,1.32,1.85,,70.28,72.86,70.28,0.05,0,0.07,3.72,70.9,70.9,-0.09,-4.97,71.37,71.28,,,,70.9,,,70.36,72.25
2025-01-10 05:00:00,70.33,70.74,69.44,69.87,2769250.0,,,,,1.3,0.6,1.9,1.9,1.74,,70.28,72.73,69.44,0.1,0,-0.24,-13.77,70.77,70.77,-0.46,-24.84,71.93,71.47,,,,70.44,,,69.87,71.34
2025-01-13 05:00:00,69.81,70.1,68.77,69.29,2735738.0,,,,,1.33,0.23,1.1,1.33,1.67,,70.28,72.4,68.77,0.15,0,-1.02,-45.71,71.19,71.19,-0.43,-23.41,71.28,70.85,,,,69.82,,,69.29,71.34
2025-01-14 05:00:00,69.43,70.21,68.41,69.61,3775856.0,,,,,1.8,0.92,0.88,1.8,1.66,,70.28,71.86,68.41,0.2,0,-0.13,-7.41,69.72,69.72,-0.36,-19.54,70.8,70.45,,,,69.5,,,69.29,71.34
2025-01-15 05:00:00,71.14,74.38,71.14,73.22,3786658.0,,,,,3.24,4.77,1.53,4.77,2.22,,68.41,74.38,74.38,0.05,1,1.97,63.03,68.74,68.74,0.35,19.29,69.97,70.32,,,,70.65,,,69.29,73.22
2025-01-16 05:00:00,73.16,73.55,71.82,73.42,2226066.0,,,,,1.73,0.33,1.4,1.73,2.31,1.82,68.71,74.38,74.38,0.05,1,1.9,62.3,70.18,70.18,1.1,47.8,68.88,69.98,,,,72.04,,,69.29,73.42
2025-01-17 05:00:00,75.06,75.06,72.99,73.85,2189277.0,,,,,2.07,1.64,0.43,2.07,2.34,1.86,68.99,74.38,75.06,0.1,1,0.31,17.48,73.18,73.18,1.29,52.28,69.29,70.58,,,,73.25,,,69.61,73.85
2025-01-21 05:00:00,74.45,74.99,73.97,74.16,2194298.0,,,,,1.02,1.14,0.12,1.14,2.3,1.91,69.6,74.38,75.06,0.1,1,0.37,20.3,73.44,73.44,0.97,44.22,70.91,71.88,,,,74.16,,,73.22,74.16
2025-01-22 05:00:00,74.16,75.04,73.51,74.01,2098768.0,,,,,1.53,0.88,0.65,1.53,2.25,1.97,70.15,74.38,75.06,0.1,1,0.08,4.57,73.93,73.93,0.23,13.06,73.27,73.5,,,,74.94,,,73.42,74.16
2025-01-23 05:00:00,73.6,74.95,73.16,74.38,2135251.0,,,,,1.79,0.94,0.85,1.79,1.65,1.96,70.64,74.38,75.06,0.1,1,0.11,6.28,74.07,74.07,0.21,11.75,73.55,73.76,,,,75.28,,,73.85,74.38
2025-01-24 05:00:00,74.0,75.4099,73.11,74.16,1702785.0,,,,,2.3,1.03,1.27,2.3,1.77,1.96,71.08,74.38,75.41,0.15,1,0.07,4.29,74.11,74.11,0.08,4.8,73.94,74.03,,,,75.01,,,74.01,74.38
2025-01-27 05:00:00,73.52,76.53,73.49,76.44,2307494.0,,,,,3.04,2.37,0.67,3.04,1.96,1.97,71.73,74.38,76.53,0.2,1,1.03,45.85,73.96,73.96,0.47,25.22,73.69,74.16,,,,75.36,,,74.01,76.44
2025-01-28 05:00:00,75.87,77.54,75.715,76.12,3048035.0,,,,,1.83,1.1,0.72,1.83,2.1,1.99,72.69,74.38,77.54,0.21,1,0.98,44.42,74.59,74.59,0.63,32.13,73.77,74.39,,,,75.91,,,74.16,76.44
2025-01-29 05:00:00,76.28,76.8,75.46,75.65,1896620.0,72.64,1.95,76.54,68.74,1.34,0.68,0.66,1.34,2.06,2.0,73.71,74.38,77.54,0.21,1,-0.39,-21.55,76.46,76.46,0.45,24.23,74.45,74.9,,,,76.07,,,74.16,76.44
2025-01-30 05:00:00,76.81,77.53,75.91,76.52,1543491.0,72.84,2.08,77.0,68.68,1.62,1.88,0.26,1.88,2.08,2.03,74.51,74.38,77.54,0.21,1,0.2,11.31,75.9,75.9,0.39,21.45,74.99,75.39,,,,76.52,,,75.65,76.52
2025-01-31 05:00:00,76.19,77.43,76.06,76.6,2620807.0,73.0,2.22,77.44,68.56,1.37,0.91,0.46,1.37,1.89,2.05,75.15,74.38,77.54,0.21,1,0.47,25.41,75.78,75.78,0.07,4.12,76.12,76.19,,,,76.86,,,75.65,76.6
2025-02-03 05:00:00,76.52,77.9,76.08,76.8,2823303.0,73.15,2.34,77.83,68.47,1.82,1.3,0.52,1.82,1.65,2.04,75.65,74.38,77.9,0.21,1,0.14,7.97,76.5,76.5,0.23,13.01,75.88,76.11,,,,77.04,,,75.65,76.8
