Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,181.59,187.74,181.15,186.94,6170253.0,,,,,6.59,,,6.59,,,181.15,187.74,187.74,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,187.13,188.28,185.34,187.12,2663202.0,,,,,2.94,1.34,1.6,2.94,,,181.48,187.74,188.28,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,187.15,188.39,186.66,188.35,908655.0,,,,,1.73,1.27,0.46,1.73,,,182.16,187.74,188.39,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,186.95,187.8893,184.97,185.13,1526660.0,,,,,2.92,0.46,3.38,3.38,,,183.09,187.74,188.39,0.15,1,-1.0,-44.86,187.86,187.86,,,,,,,,,,,185.13,188.35
2024-12-27 05:00:00,183.32,185.19,182.14,183.37,1572727.0,,,,,3.05,0.06,2.99,3.05,3.54,,182.14,188.39,182.14,0.05,0,-2.49,-68.12,188.11,188.11,,,,,,,,,,,183.37,188.35
2024-12-30 05:00:00,182.56,184.55,180.78,183.68,1867274.0,,,,,3.77,1.18,2.59,3.77,2.97,,182.14,188.08,180.78,0.1,0,-0.72,-35.94,184.78,184.78,-1.19,-49.86,187.9,186.72,,,,,,,183.37,188.35
2024-12-31 05:00:00,183.88,184.15,181.92,182.7,2041043.0,,,,,2.23,0.47,1.76,2.23,2.83,,182.14,187.35,180.78,0.1,0,-0.34,-18.52,183.58,183.58,-1.27,-51.89,187.2,185.92,,,,,,,182.7,185.13
2025-01-02 05:00:00,183.59,184.075,180.98,182.09,1754371.0,,,,,3.09,1.38,1.72,3.09,3.1,,182.14,186.69,180.78,0.1,0,-0.79,-38.48,183.62,183.62,-0.68,-34.02,184.74,184.07,,,,,,,182.09,183.68
2025-01-03 05:00:00,182.76,186.458,182.76,185.85,2105637.0,,,,,3.7,4.37,0.67,4.37,3.3,,180.78,186.46,186.46,0.05,1,1.58,57.59,181.97,181.97,0.34,18.62,182.86,183.2,,,,182.82,,,182.09,185.85
2025-01-06 05:00:00,185.65,187.025,184.08,185.1,2589566.0,,,,,2.94,1.18,1.77,2.94,3.28,,181.06,186.46,187.02,0.1,1,1.5,56.4,182.84,182.84,0.6,30.92,182.69,183.28,,,,183.53,,,182.09,185.85
2025-01-07 05:00:00,187.52,192.89,186.465,188.72,3618460.0,,,,,6.42,7.79,1.37,7.79,4.08,,181.66,186.46,192.89,0.15,1,1.43,55.13,185.12,185.12,1.5,56.4,181.88,183.39,,,,186.23,,,182.09,188.72
2025-01-08 05:00:00,189.34,193.11,188.33,192.65,3206403.0,,,,,4.78,4.39,0.39,4.78,4.59,,183.34,186.46,193.11,0.2,1,3.77,75.16,185.05,185.05,2.4,67.37,182.08,184.48,,,,189.73,,,185.1,192.65
2025-01-10 05:00:00,191.5,194.24,189.19,189.3,2331026.0,,,,,5.05,1.59,3.46,5.05,4.99,,185.29,186.46,194.24,0.21,1,0.29,16.17,189.93,189.93,1.44,55.32,185.43,186.88,,,,190.77,,,185.1,192.65
2025-01-13 05:00:00,188.6,191.18,187.67,190.6,1587843.0,,,,,3.51,1.88,1.63,3.51,4.81,,187.17,186.46,194.24,0.21,1,-1.03,-45.71,191.87,191.87,1.16,49.19,186.96,188.12,,,,191.93,,,188.72,192.65
2025-01-14 05:00:00,190.04,192.36,189.365,192.28,1585371.0,,,,,3.0,1.76,1.23,3.0,4.83,,187.67,186.46,194.24,0.21,1,1.49,56.13,189.24,189.24,0.51,26.89,189.7,190.2,,,,192.97,,,189.3,192.65
2025-01-15 05:00:00,194.86,196.05,194.0,195.7,1466838.0,,,,,2.05,3.77,1.72,3.77,4.02,,189.05,186.46,196.05,0.21,1,2.55,68.59,190.31,190.31,0.91,42.24,190.29,191.2,,,,194.49,,,189.3,195.7
2025-01-16 05:00:00,196.4,199.24,196.245,198.05,1417892.0,,,,,3.0,3.54,0.55,3.54,3.77,3.85,190.52,186.46,199.24,0.21,1,2.89,70.88,192.46,192.46,2.26,66.13,188.67,190.93,,,,196.79,,,190.6,198.05
2025-01-17 05:00:00,201.31,201.31,197.55,198.31,1673347.0,,,,,3.76,3.26,0.5,3.76,3.52,3.85,192.35,186.46,201.31,0.21,1,1.31,52.54,196.05,196.05,2.12,64.74,190.75,192.87,,,,197.99,,,192.28,198.31
2025-01-21 05:00:00,198.96,202.32,198.96,201.23,2237797.0,,,,,3.36,4.01,0.65,4.01,3.62,3.9,194.23,186.46,202.32,0.21,1,1.59,57.83,197.61,197.61,2.05,64.01,193.01,195.06,,,,200.22,,,195.7,201.23
2025-01-22 05:00:00,201.23,201.45,198.95,199.02,1578125.0,,,,,2.5,0.22,2.28,2.5,3.52,3.96,195.93,186.46,202.32,0.21,1,0.35,19.54,199.16,199.16,0.98,44.48,196.5,197.48,,,,201.46,,,198.05,201.23
2025-01-23 05:00:00,198.53,198.78,196.935,197.8,1114217.0,,,,,1.84,0.24,2.09,2.09,3.18,3.96,196.94,202.32,196.94,0.05,0,-1.71,-59.75,201.06,201.06,0.02,1.2,198.84,198.86,,,,200.83,,,197.8,201.23
2025-01-24 05:00:00,197.06,198.4208,197.01,197.39,874024.0,,,,,1.41,0.62,0.79,1.41,2.75,3.92,196.94,202.05,196.94,0.05,0,-0.82,-39.18,198.88,198.88,-0.53,-27.79,199.8,199.28,,,,199.64,,,197.39,201.23
2025-01-27 05:00:00,195.5,202.94,195.22,202.56,2637912.0,,,,,7.72,5.55,2.17,7.72,3.55,3.94,196.94,202.94,202.94,0.05,1,2.38,67.21,196.87,196.87,0.1,5.88,199.39,199.5,,,,200.46,,,197.39,202.56
2025-01-28 05:00:00,202.75,203.12,200.36,200.43,1471178.0,,,,,2.76,0.56,2.2,2.76,3.3,3.88,195.22,202.94,203.12,0.1,1,1.52,56.66,198.61,198.61,0.76,37.16,197.92,198.68,,,,200.4,,,197.39,202.56
2025-01-29 05:00:00,201.45,201.72,198.42,198.56,836269.0,191.72,6.63,204.98,178.46,3.3,1.29,2.01,3.3,3.46,3.79,196.01,202.94,203.12,0.1,1,-2.0,-63.43,202.52,202.52,0.46,24.51,198.44,198.89,,,,199.74,,,197.39,202.56
2025-01-30 05:00:00,199.42,202.32,199.42,202.18,883858.0,192.33,6.87,206.07,178.59,2.9,3.76,0.86,3.76,3.79,3.7,196.72,202.94,203.12,0.1,1,0.87,41.19,199.51,199.51,0.56,29.16,199.11,199.67,,,,200.62,,,198.56,202.56
2025-01-31 05:00:00,201.13,202.54,200.06,200.57,1321576.0,192.86,6.97,206.8,178.92,2.48,0.36,2.12,2.48,4.0,3.64,197.36,202.94,203.12,0.1,1,1.0,45.14,199.43,199.43,-0.22,-12.57,201.31,201.08,,,,201.24,,,198.56,202.18
2025-02-03 05:00:00,202.418,203.0,198.59,202.21,1789100.0,193.42,7.15,207.72,179.12,4.41,2.43,1.98,4.41,3.34,3.52,197.94,202.94,203.12,0.1,1,0.01,0.86,201.64,201.64,0.56,29.12,199.68,200.23,,,,202.04,,,198.56,202.21
