Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,78.03,78.87,77.545,78.45,3385174.0,,,,,1.33,,,1.33,,,77.545,78.87,78.87,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,78.3,79.105,77.84,79.05,2562426.0,,,,,1.27,0.66,0.61,1.27,,,77.61,78.87,79.1,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,79.02,79.94,78.4201,79.68,2182568.0,,,,,1.52,0.89,0.63,1.52,,,77.76,78.87,79.94,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,79.5,80.38,79.41,80.05,1257359.0,,,,,0.97,0.7,0.27,0.97,,,78.09,78.87,80.38,0.2,1,0.5,26.57,79.09,79.09,,,,,,,,,,,78.45,80.05,
2025-01-27,79.5,81.335,79.36,81.12,3127750.0,,,,,1.97,1.28,0.69,1.97,1.41,,78.55,78.87,81.33,0.21,1,0.72,35.75,79.56,79.56,,,,,,,,,,,79.05,81.12,
2025-01-28,80.75,81.37,80.04,80.96,2555672.0,,,,,1.33,0.25,1.08,1.33,1.41,,79.13,78.87,81.37,0.21,1,0.45,24.47,80.25,80.25,0.53,27.74,79.12,79.65,,,,,,,79.68,81.12,
2025-01-29,81.05,81.69,80.77,81.19,1662775.0,,,,,0.92,0.73,0.19,0.92,1.34,,79.6,78.87,81.69,0.21,1,0.03,2.0,81.05,81.05,0.39,21.45,79.81,80.21,,,,,,,80.05,81.19,
2025-01-30,82.0,83.47,81.79,82.76,4444109.0,,,,,1.68,2.28,0.6,2.28,1.49,,80.04,78.87,83.47,0.21,1,0.9,41.99,80.74,80.74,0.55,28.77,80.12,80.67,,,,,,,80.96,82.76,
2025-01-31,82.84,83.401518,82.49,82.61,2647764.0,,,,,0.91,0.64,0.27,0.91,1.48,,80.76,78.87,83.47,0.21,1,0.71,35.37,81.48,81.48,0.48,25.55,80.77,81.25,,,,82.74,,,80.96,82.76,
2025-02-03,81.96,83.32,81.44,82.9,3389303.0,,,,,1.88,0.71,1.17,1.88,1.46,,81.33,78.87,83.47,0.21,1,0.07,4.0,82.69,82.69,0.53,27.92,81.02,81.55,,,,83.1,,,81.19,82.9,
2025-02-04,82.39,83.97,82.39,83.54,3640573.0,,,,,1.58,1.07,0.51,1.58,1.51,,81.44,78.87,83.97,0.21,1,0.46,24.94,82.55,82.55,0.48,25.83,81.63,82.12,,,,83.55,,,82.61,83.54,
2025-02-05,81.84,83.87,81.84,83.6,4785703.0,,,,,2.03,0.33,1.7,2.03,1.74,,81.84,83.97,81.84,0.05,0,0.35,19.29,83.0,83.0,0.26,14.63,82.56,82.82,,,,83.8,,,82.61,83.6,
2025-02-06,84.19,87.61,83.35,87.09,6345097.0,,,,,4.26,4.01,0.25,4.26,2.13,,81.84,87.61,87.61,0.05,1,1.77,60.6,82.97,82.97,0.97,44.01,82.02,82.98,,,,85.48,,,82.9,87.09,
2025-02-07,87.28,87.345,85.795,86.2,3909315.0,,,,,1.55,0.25,1.3,1.55,2.26,,82.13,87.61,87.61,0.05,1,1.3,52.43,84.33,84.33,1.01,45.43,82.64,83.65,,,,86.25,,,83.54,87.09,
2025-02-10,87.02,87.45,86.3101,86.96,4727723.0,,,,,1.14,1.25,0.11,1.25,2.13,,82.4,87.61,87.61,0.05,1,-0.07,-3.72,86.82,86.82,0.94,43.35,83.59,84.53,,,,86.96,,,83.6,87.09,
2025-02-11,86.79,88.055,86.56,87.87,3192571.0,,,,,1.5,1.1,0.4,1.5,2.12,,82.66,87.61,88.06,0.1,1,0.83,39.86,86.17,86.17,0.84,40.06,84.66,85.5,,,,87.95,,,86.2,87.87,
2025-02-12,86.93,88.4,86.88,88.08,2869763.0,,,,,1.52,0.53,0.99,1.52,2.02,1.73,83.2,87.61,88.4,0.15,1,0.56,29.25,87.08,87.08,0.36,20.05,86.51,86.88,,,,88.58,,,86.2,88.08,
2025-02-13,88.3,89.63,87.765,89.58,2543236.0,,,,,1.86,1.55,0.31,1.86,1.54,1.74,83.98,87.61,89.63,0.2,1,0.85,40.53,87.65,87.65,0.79,38.24,86.16,86.95,,,,89.44,,,86.96,89.58,
2025-02-14,89.84,90.82,89.34,90.7,4369977.0,,,,,1.48,1.24,0.24,1.48,1.52,1.75,85.11,87.61,90.82,0.21,1,1.31,52.64,88.14,88.14,0.92,42.58,86.8,87.72,,,,90.37,,,87.87,90.7,
2025-02-18,89.854,90.0,88.04,88.77,7779098.0,,,,,1.96,0.7,2.66,2.66,1.8,1.78,86.31,87.61,90.82,0.21,1,-0.4,-22.05,90.09,90.09,0.44,23.85,88.12,88.56,,,,89.92,,,88.08,90.7,
2025-02-19,88.25,88.515,87.54,88.43,2759363.0,,,,,0.97,0.25,1.23,1.23,1.75,1.8,87.26,87.61,90.82,0.21,1,-1.13,-48.62,90.43,90.43,-0.01,-0.63,89.13,89.12,,,,89.77,,,88.43,90.7,
2025-02-20,88.125,88.125,86.94,87.54,2911176.0,,,,,1.19,0.31,1.49,1.49,1.74,1.82,86.94,90.82,86.94,0.05,0,-0.61,-31.59,88.86,88.86,-0.63,-32.42,90.27,89.64,,,,88.91,,,87.54,90.7,
2025-02-21,87.54,87.54,84.74,84.87,6337016.0,,,,,2.8,0.0,2.8,2.8,1.93,1.86,86.94,90.63,84.74,0.1,0,-1.78,-60.67,88.73,88.73,-1.29,-52.2,90.64,89.35,,,,87.02,,,84.87,88.77,
2025-02-24,85.45,85.45,84.41,84.55,8623641.0,,,,,1.04,0.58,0.46,1.04,1.84,1.89,86.94,90.04,84.41,0.15,0,-1.5,-56.22,87.15,87.15,-1.2,-50.19,89.23,88.03,,,,85.4,,,84.55,88.43,
2025-02-25,84.335,85.1,83.88,84.84,3506863.0,84.46,3.55,91.56,77.36,1.22,0.55,0.67,1.22,1.56,1.87,86.94,89.2,83.88,0.2,0,-0.02,-0.86,84.77,84.77,-1.02,-45.48,88.08,87.06,,,,84.22,,,84.55,87.54,
2025-02-26,84.6,85.17,83.93,84.15,2622312.0,84.68,3.32,91.32,78.04,1.24,0.33,0.91,1.24,1.56,1.83,86.94,88.14,83.88,0.2,0,-0.2,-11.31,84.71,84.71,-0.68,-34.25,86.55,85.87,,,,83.41,,,84.15,84.87,
2025-02-27,84.2,84.9,83.92,83.99,4637229.0,84.88,3.11,91.1,78.66,0.98,0.75,0.23,0.98,1.46,1.77,86.94,87.29,83.88,0.2,0,-0.43,-23.03,84.75,84.75,-0.22,-12.19,84.91,84.7,,,,83.26,,,83.99,84.84,
2025-02-28,84.24,84.45,82.34,83.33,5554414.0,85.03,2.94,90.91,79.15,2.11,0.46,1.65,2.11,1.32,1.7,86.94,86.61,82.34,0.21,0,-0.41,-22.29,84.23,84.23,-0.33,-18.21,84.83,84.5,,,,82.91,,,83.33,84.84,
2025-03-03,83.84,84.3359,82.95,83.51,3099502.0,85.17,2.77,90.71,79.63,1.39,1.01,0.38,1.39,1.39,1.65,86.94,85.71,82.34,0.21,0,-0.24,-13.5,83.85,83.85,-0.35,-19.19,84.66,84.31,,,,83.0,,,83.33,84.15,
2025-03-04,83.48,84.5,82.63,83.74,5145463.0,85.27,2.66,90.59,79.95,1.87,0.99,0.88,1.87,1.52,1.61,86.94,85.0,82.34,0.21,0,0.2,11.59,83.32,83.32,-0.13,-7.41,84.0,83.87,,,,83.38,,,83.33,83.99,
2025-03-05,83.5,84.61,83.15,84.285,3181411.0,85.4,2.52,90.44,80.36,1.46,0.87,0.59,1.46,1.56,1.61,82.34,84.61,84.61,0.05,1,0.39,21.18,83.46,83.46,0.1,5.71,83.57,83.67,,,,83.64,,,83.33,84.28,
2025-03-06,84.04,84.14,82.7051,83.56,3732893.0,85.5,2.39,90.28,80.72,1.43,0.14,1.58,1.58,1.68,1.62,82.45,84.61,84.61,0.05,1,-0.09,-5.14,83.95,83.95,0.12,7.04,83.44,83.56,,,,83.56,,,83.51,84.28,
2025-03-07,82.66,83.5845,81.595,83.23,5747969.0,85.52,2.37,90.26,80.78,1.99,0.02,1.97,1.99,1.66,1.61,81.6,84.61,81.6,0.05,0,-0.53,-27.81,84.22,84.22,-0.07,-4.23,83.81,83.74,,,,83.5,,,83.23,84.28,
2025-03-10,83.41,87.03,83.03,84.0,9939980.0,85.57,2.32,90.21,80.93,4.0,3.8,0.2,4.0,2.18,1.65,81.6,87.03,87.03,0.05,1,0.22,12.41,83.38,83.38,-0.05,-3.06,83.87,83.82,,,,83.72,,,83.23,84.28,
2025-03-11,83.53,83.7775,81.9,82.47,4363581.0,85.56,2.34,90.24,80.88,1.88,0.22,2.1,2.1,2.23,1.68,81.87,87.03,87.03,0.05,1,-0.38,-20.81,83.61,83.61,-0.32,-17.69,84.15,83.83,-0.71,,,83.27,,,82.47,84.0,
2025-03-12,82.06,82.19,79.135,79.495,4800996.0,85.39,2.61,90.61,80.17,3.05,0.28,3.33,3.33,2.6,1.74,79.14,87.03,79.14,0.05,0,-2.25,-66.06,84.24,84.24,-0.89,-41.64,84.33,83.44,-1.7,,,81.55,,,79.5,84.0,
2025-03-13,79.38,79.645,77.79,78.34,3601145.0,85.18,2.95,91.08,79.28,1.85,0.15,1.7,1.85,2.65,1.8,79.14,86.64,77.79,0.1,0,-2.07,-64.16,82.17,82.17,-1.43,-55.01,84.36,82.94,-2.72,,,79.71,,,78.34,84.0,
2025-03-14,78.95,79.26,78.1,79.12,3753975.0,84.86,3.16,91.18,78.54,1.16,0.92,0.24,1.16,2.49,1.87,79.14,85.76,77.79,0.1,0,-0.19,-10.62,79.17,79.17,-1.39,-54.25,83.46,82.07,-3.53,-2.82,,78.69,,,78.34,82.47,
2025-03-17,78.99,80.53,78.77,80.02,2862475.0,84.62,3.29,91.2,78.04,1.76,1.41,0.35,1.76,2.04,1.91,79.14,84.96,77.79,0.1,0,0.84,40.03,78.32,78.32,-0.53,-27.81,80.94,80.42,-4.32,-2.62,,78.56,,,78.34,80.02,
2025-03-18,80.0,80.0,78.785,79.58,2584212.0,84.32,3.4,91.12,77.52,1.22,0.02,1.23,1.23,1.87,1.94,79.14,84.24,77.79,0.1,0,0.23,12.95,79.34,79.34,0.18,10.48,78.94,79.13,-4.86,-2.14,,78.42,,,78.34,80.02,
2025-03-19,79.84,80.26,79.13,79.66,3561988.0,83.99,3.44,90.87,77.11,1.13,0.68,0.45,1.13,1.43,1.95,79.14,83.6,77.79,0.1,0,-0.18,-10.2,79.93,79.93,0.31,17.22,78.72,79.03,-4.79,-1.26,,78.57,,,79.12,80.02,
2025-03-20,78.05,78.25,76.275,77.21,5402213.0,83.56,3.58,90.72,76.4,1.97,1.41,3.38,3.38,1.73,1.97,79.14,83.02,76.28,0.15,0,-1.19,-49.84,80.0,80.0,-0.42,-22.68,79.95,79.54,-4.9,-0.58,,78.18,,,77.21,80.02,
2025-03-21,76.41,76.95,75.5,76.42,9505345.0,83.03,3.63,90.29,75.77,1.45,0.26,1.71,1.71,1.84,2.0,79.14,82.01,75.5,0.2,0,-1.62,-58.31,79.38,79.38,-0.96,-43.74,80.49,79.54,-5.26,-0.4,,77.65,,,76.42,79.66,
2025-03-24,77.29,78.025,76.87,77.94,4603728.0,82.52,3.4,89.32,75.72,1.16,1.61,0.45,1.61,1.81,2.02,79.14,80.71,75.5,0.2,0,0.37,20.05,76.82,76.82,-0.65,-33.1,79.47,78.81,-5.54,-0.75,,77.51,,,76.42,79.66,
2025-03-25,78.55,80.52,78.47,78.82,5215030.0,82.12,3.21,88.54,75.7,2.05,2.58,0.53,2.58,2.08,2.05,75.5,80.52,80.52,0.05,1,1.2,50.19,76.53,76.53,-0.1,-5.43,78.2,78.1,-5.58,-0.68,,77.58,,,76.42,78.82,
2025-03-26,78.55,79.39,77.67,77.85,3833172.0,81.7,3.04,87.78,75.62,1.72,0.57,1.15,1.72,2.2,2.09,75.75,80.52,80.52,0.05,1,-0.05,-2.58,78.25,78.25,0.37,20.2,76.91,77.28,-5.77,-0.51,-0.13,77.4,,,76.42,78.82,
