Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,53.005,53.82,52.946,53.66,8702811.0,,,,,0.87,,,0.87,,,52.946,53.82,53.82,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,53.56,53.68,53.05,53.68,4063266.0,,,,,0.63,0.02,0.61,0.63,,,52.99,53.82,53.82,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,53.32,53.82,53.24,53.77,1329385.0,,,,,0.58,0.14,0.44,0.58,,,53.03,53.82,53.82,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,53.54,53.87,53.495,53.71,1835264.0,,,,,0.38,0.1,0.28,0.38,,,53.07,53.82,53.87,0.1,1,0.02,0.86,53.7,53.7,,,,,,,,,,,53.66,53.77
2024-12-27 05:00:00,53.36,54.1,53.33,53.93,2932353.0,,,,,0.77,0.39,0.38,0.77,0.65,,53.15,53.82,54.1,0.15,1,0.08,4.57,53.72,53.72,,,,,,,,,,,53.68,53.93
2024-12-30 05:00:00,53.75,54.03,53.35,53.87,3202195.0,,,,,0.68,0.1,0.58,0.68,0.61,,53.29,53.82,54.1,0.15,1,0.08,4.57,53.76,53.76,0.05,3.09,53.68,53.74,,,,,,,53.71,53.93
2024-12-31 05:00:00,54.01,54.26,53.345,53.86,2714940.0,,,,,0.91,0.39,0.52,0.91,0.66,,53.34,54.1,53.34,0.05,0,-0.03,-2.0,53.92,53.92,0.03,1.95,53.76,53.79,,,,,,,53.71,53.93
2025-01-02 05:00:00,54.28,54.605,53.93,54.4,3683404.0,,,,,0.67,0.74,0.07,0.74,0.7,,53.34,54.6,54.6,0.05,1,0.26,14.84,53.78,53.78,0.13,7.46,53.69,53.82,,,,,,,53.86,54.4
2025-01-03 05:00:00,54.77,54.95,54.5,54.73,3366676.0,,,,,0.45,0.55,0.1,0.55,0.73,,53.4,54.6,54.95,0.1,1,0.43,23.51,53.89,53.89,0.21,12.02,53.73,53.95,,,,54.45,,,53.86,54.73
2025-01-06 05:00:00,55.12,55.12,53.26,53.66,3748830.0,,,,,1.86,0.39,1.47,1.86,0.95,,53.26,54.95,53.26,0.05,0,-0.37,-20.3,54.63,54.63,0.04,2.58,54.01,54.06,,,,54.23,,,53.66,54.73
