Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,458.47,465.59,453.55,463.15,1733913.0,,,,,12.04,,,12.04,,,453.55,465.59,465.59,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,462.84,464.32,458.57,459.75,1132229.0,,,,,5.75,1.17,4.58,5.75,,,454.15,465.59,465.59,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,461.16,475.92,460.645,474.72,1912295.0,,,,,15.28,16.17,0.89,16.17,,,454.72,465.59,475.92,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,474.46,479.48,472.36,478.77,1400811.0,,,,,7.12,4.76,2.36,7.12,,,456.84,465.59,479.48,0.15,1,9.51,84.0,461.57,461.57,,,,,,,,,,,459.75,478.77,
2025-01-27,480.0,484.39,474.11,484.15,1418544.0,,,,,10.28,5.62,4.66,10.28,10.27,,460.24,465.59,484.39,0.2,1,4.72,78.03,474.5,474.5,,,,,,,,,,,459.75,484.15,
2025-01-28,482.41,485.84,476.32,479.99,1642409.0,,,,,9.52,1.69,7.83,9.52,9.77,,465.07,465.59,485.84,0.21,1,0.61,31.38,480.36,480.36,4.99,78.67,465.49,470.48,,,,,,,474.72,484.15,
2025-01-29,481.0,482.84,477.325,478.16,977036.0,,,,,5.51,2.85,2.67,5.51,9.72,,469.43,465.59,485.84,0.21,1,-2.99,-71.54,483.76,483.76,0.81,39.01,477.54,478.35,,,,,,,478.16,484.15,
2025-01-30,475.75,483.58,474.42,479.99,1122301.0,,,,,9.16,5.42,3.74,9.16,8.32,,472.88,465.59,485.84,0.21,1,0.0,0.0,479.38,479.38,-0.36,-19.54,480.92,480.57,,,,,,,478.16,484.15,
2025-01-31,479.0,479.59,474.0625,476.56,1400758.0,,,,,5.53,0.4,5.93,5.93,8.08,,474.06,485.84,474.06,0.05,0,-0.8,-38.66,479.04,479.04,-1.52,-56.62,482.81,481.29,,,,482.26,,,476.56,479.99,
2025-02-03,464.15,469.67,459.14,467.05,1397663.0,,,,,10.53,6.89,17.42,17.42,9.51,,474.06,485.25,459.14,0.1,0,-6.47,-81.21,481.0,481.0,-2.75,-70.0,481.85,479.1,,,,474.13,,,467.05,479.99,
2025-02-04,468.67,474.63,465.0,472.27,1045683.0,,,,,9.63,7.58,2.05,9.63,9.53,,474.06,482.64,459.14,0.1,0,-2.14,-65.01,474.1,474.1,-2.47,-67.98,479.75,477.28,,,,471.31,,,467.05,479.99,
