Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,110.425,112.38,107.91,111.55,8635963.0,,,,,4.47,,,4.47,,,107.91,112.38,112.38,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,116.85,120.965,114.94,115.12,12846400.0,,,,,6.03,9.42,3.39,9.42,,,108.13,112.38,120.96,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,112.7,114.7,111.96,114.22,5864066.0,,,,,2.74,0.42,3.16,3.16,,,109.41,112.38,120.96,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,114.81,116.79,112.77,113.73,5500019.0,,,,,4.02,2.57,1.45,4.02,,,110.56,112.38,120.96,0.1,1,-0.69,-34.8,115.05,115.05,,,,,,,,,,,111.55,115.12,
2025-01-27,106.61,107.73,100.0388,103.84,17922259.0,,,,,7.69,6.0,13.69,13.69,6.95,,100.04,120.96,100.04,0.05,0,-5.19,-79.09,115.79,115.79,,,,,,,,,,,103.84,115.12,
2025-01-28,104.13,104.13,100.5,101.29,15042675.0,,,,,3.63,0.29,3.34,3.63,6.78,,100.04,119.91,100.04,0.05,0,-6.22,-80.87,112.51,112.51,-3.8,-75.27,117.25,113.44,,,,,,,101.29,114.22,
2025-01-29,102.0,103.86,101.47,103.1,8362610.0,,,,,2.39,2.57,0.18,2.57,5.41,,100.04,118.92,100.04,0.05,0,-0.37,-20.3,103.11,103.11,-3.47,-73.92,114.17,110.7,,,,,,,101.29,113.73,
2025-01-30,103.31,105.96,103.3,105.35,7952735.0,,,,,2.66,2.86,0.2,2.86,5.35,,100.04,117.98,100.04,0.05,0,2.03,63.77,101.22,101.22,-1.75,-60.26,108.96,107.21,,,,,,,101.29,105.35,
2025-01-31,106.33,107.24,103.53,103.6,6088844.0,,,,,3.71,1.89,1.82,3.71,5.29,,100.04,117.08,100.04,0.05,0,0.25,14.04,103.77,103.77,0.36,19.7,102.72,103.08,,,,100.89,,,101.29,105.35,
2025-02-03,99.38,101.01,98.365,100.09,12114300.0,,,,,2.65,2.59,5.24,5.24,3.6,,100.04,116.23,98.36,0.1,0,-2.63,-69.18,105.64,105.64,-0.19,-10.76,103.07,102.88,,,,99.68,,,100.09,105.35,
2025-02-04,100.24,102.46,99.81,101.67,7241445.0,,,,,2.65,2.37,0.28,2.65,3.41,,100.04,114.44,98.36,0.1,0,-0.96,-43.98,102.75,102.75,-0.81,-39.08,104.39,103.57,,,,100.17,,,100.09,105.35,
2025-02-05,102.58,105.7,101.19,104.45,7901794.0,,,,,4.51,4.03,0.48,4.51,3.79,,100.04,112.83,98.36,0.1,0,2.18,65.36,99.89,99.89,-0.37,-20.46,103.78,103.4,,,,102.73,,,100.09,104.45,
2025-02-06,104.97,107.25,104.73,105.92,5011434.0,,,,,2.52,2.8,0.28,2.8,3.78,,100.04,111.38,98.36,0.1,0,2.12,64.8,101.89,101.89,0.9,41.99,101.35,102.25,,,,104.21,,,100.09,105.92,
2025-02-07,107.52,109.35,105.9701,106.37,7997277.0,,,,,3.38,3.43,0.05,3.43,3.73,,100.04,110.08,98.36,0.1,0,0.96,43.83,104.62,104.62,1.68,59.25,100.34,102.02,,,,105.06,,,101.67,106.37,
2025-02-10,107.35,112.81,107.35,112.31,9084111.0,,,,,5.46,6.44,0.98,6.44,3.97,,98.36,112.81,112.81,0.05,1,3.19,72.62,105.0,105.0,2.32,66.68,101.5,103.82,,,,108.42,,,104.45,112.31,
2025-02-11,110.24,112.07,109.85,111.44,4397056.0,,,,,2.22,0.24,2.46,2.46,3.93,,99.08,112.81,112.81,0.05,1,2.54,68.47,107.5,107.5,2.04,63.85,104.02,106.06,,,,111.21,,,105.92,112.31,
2025-02-12,110.05,114.0,110.0,112.92,5423724.0,,,,,4.0,2.56,1.44,4.0,3.83,4.6,99.77,112.81,114.0,0.1,1,0.3,16.96,111.92,111.92,1.91,62.33,105.98,107.89,,,,113.67,,,106.37,112.92,
2025-02-13,111.09,111.75,108.74,110.26,6806235.0,,,,,3.01,1.17,4.18,4.18,4.1,4.38,101.19,112.81,114.0,0.1,1,-0.59,-30.54,112.13,112.13,0.84,40.0,108.98,109.82,,,,113.37,,,110.26,112.92,
2025-02-14,111.04,117.16,109.71,114.38,16971706.0,,,,,7.45,6.9,0.55,7.45,4.91,4.24,102.47,112.81,117.16,0.15,1,0.73,36.13,111.79,111.79,0.3,16.49,111.67,111.97,,,,114.34,,,110.26,114.38,
2025-02-18,116.51,120.92,116.26,120.34,13510027.0,,,,,4.66,6.54,1.88,6.54,4.93,4.2,104.67,112.81,120.92,0.2,1,5.04,78.78,109.95,109.95,1.93,62.56,110.02,111.94,,,,117.42,,,110.26,120.34,
2025-02-19,118.81,122.26,118.25,120.96,6728608.0,,,,,4.01,1.92,2.09,4.01,5.24,4.19,107.92,112.81,122.26,0.21,1,3.29,73.09,115.27,115.27,2.62,69.08,110.54,113.16,,,,119.81,,,110.26,120.96,
2025-02-20,120.5,121.21,116.7729,119.89,5480404.0,,,,,4.44,0.25,4.19,4.44,5.32,4.2,110.93,112.81,122.26,0.21,1,-0.22,-12.68,120.62,120.62,2.58,68.84,112.0,114.58,,,,120.61,,,114.38,120.96,
2025-02-21,120.85,121.29,117.2904,117.6,5662294.0,,,,,4.0,1.4,2.6,4.0,5.29,4.33,113.31,112.81,122.26,0.21,1,-1.68,-59.24,121.16,121.16,0.6,30.92,117.44,118.04,,,,120.81,,,117.6,120.96,
2025-02-24,116.11,116.36,111.0301,114.14,7327788.0,,,,,5.33,1.24,6.57,6.57,5.11,4.46,111.03,122.26,111.03,0.05,0,-2.88,-70.82,120.08,120.08,-1.58,-57.6,121.74,120.16,,,,118.91,,,114.14,120.96,
2025-02-25,113.5,114.11,109.66,110.65,6579953.0,110.21,6.28,122.77,97.65,4.45,0.03,4.48,4.48,4.7,4.53,111.03,121.7,109.66,0.1,0,-3.47,-73.95,117.6,117.6,-2.64,-69.23,121.92,119.29,,,,115.7,,,110.65,119.89,
2025-02-26,111.8,117.28,111.8,115.65,8657995.0,110.37,6.37,123.11,97.63,5.48,6.63,1.15,6.63,5.22,4.64,111.03,120.5,109.66,0.1,0,0.76,37.05,112.72,112.72,-1.54,-57.05,118.67,117.13,,,,114.1,,,110.65,117.6,
2025-02-27,117.0,117.45,107.43,107.83,15737173.0,110.08,6.31,122.7,97.46,10.02,1.8,8.22,10.02,6.34,4.84,111.03,119.42,107.43,0.15,0,-1.41,-54.65,112.79,112.79,-1.8,-60.99,116.78,114.98,,,,109.83,,,107.83,115.65,
2025-02-28,100.96,103.9,99.0,102.76,20366155.0,109.62,6.41,122.44,96.8,4.9,3.93,8.83,8.83,7.31,5.09,111.03,117.62,99.0,0.2,0,-6.44,-81.18,115.19,115.19,-2.56,-68.65,115.32,112.76,,,,105.47,,,102.76,115.65,
2025-03-03,103.64,103.77,94.51,95.56,13091345.0,108.89,6.94,122.77,95.01,9.26,1.01,8.25,9.26,7.84,5.4,111.03,113.9,94.51,0.21,0,-6.14,-80.74,108.18,108.18,-4.31,-76.93,115.1,110.8,,,,99.74,,,95.56,115.65,
2025-03-04,93.0,96.8531,92.41,94.07,12789368.0,108.5,7.49,123.48,93.52,4.44,1.29,3.15,4.44,7.84,5.7,111.03,109.83,92.41,0.21,0,-4.34,-77.04,101.81,101.81,-5.54,-79.77,114.26,108.72,,,,95.24,,,94.07,107.83,
2025-03-05,94.65,97.88,93.21,97.25,6059440.0,108.34,7.69,123.72,92.96,4.67,3.81,0.86,4.67,7.44,5.96,111.03,106.17,92.41,0.21,0,0.85,40.2,94.78,94.78,-2.99,-71.48,105.46,102.48,,,,93.64,,,94.07,102.76,
2025-03-06,94.25,95.855,92.92,93.02,8560539.0,107.94,8.22,124.38,91.5,2.94,1.39,4.33,4.33,6.31,6.07,111.03,103.28,92.41,0.21,0,-0.53,-27.7,95.3,95.3,-1.78,-60.66,100.09,98.31,,,,91.1,,,93.02,97.25,
2025-03-07,91.715,92.66,88.3301,91.46,10162084.0,107.38,8.85,125.08,89.68,4.33,0.36,4.69,4.69,5.48,6.11,111.03,101.0,88.33,0.21,0,-2.89,-70.94,96.8,96.8,-0.93,-42.77,96.12,95.2,,,,88.81,,,91.46,97.25,
2025-03-10,89.0,91.77,88.69,90.34,8384863.0,106.85,9.46,125.77,87.93,3.08,0.31,2.77,3.08,4.24,6.03,111.03,98.34,88.33,0.21,0,-1.34,-53.27,92.95,92.95,-1.33,-52.96,95.88,94.55,,,,88.9,,,90.34,97.25,
2025-03-11,90.54,92.8699,90.08,91.57,6282338.0,106.51,9.86,126.23,86.79,2.79,2.53,0.26,2.79,3.91,5.93,111.03,96.24,88.33,0.21,0,0.05,3.15,91.07,91.07,-1.4,-54.54,95.54,94.13,-13.98,,,89.65,,,90.34,93.02,
2025-03-12,94.66,95.98,93.17,94.58,7873046.0,106.23,10.1,126.43,86.03,2.81,4.41,1.6,4.41,3.86,5.82,88.33,95.98,95.98,0.05,1,2.12,64.75,90.04,90.04,0.32,17.9,91.55,91.87,-14.03,,,91.75,,,90.34,94.58,
