Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,176.87,177.535,175.17,175.87,1371192.0,,,,,2.37,,,2.37,,,177.535,175.17,175.17,0.05,0,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,174.03,174.155,169.33,169.64,1567691.0,,,,,4.82,1.72,6.54,6.54,,,177.535,175.17,169.33,0.1,0,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,170.4,176.13,169.45,175.68,1965839.0,,,,,6.68,6.49,0.19,6.68,,,169.33,176.13,176.13,0.05,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,177.38,181.27,177.0,180.84,1051449.0,,,,,4.27,5.59,1.32,5.59,,,169.45,176.13,181.27,0.1,1,5.6,79.88,169.79,169.79,,,,,,,,,,,169.64,180.84
2025-01-15 05:00:00,185.35,188.99,184.8092,187.54,1204077.0,,,,,4.18,8.15,3.97,8.15,5.87,,170.63,176.13,188.99,0.15,1,5.93,80.43,175.42,175.42,,,,,,,,,,,169.64,187.54
2025-01-16 05:00:00,187.78,188.89,183.981,185.04,1591786.0,,,,,4.91,1.35,3.56,4.91,6.37,,173.38,176.13,188.99,0.15,1,2.1,64.54,182.37,182.37,4.27,76.81,171.22,175.48,,,,,,,175.68,187.54
2025-01-17 05:00:00,186.19,189.27,184.04,187.18,1613063.0,,,,,5.23,4.23,1.0,5.23,6.11,,175.72,176.13,189.27,0.2,1,-0.18,-10.2,186.77,186.77,2.72,69.81,177.82,180.54,,,,,,,180.84,187.54
2025-01-21 05:00:00,187.84,190.13,187.8,189.26,1990990.0,,,,,2.33,2.95,0.62,2.95,5.37,,178.43,176.13,190.13,0.21,1,2.11,64.64,185.05,185.05,1.65,58.75,182.68,184.32,,,,,,,185.04,189.26
2025-01-22 05:00:00,190.37,198.9675,190.15,197.5,3363190.0,,,,,8.82,9.71,0.89,9.71,6.19,,180.89,176.13,198.97,0.21,1,5.16,79.03,186.15,186.15,2.41,67.5,184.48,186.89,,,,195.73,,,185.04,197.5
2025-01-23 05:00:00,199.0,204.93,196.01,200.96,2202099.0,,,,,8.92,7.43,1.49,8.92,6.34,,184.69,176.13,204.93,0.21,1,5.85,80.3,190.06,190.06,4.22,76.66,183.56,187.77,,,,199.15,,,187.18,200.96
2025-01-24 05:00:00,200.43,203.055,199.94,202.1,2250299.0,,,,,3.12,2.09,1.02,3.12,5.99,,188.94,176.13,204.93,0.21,1,2.3,66.5,197.89,197.89,4.15,76.46,187.09,191.25,,,,201.94,,,189.26,202.1
2025-01-27 05:00:00,200.99,202.22,198.0,200.33,1004479.0,,,,,4.22,0.12,4.1,4.22,5.78,,192.3,176.13,204.93,0.21,1,-0.32,-17.48,201.44,201.44,2.67,69.5,192.68,195.36,,,,203.09,,,197.5,202.1
2025-01-28 05:00:00,198.36,202.08,197.93,199.53,1721700.0,,,,,4.15,1.75,2.4,4.15,6.02,,194.95,176.13,204.93,0.21,1,-1.29,-52.11,201.94,201.94,0.34,18.93,199.4,199.74,,,,203.95,,,199.53,202.1
2025-01-29 05:00:00,197.49,202.81,197.49,201.03,819942.0,,,,,5.32,3.28,2.04,5.32,5.15,,197.05,176.13,204.93,0.21,1,0.35,19.29,199.95,199.95,-0.24,-13.66,201.28,201.03,,,,203.82,,,199.53,202.1
2025-01-30 05:00:00,201.56,205.76,200.43,202.48,1333319.0,,,,,5.33,4.73,0.6,5.33,4.43,,197.49,176.13,205.76,0.21,1,1.48,55.86,199.54,199.54,0.15,8.31,200.8,200.95,,,,203.49,,,199.53,202.48
2025-01-31 05:00:00,202.06,203.89,200.76,201.09,1170245.0,,,,,3.13,1.41,1.72,3.13,4.43,,199.23,176.13,205.76,0.21,1,0.03,1.72,201.5,201.5,0.45,24.08,200.0,200.44,,,,201.82,,,199.53,202.48
2025-02-03 05:00:00,196.19,199.44,193.67,198.66,1373123.0,,,,,5.77,1.65,7.42,7.42,5.07,5.62,193.67,205.76,193.67,0.05,0,-1.91,-62.37,202.65,202.65,-0.17,-9.54,200.89,200.73,,,,200.22,,,198.66,202.48
2025-02-04 05:00:00,201.18,201.46,197.47,198.51,1365772.0,,,,,3.99,2.8,1.19,3.99,5.04,5.56,193.67,205.16,193.67,0.05,0,-1.29,-52.22,200.71,200.71,-0.89,-41.54,202.13,201.24,,,,199.33,,,198.51,202.48
2025-02-05 05:00:00,200.1,202.1293,197.075,201.8,1088541.0,,,,,5.05,3.62,1.44,5.05,4.98,5.45,193.67,204.59,193.67,0.05,0,1.57,57.51,198.09,198.09,-0.39,-21.5,201.3,200.9,,,,200.29,,,198.51,201.8
2025-02-06 05:00:00,203.5,203.5,200.21,202.72,1721566.0,,,,,3.29,1.7,1.59,3.29,4.58,5.34,193.67,204.04,193.67,0.05,0,2.11,64.59,198.9,198.9,0.64,32.62,199.28,199.92,,,,201.22,,,198.51,202.72
2025-02-07 05:00:00,203.0,203.33,199.435,199.77,904996.0,,,,,3.9,0.61,3.28,3.9,4.73,5.29,193.67,203.52,193.67,0.05,0,-1.02,-45.43,202.44,202.44,0.64,32.74,199.01,199.65,,,,200.52,,,198.51,202.72
2025-02-10 05:00:00,199.94,200.0,194.725,195.41,974813.0,,,,,5.28,0.23,5.05,5.28,4.3,5.14,193.67,203.33,193.67,0.05,0,-3.66,-74.7,202.95,202.95,-0.82,-39.45,201.29,200.46,,,,198.36,,,195.41,202.72
2025-02-11 05:00:00,194.41,196.73,193.87,194.78,1408733.0,,,,,2.86,1.32,1.54,2.86,4.08,4.97,193.67,202.85,193.67,0.05,0,-2.49,-68.16,199.15,199.15,-2.14,-64.9,203.17,201.03,,,,196.77,,,194.78,202.72
2025-02-12 05:00:00,193.47,194.59,183.83,188.72,3948858.0,,,,,10.76,0.19,10.95,10.95,5.26,4.91,193.67,202.39,183.83,0.1,0,-3.35,-73.36,196.31,196.31,-3.3,-73.14,202.88,199.58,,,,192.95,,,188.72,199.77
2025-02-13 05:00:00,190.12,192.24,185.605,190.11,2112874.0,193.06,9.63,212.32,173.8,6.64,3.52,3.12,6.64,5.93,4.92,193.67,200.53,183.83,0.1,0,-2.33,-66.82,193.54,193.54,-2.6,-68.97,198.96,196.36,,,,190.13,,,188.72,195.41
2025-02-14 05:00:00,190.89,197.28,190.89,195.97,1238151.0,193.87,8.95,211.77,175.97,6.39,7.17,0.78,7.17,6.58,4.97,193.67,198.86,183.83,0.1,0,3.63,74.58,187.98,187.98,-0.36,-19.54,193.71,193.35,,,,190.42,,,188.72,195.97
2025-02-18 05:00:00,198.43,198.83,194.85,196.28,3717271.0,194.93,7.4,209.73,180.13,3.98,2.86,1.12,3.98,6.32,5.06,183.83,198.83,198.83,0.05,1,3.08,72.04,191.03,191.03,1.02,45.71,191.12,192.15,,,,191.88,,,188.72,196.28
2025-02-19 05:00:00,197.75,203.55,196.62,203.25,1860802.0,196.03,6.4,208.83,183.23,6.93,7.27,0.34,7.27,7.2,5.27,184.58,198.83,203.55,0.1,1,3.64,74.64,194.86,194.86,3.52,74.15,187.82,191.34,,,,196.94,,,190.11,203.25
2025-02-20 05:00:00,203.0,203.38,195.03,199.9,1645870.0,196.8,5.59,207.98,185.62,8.35,0.13,8.22,8.35,6.68,5.44,186.48,198.83,203.55,0.1,1,1.81,61.08,198.0,198.0,2.69,69.58,191.73,194.42,,,,199.82,,,195.97,203.25
2025-02-21 05:00:00,200.43,200.555,193.04,194.34,2457430.0,197.07,5.28,207.63,186.51,7.52,0.66,6.86,7.52,6.86,5.58,188.19,198.83,203.55,0.1,1,-4.46,-77.35,203.62,203.62,0.04,2.06,197.88,197.91,,,,199.28,,,194.34,203.25
2025-02-24 05:00:00,196.25,196.51,190.01,193.17,1507181.0,197.39,4.73,206.85,187.93,6.5,2.17,4.33,6.5,6.72,5.71,189.73,198.83,203.55,0.1,1,-3.36,-73.45,199.17,199.17,-1.51,-56.54,200.41,198.9,,,,198.18,,,193.17,203.25
2025-02-25 05:00:00,193.38,194.05,183.955,187.73,2465614.0,197.42,4.68,206.78,188.06,10.09,0.88,9.21,10.09,7.95,5.94,183.96,203.55,183.96,0.05,0,-3.3,-73.17,195.05,195.05,-3.78,-75.17,203.23,199.45,,,,193.43,,,187.73,199.9
2025-02-26 05:00:00,189.505,193.51,188.745,190.22,2438208.0,197.45,4.62,206.69,188.21,4.76,5.78,1.02,5.78,7.65,6.17,183.96,202.57,183.96,0.05,0,-1.47,-55.86,191.85,191.85,-2.6,-68.94,198.27,195.67,,,,190.16,,,187.73,194.34
2025-02-27 05:00:00,191.9,195.54,189.94,191.2,1131322.0,197.2,4.78,206.76,187.64,5.6,5.32,0.28,5.6,7.1,6.36,183.96,201.64,183.96,0.05,0,1.73,60.04,187.98,187.98,-0.92,-42.71,193.18,192.26,,,,188.74,,,187.73,193.17
2025-02-28 05:00:00,192.45,195.56,191.4,195.19,1396542.0,196.97,4.73,206.43,187.51,4.16,4.36,0.2,4.36,6.47,6.52,183.96,200.76,183.96,0.05,0,2.49,68.08,189.72,189.72,0.75,36.91,190.0,190.75,-2.04,,,189.47,,,187.73,195.19
2025-03-03 05:00:00,196.11,196.7,188.11,190.27,1050737.0,196.5,4.79,206.08,186.92,8.59,1.51,7.08,8.59,6.88,6.74,183.96,199.92,183.96,0.05,0,-0.46,-24.94,192.68,192.68,1.0,45.14,188.91,189.92,-3.03,,,189.98,,,190.22,195.19
2025-03-04 05:00:00,186.39,186.58,175.53,178.83,2965400.0,195.64,5.88,207.4,183.88,11.05,3.69,14.74,14.74,7.81,6.93,183.96,199.12,175.53,0.1,0,-8.18,-83.03,196.28,196.28,-2.37,-67.13,193.88,191.51,-5.07,,,185.96,,,178.83,195.19
2025-03-05 05:00:00,179.19,181.83,176.06,180.94,1410851.0,194.89,6.51,207.91,181.87,5.77,3.0,2.77,5.77,7.81,7.08,183.96,196.76,175.53,0.1,0,-4.67,-77.9,188.01,188.01,-3.69,-74.83,194.66,190.97,-7.08,-5.04,,183.2,,,178.83,195.19
2025-03-06 05:00:00,176.25,178.23,171.77,172.67,1700614.0,193.76,7.75,209.26,178.26,6.46,2.71,9.17,9.17,8.53,7.23,183.96,194.64,171.77,0.15,0,-3.08,-72.01,180.56,180.56,-5.44,-79.58,194.45,189.02,-10.55,-7.52,,177.8,,,172.67,190.27
2025-03-07 05:00:00,171.21,171.315,163.88,167.52,5501139.0,192.36,9.14,210.64,174.08,7.44,1.35,8.79,8.79,9.41,7.47,183.96,191.21,163.88,0.2,0,-6.71,-81.52,180.42,180.42,-5.17,-79.04,188.38,183.21,-15.51,-10.44,,170.62,,,167.52,180.94
2025-03-10 04:00:00,161.77,162.025,153.76,156.99,2966868.0,190.6,11.37,213.34,167.86,8.27,5.5,13.76,13.76,10.45,7.72,183.96,185.74,153.76,0.21,0,-7.84,-82.73,173.57,173.57,-5.71,-80.07,182.81,177.1,-21.36,-14.28,,161.35,,,156.99,180.94
2025-03-11 04:00:00,156.81,160.3564,155.69,157.77,2479786.0,188.96,12.99,214.94,162.98,4.67,3.37,1.3,4.67,8.43,7.85,183.96,179.02,153.76,0.21,0,-4.88,-78.41,165.63,165.63,-6.2,-80.84,179.58,173.38,-24.74,-14.19,,155.42,,,156.99,172.67
2025-03-12 04:00:00,162.31,166.23,161.61,163.66,3047117.0,187.57,13.77,215.11,160.03,4.62,8.46,3.84,8.46,8.97,8.01,183.96,173.72,153.76,0.21,0,3.33,73.31,156.14,156.14,-2.78,-70.2,169.28,166.5,-27.46,-11.95,,155.72,,,156.99,167.52
2025-03-13 04:00:00,164.49,164.74,157.37,159.23,1470888.0,185.87,14.54,214.95,156.79,7.37,1.08,6.29,7.37,8.61,8.16,183.96,169.53,153.76,0.21,0,0.73,36.13,159.49,159.49,-0.99,-44.74,163.02,162.02,-29.06,-7.7,,155.58,,,156.99,163.66
2025-03-14 04:00:00,161.86,165.05,160.93,164.26,1552473.0,184.33,14.72,213.77,154.89,4.12,5.82,1.7,5.82,8.02,8.16,183.96,166.22,153.76,0.21,0,0.3,16.7,162.08,162.08,1.6,57.99,157.18,158.78,-28.66,-3.92,,157.26,,,157.77,164.26
2025-03-17 04:00:00,162.5,165.34,143.7,152.99,8963257.0,182.46,15.62,213.7,151.22,21.64,1.08,20.56,21.64,9.59,8.31,153.76,165.34,165.34,0.05,1,-3.12,-72.23,161.95,161.95,-0.9,-41.86,161.37,160.48,-28.06,-0.6,-4.53,155.99,,,152.99,164.26
2025-03-18 04:00:00,153.0,159.2325,153.0,158.83,3734187.0,180.99,16.06,213.11,148.87,6.23,6.24,0.01,6.24,9.91,8.53,143.7,165.34,165.34,0.05,1,-2.71,-69.78,161.41,161.41,-1.59,-57.83,162.97,161.38,-26.66,2.4,0.47,157.41,,,152.99,164.26
2025-03-19 04:00:00,158.01,164.355,155.52,162.21,2432689.0,179.69,16.22,212.13,147.25,8.83,5.52,3.31,8.83,9.98,8.8,144.78,165.34,165.34,0.05,1,4.61,77.76,153.4,153.4,0.05,3.03,159.4,159.45,-25.88,2.78,4.08,160.11,,,152.99,164.26
2025-03-20 04:00:00,159.64,165.11,159.34,164.47,1338364.0,178.72,16.38,211.48,145.96,5.77,2.9,2.87,5.77,9.66,9.01,145.81,165.34,165.34,0.05,1,2.82,70.47,159.02,159.02,0.96,43.95,158.62,159.59,-23.79,4.27,6.24,161.56,0.71,,152.99,164.47
2025-03-21 04:00:00,162.98,165.34,161.635,164.83,1942353.0,177.71,16.43,210.57,144.85,3.71,0.87,2.84,3.71,9.24,9.12,146.79,165.34,165.34,0.05,1,1.31,52.64,162.53,162.53,2.93,71.17,154.8,157.73,-22.6,4.06,6.79,162.73,4.35,,158.83,164.83
