Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,69.09,72.55,69.09,71.94,7589557.0,,,,,3.46,,,3.46,,,69.09,72.55,72.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,71.81,71.85,70.41,70.72,3184829.0,,,,,1.44,0.09,1.53,1.53,,,69.26,72.55,72.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,70.6,71.37,69.9,71.33,2454794.0,,,,,1.47,0.65,0.82,1.47,,,69.42,72.55,72.55,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,71.66,72.2,71.24,71.78,2207862.0,,,,,0.96,0.87,0.09,0.96,,,69.58,72.55,72.55,0.05,1,0.53,27.92,70.75,70.75,,,,,,,,,,,70.72,71.94,
2025-01-27,72.79,73.7,72.42,73.3,2762120.0,,,,,1.28,1.92,0.64,1.92,1.87,,69.73,72.55,73.7,0.1,1,0.98,44.57,71.15,71.15,,,,,,,,,,,70.72,73.3,
2025-01-28,73.05,73.295,71.43,72.71,2721474.0,,,,,1.86,0.0,1.87,1.87,1.55,,70.13,72.55,73.7,0.1,1,0.46,24.94,72.13,72.13,0.59,30.75,70.78,71.37,,,,,,,71.33,73.3,
2025-01-29,73.0,73.3999,71.63,72.04,2229290.0,,,,,1.77,0.69,1.08,1.77,1.6,,70.49,72.55,73.7,0.1,1,-0.63,-32.21,73.31,73.31,0.23,13.22,71.76,72.0,,,,,,,71.78,73.3,
2025-01-30,72.46,73.22,71.75,72.15,2240774.0,,,,,1.47,1.18,0.29,1.47,1.6,,70.81,72.55,73.7,0.1,1,-0.28,-15.64,72.58,72.58,-0.05,-2.98,72.5,72.45,,,,,,,72.04,73.3,
2025-01-31,72.03,73.1,71.03,71.06,3130114.0,,,,,2.07,0.95,1.12,2.07,1.82,,71.03,73.7,71.03,0.05,0,-0.49,-26.1,72.24,72.24,-0.5,-26.75,73.26,72.76,,,,72.16,,,71.06,72.71,
2025-02-03,70.09,72.69,69.32,71.47,3853298.0,,,,,3.37,1.63,1.74,3.37,2.11,,71.03,73.57,69.32,0.1,0,-0.34,-18.78,71.9,71.9,-0.35,-19.09,72.58,72.23,,,,71.7,,,71.06,72.15,
2025-02-04,71.01,73.05,71.01,71.8,2545441.0,,,,,2.04,1.58,0.46,2.04,2.14,,71.03,73.14,69.32,0.1,0,0.37,20.3,71.07,71.07,-0.12,-6.62,71.94,71.82,,,,71.46,,,71.06,72.15,
2025-02-05,72.34,73.8799,72.2,72.82,2973942.0,,,,,1.68,2.08,0.4,2.08,2.21,,69.32,73.88,73.88,0.05,1,0.67,34.02,71.35,71.35,0.21,11.75,71.44,71.65,,,,71.72,,,71.06,72.82,
2025-02-06,73.7,73.75,72.245,72.61,2592981.0,,,,,1.5,0.93,0.57,1.5,2.21,,69.55,73.88,73.88,0.05,1,0.4,22.05,72.01,72.01,0.44,23.99,71.06,71.51,,,,72.19,,,71.47,72.82,
2025-02-07,72.5,73.48,71.71,72.49,3511794.0,,,,,1.77,0.87,0.9,1.77,2.15,,69.77,73.88,73.88,0.05,1,-0.16,-9.37,72.8,72.8,0.28,15.91,71.67,71.95,,,,72.52,,,71.8,72.82,
2025-02-10,72.78,74.17,71.6206,74.14,3031307.0,,,,,2.55,1.68,0.87,2.55,1.99,,69.98,73.88,74.17,0.1,1,0.76,37.42,72.31,72.31,0.43,23.51,71.9,72.34,,,,73.38,,,72.49,74.14,
2025-02-11,73.92,74.31,72.9186,74.13,2882155.0,,,,,1.39,0.17,1.22,1.39,1.86,,70.4,73.88,74.31,0.15,1,0.82,39.35,72.77,72.77,0.41,22.54,72.41,72.82,,,,74.09,,,72.49,74.14,
2025-02-12,73.07,73.91,72.7472,73.81,2311793.0,,,,,1.16,0.22,1.38,1.38,1.72,1.91,70.99,73.88,74.31,0.15,1,-0.17,-9.37,74.19,74.19,0.4,22.0,72.63,73.03,,,,74.24,,,72.49,74.14,
2025-02-13,73.96,74.11,72.665,72.84,2803039.0,,,,,1.44,0.3,1.14,1.44,1.71,1.9,71.49,73.88,74.31,0.15,1,-0.65,-32.82,74.24,74.24,0.04,2.12,73.41,73.44,,,,73.85,,,72.84,74.14,
2025-02-14,73.7,73.95,72.01,72.56,2809330.0,,,,,1.94,1.11,0.83,1.94,1.74,1.91,71.91,73.88,74.31,0.15,1,-0.62,-32.01,73.69,73.69,-0.45,-23.99,74.39,73.94,,,,73.31,,,72.56,74.13,
2025-02-18,72.7,75.32,72.3559,75.03,3788323.0,,,,,2.96,2.76,0.2,2.96,1.82,1.93,72.01,73.88,75.32,0.2,1,1.1,47.6,72.38,72.38,0.05,3.15,73.56,73.62,,,,74.0,,,72.56,75.03,
2025-02-19,75.23,75.9,74.49,75.63,2447687.0,,,,,1.41,0.87,0.54,1.41,1.83,1.95,72.36,73.88,75.9,0.21,1,1.54,56.92,72.87,72.87,0.58,30.24,72.81,73.39,,,,74.69,,,72.56,75.63,
2025-02-20,74.95,78.15,74.22,76.13,4486124.0,,,,,3.93,2.52,1.41,3.93,2.34,1.99,73.1,73.88,78.15,0.21,1,0.55,28.81,75.05,75.05,0.96,43.98,72.51,73.47,,,,75.32,,,72.56,76.13,
2025-02-21,76.2,76.75,74.97,76.69,3528428.0,,,,,1.78,0.62,1.16,1.78,2.4,2.01,74.16,73.88,78.15,0.21,1,0.53,27.92,75.62,75.62,0.94,43.11,73.34,74.27,,,,76.28,,,75.03,76.69,
2025-02-24,76.34,79.88,76.2808,79.03,4826964.0,,,,,3.6,3.19,0.41,3.6,2.74,2.06,74.97,73.88,79.88,0.21,1,1.45,55.41,75.83,75.83,0.91,42.18,74.69,75.6,,,,78.01,,,75.63,79.03,
2025-02-25,78.85,79.2825,77.0895,78.58,4423291.0,73.47,2.24,77.95,68.99,2.19,0.25,1.94,2.19,2.58,2.08,76.0,73.88,79.88,0.21,1,0.94,43.38,77.15,77.15,0.88,41.35,75.45,76.33,,,,79.06,,,76.13,79.03,
2025-02-26,78.16,78.31,73.31,74.19,5391119.0,73.56,2.22,78.0,69.12,5.0,0.27,5.27,5.27,3.35,2.17,73.31,79.88,73.31,0.05,0,-2.42,-67.55,79.69,79.69,-0.2,-11.25,77.32,77.12,,,,77.64,,,74.19,79.03,
2025-02-27,73.73,74.67,72.7301,73.98,2156207.0,73.69,2.14,77.97,69.41,1.94,0.48,1.46,1.94,2.96,2.23,73.31,79.55,72.73,0.1,0,-2.3,-66.5,77.88,77.88,-1.03,-45.74,78.55,77.52,,,,75.95,,,73.98,79.03,
