Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,151.9,154.2175,143.5,143.7,6012024.0,,,,,10.72,,,10.72,,,154.2175,143.5,143.5,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,143.55,147.19,143.525,146.93,3826320.0,,,,,3.66,3.49,0.17,3.66,,,143.5,147.19,147.19,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,146.23,146.48,144.06,145.24,2895737.0,,,,,2.42,0.45,2.87,2.87,,,143.52,147.19,147.19,0.05,1,,,,,,,,,,,,,,,,,
2025-01-24,145.07,145.3,142.7,142.92,3234775.0,,,,,2.6,0.06,2.54,2.6,,,142.7,147.19,142.7,0.05,0,-2.01,-63.49,147.04,147.04,,,,,,,,,,,142.92,146.93,
2025-01-27,142.3,148.54,142.29,147.26,4275410.0,,,,,6.25,5.62,0.63,6.25,5.22,,142.7,148.54,148.54,0.05,1,1.01,45.29,144.13,144.13,,,,,,,,,,,142.92,147.26,
2025-01-28,146.92,147.085,143.85,143.95,3016894.0,,,,,3.24,0.17,3.41,3.41,3.76,,142.29,148.54,148.54,0.05,1,0.52,27.25,144.19,144.19,-0.39,-21.5,146.05,145.65,,,,,,,142.92,147.26,
2025-01-29,143.95,144.49,140.945,141.93,3283889.0,,,,,3.55,0.54,3.0,3.55,3.74,,140.94,148.54,140.94,0.05,0,-2.66,-69.43,147.04,147.04,-0.56,-29.21,145.38,144.82,,,,,,,141.93,147.26,
2025-01-30,143.1,147.39,142.1,145.93,3567156.0,,,,,5.29,5.46,0.17,5.46,4.25,,140.94,148.16,140.94,0.05,0,0.99,44.71,142.95,142.95,0.07,3.95,144.26,144.33,,,,,,,141.93,147.26,
2025-01-31,144.42,145.99,141.73,141.9,3216504.0,,,,,4.26,0.06,4.2,4.26,4.59,,140.94,147.8,140.94,0.05,0,-0.01,-0.86,143.27,143.27,-0.87,-41.15,145.94,145.07,,,,142.92,,,141.9,145.93,
2025-02-03,139.86,139.98,136.54,137.46,3347014.0,,,,,3.44,1.92,5.36,5.36,4.41,,140.94,147.46,136.54,0.1,0,-4.23,-76.71,146.0,146.0,-1.3,-52.45,144.84,143.54,,,,140.59,,,137.46,145.93,
2025-02-04,137.51,140.56,136.81,139.76,2829159.0,,,,,3.75,3.1,0.65,3.75,4.48,,140.94,146.37,136.54,0.1,0,-1.07,-46.94,140.78,140.78,-1.28,-52.02,143.96,142.68,,,,139.59,,,137.46,145.93,
2025-02-05,141.84,142.67,138.3493,138.92,3370182.0,,,,,4.32,2.91,1.41,4.32,4.63,,140.94,145.39,136.54,0.1,0,0.73,36.13,137.98,137.98,-1.62,-58.25,144.03,142.41,,,,138.11,,,137.46,141.9,
2025-02-06,138.92,140.015,135.82,136.17,5360524.0,,,,,4.19,1.09,3.1,4.19,4.38,,140.94,144.5,135.82,0.15,0,-1.8,-60.88,140.08,140.08,-1.0,-45.0,140.84,139.84,,,,136.9,,,136.17,139.76,
2025-02-07,134.92,135.02,127.47,129.0,6909319.0,,,,,7.55,1.15,8.7,8.7,5.26,,140.94,143.2,127.47,0.2,0,-4.96,-78.6,139.66,139.66,-2.05,-64.01,140.36,138.31,,,,132.8,,,129.0,139.76,
2025-02-10,129.99,131.4,129.63,130.21,4599896.0,,,,,1.77,2.4,0.63,2.4,4.67,,140.94,140.05,127.47,0.2,0,-2.98,-71.45,134.77,134.77,-2.9,-70.99,140.62,137.71,,,,129.95,,,129.0,138.92,
2025-02-11,129.95,131.75,129.8524,130.6,3855169.0,,,,,1.9,1.54,0.36,1.9,4.3,,140.94,137.53,127.47,0.2,0,0.8,38.66,129.14,129.14,-2.26,-66.13,137.5,135.24,,,,129.24,,,129.0,136.17,
2025-02-12,127.05,128.42,125.84,127.75,4368368.0,,,,,2.58,2.18,4.76,4.76,4.39,4.47,140.94,135.52,125.84,0.21,0,-1.23,-50.89,130.75,130.75,-1.52,-56.73,133.79,132.27,,,,127.61,,,127.75,130.6,
2025-02-13,129.21,129.9266,126.375,129.34,3535357.0,,,,,3.55,2.18,1.38,3.55,4.26,4.39,140.94,133.49,125.84,0.21,0,-0.63,-32.21,129.86,129.86,-0.18,-10.09,129.74,129.56,,,,126.71,,,127.75,130.6,
2025-02-14,130.35,133.15,130.25,130.57,2477826.0,,,,,2.9,3.81,0.91,3.81,3.28,4.36,125.84,133.15,133.15,0.05,1,1.41,54.65,127.81,127.81,-0.05,-3.09,129.8,129.75,,,,127.57,,,127.75,130.6,
2025-02-18,129.79,131.0,128.165,129.81,2287421.0,,,,,2.84,0.43,2.41,2.84,3.37,4.33,126.21,133.15,133.15,0.05,1,0.23,13.22,129.67,129.67,0.12,7.07,129.37,129.49,,,,128.68,,,127.75,130.57,
2025-02-19,125.42,127.94,124.23,126.83,3880327.0,,,,,3.71,1.87,5.58,5.58,4.11,4.32,124.23,133.15,124.23,0.05,0,-1.87,-61.86,130.94,130.94,-0.14,-7.8,129.13,129.0,,,,128.61,,,126.83,130.57,
2025-02-20,126.76,129.32,126.02,128.68,3269937.0,,,,,3.3,2.49,0.81,3.3,3.82,4.26,124.23,132.7,124.23,0.05,0,-0.56,-29.47,129.0,129.0,-0.51,-26.84,130.06,129.55,,,,128.3,,,126.83,130.57,
2025-02-21,129.14,129.765,124.96,125.98,2777143.0,,,,,4.8,1.08,3.72,4.8,4.07,4.23,124.23,132.28,124.23,0.05,0,-0.42,-23.03,127.59,127.59,-1.03,-45.87,130.44,129.4,,,,127.2,,,125.98,129.81,
2025-02-24,126.08,127.78,124.41,126.42,3707979.0,,,,,3.37,1.8,1.57,3.37,3.98,4.19,124.23,131.88,124.23,0.05,0,-1.13,-48.49,128.16,128.16,-0.76,-37.34,129.07,128.31,,,,126.72,,,125.98,128.68,
2025-02-25,127.67,132.49,127.02,132.11,4873552.0,135.97,7.45,150.87,121.07,5.47,6.07,0.6,6.07,4.62,4.19,124.23,132.49,132.49,0.05,1,3.06,71.93,125.11,125.11,0.83,39.69,126.34,127.17,,,,128.26,,,125.98,132.11,
2025-02-26,130.67,131.28,127.745,128.54,4026291.0,135.37,7.41,150.19,120.55,3.53,0.83,4.37,4.37,4.38,4.19,124.64,132.49,132.49,0.05,1,1.06,46.67,127.96,127.96,0.58,30.33,127.18,127.76,,,,128.34,,,125.98,132.11,
2025-02-27,127.78,129.36,126.35,126.44,2969765.0,134.55,7.21,148.97,120.13,3.01,0.82,2.19,3.01,4.32,4.12,125.03,132.49,132.49,0.05,1,-2.84,-70.57,131.86,131.86,0.3,16.91,127.29,127.59,,,,127.92,,,126.42,132.11,
2025-02-28,126.11,127.23,125.11,126.81,5729687.0,133.81,7.01,147.83,119.79,2.12,0.79,1.33,2.12,3.79,4.05,125.11,132.49,125.11,0.05,0,-0.86,-40.86,128.13,128.13,-0.49,-26.06,129.04,128.55,,,,127.81,,,126.44,132.11,
2025-03-03,127.0,127.8,124.81,125.68,3879900.0,133.12,6.93,146.98,119.26,2.99,0.99,2.0,2.99,3.71,4.01,125.11,132.12,124.81,0.1,0,-0.38,-20.81,126.69,126.69,-1.46,-55.57,130.83,129.38,,,,126.73,,,125.68,128.54,
2025-03-04,124.7,127.36,124.59,125.92,6003789.0,132.27,6.41,145.09,119.45,2.77,1.68,1.09,2.77,3.05,3.9,125.11,131.39,124.59,0.15,0,-0.45,-23.99,126.58,126.58,-0.6,-30.96,127.88,127.28,,,,126.32,,,125.68,126.81,
