Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,226.96,230.81,225.42,228.55,7073596.0,,,,,5.39,,,5.39,,,225.42,230.81,230.81,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,227.94,229.63,226.76,229.16,2798812.0,,,,,2.87,1.08,1.79,2.87,,,225.69,230.81,230.81,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,228.53,231.0,228.0,230.75,988300.0,,,,,3.0,1.84,1.16,3.0,,,225.95,230.81,231.0,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,229.33,231.49,229.17,231.28,1512536.0,,,,,2.32,0.74,1.58,2.32,,,226.46,230.81,231.49,0.15,1,1.06,46.67,229.34,229.34,,,,,,,,,,,228.55,231.28
2024-12-27 05:00:00,229.4,232.14,229.4,231.1,2130520.0,,,,,2.74,0.86,1.88,2.74,3.26,,227.21,230.81,232.14,0.2,1,0.17,9.93,230.87,230.87,,,,,,,,,,,229.16,231.28
2024-12-30 05:00:00,229.47,230.56,227.58,229.65,2008091.0,,,,,2.98,0.54,3.52,3.52,2.89,,227.58,232.14,227.58,0.05,0,-0.81,-39.18,231.49,231.49,0.13,7.58,230.12,230.26,,,,,,,229.65,231.28
2024-12-31 05:00:00,230.46,232.0,228.665,229.55,2077923.0,,,,,3.34,2.35,0.99,3.34,2.98,,227.58,232.0,232.0,0.05,1,-0.77,-37.78,230.87,230.87,-0.4,-21.95,231.27,230.87,,,,,,,229.55,231.28
2025-01-02 05:00:00,230.85,231.85,228.5714,229.81,2762037.0,,,,,3.28,2.3,0.98,3.28,3.04,,227.8,232.0,232.0,0.05,1,0.08,4.57,229.59,229.59,-0.45,-24.18,231.18,230.73,,,,,,,229.55,231.1
2025-01-03 05:00:00,230.08,235.93,229.56,234.84,2381138.0,,,,,6.37,6.12,0.25,6.37,3.85,,228.01,232.0,235.93,0.1,1,2.64,69.29,228.76,228.76,0.76,37.38,229.46,230.23,,,,231.95,,,229.55,234.84
2025-01-06 05:00:00,234.15,240.2301,233.7,238.2,3674564.0,,,,,6.53,5.39,1.14,6.53,4.61,,228.8,232.0,240.23,0.15,1,4.19,76.59,230.09,230.09,2.24,65.93,227.93,230.17,,,,234.65,,,229.55,238.2
2025-01-07 05:00:00,238.0,243.15,238.0,239.1,2989329.0,,,,,5.15,4.95,0.2,5.15,4.93,,230.51,232.0,243.15,0.2,1,2.13,64.85,235.25,235.25,2.75,70.01,228.8,231.55,,,,237.36,,,229.81,239.1
2025-01-08 05:00:00,238.61,239.39,235.5,238.09,2527729.0,,,,,3.89,0.29,3.6,3.89,5.04,,233.04,232.0,243.15,0.2,1,-0.06,-3.15,238.52,238.52,2.08,64.34,231.84,233.93,,,,239.09,,,234.84,239.1
2025-01-10 05:00:00,235.55,238.71,234.5,235.07,2863272.0,,,,,4.21,0.62,3.59,4.21,5.23,,234.5,243.15,234.5,0.05,0,-2.02,-63.61,239.43,239.43,0.03,2.0,236.99,237.03,,,,238.95,,,235.07,239.1
2025-01-13 05:00:00,235.05,240.97,234.01,239.88,3301781.0,,,,,6.96,5.9,1.06,6.96,5.35,,234.5,242.72,234.01,0.1,0,0.9,41.83,236.78,236.78,-0.07,-3.83,238.2,238.13,,,,240.12,,,235.07,239.88
