Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,110.61,112.97,110.43,112.03,17955325.0,,,,,2.54,,,2.54,,,110.43,112.97,112.97,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,111.61,111.85,110.31,111.4,6037212.0,,,,,1.54,0.18,1.72,1.72,,,110.31,112.97,110.31,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,111.25,112.74,111.1924,112.56,2474994.0,,,,,1.55,1.34,0.21,1.55,,,110.31,112.84,110.31,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,112.12,113.32,111.86,112.55,4782814.0,,,,,1.46,0.76,0.7,1.46,,,110.31,113.32,113.32,0.05,1,0.57,29.9,111.6,111.6,,,,,,,,,,,111.4,112.56
2024-12-27 05:00:00,111.82,112.12,110.86,111.55,4523820.0,,,,,1.26,0.43,1.69,1.69,1.79,,110.46,113.32,113.32,0.05,1,-0.51,-26.79,112.72,112.72,,,,,,,,,,,111.4,112.56
2024-12-30 05:00:00,110.425,111.54,109.83,110.8,5716337.0,,,,,1.71,0.01,1.72,1.72,1.63,,109.83,113.32,109.83,0.05,0,-0.88,-41.19,112.51,112.51,-0.22,-12.46,112.21,111.99,,,,,,,110.8,112.56
2024-12-31 05:00:00,110.78,111.59,110.67,111.35,4757538.0,,,,,0.92,0.79,0.13,0.92,1.47,,109.83,113.15,109.83,0.05,0,-0.1,-5.71,111.33,111.33,-0.42,-22.64,112.6,112.18,,,,,,,110.8,112.55
2025-01-02 05:00:00,111.7,112.2,110.17,110.82,5676086.0,,,,,2.03,0.85,1.18,2.03,1.56,,109.83,112.98,109.83,0.05,0,0.01,0.57,110.98,110.98,-0.37,-20.1,112.15,111.78,,,,,,,110.8,111.55
2025-01-03 05:00:00,111.37,111.535,110.18,111.16,5394318.0,,,,,1.35,0.72,0.64,1.35,1.54,,109.83,112.82,109.83,0.05,0,-0.1,-5.43,111.21,111.21,-0.08,-4.35,111.29,111.21,,,,110.91,,,110.8,111.35
2025-01-06 05:00:00,111.47,112.8537,110.87,111.05,6274419.0,,,,,1.98,1.69,0.29,1.98,1.6,,109.83,112.85,112.85,0.05,1,0.11,6.56,110.9,110.9,0.03,1.78,110.97,111.0,,,,110.68,,,110.82,111.35
