Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,38.99,40.285,38.8503,39.94,17715602.0,,,,,1.43,,,1.43,,,38.8503,40.285,40.285,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,39.99,40.26,39.6825,39.97,6718744.0,,,,,0.58,0.32,0.26,0.58,,,38.92,40.285,40.285,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,39.91,40.18,39.43,40.09,3784125.0,,,,,0.75,0.21,0.54,0.75,,,38.99,40.285,40.285,0.05,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,39.99,40.365,39.85,40.22,5271448.0,,,,,0.52,0.27,0.24,0.52,,,39.05,40.285,40.36,0.1,1,0.13,7.13,39.97,39.97,,,,,,,,,,,39.94,40.22
2024-12-27 05:00:00,40.12,40.695,39.9,40.03,4855001.0,,,,,0.8,0.48,0.32,0.8,0.82,,39.18,40.285,40.7,0.15,1,-0.03,-1.72,40.14,40.14,,,,,,,,,,,39.97,40.22
2024-12-30 05:00:00,39.9,39.92,39.23,39.44,6872787.0,,,,,0.69,0.11,0.8,0.8,0.69,,39.23,40.7,39.23,0.05,0,-0.39,-21.31,40.29,40.29,-0.11,-6.39,40.17,40.06,,,,,,,39.44,40.22
2024-12-31 05:00:00,39.54,40.275,39.43,40.13,6867187.0,,,,,0.84,0.84,0.01,0.84,0.74,,39.23,40.63,39.23,0.05,0,0.05,2.86,39.82,39.82,-0.07,-4.0,40.12,40.05,,,,,,,39.44,40.22
2025-01-02 05:00:00,40.33,40.6,39.5,39.55,7132450.0,,,,,1.1,0.47,0.63,1.1,0.81,,39.23,40.6,40.6,0.05,1,0.06,3.15,39.65,39.65,-0.12,-7.07,40.12,40.0,,,,,,,39.44,40.13
2025-01-03 05:00:00,39.65,39.815,39.2,39.4,6840562.0,,,,,0.61,0.27,0.35,0.61,0.83,,39.2,40.6,39.2,0.05,0,-0.36,-20.05,40.06,40.06,-0.12,-6.56,39.94,39.83,,,,39.54,,,39.4,40.13
2025-01-06 05:00:00,39.8,40.14,39.55,39.75,6899427.0,,,,,0.59,0.74,0.15,0.74,0.82,,39.2,40.53,39.2,0.05,0,0.1,5.71,39.47,39.47,-0.01,-0.63,39.68,39.66,,,,39.52,,,39.4,40.13
