Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,183.37,188.879,181.08,187.59,4153238.0,,,,,7.8,,,7.8,,,181.08,188.879,188.879,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,187.95,188.475,180.484,184.79,2048980.0,,,,,7.99,0.88,7.11,7.99,,,180.48,188.88,180.48,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,185.67,186.79,183.34,186.65,626783.0,,,,,3.45,2.0,1.45,3.45,,,180.48,188.48,180.48,0.05,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,186.0,188.95,185.01,188.66,1209760.0,,,,,3.94,2.3,1.64,3.94,,,180.48,188.95,188.95,0.05,1,1.93,62.67,184.76,184.76,,,,,,,,,,,184.79,188.66
2024-12-27 05:00:00,187.17,189.18,186.84,187.58,872848.0,,,,,2.34,0.52,1.82,2.34,5.1,,180.9,188.95,189.18,0.1,1,0.47,24.94,187.16,187.16,,,,,,,,,,,184.79,188.66
2024-12-30 05:00:00,185.43,187.83,184.85,186.77,928871.0,,,,,2.98,0.25,2.73,2.98,4.14,,181.73,188.95,189.18,0.1,1,-0.95,-43.38,188.61,188.61,0.49,26.06,185.91,186.4,,,,,,,186.65,188.66
2024-12-31 05:00:00,187.02,188.46,185.895,186.69,834082.0,,,,,2.56,1.69,0.88,2.56,3.05,,182.48,188.95,189.18,0.1,1,-0.45,-23.99,187.46,187.46,-0.18,-10.26,187.63,187.45,,,,,,,186.69,188.66
2025-01-02 05:00:00,188.47,188.52,184.88,186.51,872626.0,,,,,3.64,1.83,1.81,3.64,3.09,,183.15,188.95,189.18,0.1,1,-0.13,-7.41,186.79,186.79,-0.52,-27.43,188.28,187.76,,,,,,,186.51,187.58
2025-01-03 05:00:00,186.93,188.21,185.92,187.72,1129387.0,,,,,2.29,1.7,0.59,2.29,2.76,,183.75,188.95,189.18,0.1,1,0.52,27.25,186.46,186.46,0.0,0.11,187.05,187.05,,,,187.47,,,186.51,187.72
2025-01-06 05:00:00,187.1,187.72,183.53,183.96,1670897.0,,,,,4.19,0.0,4.19,4.19,3.13,,183.53,189.18,183.53,0.05,0,-1.28,-51.89,187.34,187.34,-0.46,-24.66,187.25,186.79,,,,185.7,,,183.96,187.72
