Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,124.31,125.602,123.44,123.89,1209348.0,,,,,2.16,,,2.16,,,125.602,123.44,123.44,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,123.32,123.42,119.9,120.23,1103718.0,,,,,3.52,0.47,3.99,3.99,,,125.602,123.44,119.9,0.1,0,,,,,,,,,,,,,,,,,
2025-01-23,120.82,121.25,116.3,119.51,2738795.0,,,,,4.95,1.02,3.93,4.95,,,125.602,123.42,116.3,0.15,0,,,,,,,,,,,,,,,,,
2025-01-24,119.45,120.25,118.855,119.1,1107890.0,,,,,1.39,0.74,0.66,1.39,,,125.602,122.35,116.3,0.15,0,-0.56,-29.47,120.18,120.18,,,,,,,,,,,119.1,123.89,
2025-01-27,120.4,122.13,118.11,121.73,1342873.0,,,,,4.02,3.03,0.99,4.02,3.3,,116.3,122.13,122.13,0.05,1,1.11,47.98,119.0,119.0,,,,,,,,,,,119.1,121.73,
2025-01-28,121.25,121.26,118.06,118.6,1214975.0,,,,,3.2,0.47,3.67,3.67,3.6,,116.59,122.13,122.13,0.05,1,-0.25,-14.04,120.06,120.06,-0.1,-5.94,120.04,119.94,,,,,,,118.6,121.73,
2025-01-29,118.87,119.6729,117.56,117.6,1262962.0,,,,,2.11,1.07,1.04,2.11,3.23,,116.87,122.13,122.13,0.05,1,-2.07,-64.16,121.37,121.37,-0.43,-23.36,120.17,119.74,,,,,,,117.6,121.73,
2025-01-30,118.88,119.73,118.25,119.33,1106231.0,,,,,1.48,2.13,0.65,2.13,2.66,,117.13,122.13,122.13,0.05,1,0.37,20.05,118.14,118.14,-0.37,-20.15,120.01,119.64,,,,,,,117.6,121.73,
2025-01-31,119.02,120.73,118.82,119.88,1394007.0,,,,,1.91,1.4,0.51,1.91,2.77,,117.38,122.13,122.13,0.05,1,1.14,48.74,117.8,117.8,-0.3,-16.54,120.02,119.72,,,,119.04,,,117.6,119.88,
2025-02-03,119.06,121.4,118.2,120.9,1478739.0,,,,,3.2,1.52,1.68,3.2,2.6,,117.62,122.13,122.13,0.05,1,0.78,38.13,119.25,119.25,0.69,34.53,117.89,118.57,,,,119.81,,,117.6,120.9,
2025-02-04,120.17,121.13,119.0,120.65,848310.0,,,,,2.13,0.23,1.9,2.13,2.3,,117.85,122.13,122.13,0.05,1,0.38,21.06,120.09,120.09,0.77,37.49,118.14,118.9,,,,120.23,,,119.33,120.9,
2025-02-05,121.84,123.24,121.19,122.69,1253600.0,,,,,2.05,2.59,0.54,2.59,2.39,,118.06,122.13,123.24,0.1,1,0.89,41.83,120.52,120.52,0.75,36.83,119.19,119.94,,,,121.32,,,119.88,122.69,
2025-02-06,122.78,123.0,121.58,122.56,1056701.0,,,,,1.42,0.31,1.11,1.42,2.25,,118.58,122.13,123.24,0.1,1,0.95,43.68,121.01,121.01,0.71,35.56,119.91,120.62,,,,122.7,,,120.65,122.69,
2025-02-07,122.21,122.88,121.445,122.7,1177399.0,,,,,1.44,0.32,1.12,1.44,2.16,,119.05,122.13,123.24,0.1,1,0.0,0.29,122.64,122.64,0.55,28.85,120.8,121.35,,,,123.29,,,120.65,122.7,
2025-02-10,122.64,123.815,122.12,123.71,1095279.0,,,,,1.69,1.11,0.58,1.69,1.85,,119.47,122.13,123.82,0.15,1,0.58,29.9,122.41,122.41,0.61,31.51,121.24,121.85,,,,123.71,,,122.56,123.71,
2025-02-11,123.22,124.94,122.215,124.89,924533.0,,,,,2.72,1.23,1.49,2.72,1.97,,120.12,122.13,124.94,0.2,1,1.09,47.6,122.67,122.67,0.55,29.03,122.2,122.76,,,,124.54,,,122.56,124.89,
2025-02-12,123.56,124.545,122.85,124.19,1340132.0,,,,,1.7,0.34,2.04,2.04,1.86,2.53,121.08,122.13,124.94,0.2,1,0.24,13.5,124.02,124.02,0.54,28.59,122.52,123.06,,,,124.76,,,122.7,124.89,
2025-02-13,123.71,128.74,123.475,127.81,2582930.0,,,,,5.27,4.55,0.72,5.27,2.63,2.48,121.85,122.13,128.74,0.21,1,1.46,55.59,124.17,124.17,1.07,46.94,122.52,123.59,,,,126.38,,,123.71,127.81,
2025-02-14,128.67,130.22,128.34,129.04,1891687.0,,,,,1.88,2.41,0.53,2.41,2.83,2.42,123.3,122.13,130.22,0.21,1,2.42,67.59,124.59,124.59,1.36,53.63,123.21,124.57,,,,127.88,,,124.19,129.04,
2025-02-18,129.8,130.36,128.57,129.55,1427597.0,,,,,1.79,1.32,0.47,1.79,2.85,2.39,124.75,122.13,130.36,0.21,1,0.87,41.02,127.93,127.93,1.42,54.79,124.26,125.68,,,,129.4,,,124.19,129.55,
2025-02-19,129.02,130.53,128.97,130.38,1038181.0,,,,,1.56,0.98,0.58,1.56,2.61,2.39,125.93,122.13,130.53,0.21,1,0.67,33.82,128.99,128.99,1.41,54.69,125.37,126.78,,,,130.66,,,127.81,130.38,
2025-02-20,129.61,131.84,128.27,131.18,1505954.0,,,,,3.57,1.46,2.11,3.57,2.92,2.4,126.9,122.13,131.84,0.21,1,0.81,39.18,129.56,129.56,0.81,38.94,127.98,128.78,,,,131.64,,,129.04,131.18,
2025-02-21,130.76,132.8799,129.8,131.99,1079846.0,,,,,3.08,1.7,1.38,3.08,2.48,2.39,127.94,122.13,132.88,0.21,1,0.8,38.83,130.38,130.38,0.75,36.98,128.92,129.68,,,,132.5,,,129.55,131.99,
2025-02-24,132.4,133.45,130.85,132.38,782932.0,,,,,2.6,1.46,1.14,2.6,2.52,2.41,128.98,122.13,133.45,0.21,1,0.6,30.96,131.25,131.25,0.73,36.02,129.64,130.37,,,,133.13,,,130.38,132.38,
2025-02-25,132.39,133.49,132.39,133.39,993573.0,124.32,4.93,134.18,114.46,1.1,1.11,0.01,1.11,2.38,2.41,129.92,122.13,133.49,0.21,1,0.7,34.99,131.89,131.89,0.72,35.83,130.42,131.14,,,,133.38,,,131.18,133.39,
2025-02-26,132.87,133.4162,131.84,132.65,877364.0,124.67,5.2,135.07,114.27,1.58,0.03,1.55,1.58,2.39,2.42,130.67,122.13,133.49,0.21,1,0.13,7.69,132.67,132.67,0.43,23.46,131.45,131.88,,,,133.46,,,131.99,133.39,
2025-02-27,131.82,133.0,131.19,131.84,698014.0,125.13,5.3,135.73,114.53,1.81,0.35,1.46,1.81,2.04,2.41,131.19,133.49,131.19,0.05,0,-0.77,-37.78,133.4,133.4,-0.0,-0.17,132.46,132.45,,,,133.1,,,131.84,133.39,
2025-02-28,133.07,134.11,131.72,133.7,1161945.0,125.7,5.43,136.56,114.84,2.39,2.27,0.12,2.39,1.9,2.41,131.19,134.11,134.11,0.05,1,0.53,27.7,132.2,132.2,0.11,6.22,132.57,132.68,,,,133.42,,,131.84,133.7,
2025-03-03,133.32,135.24,132.95,135.24,1082160.0,126.34,5.58,137.5,115.18,2.29,1.54,0.75,2.29,1.84,2.4,131.34,134.11,135.24,0.1,1,1.7,59.53,131.89,131.89,0.47,25.41,132.41,132.89,,,,134.24,,,131.84,135.24,
2025-03-04,135.99,136.28,131.63,131.94,1298326.0,126.75,5.6,137.95,115.55,4.65,1.04,3.61,4.65,2.54,2.46,131.63,135.24,131.63,0.05,0,-0.88,-41.35,134.51,134.51,0.2,11.2,132.68,132.88,,,,133.48,,,131.84,135.24,
2025-03-05,131.02,133.09,130.72,132.05,1703259.0,127.29,5.42,138.13,116.45,2.37,1.15,1.22,2.37,2.7,2.46,131.63,136.28,130.72,0.1,0,-1.6,-57.91,134.67,134.67,-0.13,-7.63,133.22,133.09,,,,132.9,,,131.94,135.24,
2025-03-06,132.01,132.01,129.69,130.54,844970.0,127.81,5.07,137.95,117.67,2.32,0.04,2.36,2.36,2.81,2.46,131.63,135.72,129.69,0.15,0,-0.7,-34.99,132.21,132.21,-0.95,-43.56,134.6,133.65,,,,131.79,,,130.54,135.24,
