Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,110.0,111.35,109.3,110.77,3144239.0,,,,,2.05,,,2.05,,,109.3,111.35,111.35,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,110.55,110.62,108.63,108.82,4276877.0,,,,,1.99,0.15,2.14,2.14,,,108.63,111.35,108.63,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,109.3,109.735,108.675,109.34,2612827.0,,,,,1.06,0.92,0.14,1.06,,,108.63,111.21,108.63,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,108.85,110.25,108.7373,109.86,2695309.0,,,,,1.51,0.91,0.6,1.51,,,108.63,111.08,108.63,0.05,0,0.52,27.47,108.82,108.82,,,,,,,,,,,108.82,110.77,
2025-01-27,111.0,112.76,109.43,112.62,3585222.0,,,,,3.33,2.9,0.43,3.33,2.02,,108.63,112.76,112.76,0.05,1,1.64,58.63,108.97,108.97,,,,,,,,,,,108.82,112.62,
2025-01-28,112.38,112.7,111.28,111.31,3664805.0,,,,,1.42,0.08,1.34,1.42,1.89,,108.84,112.76,112.76,0.05,1,0.73,35.94,110.54,110.54,0.83,39.56,108.74,109.56,,,,,,,109.34,112.62,
2025-01-29,111.48,112.21,110.54,110.62,2744228.0,,,,,1.67,0.9,0.77,1.67,1.8,,109.04,112.76,112.76,0.05,1,-1.0,-45.0,112.52,112.52,0.4,21.85,109.95,110.35,,,,,,,109.86,112.62,
2025-01-30,112.02,112.4,110.81,112.26,2204828.0,,,,,1.59,1.78,0.19,1.78,1.94,,109.23,112.76,112.76,0.05,1,0.47,25.41,110.92,110.92,0.28,15.64,110.77,111.05,,,,,,,110.62,112.62,
2025-01-31,112.26,112.45,111.375,111.99,3538011.0,,,,,1.08,0.19,0.89,1.08,1.86,,109.41,112.76,112.76,0.05,1,0.69,34.41,110.94,110.94,-0.03,-1.78,111.82,111.79,,,,112.43,,,110.62,112.26,
2025-02-03,111.98,113.46,111.2,113.2,4830239.0,,,,,2.26,1.47,0.79,2.26,1.64,,109.58,112.76,113.46,0.1,1,0.47,25.17,112.01,112.01,0.51,27.25,110.85,111.36,,,,112.9,,,110.62,113.2,
2025-02-04,112.64,112.83,111.32,112.43,2087911.0,,,,,1.51,0.37,1.88,1.88,1.73,,109.97,112.76,113.46,0.1,1,0.22,12.41,112.32,112.32,0.46,24.51,111.19,111.64,,,,112.81,,,111.99,113.2,
2025-02-05,113.14,114.21,112.45,113.86,4858590.0,,,,,1.76,1.78,0.02,1.78,1.76,,110.32,112.76,114.21,0.15,1,0.33,18.26,112.83,112.83,0.36,20.0,112.02,112.38,,,,113.19,,,111.99,113.86,
2025-02-06,114.03,114.91,113.36,114.52,2593314.0,,,,,1.55,1.05,0.5,1.55,1.71,,110.9,112.76,114.91,0.2,1,1.05,46.26,112.56,112.56,0.57,29.77,112.06,112.63,,,,114.21,,,112.43,114.52,
2025-02-07,114.18,115.695,113.92,114.99,3476873.0,,,,,1.77,1.17,0.6,1.77,1.85,,111.7,112.76,115.7,0.21,1,0.56,29.47,113.89,113.89,0.57,29.55,112.67,113.23,,,,114.93,,,112.43,114.99,
2025-02-10,114.99,115.62,113.66,115.6,2606811.0,,,,,1.96,0.63,1.33,1.96,1.79,,112.54,112.76,115.7,0.21,1,0.54,28.37,114.5,114.5,0.75,36.76,112.79,113.53,,,,115.43,,,113.86,115.6,
2025-02-11,115.42,116.81,113.98,116.69,2404801.0,,,,,2.83,1.21,1.62,2.83,1.98,,113.2,112.76,116.81,0.21,1,0.85,40.36,114.91,114.91,0.67,33.98,113.78,114.46,,,,116.38,,,114.52,116.69,
2025-02-12,114.74,116.48,114.34,116.37,4149937.0,,,,,2.14,0.21,2.35,2.35,2.09,1.85,113.96,112.76,116.81,0.21,1,0.39,21.06,115.83,115.83,0.54,28.37,114.55,115.09,,,,116.76,,,114.99,116.69,
2025-02-13,115.3,115.66,112.88,113.95,5658505.0,,,,,2.78,0.71,3.49,3.49,2.48,1.89,112.88,116.81,112.88,0.05,0,-1.37,-53.87,117.04,117.04,-0.13,-7.46,115.78,115.65,,,,116.06,,,113.95,116.69,
2025-02-14,113.27,113.95,111.53,111.6,3581632.0,,,,,2.42,0.0,2.42,2.42,2.61,1.94,112.88,116.61,111.53,0.1,0,-2.39,-67.25,116.36,116.36,-1.07,-47.04,116.99,115.92,,,,114.14,,,111.6,116.69,
2025-02-18,111.5,112.23,110.51,110.89,4726621.0,,,,,1.72,0.63,1.09,1.72,2.56,2.0,112.88,116.1,110.51,0.15,0,-1.53,-56.83,113.68,113.68,-1.64,-58.58,117.17,115.54,,,,112.34,,,110.89,116.37,
2025-02-19,111.32,112.11,110.95,111.79,3860557.0,,,,,1.16,1.22,0.06,1.22,2.24,2.02,112.88,115.26,110.51,0.15,0,0.09,5.43,111.33,111.33,-1.22,-50.71,115.36,114.14,,,,111.33,,,110.89,113.95,
2025-02-20,111.51,113.26,111.04,113.16,3159643.0,,,,,2.22,1.47,0.75,2.22,2.21,2.05,112.88,114.55,110.51,0.15,0,1.13,48.62,110.81,110.81,-0.14,-7.91,112.56,112.42,,,,111.24,,,110.89,113.16,
2025-02-21,112.69,115.96,112.56,115.55,4424151.0,,,,,3.4,2.8,0.6,3.4,2.2,2.09,110.51,115.96,115.96,0.05,1,1.88,61.99,111.62,111.62,1.02,45.48,110.56,111.58,,,,112.45,,,110.89,115.55,
2025-02-24,115.9,116.97,114.79,115.92,2731462.0,,,,,2.18,1.42,0.76,2.18,2.15,2.13,110.78,115.96,116.97,0.1,1,1.38,54.07,113.5,113.5,1.38,54.11,110.7,112.08,,,,114.09,,,111.79,115.92,
2025-02-25,116.42,117.705,116.0101,117.29,3111973.0,113.02,2.39,117.8,108.24,1.69,1.78,0.09,1.78,2.16,2.16,111.4,115.96,117.7,0.15,1,0.87,41.02,115.38,115.38,1.38,53.99,111.99,113.37,,,,116.28,,,113.16,117.29,
2025-02-26,116.91,117.135,115.8,116.31,3021476.0,113.24,2.43,118.1,108.38,1.34,0.16,1.49,1.49,2.21,2.19,112.34,115.96,117.7,0.15,1,0.19,11.03,116.31,116.31,0.8,38.8,114.04,114.84,,,,117.39,,,115.55,117.29,
2025-02-27,115.62,116.785,115.0035,115.89,3239220.0,113.52,2.3,118.12,108.92,1.78,0.47,1.31,1.78,2.13,2.22,113.14,115.96,117.7,0.15,1,-0.7,-34.99,117.2,117.2,0.11,6.11,115.98,116.08,,,,117.53,,,115.89,117.29,
2025-02-28,117.1,117.98,115.8,117.49,5403409.0,113.85,2.26,118.37,109.33,2.18,2.09,0.09,2.18,1.88,2.22,113.82,115.96,117.98,0.2,1,0.59,30.54,115.97,115.97,0.17,9.87,116.23,116.41,,,,117.81,,,115.89,117.49,
2025-03-03,117.32,118.72,116.66,118.67,4264853.0,114.2,2.3,118.8,109.6,2.06,1.23,0.83,2.06,1.86,2.21,114.65,115.96,118.72,0.21,1,1.39,54.27,115.96,115.96,0.39,21.5,116.34,116.74,,,,118.25,,,115.89,118.67,
2025-03-04,119.27,119.68,116.37,116.41,3889014.0,114.35,2.32,118.99,109.71,3.31,1.01,2.3,3.31,2.16,2.22,115.5,115.96,119.68,0.21,1,-0.54,-28.37,118.06,118.06,0.3,16.59,116.36,116.66,,,,117.52,,,115.89,118.67,
2025-03-05,115.61,116.91,115.045,115.23,3491413.0,114.51,2.24,118.99,110.03,1.86,0.5,1.36,1.86,2.24,2.2,115.04,119.68,115.04,0.05,0,-1.72,-59.83,118.49,118.49,-0.24,-13.5,117.22,116.98,,,,116.63,,,115.23,118.67,
2025-03-06,115.5,115.68,113.805,114.84,3756140.0,114.68,2.08,118.84,110.52,1.88,0.45,1.42,1.88,2.26,2.17,115.04,119.45,113.8,0.1,0,-0.78,-38.13,116.28,116.28,-0.87,-41.15,118.28,117.4,,,,115.69,,,114.84,118.67,
2025-03-07,114.81,116.94,114.32,116.74,3479260.0,114.86,2.06,118.98,110.74,2.62,2.1,0.52,2.62,2.35,2.16,115.04,118.88,113.8,0.1,0,0.75,37.05,114.85,114.85,-0.54,-28.5,117.46,116.92,,,,115.98,,,114.84,116.74,
2025-03-10,116.95,119.26,116.91,118.5,5022388.0,115.12,2.09,119.3,110.94,2.35,2.52,0.17,2.52,2.44,2.17,113.8,119.26,119.26,0.05,1,1.83,61.35,114.86,114.86,0.57,29.64,115.21,115.78,,,,116.8,,,114.84,118.5,
2025-03-11,118.28,119.51,117.2,117.7,6297774.0,115.3,2.12,119.54,111.06,2.31,1.01,1.3,2.31,2.24,2.18,114.07,119.26,119.51,0.1,1,0.48,25.64,117.17,117.17,0.86,40.7,114.88,115.74,2.51,,,117.0,,,114.84,118.5,
2025-03-12,116.72,117.3,115.65,116.64,4668383.0,115.46,2.05,119.56,111.36,1.65,0.4,2.05,2.05,2.28,2.18,114.61,119.26,119.51,0.1,1,-0.93,-42.92,118.54,118.54,0.46,24.51,115.97,116.43,2.63,,,117.01,,,116.64,118.5,
2025-03-13,116.95,118.34,116.37,118.21,5370328.0,115.64,2.09,119.82,111.46,1.97,1.7,0.27,1.97,2.29,2.19,115.1,119.26,119.51,0.1,1,0.25,14.31,117.26,117.26,0.11,6.16,117.34,117.45,3.03,,,118.03,,,116.64,118.5,
2025-03-14,118.16,120.4,117.54,120.12,5709966.0,115.86,2.26,120.38,111.34,2.86,2.19,0.67,2.86,2.34,2.21,115.54,119.26,120.4,0.15,1,1.74,60.11,116.58,116.58,0.37,20.56,117.48,117.86,3.4,0.89,,119.33,,,116.64,120.12,
2025-03-17,119.66,121.465,119.05,120.81,7126615.0,116.09,2.45,120.99,111.19,2.42,1.34,1.07,2.42,2.32,2.21,116.27,119.26,121.46,0.2,1,1.3,52.43,118.41,118.41,0.97,44.13,116.76,117.73,3.55,0.92,,120.31,,,116.64,120.81,
2025-03-18,119.83,121.07,119.69,120.76,4384921.0,116.3,2.62,121.54,111.06,1.38,0.26,1.12,1.38,2.14,2.22,117.31,119.26,121.46,0.2,1,0.32,17.74,120.24,120.24,1.08,47.31,117.14,118.22,3.93,0.9,,120.71,,,118.21,120.81,
2025-03-19,120.51,120.8799,118.67,119.31,4220663.0,116.41,2.69,121.79,111.03,2.21,0.12,2.09,2.21,2.17,2.24,118.14,119.26,121.46,0.2,1,-0.75,-36.87,121.04,121.04,0.28,15.85,119.27,119.56,4.23,0.83,,120.48,,,119.31,120.81,
2025-03-20,119.59,120.26,119.11,120.16,4343944.0,116.56,2.79,122.14,110.98,1.15,0.95,0.2,1.15,2.0,2.25,118.67,119.26,121.46,0.2,1,-0.3,-16.7,120.38,120.38,-0.14,-8.08,120.52,120.37,4.35,0.8,,120.83,,,119.31,120.81,
2025-03-21,119.98,120.91,118.38,119.1,5850631.0,116.76,2.78,122.32,111.2,2.53,0.75,1.78,2.53,1.94,2.23,118.38,121.46,118.38,0.05,0,-0.11,-5.99,119.63,119.63,-0.4,-21.9,120.83,120.43,3.95,0.02,,120.41,,,119.1,120.76,
2025-03-24,118.84,119.805,118.01,118.15,3904949.0,117.03,2.58,122.19,111.87,1.8,0.71,1.09,1.8,1.81,2.2,118.38,121.31,118.01,0.1,0,-1.0,-45.14,120.14,120.14,-0.54,-28.5,120.58,120.04,3.24,-0.99,,119.21,,,118.15,120.16,
2025-03-25,118.1,118.225,114.92,116.08,5551654.0,117.23,2.25,121.73,112.73,3.3,0.07,3.23,3.3,2.2,2.19,118.38,120.98,114.92,0.15,0,-1.51,-56.49,119.29,119.29,-0.85,-40.26,120.25,119.41,2.22,-2.13,,117.41,,,116.08,120.16,
2025-03-26,116.3,117.325,116.08,117.11,3095989.0,117.45,1.94,121.33,113.57,1.25,1.25,0.0,1.25,2.01,2.17,118.38,120.07,114.92,0.15,0,-0.52,-27.47,117.63,117.63,-0.91,-42.36,119.94,119.03,1.65,-2.3,-2.07,116.69,,,116.08,119.1,
2025-03-27,117.87,118.23,117.1075,117.65,2833517.0,117.63,1.73,121.09,114.17,1.12,1.12,0.0,1.12,2.0,2.13,118.38,119.3,114.92,0.15,0,0.79,38.13,116.16,116.16,-0.39,-21.5,118.41,118.01,1.04,-2.2,-2.6,116.62,,,116.08,118.15,
2025-03-28,118.68,119.96,117.64,119.41,3941495.0,117.78,1.71,121.2,114.36,2.32,2.31,0.01,2.32,1.96,2.11,114.92,119.96,119.96,0.05,1,1.15,48.99,116.91,116.91,0.41,22.24,116.86,117.27,0.96,-1.26,-2.48,117.54,,,116.08,119.41,
2025-03-31,120.3,122.5,120.17,121.97,6465834.0,118.02,1.85,121.72,114.32,2.33,3.09,0.76,3.09,2.22,2.11,115.17,119.96,122.5,0.1,1,2.16,65.16,117.52,117.52,1.41,54.62,115.63,117.04,1.53,-0.12,-1.72,119.28,-2.71,,117.11,121.97,
2025-04-01,122.04,122.04,120.59,121.07,2934283.0,118.17,1.94,122.05,114.29,1.45,0.07,1.38,1.45,1.85,2.07,115.9,119.96,122.5,0.1,1,0.83,39.69,119.99,119.99,1.22,50.75,116.99,118.22,2.37,1.33,-0.28,120.63,-2.59,,117.65,121.97,
2025-04-02,121.06,121.3855,119.9,120.39,2541668.0,118.34,1.95,122.24,114.44,1.49,0.32,1.17,1.49,1.89,2.04,116.56,119.96,122.5,0.1,1,-0.79,-38.31,121.93,121.93,0.71,35.53,118.67,119.38,2.92,1.96,1.18,121.35,-1.72,-2.16,119.41,121.97,
2025-04-03,123.0,124.67,121.63,124.05,7427136.0,118.66,2.19,123.04,114.28,3.04,4.28,1.24,4.28,2.53,2.06,117.15,119.96,124.67,0.15,1,1.49,56.13,120.35,120.35,0.77,37.6,119.84,120.61,3.98,2.45,2.43,123.26,-0.24,-1.45,120.39,124.05,
2025-04-04,125.0,125.27,117.86,118.93,8332597.0,118.72,2.18,123.08,114.36,7.41,1.22,6.19,7.41,3.54,2.16,117.86,124.67,117.86,0.05,0,-0.73,-36.13,121.85,121.85,-0.31,-17.22,121.9,121.59,3.74,1.37,2.66,122.02,1.35,-0.29,118.93,124.05,
2025-04-07,117.72,120.32,115.71,116.86,7214888.0,118.65,2.21,123.07,114.23,4.61,1.39,3.22,4.61,3.85,2.29,117.86,125.27,115.71,0.1,0,-3.6,-74.46,123.54,123.54,-0.99,-44.65,122.24,121.25,2.57,-0.35,1.83,119.94,2.61,0.99,116.86,124.05,
2025-04-08,118.165,118.36,114.7,115.95,4976620.0,118.63,2.23,123.09,114.17,3.66,1.5,2.16,3.66,4.29,2.47,117.86,124.31,114.7,0.15,0,-1.49,-56.13,118.74,118.74,-1.61,-58.11,122.45,120.84,1.4,-2.58,-0.06,117.64,2.84,1.92,115.95,124.05,
2025-04-09,114.75,117.8366,112.07,116.31,7414658.0,118.67,2.17,123.01,114.33,5.77,1.89,3.88,5.77,5.15,2.72,117.86,122.87,112.07,0.2,0,-0.28,-15.38,116.65,116.65,-1.85,-61.56,122.11,120.27,0.46,-3.28,-1.97,116.07,1.83,2.13,115.95,118.93,
2025-04-10,116.31,118.0,114.62,116.84,6360384.0,118.75,2.06,122.87,114.63,3.38,1.69,1.69,3.38,4.97,2.96,117.86,120.71,112.07,0.2,0,0.45,23.99,115.92,115.92,-0.47,-25.31,117.92,117.45,-1.09,-3.66,-3.59,115.62,-0.11,1.4,115.95,116.86,
2025-04-11,116.88,119.33,115.52,118.94,6054561.0,118.84,2.02,122.88,114.8,3.81,2.49,1.32,3.81,4.25,3.12,112.07,119.33,119.33,0.05,1,1.31,52.75,116.05,116.05,0.5,26.79,115.97,116.48,-1.19,-2.59,-4.11,116.24,-2.15,-0.04,115.95,118.94,
2025-04-14,118.69,121.185,118.0726,120.6,3226335.0,118.92,2.05,123.02,114.82,3.11,2.25,0.87,3.11,3.95,3.27,112.43,119.33,121.18,0.1,1,1.88,61.99,116.91,116.91,1.19,50.03,115.34,116.54,-0.57,-1.03,-3.49,117.57,-3.78,-1.74,116.31,120.6,
2025-04-15,121.07,121.75,120.34,120.49,2340888.0,119.04,2.05,123.14,114.94,1.41,1.15,0.26,1.41,3.5,3.38,113.3,119.33,121.75,0.15,1,0.78,37.78,119.23,119.23,1.21,50.47,116.21,117.42,0.24,1.33,-1.52,119.74,-4.33,-3.04,116.84,120.6,
2025-04-16,121.49,121.98,120.07,120.35,2506863.0,119.18,2.01,123.2,115.16,1.91,1.49,0.42,1.91,2.72,3.44,114.57,119.33,121.98,0.2,1,-0.12,-7.13,120.6,120.6,0.86,40.6,117.73,118.59,0.94,2.13,0.61,120.88,-3.52,-3.52,118.94,120.6,
2025-04-17,120.94,123.5499,120.5,121.8,3409815.0,119.33,2.06,123.45,115.21,3.05,3.2,0.15,3.2,2.69,3.48,116.05,119.33,123.55,0.21,1,0.65,33.22,120.22,120.22,0.55,28.68,119.34,119.89,1.76,2.33,2.33,121.98,-1.45,-2.93,120.35,121.8,
2025-04-21,121.58,121.95,118.99,120.17,3076160.0,119.33,2.06,123.45,115.21,2.96,0.15,2.81,2.96,2.52,3.53,117.62,119.33,123.55,0.21,1,-0.09,-5.14,120.86,120.86,0.05,2.58,120.59,120.64,1.93,1.69,3.0,121.77,0.79,-1.5,120.17,121.8,
2025-04-22,121.38,122.89,120.5001,122.53,3522829.0,119.4,2.14,123.68,115.12,2.39,2.72,0.33,2.72,2.44,3.57,118.87,119.33,123.55,0.21,1,0.36,20.05,121.13,121.13,0.39,21.31,120.29,120.68,2.21,1.27,2.97,122.27,2.45,0.34,120.17,122.53,
