Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,167.33,170.29,167.0,169.97,494984.0,,,,,3.29,,,3.29,,,167.0,170.29,170.29,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,170.47,170.8,167.99,168.45,462432.0,,,,,2.81,0.83,1.98,2.81,,,167.16,170.29,170.8,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,169.49,170.07,167.57,169.9,411509.0,,,,,2.5,1.62,0.88,2.5,,,167.52,170.29,170.8,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,169.45,170.31,168.824,170.28,467447.0,,,,,1.49,0.41,1.08,1.49,,,167.57,170.29,170.8,0.1,1,0.92,42.46,168.63,168.63,,,,,,,,,,,168.45,170.28,
2025-01-27,170.0,176.48,170.0,175.53,639821.0,,,,,6.48,6.2,0.28,6.48,3.31,,167.89,170.29,176.48,0.15,1,2.82,70.44,169.09,169.09,,,,,,,,,,,168.45,175.53,
2025-01-28,175.33,178.75,172.33,173.21,658827.0,,,,,6.42,3.22,3.2,6.42,3.94,,169.18,170.29,178.75,0.2,1,1.47,55.68,171.54,171.54,1.51,56.57,168.44,169.96,,,,,,,169.9,175.53,
2025-01-29,173.34,176.82,173.0701,173.77,578880.0,,,,,3.75,3.61,0.14,3.75,4.13,,171.09,170.29,178.75,0.2,1,-0.88,-41.35,175.05,175.05,1.07,46.86,170.4,171.47,,,,,,,170.28,175.53,
2025-01-30,173.93,177.94,173.93,176.5,551485.0,,,,,4.01,4.17,0.16,4.17,4.46,,172.62,170.29,178.75,0.2,1,1.64,58.7,172.85,172.85,1.07,46.88,171.72,172.79,,,,,,,173.21,176.5,
2025-01-31,176.64,179.6,176.09,176.2,508351.0,,,,,3.51,3.1,0.41,3.51,4.87,,173.85,170.29,179.6,0.21,1,1.22,50.54,174.27,174.27,0.46,24.84,174.12,174.58,,,,176.95,,,173.21,176.5,
2025-02-03,174.1,178.175,173.396,177.06,817627.0,,,,,4.78,1.98,2.8,4.78,4.53,,173.4,179.6,173.4,0.05,0,0.28,15.64,176.31,176.31,1.01,45.37,173.32,174.34,,,,177.52,,,173.77,177.06,
2025-02-04,175.25,178.32,175.25,177.35,493821.0,,,,,3.07,1.26,1.81,3.07,3.86,,173.4,179.29,173.4,0.05,0,0.58,29.9,176.29,176.29,0.77,37.67,174.63,175.4,,,,177.86,,,176.2,177.35,
2025-02-05,178.47,178.47,176.26,176.86,508056.0,,,,,2.21,1.12,1.09,2.21,3.55,,173.4,179.0,173.4,0.05,0,-0.1,-5.71,177.19,177.19,0.19,10.59,176.42,176.61,,,,177.46,,,176.2,177.35,
2025-02-06,176.41,177.64,169.3601,172.07,824865.0,,,,,8.28,0.78,7.5,8.28,4.37,,173.4,178.72,169.36,0.1,0,-2.64,-69.25,178.07,178.07,-0.85,-40.23,177.6,176.75,,,,175.83,,,172.07,177.35,
2025-02-07,171.14,174.595,170.81,173.58,593047.0,,,,,3.78,2.53,1.26,3.78,4.42,,173.4,177.78,169.36,0.1,0,-1.64,-58.63,175.81,175.81,-1.22,-50.75,177.83,176.61,,,,174.54,,,172.07,177.35,
2025-02-10,173.58,174.49,170.12,173.52,597509.0,,,,,4.37,0.91,3.46,4.37,4.34,,173.4,176.94,169.36,0.1,0,0.73,35.94,172.33,172.33,-1.09,-47.57,176.86,175.77,,,,173.33,,,172.07,176.86,
2025-02-11,173.4,174.255,172.105,173.75,451246.0,,,,,2.15,0.73,1.42,2.15,4.16,,173.4,176.18,169.36,0.1,0,0.08,4.86,173.53,173.53,-0.48,-25.5,174.91,174.43,,,,172.93,,,172.07,173.75,
2025-02-12,171.89,172.91,170.85,172.0,574673.0,,,,,2.06,0.84,2.9,2.9,4.3,4.17,173.4,175.5,169.36,0.1,0,-0.76,-37.23,173.85,173.85,0.0,0.17,172.98,172.98,,,,171.94,,,172.0,173.75,
2025-02-13,172.79,178.38,172.52,177.06,1013387.0,,,,,5.86,6.38,0.52,6.38,3.92,4.22,169.36,178.38,178.38,0.05,1,1.66,58.86,172.61,172.61,0.54,28.55,172.89,173.44,,,,173.63,,,172.0,177.06,
2025-02-14,154.0,159.27,150.11,157.42,5111031.0,,,,,9.16,17.79,26.95,26.95,8.55,4.57,150.11,178.38,150.11,0.05,0,-7.29,-82.19,176.12,176.12,-2.89,-70.91,176.53,173.64,,,,167.21,,,157.42,177.06,
2025-02-18,158.01,158.21,153.0,155.05,1737092.0,,,,,5.21,0.79,4.42,5.21,8.72,4.93,150.11,176.97,150.11,0.05,0,-11.0,-84.81,174.18,174.18,-5.2,-79.11,177.45,172.25,,,,161.34,,,155.05,177.06,
2025-02-19,153.84,155.64,152.47,154.96,1235591.0,,,,,3.17,0.59,2.58,3.17,8.92,5.27,150.11,175.63,150.11,0.05,0,-1.23,-50.89,157.04,157.04,-5.61,-79.89,174.52,168.91,,,,156.06,,,154.96,177.06,
2025-02-20,153.8,154.535,144.0,145.92,2301568.0,,,,,10.53,0.43,10.96,10.96,10.53,5.71,150.11,174.35,144.0,0.1,0,-4.57,-77.64,156.54,156.54,-6.47,-81.22,171.03,164.56,,,,148.81,,,145.92,157.42,
2025-02-21,144.38,144.755,141.0,142.4,1605128.0,,,,,3.75,1.16,4.92,4.92,10.24,6.14,150.11,171.32,141.0,0.15,0,-6.28,-80.95,154.04,154.04,-3.92,-75.68,158.98,155.07,,,,142.38,,,142.4,155.05,
