Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,63.67,65.49,63.35,65.01,12499951.0,,,,,2.14,,,2.14,,,63.35,65.49,65.49,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,64.8,65.165,63.32,63.63,4131253.0,,,,,1.85,0.16,1.69,1.85,,,63.32,65.49,63.32,0.05,0,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,63.57,63.9,63.08,63.78,1471910.0,,,,,0.82,0.27,0.55,0.82,,,63.32,65.38,63.08,0.1,0,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,63.57,64.12,63.33,63.81,1840641.0,,,,,0.79,0.34,0.45,0.79,,,63.32,65.15,63.08,0.1,0,0.09,5.14,63.65,63.65,,,,,,,,,,,63.63,65.01
2024-12-27 05:00:00,63.36,63.8,62.46,62.81,1997479.0,,,,,1.34,0.01,1.35,1.35,1.39,,63.32,64.94,62.46,0.15,0,-0.48,-25.87,63.95,63.95,,,,,,,,,,,62.81,63.81
2024-12-30 05:00:00,62.46,62.67,60.74,62.06,3293847.0,,,,,1.93,0.14,2.07,2.07,1.38,,63.32,64.57,60.74,0.2,0,-0.88,-41.19,63.77,63.77,-0.41,-22.34,64.04,63.63,,,,,,,62.06,63.81
2024-12-31 05:00:00,62.28,62.68,61.865,61.95,2131378.0,,,,,0.81,0.62,0.2,0.81,1.17,,63.32,63.8,60.74,0.2,0,-0.43,-23.27,62.7,62.7,-0.54,-28.41,63.96,63.42,,,,,,,61.95,63.81
2025-01-02 05:00:00,61.92,62.96,61.87,62.27,2572596.0,,,,,1.09,1.01,0.08,1.09,1.22,,63.32,63.19,60.74,0.2,0,0.11,5.99,61.99,61.99,-0.39,-21.5,63.37,62.97,,,,,,,61.95,62.81
2025-01-03 05:00:00,62.53,62.66,61.11,61.61,4665088.0,,,,,1.55,0.39,1.16,1.55,1.37,,63.32,62.96,60.74,0.2,0,-0.17,-9.65,62.11,62.11,-0.22,-12.35,62.58,62.36,,,,61.57,,,61.61,62.27
2025-01-06 05:00:00,62.01,63.7499,61.8,62.94,5520633.0,,,,,1.95,2.14,0.19,2.14,1.53,,60.74,63.75,63.75,0.05,1,0.33,18.52,61.94,61.94,0.14,8.08,61.88,62.02,,,,61.88,,,61.61,62.94
2025-01-07 05:00:00,63.64,64.38,62.9,63.17,3867301.0,,,,,1.48,1.44,0.04,1.48,1.41,,60.89,63.75,64.38,0.1,1,0.78,37.95,61.79,61.79,0.31,17.28,61.77,62.08,,,,62.37,,,61.61,63.17
2025-01-08 05:00:00,67.9,71.5199,67.81,69.4,22044714.0,,,,,3.71,8.35,4.64,8.35,2.92,,61.24,63.75,71.52,0.15,1,3.23,72.8,61.94,61.94,1.58,57.7,60.71,62.3,,,,65.53,,,61.61,69.4
2025-01-10 05:00:00,68.705,69.125,65.85,65.9,8234580.0,,,,,3.28,0.28,3.55,3.55,3.41,,62.78,63.75,71.52,0.15,1,1.37,53.77,64.79,64.79,1.5,56.38,61.6,63.1,,,,66.5,,,62.94,69.4
2025-01-13 05:00:00,64.502,66.36,64.27,65.72,4122218.0,,,,,2.09,0.46,1.63,2.09,3.52,,64.09,63.75,71.52,0.15,1,-1.84,-61.48,68.85,68.85,0.83,39.66,63.77,64.6,,,,66.96,,,63.17,69.4
2025-01-14 05:00:00,65.65,66.23,64.2,64.41,4513876.0,,,,,2.03,0.51,1.52,2.03,3.5,,64.2,71.52,64.2,0.05,0,-0.75,-36.69,66.09,66.09,-0.12,-6.84,65.96,65.84,,,,66.54,,,64.41,69.4
2025-01-15 05:00:00,64.83,65.57,64.2,65.11,4351432.0,,,,,1.37,1.16,0.21,1.37,3.48,,64.2,71.15,64.2,0.05,0,-0.31,-16.96,65.39,65.39,-1.01,-45.2,68.12,67.12,,,,66.28,,,64.41,65.9
2025-01-16 05:00:00,64.8,65.3,64.41,65.06,2945396.0,,,,,0.89,0.19,0.7,0.89,1.99,2.18,64.2,70.8,64.2,0.05,0,0.33,18.0,64.54,64.54,-0.23,-12.9,65.7,65.47,,,,65.6,,,64.41,65.72
