Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,237.77,241.17,236.64,241.07,1267430.0,,,,,4.53,,,4.53,,,236.64,241.17,241.17,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,241.09,243.105,239.02,241.63,1058752.0,,,,,4.08,2.03,2.05,4.08,,,236.87,241.17,243.1,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,241.8,243.14,239.66,242.92,811299.0,,,,,3.48,1.51,1.97,3.48,,,237.49,241.17,243.14,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,242.2,243.81,241.55,242.06,924086.0,,,,,2.26,0.89,1.37,2.26,,,238.34,241.17,243.81,0.2,1,0.22,12.13,241.99,241.99,,,,,,,,,,,241.07,242.92,
2025-01-27,241.43,246.8275,240.6,246.2,1276199.0,,,,,6.23,4.77,1.46,6.23,4.12,,239.43,241.17,246.83,0.21,1,1.64,58.63,242.09,242.09,,,,,,,,,,,241.63,246.2,
2025-01-28,250.84,253.19,246.98,249.52,1410665.0,,,,,6.21,6.99,0.78,6.99,4.61,,240.6,241.17,253.19,0.21,1,3.73,74.99,242.2,242.2,1.91,62.32,240.65,242.56,,,,,,,242.06,249.52,
2025-01-29,248.7,250.725,246.77,246.93,875044.0,,,,,3.95,1.2,2.75,3.95,4.58,,243.24,241.17,253.19,0.21,1,0.37,20.05,247.18,247.18,1.55,57.14,242.43,243.98,,,,,,,242.06,249.52,
2025-01-30,247.3,252.85,247.08,252.51,1046365.0,,,,,5.77,5.92,0.15,5.92,5.07,,245.33,241.17,253.19,0.21,1,1.5,56.22,248.16,248.16,2.16,65.19,243.12,245.28,,,,,,,246.2,252.51,
2025-01-31,251.29,252.56,249.01,250.19,1017287.0,,,,,3.55,0.05,3.5,3.55,5.33,,246.98,241.17,253.19,0.21,1,1.63,58.47,248.25,248.25,1.1,47.65,246.88,247.97,,,,251.74,,,246.93,252.51,
2025-02-03,247.6,250.8,245.02,249.51,982539.0,,,,,5.78,0.61,5.17,5.78,5.24,,245.02,253.19,245.02,0.05,0,-1.5,-56.31,252.24,252.24,0.32,17.95,249.08,249.41,,,,251.78,,,246.93,252.51,
2025-02-04,251.14,251.22,247.26,248.84,1253229.0,,,,,3.96,1.71,2.25,3.96,4.63,,245.02,252.78,245.02,0.05,0,-0.67,-34.02,250.19,250.19,0.08,4.69,249.43,249.51,,,,251.2,,,248.84,252.51,
2025-02-05,250.06,250.68,248.115,249.71,1142500.0,,,,,2.56,1.84,0.72,2.56,4.35,,245.02,252.39,245.02,0.05,0,0.1,5.71,249.25,249.25,-0.7,-34.8,251.54,250.85,,,,250.28,,,248.84,250.19,
2025-02-06,250.0,250.11,247.1,250.03,1068039.0,,,,,3.01,0.4,2.61,3.01,3.77,,245.02,252.02,245.02,0.05,0,0.59,30.75,248.93,248.93,-0.01,-0.69,249.68,249.67,,,,249.9,,,248.84,250.03,
2025-02-07,249.22,249.79,247.0,247.4,848809.0,,,,,2.79,0.24,3.03,3.03,3.67,,245.02,251.67,245.02,0.05,0,-1.16,-49.11,250.2,250.2,-0.3,-16.86,249.7,249.4,,,,248.92,,,247.4,250.03,
2025-02-10,247.21,247.21,244.58,245.94,2061376.0,,,,,2.63,0.19,2.82,2.82,3.08,,245.02,251.34,244.58,0.1,0,-2.04,-63.94,249.83,249.83,-0.81,-39.04,250.01,249.2,,,,246.87,,,245.94,250.03,
2025-02-11,267.49,267.56,260.54,261.23,2964320.0,,,,,7.02,21.62,14.6,21.62,6.61,,244.58,267.56,267.56,0.05,1,6.91,81.77,244.61,244.61,1.89,62.18,247.07,248.97,,,,252.67,,,245.94,261.23,
2025-02-12,258.05,262.57,255.15,262.03,1969227.0,,,,,7.42,1.34,6.08,7.42,7.58,4.82,245.73,267.56,267.56,0.05,1,8.04,82.91,248.35,248.35,3.78,75.19,245.76,249.54,,,,257.49,,,245.94,262.03,
2025-02-13,263.05,267.23,262.055,265.47,1449284.0,,,,,5.18,5.2,0.03,5.2,8.02,5.12,246.82,267.56,267.56,0.05,1,2.12,64.75,260.79,260.79,5.22,79.16,245.97,251.19,,,,262.59,,,245.94,265.47,
2025-02-14,266.07,267.9999,264.541,264.74,991756.0,,,,,3.46,2.53,0.93,3.46,8.1,5.39,247.86,267.56,268.0,0.1,1,1.36,53.57,262.72,262.72,4.18,76.56,251.51,255.7,,,,265.88,,,261.23,265.47,
2025-02-18,264.79,267.66,262.98,266.22,1265226.0,,,,,4.68,2.92,1.76,4.68,8.48,5.69,249.87,267.56,268.0,0.1,1,0.37,20.56,265.1,265.1,1.27,51.76,261.4,262.67,,,,268.69,,,262.03,266.22,
2025-02-19,266.35,266.55,263.82,266.24,848878.0,,,,,2.73,0.33,2.4,2.73,4.7,5.66,251.68,267.56,268.0,0.1,1,0.75,36.87,264.98,264.98,0.92,42.52,263.11,264.02,,,,270.21,,,264.74,266.24,
2025-02-20,265.2,267.61,264.07,267.34,936219.0,,,,,3.54,1.37,2.17,3.54,3.92,5.55,253.31,267.56,268.0,0.1,1,0.56,29.25,266.04,266.04,0.52,27.65,264.95,265.48,,,,270.18,,,264.74,267.34,
2025-02-21,267.37,267.79,264.22,264.69,970261.0,,,,,3.57,0.45,3.12,3.57,3.6,5.42,254.78,267.56,268.0,0.1,1,-0.78,-37.78,266.86,266.86,0.1,5.82,265.64,265.74,,,,267.02,,,264.69,267.34,
2025-02-24,265.23,265.9,263.52,263.81,1033103.0,,,,,2.38,1.21,1.17,2.38,3.38,5.33,256.1,267.56,268.0,0.1,1,-1.76,-60.47,267.04,267.04,-0.64,-32.5,266.93,266.3,,,,265.75,,,263.81,267.34,
2025-02-25,264.91,268.155,264.04,265.69,1599951.0,254.08,9.38,272.84,235.32,4.11,4.34,0.23,4.34,3.31,5.25,257.29,267.56,268.15,0.15,1,0.5,26.57,264.23,264.23,-0.46,-24.84,266.48,266.02,,,,265.25,,,263.81,267.34,
2025-02-26,265.62,268.08,264.69,266.47,849667.0,255.09,9.28,273.65,236.53,3.39,2.39,1.0,3.39,3.44,5.22,258.92,267.56,268.15,0.15,1,1.33,53.06,263.99,263.99,-0.07,-4.23,265.75,265.67,,,,265.63,,,263.81,266.47,
2025-02-27,265.93,269.23,264.91,267.18,1193871.0,256.11,9.15,274.41,237.81,4.32,2.76,1.56,4.32,3.6,5.22,260.3,267.56,269.23,0.2,1,0.74,36.69,265.7,265.7,0.76,37.38,264.04,264.8,,,,266.04,,,263.81,267.18,
2025-02-28,269.22,270.57,267.66,269.01,2340086.0,257.16,9.07,275.3,239.02,2.91,3.39,0.48,3.39,3.56,5.25,262.09,267.56,270.57,0.21,1,1.27,51.78,266.28,266.28,1.19,49.93,264.05,265.24,,,,267.38,,,265.69,269.01,
2025-03-03,271.18,273.69,269.065,269.82,1464914.0,258.27,8.84,275.95,240.59,4.62,4.68,0.06,4.68,4.02,5.05,263.87,267.56,273.69,0.21,1,1.32,52.85,267.35,267.35,1.08,47.2,265.47,266.55,,,,268.83,,,266.47,269.82,
2025-03-04,269.27,271.29,267.0558,267.77,1586018.0,259.13,8.66,276.45,241.81,4.23,1.47,2.76,4.23,4.0,4.78,265.93,267.56,273.69,0.21,1,-0.62,-31.8,269.49,269.49,0.52,27.65,267.0,267.53,,,,269.4,,,267.18,269.82,
2025-03-05,267.91,271.3999,267.38,269.63,1513115.0,259.94,8.66,277.26,242.62,4.02,3.63,0.39,4.02,4.13,4.48,267.06,267.56,273.69,0.21,1,-0.1,-5.43,269.17,269.17,0.37,20.1,267.95,268.32,,,,270.05,,,267.77,269.82,
2025-03-06,268.31,269.38,265.0472,266.25,1467100.0,260.71,8.31,277.33,244.09,4.33,0.25,4.58,4.58,4.18,4.18,265.05,273.69,265.05,0.05,0,-0.76,-37.23,268.64,268.64,-0.57,-29.73,269.64,269.07,,,,268.66,,,266.25,269.82,
2025-03-07,264.61,270.145,264.15,269.26,1160222.0,261.38,8.3,277.98,244.78,6.0,3.89,2.1,6.0,4.7,3.89,265.05,273.26,264.15,0.1,0,-0.18,-10.48,268.56,268.56,-0.26,-14.79,269.07,268.81,,,,268.79,,,266.25,269.63,
2025-03-10,267.04,271.77,264.75,265.68,1534918.0,262.0,8.0,278.0,246.0,7.02,2.51,4.51,7.02,5.17,3.92,265.05,272.35,264.15,0.1,0,-0.29,-15.91,267.35,267.35,-0.46,-24.47,268.63,268.17,,,,267.32,,,265.68,269.63,
2025-03-11,265.6,265.99,258.46,259.06,2276899.0,262.38,7.6,277.58,247.18,7.53,0.31,7.22,7.53,5.83,4.07,265.05,271.77,258.46,0.15,0,-5.1,-78.91,269.77,269.77,-2.17,-65.27,270.32,268.15,8.2,,,263.34,,,259.06,269.26,
2025-03-12,259.45,260.48,254.78,255.18,2025398.0,262.63,7.22,277.07,248.19,5.7,1.42,4.28,5.7,6.17,4.27,265.05,269.77,254.78,0.2,0,-5.25,-79.22,265.22,265.22,-3.23,-72.82,269.55,266.32,4.91,,,258.88,,,255.18,269.26,
2025-03-13,255.05,256.465,248.25,251.11,2234654.0,262.69,7.12,276.93,248.45,8.21,1.28,6.93,8.21,6.89,4.54,265.05,266.77,248.25,0.21,0,-3.97,-75.88,259.09,259.09,-4.68,-77.94,269.42,264.74,1.61,,,254.07,,,251.11,265.68,
2025-03-14,251.0,252.16,247.9,250.96,1944334.0,262.73,7.06,276.85,248.61,4.26,1.05,3.21,4.26,6.54,4.79,265.05,262.88,247.9,0.21,0,-2.11,-64.64,254.53,254.53,-3.74,-75.03,263.88,260.14,-2.28,-10.48,,250.26,,,250.96,259.06,
2025-03-17,249.83,254.1357,249.415,251.88,1062588.0,262.91,6.7,276.31,249.51,4.72,3.18,1.55,4.72,6.08,4.99,265.05,259.73,247.9,0.21,0,0.38,21.06,250.93,250.93,-1.86,-61.71,257.35,255.5,-5.32,-10.23,,248.69,,,250.96,255.18,
2025-03-18,251.3,253.73,250.31,253.7,2636761.0,263.22,6.03,275.28,251.16,3.42,1.85,1.57,3.42,5.26,5.12,265.05,257.25,247.9,0.21,0,1.37,53.87,250.81,250.81,-0.22,-12.35,253.0,252.79,-6.61,-8.22,,248.51,,,250.96,253.7,
2025-03-19,253.63,255.62,252.73,254.12,1780132.0,262.93,6.29,275.51,250.35,2.89,1.92,0.97,2.89,4.7,5.21,247.9,255.62,255.62,0.05,1,1.12,48.24,252.11,252.11,0.88,41.22,250.6,251.48,-6.95,-4.67,,250.3,,,250.96,254.12,
2025-03-20,252.94,253.475,250.47,251.94,1179658.0,262.53,6.66,275.85,249.21,3.0,0.65,3.65,3.65,3.79,5.19,248.29,255.62,255.62,0.05,1,-0.88,-41.35,254.13,254.13,0.42,22.78,251.68,252.1,-6.93,-1.61,,251.56,,,251.88,254.12,
2025-03-21,249.87,251.2984,247.23,251.0,3034077.0,261.95,7.01,275.97,247.93,4.07,0.64,4.71,4.71,3.88,5.18,247.23,255.62,247.23,0.05,0,-1.56,-57.34,253.91,253.91,-0.35,-19.39,253.23,252.88,-6.87,-0.26,,251.91,,,251.0,254.12,
2025-03-24,251.0,253.51,249.86,252.62,1470390.0,261.47,7.23,275.93,247.01,3.65,2.51,1.14,3.65,3.66,5.14,247.23,255.2,247.23,0.05,0,0.34,18.78,251.51,251.51,-0.53,-27.83,253.73,253.2,-6.8,0.15,,252.64,,,251.0,254.12,
