Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,121.25,124.755,121.09,124.09,10501968.0,,,,,3.66,,,3.66,,,121.09,124.755,124.755,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,123.8,124.41,122.58,123.93,2258870.0,,,,,1.83,0.32,1.51,1.83,,,121.27,124.755,124.755,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,124.1,126.3,123.81,126.23,1243270.0,,,,,2.49,2.37,0.12,2.49,,,121.44,124.755,126.3,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,126.11,126.83,125.22,126.39,1530231.0,,,,,1.61,0.6,1.01,1.61,,,121.93,124.755,126.83,0.15,1,1.23,50.89,124.29,124.29,,,,,,,,,,,123.93,126.39
2024-12-27 05:00:00,125.18,126.58,124.9,125.71,1653503.0,,,,,1.68,0.19,1.49,1.68,2.25,,122.66,124.755,126.83,0.15,1,-0.26,-14.57,126.37,126.37,,,,,,,,,,,123.93,126.39
2024-12-30 05:00:00,124.19,124.97,122.99,124.26,2621068.0,,,,,1.98,0.74,2.72,2.72,2.07,,122.99,126.83,122.99,0.05,0,-1.06,-46.8,126.52,126.52,0.01,0.8,125.28,125.29,,,,,,,124.26,126.39
2024-12-31 05:00:00,124.28,124.91,123.5,123.93,2171591.0,,,,,1.41,0.65,0.76,1.41,1.98,,122.99,126.64,122.99,0.05,0,-0.89,-41.67,125.52,125.52,-0.67,-33.94,126.65,125.98,,,,,,,123.93,126.39
2025-01-02 05:00:00,125.4,125.5,121.2414,122.18,1837739.0,,,,,4.26,1.57,2.69,4.26,2.34,,122.99,126.46,121.24,0.1,0,-1.04,-46.12,124.5,124.5,-1.02,-45.57,126.53,125.51,,,,,,,122.18,125.71
2025-01-03 05:00:00,122.61,123.565,121.78,123.44,1621172.0,,,,,1.78,1.38,0.4,1.78,2.37,,122.99,125.94,121.24,0.1,0,-0.25,-13.77,123.43,123.43,-0.66,-33.5,125.23,124.57,,,,123.15,,,122.18,124.26
2025-01-06 05:00:00,124.13,124.6051,121.75,122.09,2311151.0,,,,,2.86,1.17,1.69,2.86,2.61,,122.99,125.47,121.24,0.1,0,-0.05,-2.58,122.61,122.61,-0.48,-25.78,124.15,123.66,,,,122.0,,,122.09,123.93
2025-01-07 05:00:00,122.57,123.68,119.78,120.68,2622194.0,,,,,3.9,1.59,2.31,3.9,2.84,,122.99,125.05,119.78,0.15,0,-1.38,-54.07,123.45,123.45,-0.66,-33.38,123.78,123.12,,,,120.99,,,120.68,123.44
2025-01-08 05:00:00,120.5,120.5,118.59,120.3,2562498.0,,,,,1.91,0.18,2.09,2.09,2.98,,122.99,124.26,118.59,0.2,0,-0.9,-41.83,121.92,121.92,-0.65,-33.1,123.04,122.39,,,,120.32,,,120.3,123.44
2025-01-10 05:00:00,118.44,119.1,117.22,117.94,3736104.0,,,,,1.88,1.2,3.08,3.08,2.74,,122.99,123.13,117.22,0.21,0,-1.37,-53.87,121.01,121.01,-1.28,-51.98,123.45,122.17,,,,119.01,,,117.94,122.09
2025-01-13 05:00:00,116.73,118.6,116.5,118.47,2185890.0,,,,,2.1,0.66,1.44,2.1,2.81,,122.99,121.89,116.5,0.21,0,-0.92,-42.46,119.82,119.82,-1.0,-44.94,121.89,120.89,,,,118.2,,,117.94,120.68
2025-01-14 05:00:00,119.41,120.585,118.64,119.79,2074201.0,,,,,1.94,2.11,0.17,2.11,2.66,,122.99,120.76,116.5,0.21,0,0.93,42.77,117.81,117.81,-0.36,-19.85,120.16,119.8,,,,118.34,,,117.94,120.3
2025-01-15 05:00:00,122.07,122.5,120.0,120.72,2405515.0,,,,,2.5,2.71,0.21,2.71,2.42,,116.5,122.5,122.5,0.05,1,1.12,48.37,118.53,118.53,0.27,15.06,118.91,119.18,,,,118.78,,,117.94,120.72
2025-01-16 05:00:00,120.58,123.496,120.51,123.29,2872347.0,,,,,2.99,2.78,0.21,2.99,2.6,2.51,116.8,122.5,123.5,0.1,1,1.75,60.26,119.52,119.52,1.3,52.32,117.45,118.75,,,,120.73,,,118.47,123.29
2025-01-17 05:00:00,124.6,125.405,123.7,124.53,4240161.0,,,,,1.7,2.11,0.41,2.11,2.4,2.52,117.47,122.5,125.4,0.15,1,1.91,62.3,120.94,120.94,1.56,57.37,118.24,119.8,,,,122.86,,,119.79,124.53
2025-01-21 05:00:00,126.23,129.6,125.6253,129.48,4432892.0,,,,,3.97,5.07,1.1,5.07,3.0,2.6,118.66,122.5,129.6,0.2,1,3.09,72.09,122.67,122.67,2.32,66.67,118.92,121.24,,,,126.51,,,120.72,129.48
2025-01-22 05:00:00,131.2,131.63,129.8001,129.94,2860506.0,,,,,1.83,2.15,0.32,2.15,3.01,2.68,120.85,122.5,131.63,0.21,1,2.71,69.71,125.28,125.28,2.46,67.9,120.67,123.13,,,,129.51,,,123.29,129.94
2025-01-23 05:00:00,129.74,132.06,128.9236,131.17,4078333.0,,,,,3.14,2.12,1.02,3.14,3.09,2.73,123.11,122.5,132.06,0.21,1,0.85,40.2,129.35,129.35,2.12,64.72,123.45,125.56,,,,131.64,,,124.53,131.17
2025-01-24 05:00:00,131.34,131.81,130.22,130.6,2726228.0,,,,,1.59,0.64,0.95,1.59,2.81,2.77,124.99,122.5,132.06,0.21,1,0.33,18.26,130.24,130.24,1.38,54.13,126.38,127.76,,,,132.56,,,129.48,131.17
2025-01-27 05:00:00,128.0,130.0,127.4,128.98,4261869.0,,,,,2.6,0.6,3.2,3.2,3.03,2.8,126.47,122.5,132.06,0.21,1,-1.1,-47.6,131.34,131.34,-0.03,-1.95,130.1,130.07,,,,132.12,,,128.98,131.17
2025-01-28 05:00:00,129.61,130.76,127.3,130.0,3647997.0,,,,,3.46,1.78,1.68,3.46,2.71,2.79,127.3,132.06,127.3,0.05,0,-0.3,-16.7,130.16,130.16,-0.21,-11.7,130.55,130.35,,,,131.57,,,128.98,131.17
