Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,42.59,43.641,42.42,42.99,12909009.0,,,,,1.22,,,1.22,,,42.42,43.641,43.641,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,43.0,43.995,42.85,43.86,4813955.0,,,,,1.14,1.0,0.14,1.14,,,42.48,43.641,44.0,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,44.09,44.76,43.63,44.58,2013642.0,,,,,1.13,0.9,0.23,1.13,,,42.63,43.641,44.76,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,44.16,44.64,43.71,44.18,2712338.0,,,,,0.93,0.06,0.87,0.93,,,42.95,43.641,44.76,0.15,1,0.16,9.09,44.05,44.05,,,,,,,,,,,42.99,44.58
2024-12-27 05:00:00,44.17,44.9797,43.96,44.32,4508290.0,,,,,1.02,0.8,0.22,1.02,1.09,,43.22,43.641,44.98,0.2,1,-0.13,-7.41,44.49,44.49,,,,,,,,,,,43.86,44.58
2024-12-30 05:00:00,46.35,46.76,45.06,46.59,9723837.0,,,,,1.7,2.44,0.74,2.44,1.33,,43.57,43.641,46.76,0.21,1,1.2,50.31,43.82,43.82,0.52,27.47,43.67,44.19,,,,,,,44.18,46.59
2024-12-31 05:00:00,46.23,46.6,45.91,46.11,4902773.0,,,,,0.69,0.01,0.68,0.69,1.24,,44.24,43.641,46.76,0.21,1,0.89,41.83,44.78,44.78,0.55,28.68,44.06,44.61,,,,,,,44.18,46.59
2025-01-02 05:00:00,47.0,47.59,45.92,47.35,10169210.0,,,,,1.67,1.48,0.19,1.67,1.35,,44.77,43.641,47.59,0.21,1,0.38,20.81,46.3,46.3,0.81,39.11,44.08,44.9,,,,,,,44.32,47.35
2025-01-03 05:00:00,47.8,48.33,46.39,47.02,8235989.0,,,,,1.94,0.98,0.96,1.94,1.55,,45.36,43.641,48.33,0.21,1,0.45,24.47,46.37,46.37,0.62,31.63,45.05,45.66,,,,47.34,,,46.11,47.35
2025-01-06 05:00:00,48.0,48.29,47.38,47.64,6793326.0,,,,,0.91,1.27,0.36,1.27,1.6,,45.98,43.641,48.33,0.21,1,0.14,8.25,47.19,47.19,0.3,16.75,46.34,46.64,,,,47.82,,,46.11,47.64
2025-01-07 05:00:00,47.65,48.52,47.3,48.15,4851932.0,,,,,1.22,0.88,0.34,1.22,1.36,,46.47,43.641,48.52,0.21,1,0.56,29.47,47.04,47.04,0.44,23.61,46.38,46.82,,,,48.37,,,47.02,48.15
2025-01-08 05:00:00,48.26,49.2,48.19,49.0,7887191.0,,,,,1.01,1.05,0.04,1.05,1.43,,46.9,43.641,49.2,0.21,1,0.68,34.22,47.58,47.58,0.44,23.89,46.95,47.39,,,,48.89,,,47.02,49.0
2025-01-10 05:00:00,49.58,50.0274,48.86,49.0,10527484.0,,,,,1.17,1.03,0.14,1.17,1.33,,47.38,43.641,50.03,0.21,1,0.42,23.03,48.29,48.29,0.53,28.01,47.1,47.63,,,,49.04,,,47.64,49.0
2025-01-13 05:00:00,49.1,50.115,48.79,50.08,9289975.0,,,,,1.33,1.12,0.21,1.33,1.21,,47.94,43.641,50.12,0.21,1,0.54,28.37,48.82,48.82,0.57,29.81,47.63,48.2,,,,49.81,,,48.15,50.08
2025-01-14 05:00:00,50.05,51.21,49.935,50.69,7396734.0,,,,,1.27,1.13,0.14,1.27,1.21,,48.4,43.641,51.21,0.21,1,0.84,40.2,49.08,49.08,0.62,31.63,48.15,48.77,,,,50.43,,,49.0,50.69
2025-01-15 05:00:00,52.0,52.995,51.62,52.44,10475731.0,,,,,1.38,2.3,0.93,2.3,1.42,,48.99,43.641,53.0,0.21,1,1.18,49.72,49.89,49.89,0.86,40.6,48.53,49.39,,,,51.71,,,49.0,52.44
2025-01-16 05:00:00,52.19,53.98,52.1,53.78,7555754.0,,,,,1.88,1.54,0.34,1.88,1.59,1.36,49.83,43.641,53.98,0.21,1,1.55,57.09,50.76,50.76,1.19,50.01,48.81,50.01,,,,53.04,,,50.08,53.78
2025-01-17 05:00:00,52.8,53.79,52.3652,52.96,7702765.0,,,,,1.42,0.01,1.41,1.42,1.64,1.4,50.7,43.641,53.98,0.21,1,0.26,14.57,52.8,52.8,0.88,41.51,50.22,51.11,,,,53.62,,,50.69,53.78
2025-01-21 05:00:00,52.57,53.46,52.23,53.43,9929480.0,,,,,1.23,0.5,0.73,1.23,1.62,1.43,51.39,43.641,53.98,0.21,1,-0.18,-9.93,53.56,53.56,0.6,30.96,51.46,52.06,,,,54.07,,,52.44,53.78
2025-01-22 05:00:00,54.1,54.85,53.37,53.4,7782406.0,,,,,1.48,1.42,0.06,1.48,1.66,1.46,51.93,43.641,54.85,0.21,1,0.22,12.41,53.04,53.04,0.16,8.92,52.89,53.04,,,,54.29,,,52.96,53.78
2025-01-23 05:00:00,53.67,53.77,52.8943,53.58,6778701.0,,,,,0.88,0.37,0.51,0.88,1.38,1.46,52.54,43.641,54.85,0.21,1,0.07,4.29,53.39,53.39,0.0,0.23,53.42,53.43,,,,54.22,,,52.96,53.58
2025-01-24 05:00:00,53.52,53.885,53.225,53.68,6025593.0,,,,,0.66,0.3,0.35,0.66,1.13,1.43,52.89,43.641,54.85,0.21,1,0.14,7.97,53.41,53.41,0.16,9.03,53.09,53.25,,,,54.08,,,53.4,53.68
