Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,351.4,357.67,350.475,357.63,3575205.0,,,,,7.19,,,7.19,,,350.475,357.67,357.67,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,372.27,377.925,365.0,371.23,3521657.0,,,,,12.93,20.3,7.37,20.3,,,350.83,357.67,377.92,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,367.14,372.3,363.22,369.69,1962036.0,,,,,9.08,1.07,8.01,9.08,,,353.54,357.67,377.92,0.1,1,,,,,,,,,,,,,,,,,
2025-01-24,377.12,378.0,367.16,368.98,1970917.0,,,,,10.84,8.31,2.53,10.84,,,355.98,357.67,378.0,0.15,1,-1.13,-48.37,371.09,371.09,,,,,,,,,,,357.63,371.23,
2025-01-27,329.49,329.76,306.15,311.55,10194145.0,,,,,23.61,39.22,62.83,62.83,22.05,,306.15,378.0,306.15,0.05,0,-29.07,-88.03,379.14,379.14,,,,,,,,,,,311.55,371.23,
2025-01-28,311.76,313.66,298.29,312.67,8863757.0,,,,,15.37,2.11,13.26,15.37,23.68,,306.15,374.41,298.29,0.1,0,-28.16,-87.97,359.22,359.22,-17.53,-86.73,381.88,364.35,,,,,,,311.55,369.69,
2025-01-29,313.5,319.55,310.12,317.6,4291560.0,,,,,9.43,6.88,2.55,9.43,21.51,,306.15,366.8,298.29,0.1,0,3.02,71.71,310.91,310.91,-16.05,-86.43,368.2,352.15,,,,,,,311.55,368.98,
2025-01-30,324.83,329.59,321.11,327.1,4758521.0,,,,,8.48,11.99,3.51,11.99,22.09,,306.15,359.95,298.29,0.1,0,7.22,82.11,311.91,311.91,-7.77,-82.67,343.12,335.35,,,,,,,311.55,327.1,
2025-01-31,322.02,330.55,314.4,326.44,6485559.0,,,,,16.15,3.45,12.7,16.15,23.15,,306.15,353.78,298.29,0.1,0,4.42,77.25,319.29,319.29,4.42,77.25,310.23,314.65,,,,309.85,,,312.67,327.1,
2025-02-03,317.34,322.1,311.1239,315.41,3304057.0,,,,,10.98,4.34,15.32,15.32,13.65,,306.15,348.23,298.29,0.1,0,-5.84,-80.29,328.83,328.83,1.43,55.07,316.98,318.41,,,,308.63,,,315.41,327.1,
2025-02-04,319.01,319.6,313.01,314.7,2347029.0,,,,,6.59,4.19,2.4,6.59,11.9,,306.15,343.24,298.29,0.1,0,-5.87,-80.33,324.72,324.72,-1.75,-60.24,323.75,322.0,,,,311.4,,,314.7,327.1,
2025-02-05,315.55,316.76,311.3,315.25,3084675.0,,,,,5.46,2.06,3.4,5.46,11.1,,306.15,338.74,298.29,0.1,0,-0.08,-4.57,315.2,315.2,-3.54,-74.24,326.87,323.32,,,,318.79,,,314.7,326.44,
2025-02-06,316.09,323.68,312.77,315.85,3334355.0,,,,,10.91,8.43,2.48,10.91,10.89,,306.15,334.7,298.29,0.1,0,0.58,29.9,314.69,314.69,-2.13,-64.89,321.8,319.66,,,,316.56,,,314.7,315.85,
2025-02-07,318.1,322.6399,311.97,313.05,2634150.0,,,,,10.67,6.79,3.88,10.67,9.79,,306.15,331.06,298.29,0.1,0,-1.1,-47.73,315.82,315.82,-0.36,-19.65,315.57,315.21,,,,313.08,,,313.05,315.85,
2025-02-10,314.69,320.15,312.4501,319.88,2748671.0,,,,,7.7,7.1,0.6,7.7,8.27,,306.15,327.78,298.29,0.1,0,2.01,63.61,314.24,314.24,0.82,39.21,314.11,314.93,,,,313.64,,,313.05,319.88,
2025-02-11,317.36,318.25,311.1,316.51,3216010.0,,,,,7.15,1.63,8.78,8.78,8.7,,306.15,324.83,298.29,0.1,0,1.73,59.97,314.75,314.75,0.65,33.22,314.8,315.45,,,,314.99,,,313.05,319.88,
2025-02-12,308.2,311.96,305.69,309.88,2649651.0,,,,,6.27,4.55,10.82,10.82,9.78,15.12,306.15,322.18,298.29,0.1,0,-5.0,-78.69,320.42,320.42,-0.85,-40.3,316.73,315.88,,,,314.29,,,309.88,319.88,
2025-02-13,312.76,312.76,304.07,307.81,3015658.0,,,,,8.69,2.88,5.81,8.69,9.33,14.14,306.15,319.79,298.29,0.1,0,-4.35,-77.05,315.75,315.75,-2.05,-63.97,317.52,315.47,,,,311.35,,,307.81,319.88,
