Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,82.69,84.26,82.6,83.62,3129087.0,,,,,1.66,,,1.66,,,82.6,84.26,84.26,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,83.43,83.43,82.08,82.59,3043232.0,,,,,1.35,0.19,1.54,1.54,,,82.08,84.26,82.08,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,82.99,83.16,81.725,81.9,4066169.0,,,,,1.44,0.57,0.87,1.44,,,82.08,84.15,81.72,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,81.85,82.8,81.71,82.52,4218568.0,,,,,1.09,0.9,0.19,1.09,,,82.08,83.91,81.71,0.15,0,-0.03,-2.0,82.37,82.37,,,,,,,,,,,81.9,83.62,
2025-01-27,81.8,82.67,77.75,78.79,7685178.0,,,,,4.92,0.15,4.77,4.92,2.13,,82.08,83.58,77.75,0.2,0,-1.55,-57.26,82.62,82.62,,,,,,,,,,,78.79,82.59,
2025-01-28,79.04,79.09,75.55,77.62,7949473.0,,,,,3.54,0.3,3.24,3.54,2.51,,82.08,82.67,75.55,0.21,0,-2.45,-67.8,82.09,82.09,-1.31,-52.54,83.29,81.99,,,,,,,77.62,82.52,
2025-01-29,77.95,80.24,77.68,79.24,4953232.0,,,,,2.56,2.62,0.06,2.62,2.72,,82.08,81.17,75.55,0.21,0,0.22,12.68,78.32,78.32,-1.02,-45.62,82.06,81.04,,,,,,,77.62,82.52,
2025-01-30,80.45,81.5,80.065,81.18,3595496.0,,,,,1.44,2.26,0.83,2.26,2.89,,75.55,81.5,81.5,0.05,1,1.78,60.67,77.57,77.57,-0.22,-12.57,80.32,80.09,,,,,,,77.62,81.18,
2025-01-31,81.07,81.74,80.71,81.08,7475584.0,,,,,1.03,0.56,0.47,1.03,2.87,,75.85,81.5,81.74,0.1,1,0.92,42.61,79.58,79.58,0.81,39.15,77.95,78.77,,,,79.57,,,77.62,81.18,
2025-02-03,80.16,82.19,79.62,82.04,2746092.0,,,,,2.57,1.11,1.46,2.57,2.4,,76.44,81.5,82.19,0.15,1,0.43,23.27,81.0,81.0,1.07,46.88,78.1,79.16,,,,80.65,,,79.24,82.04,
2025-02-04,81.49,82.5,80.659,81.66,2770524.0,,,,,1.84,0.46,1.38,1.84,2.06,,77.3,81.5,82.5,0.2,1,0.29,16.17,81.3,81.3,0.57,29.68,79.9,80.47,,,,81.46,,,81.08,82.04,
2025-02-05,82.32,83.26,81.71,82.5,2844707.0,,,,,1.55,1.6,0.05,1.6,1.86,,78.34,81.5,83.26,0.21,1,0.23,12.95,81.84,81.84,0.32,17.85,81.05,81.37,,,,82.78,,,81.08,82.5,
2025-02-06,83.12,83.36,82.32,82.79,2232191.0,,,,,1.04,0.86,0.18,1.04,1.62,,79.37,81.5,83.36,0.21,1,0.56,29.47,81.75,81.75,0.39,21.21,81.24,81.63,,,,83.3,,,81.66,82.79,
2025-02-07,82.8,83.45,81.71,82.4,2348864.0,,,,,1.74,0.66,1.08,1.74,1.76,,80.21,81.5,83.45,0.21,1,-0.05,-2.86,82.61,82.61,0.18,10.48,81.91,82.09,,,,83.03,,,81.66,82.79,
2025-02-10,81.82,82.0352,80.72,81.8,4117812.0,,,,,1.32,0.36,1.68,1.68,1.58,,80.72,83.45,80.72,0.05,0,-0.5,-26.34,82.82,82.82,0.02,1.03,82.19,82.21,,,,82.52,,,81.8,82.79,
2025-02-11,81.6,82.141,80.73,82.02,2885481.0,,,,,1.41,0.34,1.07,1.41,1.49,,80.72,83.31,80.72,0.05,0,-0.19,-10.76,82.26,82.26,-0.2,-11.03,82.69,82.5,,,,82.36,,,81.8,82.79,
2025-02-12,80.74,83.0,80.6,82.82,2680315.0,,,,,2.4,0.98,1.42,2.4,1.65,2.12,80.72,83.18,80.6,0.1,0,0.51,27.02,81.7,81.7,-0.03,-1.83,82.43,82.4,,,,82.45,,,81.8,82.82,
2025-02-13,82.7,83.69,82.23,83.25,2248795.0,,,,,1.46,0.87,0.59,1.46,1.74,2.09,80.6,83.69,83.69,0.05,1,0.62,31.59,82.08,82.08,0.27,15.22,81.91,82.19,,,,82.81,,,81.8,83.25,
2025-02-14,83.13,84.46,82.45,82.49,3916803.0,,,,,2.01,1.21,0.8,2.01,1.79,2.03,80.75,83.69,84.46,0.1,1,-0.17,-9.37,83.02,83.02,0.26,14.63,81.95,82.21,,,,82.66,,,82.02,83.25,
2025-02-18,85.4,88.3846,85.0,87.4,5841649.0,,,,,3.38,5.89,2.51,5.89,2.63,2.03,81.12,83.69,88.38,0.15,1,2.08,64.27,82.3,82.3,1.04,46.21,81.51,82.55,,,,84.7,,,82.49,87.4,
2025-02-19,87.56,87.89,86.47,87.32,4675065.0,,,,,1.42,0.49,0.93,1.42,2.64,2.01,82.21,83.69,88.38,0.15,1,2.41,67.51,83.32,83.32,1.31,52.75,82.03,83.34,,,,86.37,,,82.49,87.4,
2025-02-20,87.16,87.31,85.215,85.86,4006631.0,,,,,2.09,0.01,2.1,2.1,2.58,1.98,83.14,83.69,88.38,0.15,1,-0.77,-37.6,87.63,87.63,1.0,45.14,83.25,84.26,,,,86.95,,,82.49,87.4,
2025-02-21,85.28,86.37,84.215,85.09,4755063.0,,,,,2.16,0.51,1.64,2.16,2.72,2.01,83.93,83.69,88.38,0.15,1,-1.11,-48.11,87.2,87.2,0.37,20.1,84.9,85.27,,,,86.77,,,85.09,87.4,
2025-02-24,84.77,85.8,83.92,85.29,6463889.0,,,,,1.88,0.71,1.17,1.88,2.69,2.06,83.92,88.38,83.92,0.05,0,-0.28,-15.91,85.7,85.7,-0.65,-32.82,87.48,86.84,,,,86.46,,,85.09,87.32,
2025-02-25,85.36,85.67,83.3,85.44,4079092.0,82.75,2.38,87.51,77.99,2.37,0.38,1.99,2.37,1.99,2.07,83.92,88.16,83.3,0.1,0,0.17,9.93,85.1,85.1,-0.43,-23.41,86.67,86.23,,,,86.14,,,85.09,85.86,
2025-02-26,86.17,86.99,85.765,86.15,4034999.0,82.85,2.47,87.79,77.91,1.22,1.55,0.33,1.55,2.01,2.1,83.92,87.67,83.3,0.1,0,0.43,23.27,85.2,85.2,0.09,5.31,85.38,85.47,,,,86.0,,,85.09,86.15,
2025-02-27,86.06,86.91,85.13,85.27,2979303.0,82.96,2.52,88.0,77.92,1.78,0.76,1.02,1.78,1.95,2.11,83.92,87.23,83.3,0.1,0,-0.09,-4.86,85.7,85.7,0.12,6.96,85.2,85.33,,,,85.07,,,85.27,86.15,
2025-02-28,85.41,87.51,85.265,87.31,3540209.0,83.17,2.65,88.47,77.87,2.25,2.24,0.0,2.25,1.97,2.14,83.3,87.51,87.51,0.05,1,0.58,30.11,85.66,85.66,0.39,21.16,85.12,85.51,,,,85.98,,,85.27,87.31,
2025-03-03,86.86,88.02,86.6,87.89,3920519.0,83.39,2.81,89.01,77.77,1.42,0.71,0.71,1.42,1.87,2.17,83.51,87.51,88.02,0.1,1,1.31,52.64,85.51,85.51,0.61,31.22,85.2,85.81,,,,87.12,,,85.27,87.89,
2025-03-04,87.6,88.0,84.95,85.08,3881669.0,83.64,2.66,88.96,78.32,3.05,0.11,2.94,3.05,2.01,2.2,83.96,87.51,88.02,0.1,1,-1.12,-48.11,87.87,87.87,0.05,2.75,86.24,86.29,,,,86.68,,,85.08,87.89,
2025-03-05,84.5,85.39,83.96,84.66,2250499.0,83.92,2.35,88.62,79.22,1.43,0.31,1.12,1.43,1.99,2.22,83.96,88.02,83.96,0.05,0,-1.62,-58.23,87.49,87.49,-0.35,-19.03,86.73,86.39,,,,85.93,,,84.66,87.89,
2025-03-06,83.83,83.94,80.99,81.18,3903579.0,84.0,2.22,88.44,79.56,2.95,0.72,3.67,3.67,2.36,2.26,83.96,87.82,80.99,0.1,0,-1.95,-62.85,85.59,85.59,-1.55,-57.15,88.32,86.77,,,,83.82,,,81.18,87.89,
2025-03-07,81.16,82.45,79.93,81.33,4808976.0,84.0,2.21,88.42,79.58,2.52,1.27,1.25,2.52,2.42,2.25,83.96,87.14,79.93,0.15,0,-1.66,-59.01,84.05,84.05,-1.7,-59.56,87.43,85.73,,,,82.15,,,81.18,85.08,
