Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,73.3,75.27,72.97,74.81,14210482.0,,,,,2.3,,,2.3,,,72.97,75.27,75.27,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,74.46,74.9,73.435,74.81,4228782.0,,,,,1.47,0.09,1.38,1.47,,,73.08,75.27,75.27,0.05,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,74.93,75.38,74.43,75.38,1687362.0,,,,,0.95,0.57,0.38,0.95,,,73.19,75.27,75.38,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,75.0,75.95,74.9218,75.92,3146818.0,,,,,1.03,0.57,0.46,1.03,,,73.41,75.27,75.95,0.15,1,0.55,29.03,74.82,74.82,,,,,,,,,,,74.81,75.92
2024-12-27 05:00:00,75.29,76.23,75.11,75.65,6102806.0,,,,,1.12,0.31,0.81,1.12,1.37,,73.79,75.27,76.23,0.2,1,0.14,7.69,75.51,75.51,,,,,,,,,,,74.81,75.92
2024-12-30 05:00:00,74.67,75.35,74.0768,74.24,2414104.0,,,,,1.27,0.3,1.57,1.57,1.23,,74.08,76.23,74.08,0.05,0,-0.84,-40.03,76.11,76.11,-0.09,-4.97,75.37,75.29,,,,,,,74.24,75.92
2024-12-31 05:00:00,74.66,75.36,73.82,74.03,2722136.0,,,,,1.54,1.12,0.42,1.54,1.24,,74.08,76.12,73.82,0.1,0,-0.81,-39.01,75.45,75.45,-0.44,-23.65,75.92,75.48,,,,,,,74.03,75.92
2025-01-02 05:00:00,74.31,74.5,71.97,72.59,5547884.0,,,,,2.53,0.47,2.06,2.53,1.56,,74.08,75.89,71.97,0.15,0,-0.83,-39.52,74.45,74.45,-0.83,-39.62,76.14,75.31,,,,,,,72.59,75.65
2025-01-03 05:00:00,72.81,74.0,72.15,73.91,3997406.0,,,,,1.85,1.41,0.44,1.85,1.72,,74.08,75.3,71.97,0.15,0,-0.06,-3.43,73.57,73.57,-0.51,-27.16,75.11,74.6,,,,73.43,,,72.59,74.24
2025-01-06 05:00:00,74.0,74.33,73.18,73.54,4102477.0,,,,,1.15,0.42,0.73,1.15,1.73,,74.08,74.8,71.97,0.15,0,0.47,25.41,72.87,72.87,-0.15,-8.64,73.97,73.81,,,,73.06,,,72.59,74.03
2025-01-07 05:00:00,73.73,74.44,73.41,73.64,3093941.0,,,,,1.03,0.9,0.13,1.03,1.62,,71.97,74.44,74.44,0.05,1,-0.13,-7.69,73.83,73.83,0.02,0.97,73.51,73.52,,,,72.98,,,72.59,73.91
2025-01-08 05:00:00,73.62,74.74,73.33,74.15,3447118.0,,,,,1.41,1.1,0.31,1.41,1.59,,72.09,74.44,74.74,0.1,1,0.31,16.96,73.47,73.47,0.28,15.91,73.0,73.28,,,,73.4,,,73.54,74.15
