Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,177.38,185.52,177.38,184.75,4134830.0,,,,,8.14,,,8.14,,,177.38,185.52,185.52,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,186.24,189.47,183.38,188.84,1461546.0,,,,,6.09,4.72,1.37,6.09,,,177.79,185.52,189.47,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,189.26,190.2399,188.2498,189.68,366204.0,,,,,1.99,1.4,0.59,1.99,,,178.96,185.52,190.24,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,189.72,190.29,188.5,190.12,879515.0,,,,,1.79,0.61,1.18,1.79,,,180.65,185.52,190.29,0.2,1,0.64,32.62,188.91,188.91,,,,,,,,,,,184.75,190.12
2024-12-27 05:00:00,187.81,190.1,184.7,186.11,1395052.0,,,,,5.4,0.02,5.42,5.42,4.69,,182.58,185.52,190.29,0.2,1,-1.79,-60.74,190.42,190.42,,,,,,,,,,,186.11,190.12
2024-12-30 05:00:00,183.0,186.85,182.62,186.49,1568019.0,,,,,4.23,0.74,3.49,4.23,3.9,,182.62,190.29,182.62,0.05,0,-1.81,-61.15,189.39,189.39,-0.83,-39.59,189.9,189.08,,,,,,,186.11,190.12
2024-12-31 05:00:00,187.15,189.56,186.06,186.33,1067672.0,,,,,3.5,3.07,0.43,3.5,3.39,,182.62,189.91,182.62,0.05,0,0.11,6.28,186.2,186.2,-1.03,-45.93,189.81,188.78,,,,,,,186.11,190.12
2025-01-02 05:00:00,187.38,187.9,183.0,185.33,919058.0,,,,,4.9,1.57,3.33,4.9,3.97,,182.62,189.56,182.62,0.05,0,-0.58,-30.11,186.63,186.63,-0.94,-43.11,188.75,187.81,,,,,,,185.33,186.49
2025-01-03 05:00:00,185.61,187.09,184.305,186.09,902781.0,,,,,2.78,1.76,1.03,2.78,4.17,,182.62,189.21,182.62,0.05,0,-0.12,-6.84,186.04,186.04,-0.12,-6.84,186.31,186.19,,,,185.21,,,185.33,186.49
2025-01-06 05:00:00,188.0,188.0,182.75,184.99,1346426.0,,,,,5.25,1.91,3.34,5.25,4.13,,182.62,188.88,182.62,0.05,0,-0.17,-9.65,185.64,185.64,-0.32,-17.95,186.49,186.17,,,,184.58,,,184.99,186.33
2025-01-07 05:00:00,184.65,186.94,181.06,182.33,1165288.0,,,,,5.88,1.95,3.93,5.88,4.46,,182.62,188.57,181.06,0.1,0,-1.88,-61.99,186.35,186.35,-0.83,-39.83,186.68,185.85,,,,183.38,,,182.33,186.09
2025-01-08 05:00:00,180.96,183.29,180.0,182.62,940863.0,,,,,3.29,0.96,2.33,3.29,4.42,,182.62,187.82,180.0,0.15,0,-1.19,-49.84,184.5,184.5,-0.92,-42.55,186.11,185.19,,,,183.02,,,182.33,186.09
2025-01-10 05:00:00,182.26,182.26,179.33,180.2,1488589.0,,,,,2.93,0.36,3.29,3.29,4.1,,182.62,186.65,179.33,0.2,0,-1.07,-46.8,182.78,182.78,-1.42,-54.75,186.08,184.66,,,,181.27,,,180.2,184.99
2025-01-13 05:00:00,179.2,181.33,177.41,181.3,1099444.0,,,,,3.92,1.13,2.79,3.92,4.33,,182.62,185.19,177.41,0.21,0,-0.66,-33.42,182.03,182.03,-0.95,-43.56,184.19,183.24,,,,180.57,,,180.2,182.62
2025-01-14 05:00:00,182.0,184.85,181.5,183.19,1017517.0,,,,,3.35,3.55,0.2,3.55,3.99,,177.41,184.85,184.85,0.05,1,1.49,56.22,180.07,180.07,0.04,2.29,181.85,181.89,,,,181.05,,,180.2,183.19
2025-01-15 05:00:00,186.52,187.135,185.51,186.52,1278923.0,,,,,1.62,3.94,2.32,3.94,3.6,,177.78,184.85,187.14,0.1,1,2.61,69.04,181.06,181.06,1.08,47.18,180.61,181.69,,,,182.93,,,180.2,186.52
