Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,37.98,39.29,37.96,38.86,22372318.0,,,,,1.33,,,1.33,,,37.96,39.29,39.29,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,38.92,39.34,38.555,39.25,8562506.0,,,,,0.79,0.48,0.3,0.79,,,38.03,39.29,39.34,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,39.37,39.39,38.81,39.22,3962496.0,,,,,0.58,0.14,0.44,0.58,,,38.16,39.29,39.39,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,39.04,39.32,38.92,39.19,6127846.0,,,,,0.4,0.1,0.3,0.4,,,38.34,39.29,39.39,0.15,1,-0.03,-1.72,39.25,39.25,,,,,,,,,,,38.86,39.25
2024-12-27 05:00:00,38.9,39.18,38.56,38.86,7892478.0,,,,,0.62,0.01,0.63,0.63,0.75,,38.5,39.29,39.39,0.15,1,-0.18,-10.2,39.27,39.27,,,,,,,,,,,38.86,39.25
2024-12-30 05:00:00,38.42,38.48,37.745,38.16,11047289.0,,,,,0.73,0.38,1.12,1.12,0.7,,37.74,39.39,37.74,0.05,0,-0.51,-27.25,39.25,39.25,-0.25,-14.25,39.44,39.19,,,,,,,38.16,39.22
2024-12-31 05:00:00,38.12,38.47,37.96,38.08,9246978.0,,,,,0.51,0.31,0.2,0.51,0.65,,37.74,39.31,37.74,0.05,0,-0.39,-21.31,38.76,38.76,-0.33,-18.31,39.36,39.03,,,,,,,38.08,39.19
2025-01-02 05:00:00,38.39,38.78,37.811,37.88,8791475.0,,,,,0.97,0.7,0.27,0.97,0.73,,37.74,39.23,37.74,0.05,0,-0.14,-7.97,38.18,38.18,-0.34,-18.78,39.11,38.77,,,,,,,37.88,38.86
2025-01-03 05:00:00,38.0,38.19,37.185,37.71,10155209.0,,,,,1.0,0.31,0.7,1.0,0.85,,37.74,39.16,37.18,0.1,0,-0.19,-10.48,38.08,38.08,-0.26,-14.47,38.65,38.4,,,,37.65,,,37.71,38.16
2025-01-06 05:00:00,38.83,39.76,38.51,38.57,18974389.0,,,,,1.25,2.05,0.8,2.05,1.13,,37.18,39.76,39.76,0.05,1,0.35,19.03,37.71,37.71,0.04,2.58,37.99,38.03,,,,37.83,,,37.71,38.57
2025-01-07 05:00:00,38.83,39.1688,38.4058,38.74,15304645.0,,,,,0.76,0.6,0.16,0.76,1.06,,37.31,39.76,39.76,0.05,1,0.52,27.25,37.82,37.82,0.2,11.37,37.79,38.0,,,,38.14,,,37.71,38.74
2025-01-08 05:00:00,38.76,39.825,38.31,39.74,15588975.0,,,,,1.52,1.09,0.43,1.52,1.26,,37.43,39.76,39.83,0.1,1,0.59,30.33,38.43,38.43,0.47,25.41,37.58,38.05,,,,38.9,,,37.71,39.74
2025-01-10 05:00:00,40.5,40.64,38.73,38.98,11971121.0,,,,,1.91,0.9,1.01,1.91,1.45,,37.67,39.76,40.64,0.15,1,0.12,6.84,39.03,39.03,0.37,20.35,38.01,38.38,,,,39.21,,,38.57,39.74
2025-01-13 05:00:00,38.65,39.6,38.62,39.41,10418057.0,,,,,0.98,0.62,0.36,0.98,1.44,,38.12,39.76,40.64,0.15,1,-0.17,-9.37,39.54,39.54,0.19,10.87,38.7,38.9,,,,39.52,,,38.74,39.74
2025-01-14 05:00:00,39.71,39.835,39.04,39.5,9801890.0,,,,,0.8,0.43,0.37,0.8,1.19,,38.5,39.76,40.64,0.15,1,0.26,14.57,39.04,39.04,0.12,6.79,39.04,39.15,,,,39.74,,,38.98,39.74
2025-01-15 05:00:00,40.445,40.45,39.52,40.03,10606978.0,,,,,0.93,0.95,0.02,0.95,1.23,,38.82,39.76,40.64,0.15,1,0.31,17.22,39.34,39.34,0.11,6.28,39.31,39.42,,,,40.01,,,38.98,40.03
2025-01-16 05:00:00,40.19,40.41,39.575,40.03,11793991.0,,,,,0.83,0.38,0.45,0.83,1.09,1.04,39.09,39.76,40.64,0.15,1,0.27,14.84,39.59,39.59,0.27,15.22,39.05,39.32,,,,40.06,,,39.41,40.03
2025-01-17 05:00:00,40.09,40.81,39.87,40.22,12045611.0,,,,,0.94,0.78,0.16,0.94,0.9,1.05,39.32,39.76,40.81,0.2,1,0.09,5.43,40.0,40.0,0.21,12.13,39.41,39.62,,,,40.21,,,39.5,40.22
2025-01-21 05:00:00,40.76,40.94,39.86,40.3,16558028.0,,,,,1.08,0.72,0.36,1.08,0.92,1.07,39.62,39.76,40.94,0.21,1,0.13,7.69,40.05,40.05,0.18,10.15,39.66,39.84,,,,40.3,,,40.03,40.3
2025-01-22 05:00:00,40.44,40.5,39.02,39.09,15882676.0,,,,,1.48,0.2,1.28,1.48,1.06,1.1,39.02,40.94,39.02,0.05,0,-0.57,-29.47,40.44,40.44,-0.16,-9.15,40.26,40.09,,,,40.0,,,39.09,40.3
2025-01-23 05:00:00,38.11,38.7,36.46,38.5,30475404.0,,,,,2.24,0.39,2.63,2.63,1.39,1.15,39.02,40.84,36.46,0.1,0,-0.9,-41.99,40.2,40.2,-0.42,-22.73,40.47,40.05,,,,39.33,,,38.5,40.3
2025-01-24 05:00:00,38.73,38.88,37.455,37.81,19076373.0,,,,,1.43,0.38,1.05,1.43,1.51,1.2,39.02,40.4,36.46,0.1,0,-0.64,-32.62,39.11,39.11,-0.66,-33.5,40.51,39.85,,,,38.51,,,37.81,40.3
2025-01-27 05:00:00,37.215,37.215,36.58,36.67,18550521.0,,,,,0.64,0.59,1.23,1.23,1.57,1.24,39.02,40.01,36.46,0.1,0,-0.91,-42.46,38.58,38.58,-0.85,-40.5,40.18,39.33,,,,37.37,,,36.67,39.09
2025-01-28 05:00:00,36.88,37.0,35.46,35.84,16842913.0,,,,,1.54,0.33,1.21,1.54,1.66,1.28,39.02,39.66,35.46,0.15,0,-0.99,-44.57,37.76,37.76,-0.83,-39.79,39.25,38.41,,,,36.26,,,35.84,38.5
2025-01-29 05:00:00,35.98,36.84,35.94,36.28,12599851.0,38.68,1.17,41.02,36.34,0.9,1.0,0.1,1.0,1.57,1.31,39.02,39.03,35.46,0.15,0,-0.2,-11.03,36.46,36.46,-0.64,-32.66,38.3,37.66,,,,35.68,,,35.84,37.81
2025-01-30 05:00:00,36.67,36.815,36.07,36.64,11821922.0,38.59,1.24,41.07,36.11,0.74,0.53,0.21,0.74,1.19,1.29,39.02,38.49,35.46,0.15,0,0.4,21.8,35.85,35.85,-0.27,-15.27,37.19,36.92,,,,35.61,,,35.84,36.67
