Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,1910.04,1916.585,1876.89,1894.19,381345.0,,,,,39.69,,,39.69,,,1916.585,1876.89,1876.89,0.05,0,,,,,,,,,,,,,,,,,
2025-01-22,1918.09,1918.09,1842.19,1880.32,283160.0,,,,,75.9,23.9,52.0,75.9,,,1876.89,1918.09,1918.09,0.05,1,,,,,,,,,,,,,,,,,
2025-01-23,1880.32,1880.32,1831.23,1854.6,405658.0,,,,,49.09,0.0,49.09,49.09,,,1831.23,1918.09,1831.23,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,1855.33,1865.12,1800.67,1814.85,400791.0,,,,,64.45,10.52,53.93,64.45,,,1831.23,1913.75,1800.67,0.1,0,-32.74,-88.25,1882.66,1882.66,,,,,,,,,,,1814.85,1894.19,
2025-01-27,1802.02,1842.65,1787.57,1842.64,275659.0,,,,,55.08,27.8,27.28,55.08,56.84,,1831.23,1902.44,1787.57,0.15,0,-5.98,-80.51,1843.34,1843.34,,,,,,,,,,,1814.85,1880.32,
2025-01-28,1830.51,1883.62,1820.0,1851.1,214126.0,,,,,63.62,40.98,22.64,63.62,61.63,,1831.23,1885.21,1787.57,0.15,0,18.13,86.84,1818.07,1818.07,-7.04,-81.92,1862.78,1855.74,,,,,,,1814.85,1854.6,
2025-01-29,1850.0,1867.125,1837.11,1860.21,179159.0,,,,,30.02,16.03,13.99,30.02,52.45,,1831.23,1883.62,1787.57,0.15,0,8.78,83.51,1842.53,1842.53,4.75,78.1,1835.19,1839.93,,,,,,,1814.85,1860.21,
2025-01-30,1872.69,1884.845,1859.52,1866.42,120706.0,,,,,25.33,24.63,0.69,25.33,47.7,,1787.57,1884.84,1884.84,0.05,1,7.66,82.56,1851.58,1851.58,12.07,85.26,1822.9,1834.97,,,,,,,1842.64,1866.42,
2025-01-31,1876.11,1903.7923,1866.0501,1873.56,199166.0,,,,,37.74,37.37,0.37,37.74,42.36,,1792.43,1884.84,1903.79,0.1,1,6.67,81.48,1860.06,1860.06,7.72,82.62,1843.35,1851.07,,,,1861.98,,,1851.1,1873.56,
2025-02-03,1832.42,1846.05,1794.2,1827.96,266919.0,,,,,51.85,27.51,79.36,79.36,47.21,,1794.2,1903.79,1794.2,0.05,0,-19.23,-87.02,1875.21,1875.21,-3.29,-73.11,1862.44,1859.14,,,,1856.73,,,1827.96,1873.56,
2025-02-04,1816.63,1829.666,1791.99,1809.7,242379.0,,,,,37.68,1.71,35.97,37.68,42.03,,1794.2,1898.31,1791.99,0.1,0,-31.93,-88.21,1869.0,1869.0,-13.95,-85.9,1875.47,1861.52,,,,1841.81,,,1809.7,1873.56,
2025-02-05,1649.34,1890.3392,1610.4,1847.8,660365.0,,,,,279.94,80.64,199.3,279.94,92.01,,1791.99,1890.34,1890.34,0.05,1,9.92,84.24,1818.57,1818.57,-10.11,-84.35,1865.31,1855.2,,,,1836.57,,,1809.7,1873.56,
2025-02-06,1847.8,1892.2,1841.1965,1887.3,325323.0,,,,,51.0,44.4,6.6,51.0,97.14,,1610.4,1890.34,1892.2,0.1,1,38.8,88.52,1809.47,1809.47,4.73,78.07,1839.8,1844.53,,,,1851.99,,,1809.7,1887.3,
2025-02-07,1888.68,1889.08,1813.1301,1858.86,178965.0,,,,,75.95,1.78,74.17,75.95,104.79,,1638.58,1890.34,1892.2,0.1,1,5.53,79.75,1859.12,1859.12,13.94,85.9,1818.44,1832.38,,,,1853.95,,,1809.7,1887.3,
