Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2025-01-08 05:00:00,59.04,59.23,57.81,59.01,1080897.0,,,,,1.42,,,1.42,,,59.23,57.81,57.81,0.05,0,,,,,,,,,,,,,,,,
2025-01-10 05:00:00,58.42,58.87,57.6,58.26,1128150.0,,,,,1.27,0.14,1.41,1.41,,,57.81,58.87,58.87,0.05,1,,,,,,,,,,,,,,,,
2025-01-13 05:00:00,57.62,59.19,57.62,59.16,700733.0,,,,,1.57,0.93,0.64,1.57,,,57.6,58.87,59.19,0.1,1,,,,,,,,,,,,,,,,
2025-01-14 05:00:00,59.6,60.04,58.99,59.66,2370266.0,,,,,1.05,0.88,0.17,1.05,,,57.62,58.87,60.04,0.15,1,0.7,34.99,58.33,58.33,,,,,,,,,,,58.26,59.66
2025-01-15 05:00:00,60.89,61.035,60.325,60.68,714493.0,,,,,0.71,1.38,0.67,1.38,1.37,,57.98,58.87,61.04,0.2,1,0.76,37.23,59.07,59.07,,,,,,,,,,,58.26,60.68
2025-01-16 05:00:00,61.05,63.23,60.935,62.75,2481107.0,,,,,2.29,2.55,0.26,2.55,1.59,,58.59,58.87,63.23,0.21,1,1.54,57.09,59.48,59.48,1.05,46.4,58.0,59.05,,,,,,,59.16,62.75
2025-01-17 05:00:00,63.07,63.86,62.8,63.5,1052310.0,,,,,1.06,1.11,0.05,1.11,1.53,,59.56,58.87,63.86,0.21,1,1.41,54.65,60.9,60.9,1.18,49.65,58.8,59.97,,,,,,,59.66,63.5
2025-01-21 05:00:00,64.17,64.96,63.96,64.75,1332643.0,,,,,1.0,1.46,0.46,1.46,1.51,,60.46,58.87,64.96,0.21,1,1.0,45.0,62.67,62.67,1.3,52.43,59.67,60.97,,,,,,,60.68,64.75
2025-01-22 05:00:00,64.9,65.0767,63.84,64.29,1162077.0,,,,,1.24,0.33,0.91,1.24,1.55,,61.4,58.87,65.08,0.21,1,0.4,21.55,63.78,63.78,0.92,42.68,61.35,62.27,,,,65.12,,,62.75,64.75
2025-01-23 05:00:00,64.29,64.73,63.82,64.32,961402.0,,,,,0.91,0.44,0.47,0.91,1.45,,62.17,58.87,65.08,0.21,1,-0.21,-12.13,64.67,64.67,0.39,21.45,63.14,63.53,,,,65.4,,,63.5,64.75
2025-01-24 05:00:00,64.43,64.69,63.82,64.08,990057.0,,,,,0.87,0.37,0.5,0.87,1.12,,62.78,58.87,65.08,0.21,1,-0.1,-5.99,64.33,64.33,0.07,4.18,64.04,64.11,,,,65.3,,,64.08,64.75
2025-01-27 05:00:00,62.73,62.9,59.38,59.85,1742545.0,,,,,3.52,1.18,4.7,4.7,1.84,,59.38,65.08,59.38,0.05,0,-2.23,-65.89,64.98,64.98,-1.0,-45.03,65.46,64.46,,,,63.15,,,59.85,64.32
2025-01-28 05:00:00,59.93,61.25,59.655,61.15,1618728.0,,,,,1.59,1.4,0.2,1.59,1.86,,59.38,64.8,59.38,0.05,0,-1.47,-55.68,63.16,63.16,-1.08,-47.07,64.89,63.81,,,,61.78,,,59.85,64.32
2025-01-29 05:00:00,61.25,61.95,61.01,61.43,1178668.0,,,,,0.94,0.8,0.14,0.94,1.8,,59.38,64.53,59.38,0.05,0,0.79,38.31,60.02,60.02,-0.87,-41.06,63.91,63.04,,,,61.0,,,59.85,64.08
2025-01-30 05:00:00,62.1,63.27,61.89,62.95,1412733.0,,,,,1.38,1.84,0.46,1.84,1.99,,59.38,64.27,59.38,0.05,0,0.9,41.99,60.94,60.94,-0.07,-3.89,62.03,61.96,,,,61.16,,,59.85,62.95
2025-01-31 05:00:00,63.15,63.405,62.46,62.62,967501.0,,,,,0.95,0.45,0.49,0.95,2.0,,59.38,64.03,59.38,0.05,0,0.59,30.75,61.74,61.74,0.73,36.28,60.13,60.87,,,,61.54,,,61.15,62.95
