Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,45.96,46.71,45.5,46.65,2504136.0,,,,,1.21,,,1.21,,,45.5,46.71,46.71,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,46.49,46.905,46.02,46.61,1005660.0,,,,,0.88,0.26,0.63,0.88,,,45.56,46.71,46.9,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,46.87,47.15,46.57,47.15,275894.0,,,,,0.58,0.54,0.04,0.58,,,45.69,46.71,47.15,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,47.02,47.23,46.715,46.92,519803.0,,,,,0.51,0.08,0.43,0.51,,,45.91,46.71,47.23,0.2,1,0.15,8.81,46.74,46.74,,,,,,,,,,,46.61,47.15
2024-12-27 05:00:00,46.76,46.95,46.28,46.63,586121.0,,,,,0.67,0.03,0.64,0.67,0.77,,46.17,46.71,47.23,0.2,1,-0.26,-14.57,47.16,47.16,,,,,,,,,,,46.61,47.15
2024-12-30 05:00:00,46.44,46.445,45.85,46.08,1296674.0,,,,,0.59,0.19,0.78,0.78,0.68,,45.85,47.23,45.85,0.05,0,-0.42,-22.78,46.96,46.96,-0.16,-8.98,46.99,46.84,,,,,,,46.08,47.15
2024-12-31 05:00:00,46.08,46.28,45.62,45.74,852631.0,,,,,0.66,0.2,0.46,0.66,0.64,,45.85,47.16,45.62,0.1,0,-0.44,-23.99,46.59,46.59,-0.37,-20.1,47.24,46.87,,,,,,,45.74,46.92
2025-01-02 05:00:00,46.04,46.4,45.82,46.24,977439.0,,,,,0.58,0.66,0.08,0.66,0.66,,45.85,47.01,45.62,0.1,0,0.08,4.57,45.94,45.94,-0.23,-12.68,46.77,46.55,,,,,,,45.74,46.63
2025-01-03 05:00:00,46.25,46.75,45.59,46.72,849692.0,,,,,1.16,0.51,0.65,1.16,0.79,,45.85,46.87,45.59,0.15,0,0.49,26.1,45.74,45.74,0.03,1.95,46.21,46.25,,,,46.18,,,45.74,46.72
2025-01-06 05:00:00,47.11,47.59,46.9,47.07,784313.0,,,,,0.69,0.87,0.18,0.87,0.83,,45.59,47.59,47.59,0.05,1,0.42,22.54,46.26,46.26,0.3,16.49,45.78,46.07,,,,46.44,,,45.74,47.07
