Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,202.94,206.75,201.03,205.59,1116357.0,,,,,5.72,,,5.72,,,201.03,206.75,206.75,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,206.62,207.06,203.96,204.3,1030919.0,,,,,3.1,1.47,1.63,3.1,,,201.32,206.75,207.06,0.1,1,,,,,,,,,,,,,,,,,
2025-01-23,204.48,207.19,203.28,207.19,956399.0,,,,,3.91,2.89,1.02,3.91,,,201.89,206.75,207.19,0.15,1,,,,,,,,,,,,,,,,,
2025-01-24,207.4,208.63,205.673,207.3,793512.0,,,,,2.96,1.44,1.52,2.96,,,202.68,206.75,208.63,0.2,1,1.5,56.31,204.76,204.76,,,,,,,,,,,204.3,207.3,
2025-01-27,203.12,207.395,202.01,204.93,856562.0,,,,,5.39,0.09,5.29,5.39,4.22,,202.01,208.63,202.01,0.05,0,-1.13,-48.49,207.6,207.6,,,,,,,,,,,204.3,207.3,
2025-01-28,207.36,215.35,205.88,214.35,1722374.0,,,,,9.47,10.42,0.95,10.42,5.16,,202.01,215.35,215.35,0.05,1,3.52,74.16,205.33,205.33,1.78,60.73,204.05,205.83,,,,,,,204.93,214.35,
2025-01-29,214.03,214.91,212.04,213.91,971097.0,,,,,2.87,0.56,2.31,2.87,5.11,,202.68,215.35,215.35,0.05,1,4.49,77.44,206.57,206.57,2.05,63.99,205.44,207.49,,,,,,,204.93,214.35,
2025-01-30,214.99,216.0,212.26,213.53,1493878.0,,,,,3.74,2.09,1.65,3.74,5.08,,203.31,215.35,216.0,0.1,1,-0.41,-22.29,214.34,214.34,2.14,64.99,206.52,208.66,,,,,,,204.93,214.35,
2025-01-31,214.44,215.8,211.7647,212.65,1145957.0,,,,,4.04,2.27,1.77,4.04,5.29,,204.58,215.35,216.0,0.1,1,-0.63,-32.21,213.99,213.99,1.46,55.63,208.95,210.41,,,,214.74,,,212.65,214.35,
2025-02-03,207.7,214.76,205.2,212.73,1221072.0,,,,,9.56,2.11,7.45,9.56,6.13,,205.2,216.0,205.2,0.05,0,-0.4,-21.8,213.37,213.37,-0.45,-24.23,214.33,213.88,,,,214.61,,,212.65,213.91,
