Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,77.57,79.03,76.8912,78.91,11179862.0,,,,,2.14,,,2.14,,,76.8912,79.03,79.03,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,78.78,79.35,77.5301,79.28,2495828.0,,,,,1.82,0.44,1.38,1.82,,,77.0,79.03,79.35,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,79.54,79.79,78.735,79.36,1035713.0,,,,,1.06,0.51,0.55,1.06,,,77.24,79.03,79.79,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,79.1,80.18,78.975,79.71,1622105.0,,,,,1.21,0.82,0.39,1.21,,,77.62,79.03,80.18,0.2,1,0.22,12.13,79.23,79.23,,,,,,,,,,,78.91,79.71
2024-12-27 05:00:00,79.32,79.87,78.89,79.51,1533202.0,,,,,0.98,0.16,0.82,0.98,1.44,,78.13,79.03,80.18,0.2,1,0.08,4.29,79.45,79.45,,,,,,,,,,,79.28,79.71
2024-12-30 05:00:00,79.12,79.16,77.6,78.6,1850721.0,,,,,1.56,0.35,1.91,1.91,1.4,,77.6,80.18,77.6,0.05,0,-0.56,-29.03,79.83,79.83,-0.12,-6.9,79.53,79.41,,,,,,,78.6,79.71
2024-12-31 05:00:00,79.0,79.2699,77.97,78.18,1877777.0,,,,,1.3,0.67,0.63,1.3,1.29,,77.6,80.05,77.6,0.05,0,-0.67,-33.62,79.43,79.43,-0.35,-19.14,79.77,79.42,,,,,,,78.18,79.71
2025-01-02 05:00:00,78.92,78.92,77.72,78.38,2658817.0,,,,,1.2,0.74,0.46,1.2,1.32,,77.6,79.93,77.6,0.05,0,-0.11,-6.28,78.5,78.5,-0.4,-21.75,79.67,79.27,,,,,,,78.18,79.51
2025-01-03 05:00:00,78.55,80.62,78.39,80.52,2713052.0,,,,,2.23,2.24,0.01,2.24,1.53,,77.6,80.62,80.62,0.05,1,1.17,49.48,77.86,77.86,0.18,10.2,78.68,78.86,,,,79.12,,,78.18,80.52
2025-01-06 05:00:00,80.52,82.4,80.42,81.72,3746630.0,,,,,1.98,1.88,0.1,1.98,1.73,,77.75,80.62,82.4,0.1,1,1.67,59.09,78.54,78.54,0.86,40.63,77.76,78.62,,,,80.2,,,78.18,81.72
2025-01-07 05:00:00,81.88,83.44,81.4501,83.37,3382126.0,,,,,1.99,1.72,0.27,1.99,1.74,,78.22,80.62,83.44,0.15,1,1.42,54.94,80.44,80.44,1.37,53.91,77.69,79.06,,,,81.77,,,78.38,83.37
2025-01-08 05:00:00,84.65,87.3,84.29,86.26,4432588.0,,,,,3.01,3.93,0.92,3.93,2.27,,79.0,80.62,87.3,0.2,1,2.27,66.23,81.51,81.51,1.86,61.75,78.33,80.19,,,,84.31,,,80.52,86.26
2025-01-10 05:00:00,85.38,86.07,84.4,84.76,3792183.0,,,,,1.67,0.19,1.86,1.86,2.4,,80.66,80.62,87.3,0.2,1,0.69,34.8,84.1,84.1,1.3,52.47,80.72,82.02,,,,85.63,,,81.72,86.26
2025-01-13 05:00:00,85.14,85.545,83.8971,85.36,2903920.0,,,,,1.65,0.78,0.86,1.65,2.28,,81.99,80.62,87.3,0.2,1,-0.45,-24.23,85.91,85.91,0.87,40.93,82.56,83.43,,,,86.53,,,83.37,86.26
2025-01-14 05:00:00,85.89,85.99,83.82,84.13,2821427.0,,,,,2.17,0.63,1.54,2.17,2.32,,83.05,80.62,87.3,0.2,1,-0.32,-17.48,85.06,85.06,0.06,3.55,84.65,84.71,,,,86.25,,,84.13,86.26
