Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,118.76,121.1,118.545,119.55,542176.0,,,,,2.55,,,2.55,,,118.545,121.1,121.1,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,119.29,121.675,117.76,120.53,641641.0,,,,,3.91,2.12,1.79,3.91,,,117.76,121.1,117.76,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,119.92,120.045,118.0114,118.37,455445.0,,,,,2.03,0.48,2.52,2.52,,,117.76,121.68,117.76,0.05,0,,,,,,,,,,,,,,,,,
2025-01-24,118.41,119.99,118.2097,119.34,406596.0,,,,,1.78,1.62,0.16,1.78,,,117.76,121.48,117.76,0.05,0,-0.6,-30.75,120.01,120.01,,,,,,,,,,,118.37,120.53,
2025-01-27,120.04,121.5,119.5117,120.85,339733.0,,,,,1.99,2.16,0.17,2.16,2.58,,117.76,121.5,121.5,0.05,1,1.24,51.12,118.28,118.28,,,,,,,,,,,118.37,120.85,
2025-01-28,121.33,123.05,120.8301,121.61,512114.0,,,,,2.22,2.2,0.02,2.22,2.52,,117.95,121.5,123.05,0.1,1,1.13,48.62,119.46,119.46,0.46,24.89,119.21,119.68,,,,,,,118.37,121.61,
2025-01-29,122.0,123.63,121.6269,121.95,496302.0,,,,,2.0,2.02,0.02,2.02,2.14,,118.46,121.5,123.63,0.15,1,0.55,28.81,120.92,120.92,0.94,43.32,118.54,119.48,,,,,,,119.34,121.95,
2025-01-30,122.86,123.27,121.715,122.3,379584.0,,,,,1.55,1.32,0.23,1.55,1.95,,119.24,121.5,123.63,0.15,1,0.34,19.03,121.61,121.61,0.7,35.07,119.81,120.51,,,,,,,120.85,122.3,
2025-01-31,121.42,124.27,121.42,122.09,664103.0,,,,,2.85,1.97,0.88,2.85,2.16,,119.9,121.5,124.27,0.2,1,0.07,4.0,122.04,122.04,0.32,17.59,121.13,121.44,,,,122.51,,,121.61,122.3,
2025-02-03,121.17,122.825,120.24,122.43,723473.0,,,,,2.59,0.73,1.85,2.59,2.25,,120.24,124.27,120.24,0.05,0,0.06,3.72,122.21,122.21,0.18,10.09,121.72,121.9,,,,123.07,,,121.95,122.43,
2025-02-04,120.93,123.5,120.8601,122.41,591367.0,,,,,2.64,1.07,1.57,2.64,2.33,,120.24,124.07,120.24,0.05,0,0.16,9.09,122.15,122.15,0.1,5.99,122.03,122.13,,,,122.92,,,122.09,122.43,
2025-02-05,122.41,123.52,121.69,123.07,587382.0,,,,,1.83,1.11,0.72,1.83,2.29,,120.24,123.88,120.24,0.05,0,0.32,17.74,122.32,122.32,0.19,10.54,122.09,122.27,,,,122.95,,,122.09,123.07,
2025-02-06,124.11,124.11,117.12,119.97,910480.0,,,,,6.99,1.04,5.95,6.99,3.38,,120.24,124.11,124.11,0.05,1,-1.22,-50.66,123.04,123.04,-0.36,-19.8,122.71,122.35,,,,121.76,,,119.97,123.07,
2025-02-07,120.46,123.9472,120.05,123.47,958135.0,,,,,3.9,3.98,0.08,3.98,3.61,,117.12,124.11,124.11,0.05,1,0.2,11.31,121.97,121.97,-0.04,-2.06,122.34,122.31,,,,122.29,,,119.97,123.47,
2025-02-10,123.11,123.64,121.815,122.25,450374.0,,,,,1.83,0.17,1.66,1.83,3.45,,117.47,124.11,124.11,0.05,1,1.14,48.74,120.76,120.76,0.01,0.46,122.22,122.23,,,,122.24,,,119.97,123.47,
2025-02-11,122.15,122.98,120.84,121.45,708971.0,,,,,2.14,0.73,1.41,2.14,3.35,,117.8,124.11,124.11,0.05,1,-1.01,-45.29,123.4,123.4,-0.1,-5.48,122.23,122.14,,,,121.92,,,119.97,123.47,
2025-02-12,121.8,121.9729,119.603,121.47,514689.0,,,,,2.37,0.52,1.85,2.37,3.46,2.73,118.12,124.11,124.11,0.05,1,-0.39,-21.31,122.11,122.11,0.1,5.6,121.53,121.62,,,,121.63,,,121.45,123.47,
