Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,50.09,52.14,50.07,51.81,23917849.0,,,,,2.07,,,2.07,,,50.07,52.14,52.14,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,51.49,52.59,51.36,52.56,7553113.0,,,,,1.23,0.78,0.45,1.23,,,50.17,52.14,52.59,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,52.7,53.63,52.52,53.51,4541139.0,,,,,1.11,1.07,0.04,1.11,,,50.41,52.14,53.63,0.15,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,53.37,54.38,53.14,54.18,6073502.0,,,,,1.24,0.87,0.37,1.24,,,50.89,52.14,54.38,0.2,1,0.81,39.01,52.61,52.61,,,,,,,,,,,51.81,54.18
2024-12-27 05:00:00,53.81,54.86,53.76,54.28,5884436.0,,,,,1.1,0.68,0.42,1.1,1.35,,51.59,52.14,54.86,0.21,1,0.39,21.06,53.6,53.6,,,,,,,,,,,52.56,54.28
2024-12-30 05:00:00,53.74,54.095,52.93,53.66,7246775.0,,,,,1.16,0.19,1.35,1.35,1.21,,52.28,52.14,54.86,0.21,1,-0.26,-14.57,54.3,54.3,0.3,16.54,53.04,53.34,,,,,,,53.51,54.28
2024-12-31 05:00:00,53.89,54.22,52.95,53.27,4734394.0,,,,,1.27,0.56,0.71,1.27,1.21,,52.82,52.14,54.86,0.21,1,-0.51,-26.79,54.24,54.24,-0.1,-5.71,53.98,53.88,,,,,,,53.27,54.28
2025-01-02 05:00:00,53.32,53.47,51.024,51.37,10170423.0,,,,,2.45,0.2,2.25,2.45,1.48,,51.02,54.86,51.02,0.05,0,-1.15,-48.87,53.91,53.91,-0.66,-33.54,54.68,54.01,,,,,,,51.37,54.28
2025-01-03 05:00:00,51.5,51.955,50.455,51.77,8949929.0,,,,,1.5,0.59,0.91,1.5,1.53,,51.02,54.67,50.46,0.1,0,-0.75,-36.87,52.89,52.89,-0.73,-36.17,54.33,53.6,,,,52.26,,,51.37,53.66
2025-01-06 05:00:00,52.76,54.395,52.25,53.53,9728239.0,,,,,2.15,2.62,0.48,2.62,1.84,,50.46,54.4,54.4,0.05,1,1.08,47.2,51.14,51.14,-0.18,-9.98,53.07,52.9,,,,52.32,,,51.37,53.53
2025-01-07 05:00:00,53.7,53.7,51.92,51.98,9093274.0,,,,,1.78,0.17,1.61,1.78,1.92,,50.66,54.4,54.4,0.05,1,0.1,5.99,52.32,52.32,-0.04,-2.41,52.47,52.43,,,,51.89,,,51.37,53.53
2025-01-08 05:00:00,51.75,51.75,50.305,51.0,7243663.0,,,,,1.45,0.23,1.67,1.67,2.0,,50.3,54.4,50.3,0.05,0,-1.26,-51.67,53.43,53.43,-0.05,-3.03,52.04,51.98,,,,51.35,,,51.0,53.53
