Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh,ME_Ratio
2025-01-21,163.64,165.4112,161.1966,164.06,550798.0,,,,,4.21,,,4.21,,,161.1966,165.4112,165.4112,0.05,1,,,,,,,,,,,,,,,,,
2025-01-22,165.0,165.24,156.785,158.72,680644.0,,,,,8.46,1.18,7.28,8.46,,,156.78,165.41,156.78,0.05,0,,,,,,,,,,,,,,,,,
2025-01-23,155.29,157.48,152.54,156.34,987295.0,,,,,4.94,1.24,6.18,6.18,,,156.78,165.24,152.54,0.1,0,,,,,,,,,,,,,,,,,
2025-01-24,157.26,159.0259,156.08,157.43,739431.0,,,,,2.95,2.69,0.26,2.95,,,156.78,163.97,152.54,0.1,0,-0.65,-32.82,158.14,158.14,,,,,,,,,,,156.34,164.06,
2025-01-27,154.5,158.97,153.485,155.3,884557.0,,,,,5.48,1.54,3.94,5.48,5.46,,156.78,162.83,152.54,0.1,0,-0.52,-27.47,156.88,156.88,,,,,,,,,,,155.3,158.72,
2025-01-28,155.25,155.5,144.5232,149.19,1426376.0,,,,,10.98,0.2,10.78,10.98,6.81,,156.78,161.8,144.52,0.15,0,-4.12,-76.36,158.09,158.09,-2.01,-63.55,159.42,157.41,,,,,,,149.19,157.43,
2025-01-29,149.7,150.3004,147.64,148.12,789680.0,,,,,2.66,1.11,1.55,2.66,5.65,,156.78,159.21,144.52,0.15,0,-3.59,-74.43,154.46,154.46,-2.47,-67.94,158.21,155.74,,,,,,,148.12,157.43,
2025-01-30,149.73,152.84,149.61,152.25,888297.0,,,,,3.23,4.72,1.49,4.72,5.36,,156.78,157.01,144.52,0.15,0,1.53,56.83,148.32,148.32,-1.75,-60.31,155.97,154.21,,,,,,,148.12,155.3,
2025-01-31,152.34,153.99,149.21,149.33,630978.0,,,,,4.78,1.74,3.04,4.78,5.72,,156.78,155.14,144.52,0.15,0,0.61,31.17,149.29,149.29,-0.89,-41.61,152.61,151.73,,,,148.33,,,148.12,152.25,
2025-02-03,145.15,147.39,143.2418,144.58,979681.0,,,,,4.15,1.94,6.09,6.09,5.85,,156.78,153.99,143.24,0.2,0,-3.83,-75.39,152.55,152.55,-0.8,-38.69,150.3,149.5,,,,146.02,,,144.58,152.25,
2025-02-04,144.07,145.8299,141.6,142.56,955053.0,,,,,4.23,1.25,2.98,4.23,4.5,,156.78,151.84,141.6,0.21,0,-3.39,-73.54,148.88,148.88,-1.88,-61.98,151.13,149.25,,,,143.46,,,142.56,152.25,
2025-02-05,143.17,143.88,141.45,142.2,534855.0,,,,,2.43,1.32,1.11,2.43,4.45,,156.78,149.69,141.45,0.21,0,-1.19,-49.96,144.3,144.3,-2.69,-69.59,151.56,148.87,,,,142.17,,,142.2,149.33,
2025-02-06,142.07,144.44,141.25,142.71,695640.0,,,,,3.19,2.24,0.95,3.19,4.14,,156.78,147.96,141.25,0.21,0,0.07,4.29,142.42,142.42,-1.56,-57.37,147.4,145.84,,,,141.83,,,142.2,144.58,
2025-02-07,143.44,143.75,140.865,142.11,610325.0,,,,,2.88,1.04,1.84,2.88,3.76,,156.78,146.55,140.86,0.21,0,-0.04,-2.58,142.38,142.38,-0.48,-25.59,143.79,143.31,,,,140.77,,,142.11,142.71,
2025-02-10,143.26,146.0,142.25,145.07,838185.0,,,,,3.75,3.89,0.14,3.89,3.32,,140.86,146.0,146.0,0.05,1,1.18,49.72,142.12,142.12,0.49,26.24,141.94,142.44,,,,141.25,,,142.11,145.07,
2025-02-11,143.46,143.68,139.2,141.74,1476299.0,,,,,4.48,1.39,5.87,5.87,3.65,,139.2,146.0,139.2,0.05,0,-0.19,-10.48,143.16,143.16,0.14,8.19,142.48,142.62,,,,141.64,,,141.74,145.07,
2025-02-12,142.39,155.14,139.297,152.45,2798709.0,,,,,15.84,13.4,2.44,15.84,6.33,5.0,139.2,155.14,155.14,0.05,1,3.69,74.84,142.73,142.73,1.91,62.38,140.99,142.91,,,,146.64,,,141.74,152.45,
2025-02-13,152.38,152.899,146.1901,146.83,1480678.0,,,,,6.71,0.45,6.26,6.71,7.04,5.12,139.3,155.14,155.14,0.05,1,2.55,68.55,144.46,144.46,1.68,59.27,142.28,143.96,,,,147.84,,,141.74,152.45,
