Date,Open,High,Low,Close,Volume,BBAvg,BBSDev,UpperBB,LowerBB,High_Low,High_Close,Low_Close,TR,ATR,ATRma,LongPSAR,ShortPSAR,PSAR_EP,PSAR_AF,PSAR_IsLong,oLRSlope,oLRAngle,oLRIntercept,TSF,oLRSlope2,oLRAngle2,oLRIntercept2,TSF5,Value1,ROC,LRV,LinReg,oLRValue,oLRValue2,SwingLow,SwingHigh
2024-12-20 05:00:00,114.36,116.67,113.48,115.73,2689411.0,,,,,3.19,,,3.19,,,113.48,116.67,116.67,0.05,1,,,,,,,,,,,,,,,,
2024-12-23 05:00:00,114.85,117.5,114.37,116.18,1134086.0,,,,,3.13,1.77,1.36,3.13,,,113.64,116.67,117.5,0.1,1,,,,,,,,,,,,,,,,
2024-12-24 05:00:00,116.1,117.29,115.565,117.29,346621.0,,,,,1.73,1.11,0.62,1.73,,,114.03,116.67,117.5,0.1,1,,,,,,,,,,,,,,,,
2024-12-26 05:00:00,116.33,117.66,116.225,116.55,884935.0,,,,,1.44,0.37,1.07,1.44,,,114.38,116.67,117.66,0.15,1,0.18,10.48,116.49,116.49,,,,,,,,,,,115.73,117.29
2024-12-27 05:00:00,115.99,117.6499,115.6075,116.96,846166.0,,,,,2.04,1.1,0.94,2.04,2.31,,114.87,116.67,117.66,0.15,1,-0.17,-9.37,117.1,117.1,,,,,,,,,,,116.18,117.29
2024-12-30 05:00:00,116.19,117.005,115.34,115.82,1295263.0,,,,,1.66,0.05,1.62,1.66,2.0,,115.29,116.67,117.66,0.15,1,-0.37,-20.05,116.81,116.81,-0.11,-5.99,116.77,116.67,,,,,,,115.82,117.29
2024-12-31 05:00:00,116.11,117.46,116.08,116.76,880039.0,,,,,1.38,1.64,0.26,1.64,1.7,,115.34,116.67,117.66,0.15,1,-0.1,-5.71,116.61,116.61,-0.18,-10.15,117.03,116.86,,,,,,,115.82,116.96
2025-01-02 05:00:00,117.36,118.84,115.8716,116.06,1041385.0,,,,,2.97,2.08,0.89,2.97,1.95,,115.69,116.67,118.84,0.2,1,0.12,6.84,116.09,116.09,-0.12,-6.73,116.67,116.55,,,,,,,115.82,116.96
2025-01-03 05:00:00,116.31,117.2223,114.8503,116.86,1218074.0,,,,,2.37,1.16,1.21,2.37,2.14,,114.85,118.84,114.85,0.05,0,0.05,2.86,116.51,116.51,0.0,0.23,116.48,116.49,,,,116.48,,,115.82,116.86
2025-01-06 05:00:00,117.14,119.2,116.87,117.37,1076893.0,,,,,2.33,2.34,0.01,2.34,2.2,,114.85,119.2,119.2,0.05,1,0.66,33.22,116.11,116.11,0.32,17.74,115.93,116.25,,,,116.72,,,116.06,117.37
2025-01-07 05:00:00,118.25,119.24,116.33,116.61,848221.0,,,,,2.91,1.87,1.04,2.91,2.45,,115.07,119.2,119.24,0.1,1,-0.12,-7.13,117.07,117.07,0.1,5.77,116.53,116.63,,,,116.83,,,116.06,117.37
2025-01-08 05:00:00,116.01,116.73,114.89,116.53,941106.0,,,,,1.84,0.12,1.72,1.84,2.49,,114.89,119.24,114.89,0.05,0,-0.42,-22.78,117.26,117.26,0.07,3.95,116.55,116.62,,,,116.77,,,116.53,117.37
2025-01-10 05:00:00,115.23,116.715,114.8,115.91,1245009.0,,,,,1.92,0.19,1.73,1.92,2.28,,114.89,119.02,114.8,0.1,0,-0.35,-19.29,116.7,116.7,-0.27,-15.32,117.2,116.93,,,,116.56,,,115.91,117.37
2025-01-13 05:00:00,115.95,117.43,115.1715,116.51,1301485.0,,,,,2.26,1.52,0.74,2.26,2.25,,114.89,118.6,114.8,0.1,0,-0.01,-0.57,116.33,116.33,-0.24,-13.6,117.07,116.83,,,,116.4,,,115.91,116.61
